municipality,group,variable,month,Nº de actividades realizadas con participación,TOTAL
CALAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,21,21
CAMARGO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,57,57
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
CAMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,15,15
CAPINOTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
CARACOLLO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,18,18
CARANAVI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,34,34
CARAPARI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,18,18
CARIPUYO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,35,35
CHALLAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
CHAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,9,9
CHARAGUA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,49,49
CHAYANTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,5,5
CHIMORE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
CHUMA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,9,9
CLIZA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
COCHABAMBA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,877,877
COLCAPIRHUA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
COLLANA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
COLOMI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
COLQUECHACA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
COLQUIRI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,46,46
COMBAYA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
CONCEPCION,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
COPACABANA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,49,49
COROICO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
CORQUE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
COTAGAITA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,28,28
COTOCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
CUATRO CAÑADAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,5,5
CUEVO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,10,10
CULPINA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,53,53
CURAHUARA DE CARANGAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
CURVA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
DESAGUADERO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,11,11
EL ALTO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,325,325
EL CHORO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,57,57
EL PUENTE(STC),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,10,10
EL PUENTE(TJA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,34,34
EL TORNO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,14,14
EL VILLAR,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,16,16
ENTRE RIOS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
ENTRE RIOS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,93,93
EUCALIPTUS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
EXALTACION,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
FERNANDEZ ALONSO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
FILADELFIA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
GENERAL SAAVEDRA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,22,22
GUANAY,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
GUAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
GUAYARAMERIN,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
GUTIERREZ,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,19,19
HUACAYA (VILLA DE HUACAYA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,15,15
HUANUNI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,35,35
HUAYLLAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,11,11
ICHOCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,42,42
ICLA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,29,29
INCAHUASI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,61,61
INQUISIVI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,39,39
IRUPANA (VILLA DE LANZA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,5,5
IXIAMAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
JESUS DE MACHACA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,14,14
LA ASUNTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
LA GUARDIA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,41,41
LA PAZ,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,327,327
LAGUNILLAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,19,19
LAJA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,15,15
LAS CARRERAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
LLICA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
LORETO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,11,11
LURIBAY,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,5,5
MACHACAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,24,24
MAGDALENA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
MAPIRI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
MECAPACA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,11,11
MIZQUE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,20,20
MOCOMOCO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,36,36
MOJOCOYA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,7,7
MONTERO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,33,33
MORO MORO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
MOROCHATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,30,30
NUEVO MANOA (NUEVA ESPERANZA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
OCURI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
OKINAWA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
OMEREQUE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
ORURO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,43,43
PADCAYA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,50,50
PADILLA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,52,52
PAILON,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
PALCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,18,18
PALOS BLANCOS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,9,9
PAMPA AULLAGAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
PASORAPA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
PATACAMAYA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
PAZÑA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
PELECHUCO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
POCOATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,15,15
POCONA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,7,7
POJO (CBBA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
POOPO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
POROMA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,49,49
PORONGO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
PORTACHUELO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,50,50
PORVENIR,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
POSTRER VALLE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
POTOSI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,24,24
PRESTO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,31,31
PUCARA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
PUCARANI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
PUERTO ACOSTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
PUERTO CARABUCO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
PUERTO QUIJARRO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,10,10
PUERTO VILLARROEL,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
PUNA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,64,64
PUNATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,82,82
QUILLACOLLO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,171,171
QUIME,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,11,11
QUIRUSILLAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
RAVELO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,24,24
RIBERALTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,30,30
ROBORE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,211,211
RURRENABAQUE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
SACABA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,29,29
SACABAMBA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
SACACA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,51,51
SAIPINA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,14,14
SAN ANDRES,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,9,9
SAN ANDRES DE MACHACA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,11,11
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,15,15
SAN BENITO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
SAN BORJA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,13,13
SAN CARLOS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,5,5
SAN IGNACIO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
SAN IGNACIO DE VELASCO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,156,156
SAN JAVIER(BNI),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,11,11
SAN JUAN DE YAPACANI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
SAN JULIAN,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,38,38
SAN LORENZO(TJA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,40,40
SAN LUCAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,103,103
SAN MATIAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,11,11
SAN MIGUEL DE VELASCO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,136,136
SAN PABLO DE LIPEZ,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
SAN PEDRO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
SAN PEDRO DE BUENA VISTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,23,23
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
SAN RAFAEL,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
SANTA ANA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,58,58
SANTA ROSA DEL SARA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
SANTIAGO DE CALLAPA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
SANTIAGO DE HUARI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
SANTIVAÑES,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,58,58
SANTUARIO DE QUILLACAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,10,10
SAPAHAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,19,19
SICA SICA (VILLA AROMA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
SIPE SIPE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
SOPACHUY,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,22,22
SORACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,14,14
SORATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,64,64
SUCRE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,362,362
TACACOMA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
TACOBAMBA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
TACOPAYA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
TAPACARI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,39,39
TARABUCO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,58,58
TARATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,14,14
TARIJA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1271,1271
TARVITA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,67,67
TEOPONTE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
TIAWANACU,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
TINGUIPAYA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
TIPUANI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
TIQUIPAYA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,393,393
TIRAQUE (CBBA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
TODOS SANTOS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
TOLEDO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,12,12
TOMAVE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
TOMINA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,28,28
TORO TORO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,54,54
TOTORA(CBBA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
TOTORA(ORR),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,5,5
TRIGAL,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
TRINIDAD,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,150,150
TUPIZA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,30,30
TURCO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
UMALA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,33,33
UNCIA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,51,51
URIONDO (A. CONCEPCION),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
URUBICHA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
VACAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,5,5
VALLEGRANDE,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,4,4
VIACHA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,270,270
VILA VILA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,3,3
VILLA MONTES,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
VILLA NUEVA (LOMA ALTA),actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
VILLA RIVERO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
VILLA SERRANO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,19,19
VILLA TUNARI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,37,37
VILLAZON,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,26,26
VINTO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
VITICHI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,24,24
WARNES,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,6,6
YACO,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,2,2
YACUIBA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,105,105
YAMPARAEZ,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,28,28
YANACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,8,8
YAPACANI,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,5,5
YOCALLA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,1,1
YOTALA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,15,15
YUNCHARA,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,45,45
ZUDAÑEZ,actividades con la comunidad,no de actividades realizadas con participacion,2008-01-01,17,17
ACACIO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,4,4
ACHACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,61,61
ACHOCALLA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,4,4
AIQUILE,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,16,16
ALALAY,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,3,3
ALCALA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,18,18
ANCORAIMES,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,1,1
ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,40,40
ANTEQUERA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,1,1
ANZALDO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,13,13
APOLO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,12,12
ARAMPAMPA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,26,26
ARANI,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,11,11
ARBIETO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,3,3
ARQUE,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,12,12
ASCENCION DE GUARAYOS,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,2,2
ATOCHA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,15,15
AYATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,48,48
AZURDUY,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,44,44
BATALLAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,9,9
BAURES,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,22,22
BERMEJO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,17,17
BETANZOS,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,74,74
BOLIVAR,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,17,17
BUENA VISTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,4,4
CABEZAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,4,4
CAIROMA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,4,4
"CAIZA ""D""",actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,22,22
CAJUATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,15,15
CALACOTO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,3,3
CALAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,19,19
CAMARGO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,22,22
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,5,5
CAMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,158,158
CAPINOTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,8,8
CARACOLLO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,26,26
CARANAVI,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,55,55
CARAPARI,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,14,14
CARIPUYO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,25,25
CHALLAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,31,31
CHAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,8,8
CHARAGUA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,32,32
CHAYANTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,5,5
CHIMORE,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,4,4
CHIPAYA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,1,1
CHOQUE COTA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,1,1
CHUMA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,4,4
COBIJA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,5,5
COCHABAMBA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,678,678
COLCAPIRHUA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,34,34
"COLCHA ""K""",actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,1,1
COLOMI,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,10,10
COLPA BELGICA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,1,1
COLQUIRI,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,38,38
COMBAYA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,1,1
CONCEPCION,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,6,6
COPACABANA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,4,4
COROICO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,9,9
CORQUE,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,13,13
COTAGAITA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,45,45
COTOCA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,3,3
CUATRO CAÑADAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,9,9
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,5,5
CUEVO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,8,8
CULPINA,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,76,76
CURAHUARA DE CARANGAS,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,9,9
DESAGUADERO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,13,13
EL ALTO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,634,634
EL CHORO,actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,12,12
EL PUENTE(STC),actividades con la comunidad,no de actividades realizadas con participacion,2008-02-01,8,8
