,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,6,64,60,65,66,131
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,15,8,136,139,151,147,298
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,7,77,66,80,73,153
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,56,48,265,552,321,600,921
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,8,14,44,59,52,73,125
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,2,31,24,34,26,60
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,2,40,47,41,49,90
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,2,39,34,41,36,77
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,34,18,83,77,117,95,212
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,3,26,32,31,35,66
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,7,9,105,95,112,104,216
BAURES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,6,30,17,33,23,56
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,2,4,2,4,6
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,1,2,2,2,4
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,15,11,15,12,27
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,44,50,96,103,140,153,293
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,10,13,124,107,134,120,254
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,4,15,12,20,16,36
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,3,1,3,2,5
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,2,28,23,31,25,56
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,10,6,86,93,96,99,195
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,8,10,107,108,115,118,233
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,7,53,33,58,40,98
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,4,55,48,60,52,112
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,11,4,32,34,43,38,81
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,5,11,6,11,17
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,2,59,55,62,57,119
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,15,7,48,56,63,63,126
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,2,8,8,8,10,18
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,16,121,121,126,137,263
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,13,12,165,198,178,210,388
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,0,41,32,43,32,75
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,11,86,94,90,105,195
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,39,46,270,213,309,259,568
CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,1,0,1,0,1
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,12,14,72,56,84,70,154
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,24,23,24,24,48
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,7,13,37,39,44,52,96
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,5,6,6,6,12
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,1,4,7,5,8,13
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,30,20,150,133,180,153,333
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,4,30,37,33,41,74
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,34,43,155,137,189,180,369
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,2,10,9,13,11,24
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,6,9,49,43,55,52,107
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,122,104,119,111,241,215,456
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,8,6,8,7,15
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,5,1,5,1,6
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,14,11,15,11,26
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,26,25,45,52,71,77,148
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,0,12,26,15,26,41
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,9,8,41,26,50,34,84
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,5,36,51,40,56,96
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,66,58,67,66,133,124,257
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,37,39,197,177,234,216,450
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,18,15,85,90,103,105,208
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1041,1012,2283,2184,3324,3196,6520
COIPASA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,1,3,1,3,4
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,87,74,224,186,311,260,571
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,6,55,50,60,56,116
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,5,6,6,6,12
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,24,17,152,155,176,172,348
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,7,5,19,29,26,34,60
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,8,9,101,63,109,72,181
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,2,52,59,53,61,114
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,10,11,68,59,78,70,148
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,12,12,13,12,25
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,9,12,90,97,99,109,208
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,5,6,6,6,12
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,21,12,168,166,189,178,367
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,4,39,34,40,38,78
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,12,9,95,85,107,94,201
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,3,29,29,32,32,64
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,34,26,61,68,95,94,189
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,24,40,25,40,65
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,18,87,99,92,117,209
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,79,55,536,432,615,487,1102
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,17,20,131,136,148,156,304
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,4,8,5,8,13
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,17,13,3,1,20,14,34
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,10,5,77,53,87,58,145
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,14,9,15,9,24
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,14,8,15,8,23
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,23,30,23,31,54
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1194,1086,3646,3436,4840,4522,9362
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,9,14,9,14,23
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,13,12,63,46,76,58,134
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,2,28,35,32,37,69
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,35,32,357,347,392,379,771
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,0,22,9,24,9,33
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,12,9,122,85,134,94,228
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,77,45,266,301,343,346,689
ESCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,1,3,2,3,5
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,2,17,22,20,24,44
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,0,0,0,1,1
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,19,16,20,16,36
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,1,1,1,1,2
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,10,17,5,4,15,21,36
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,6,76,45,81,51,132
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,1,41,23,44,24,68
GAIOC JATUN AYLLU YURA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,6,5,14,29,20,34,54
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,14,80,91,85,105,190
GIA-TIM,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,9,14,21,18,30,48
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,11,9,44,28,55,37,92
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,9,130,125,134,134,268
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,1,28,30,30,31,61
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,67,76,129,129,196,205,401
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,18,11,60,85,78,96,174
HUACARAJE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,1,29,25,30,26,56
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,6,30,37,34,43,77
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,7,9,7,9,16
HUACHACALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,0,5,6,7,6,13
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,6,8,41,32,47,40,87
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,2,38,24,38,26,64
HUATAJATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,2,7,9,9,11,20
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,1,16,15,17,16,33
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,2,5,2,5,7
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,10,4,5,4,15,8,23
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,6,7,13,12,19,19,38
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,4,40,61,45,65,110
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,6,13,6,14,20
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,6,3,31,26,37,29,66
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,28,23,39,52,67,75,142
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,4,42,36,46,40,86
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,1,52,42,53,43,96
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,63,42,230,201,293,243,536
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,274,220,439,436,713,656,1369
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1793,1609,2253,2133,4046,3742,7788
LA RIVERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,1,2,1,2,3
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,1,16,24,17,25,42
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,7,8,102,87,109,95,204
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,1,10,12,10,13,23
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,2,19,13,24,15,39
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,18,22,160,144,178,166,344
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,3,11,12,12,15,27
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,2,8,17,9,19,28
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,5,42,39,46,44,90
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,1,15,11,16,12,28
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,3,28,21,31,24,55
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,12,13,92,84,104,97,201
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,6,10,71,127,77,137,214
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,6,5,6,5,11
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,23,17,129,124,152,141,293
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,4,40,58,44,62,106
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,12,19,143,149,155,168,323
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,18,20,108,98,126,118,244
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,42,33,42,33,75
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,1,0,1,0,1
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,4,26,23,28,27,55
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,28,36,122,108,150,144,294
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,132,111,738,747,870,858,1728
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,8,8,8,8,16
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,2,37,32,40,34,74
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,14,17,14,17,31
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,5,4,6,4,10
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,10,13,10,13,23
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,5,36,38,39,43,82
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,6,75,80,79,86,165
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,1,36,33,40,34,74
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,300,304,1539,1425,1839,1729,3568
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,6,8,73,50,79,58,137
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,11,5,42,47,53,52,105
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,41,56,131,116,172,172,344
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,31,22,88,97,119,119,238
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,49,64,126,118,175,182,357
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,14,9,14,9,23
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,7,3,48,42,55,45,100
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,5,15,13,19,18,37
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,1,7,12,9,13,22
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,7,8,84,84,91,92,183
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,1,17,11,19,12,31
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,6,9,51,40,57,49,106
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,8,8,50,62,58,70,128
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,8,5,42,41,50,46,96
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,33,34,51,44,84,78,162
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,4,7,23,23,27,30,57
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,20,20,85,79,105,99,204
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,8,6,35,39,43,45,88
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,4,64,70,67,74,141
PORTACHUELO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,17,14,96,89,113,103,216
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,1,38,34,41,35,76
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,1,2,3,3,4,7
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,337,358,1401,1227,1738,1585,3323
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,2,2,14,20,16,22,38
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,0,0,7,3,7,3,10
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,6,9,168,164,174,173,347
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,5,2,21,22,26,24,50
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,2,34,30,37,32,69
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,3,8,45,40,48,48,96
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2024-01-01,1,0,22,25,23,25,48
