,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,3,3,4,3,7
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,16,18,16,18,34
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,8,14,9,15,24
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,4,2,4,2,6
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,0,0,0,1,1
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,1,6,7,9,8,17
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,1,1,9,4,10,14
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,7,4,2,2,9,6,15
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,21,19,22,20,42
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,4,1,3,2,7,9
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,3,2,4,2,6
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,5,5,5,6,11
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,3,5,3,5,8
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,0,1,0,1,1
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,1,35,40,38,41,79
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,7,6,8,7,15
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,0,1,0,1,1
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,6,3,6,4,10
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,0,1,0,1
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,8,5,25,21,33,26,59
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,8,10,9,11,20
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,10,8,10,9,19
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,2,7,4,9,6,15
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,6,0,7,0,7
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,12,7,12,8,20
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,2,0,2,0,2
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,8,5,9,5,14
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,0,2,0,2,2
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,5,4,3,5,8,13
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,4,5,5,6,11
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,11,4,0,0,11,4,15
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,0,1,0,1,1
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,0,4,13,7,13,20
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,1,2,2,2,4
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,6,3,7,4,11
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,0,0,1,0,1
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,7,2,37,40,44,42,86
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,11,13,11,13,24
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,4,20,21,20,25,45
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,2,1,3,1,5,6
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,4,13,21,14,25,39
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,9,5,10,6,16
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,0,1,1,1,2
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,4,13,8,15,12,27
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,4,5,5,5,10
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,9,11,21,24,30,35,65
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,0,1,1,1,2
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,5,6,36,39,41,45,86
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,26,9,27,9,36
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,10,7,13,19,23,26,49
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,14,10,14,10,24
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,7,8,7,8,15
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,1,3,1,4,5
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,1,0,1,1,2
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,8,7,35,28,43,35,78
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,0,0,1,0,1
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,14,5,37,25,51,30,81
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,0,1,1,1,2
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,5,4,5,4,9
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,0,3,0,3,3
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,32,30,32,30,62
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,0,8,6,10,6,16
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,0,1,0,1
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,8,7,8,8,16
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,8,8,8,8,16
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,0,1,0,1
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,6,13,6,14,20
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,8,8,8,8,16
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,6,10,7,12,13,22,35
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,8,2,8,2,10
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,4,4,1,1,5,5,10
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,4,17,14,19,18,37
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,0,5,0,5,5
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,0,2,0,2,2
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,3,2,3,3,6
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,82,65,1158,1177,1240,1242,2482
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,2,1,3,1,4
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,3,4,3,4,7
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,0,2,4,4,4,8
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,7,1,7,1,8
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,7,6,8,6,14
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,2,1,2,3
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,3,12,3,12,15
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,14,17,15,18,33
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,4,1,4,1,5
GAIOC JATUN AYLLU YURA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,8,6,9,6,15
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,2,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,5,8,6,3,11,11,22
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,6,5,4,5,10,15
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,3,1,3,1,4
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,5,2,6,2,8
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,2,6,6,7,8,15
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,7,4,35,30,42,34,76
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,2,2,4,3,6,9
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,1,0,2,0,2
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,1,3,9,5,10,15
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,1,11,7,13,8,21
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,12,8,13,9,22
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,5,1,28,34,33,35,68
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,1,0,1,1,2
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,9,4,23,22,32,26,58
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,2,8,11,11,13,24
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,0,0,1,1,2
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,1,1,2,2,4
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,4,8,5,8,13
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,8,2,8,2,10
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,6,5,2,0,8,5,13
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,5,11,9,11,14,25
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,4,4,1,0,5,4,9
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,3,1,3,1,4
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,24,25,119,120,143,145,288
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,2,1,2,1,3
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,0,0,0,1,1
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,6,3,6,3,9
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,3,2,3,2,5
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,2,0,0,0,2,2
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,6,4,7,4,11
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,10,6,10,7,17
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,0,0,0,1,1
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,6,6,6,6,12
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,0,1,0,2,2
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,4,8,23,8,27,16,43
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,3,15,18,18,21,39
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,5,3,5,3,8
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,7,2,8,2,10
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,0,2,0,2,2
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,4,1,5,8,9,9,18
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,8,6,8,6,14
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,3,35,36,36,39,75
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,3,12,3,13,16
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,5,5,62,53,67,58,125
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,0,8,5,10,5,15
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,3,7,3,7,10
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,5,6,1,8,6,14
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,3,5,4,5,7,12
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,4,6,5,7,12
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,4,0,1,1,5,6
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,0,1,0,1,1
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,1,1,1,2
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,1,1,1,2
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,2,1,3,2,5,7
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,0,0,0,1,1
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,4,8,50,54,54,62,116
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,0,2,0,3,0,3
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,2,3,3,3,5,8
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,9,9,10,10,20
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,4,30,17,31,21,52
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,6,3,7,4,11
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,0,0,0,1,1
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,2,0,2,0,2
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,19,16,101,84,120,100,220
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,1,8,15,10,16,26
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,12,9,10,17,22,26,48
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,0,4,5,6,5,11
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,4,3,12,14,16,17,33
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,2,5,1,5,3,8
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,1,3,5,6,6,12
PUERTO RICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,1,0,1,1,2
PUERTO VILLARROEL,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,4,7,4,8,12
PUNA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,27,36,27,36,63
PUNATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,4,44,50,45,54,99
QUIABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,2,3,4,4,6,10
QUILLACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,14,13,295,271,309,284,593
QUIME,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,2,0,2,0,2
QUIRUSILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,2,0,2,0,2
RAQAYPAMPA(ETA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,6,5,6,5,11
RAVELO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,4,0,35,32,39,32,71
REYES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,3,4,0,0,3,4,7
RIBERALTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,2,0,3,1,4
ROBORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,2,4,2,4,6
SABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,0,0,0,1,1
SACABA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,8,12,123,71,131,83,214
SACACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,5,4,29,38,34,42,76
SAIPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,1,1,1,1,2
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,17,13,18,14,32
SAMAIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,0,3,2,3,2,5
SAN AGUSTIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,1,0,0,2,1,3
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,2,4,3,5,8
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,2,6,5,6,7,13
SAN BENITO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,1,0,0,1,1,2
SAN BORJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,16,24,11,16,27,40,67
SAN BUENA VENTURA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,6,2,6,3,9
SAN CARLOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,0,2,0,4,0,4
SAN IGNACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,3,3,7,5,10,15
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,5,7,11,11,16,18,34
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,0,1,0,0,0,1,1
SAN JULIAN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,2,1,4,6,6,7,13
SAN LORENZO(PND),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2024-01-01,1,2,7,6,8,8,16
