municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
BERMEJO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,2,2
BUENA VISTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,16,16
COMARAPA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
CUATRO CAÑADAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,14,14
ENTRE RIOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
ENTRE RIOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,3,3
LAS CARRERAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,3,3
MAIRANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,3,3
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
POJO (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,5,5
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
RURRENABAQUE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
SAN BENITO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,14,14
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,4,4
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,3,3
TINGUIPAYA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,2,2
TOMINA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
TOTORA(ORR),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,3,3
VILA VILA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,4,4
ZUDAÑEZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-03-01,2,2
AIQUILE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,7,7
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,7,7
COLQUECHACA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
COTAGAITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
CUEVO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,16,16
EL TORNO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,8,8
LAS CARRERAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
MAGDALENA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
MONTEAGUDO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,3,3
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
PUNATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
SAN LUCAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,10,10
SANTA ROSA DEL SARA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,4,4
TACACOMA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,7,7
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
TINGUIPAYA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
VILLA SERRANO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
VILLA TUNARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-04-01,3,3
AIQUILE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
BERMEJO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,2,2
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
CHAYANTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
CLIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,18,18
DESAGUADERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,10,10
EL PUENTE(STC),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,2,2
ENTRE RIOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
HUANUNI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,7,7
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,3,3
MAIRANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,4,4
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,3,3
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,3,3
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,2,2
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,3,3
SAN CARLOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
SAN IGNACIO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,2,2
SAN RAFAEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,13,13
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,3,3
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
VALLEGRANDE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
VILLA TUNARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,3,3
YANACACHI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-05-01,1,1
BERMEJO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
CALAMARCA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
CHALLAPATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,13,13
CONCEPCION,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
CULPINA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,3,3
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,6,6
GUANAY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
GUAYARAMERIN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
ICLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,11,11
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,2,2
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
PALOS BLANCOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
PORTACHUELO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,2,2
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
PUNATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,2,2
SAN LUCAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,18,18
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,6,6
TARABUCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,2,2
VIACHA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,3,3
VILLA MONTES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
VILLA TUNARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-06-01,2,2
BERMEJO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
CAMIRI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,3,3
CAQUIAVIRI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,2,2
CHARAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,16,16
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,9,9
INCAHUASI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,10,10
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,2,2
LORETO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,2,2
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,3,3
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,3,3
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,2,2
PUNATA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,4,4
RAVELO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
SACABA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
SAN ANDRES,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,4,4
SAN CARLOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
SAN JULIAN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,3,3
SAN RAMON,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,7,7
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,5,5
TARABUCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,2,2
TARVITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,3,3
VACAS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
VIACHA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,2,2
VILA VILA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
VILLA TUNARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,2,2
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-07-01,1,1
ACHACACHI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,25,25
BERMEJO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
"CAIZA ""D""",atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
CAMIRI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,3,3
CARACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,21,21
COPACABANA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
COROICO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,14,14
EUCALIPTUS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
GUANAY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
GUAYARAMERIN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,12,12
LLALLAGUA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,2,2
LORETO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,8,8
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
PATACAMAYA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,2,2
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
ROBORE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
SAN BUENA VENTURA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
SAN JULIAN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
SAN PEDRO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
SAN RAMON,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,7,7
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,8,8
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
TARVITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
TUPIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
VILLA TUNARI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
VILLAZON,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
YACUIBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,1,1
YAPACANI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-08-01,2,2
AZURDUY,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,3,3
CAMIRI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,1,1
CARACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,3,3
CHAYANTA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,1,1
CLIZA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,13,13
COTAGAITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2006-09-01,6,6
