municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
CARAPARI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
CARIPUYO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
CHALLAPATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
CHAQUI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
CHARAGUA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,26,26
CHARAÑA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
CHAYANTA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,28,28
CHIMORE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
CHIPAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
CHOQUE COTA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,21,21
CHUMA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
CLIZA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
COBIJA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,26,26
COCHABAMBA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,653,653
COLCAPIRHUA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,54,54
"COLCHA ""K""",atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
COLOMI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,21,21
COLPA BELGICA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,9,9
COLQUECHACA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,69,69
COLQUENCHA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
COLQUIRI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,39,39
COMANCHE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
COMARAPA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,24,24
COMBAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
CONCEPCION,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
COPACABANA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,21,21
CORIPATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
CORO CORO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,9,9
COROICO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,21,21
CORQUE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
COTAGAITA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,26,26
COTOCA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,28,28
CUATRO CAÑADAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
CUEVO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
CULPINA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,38,38
CURAHUARA DE CARANGAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
CURVA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
DESAGUADERO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
EL ALTO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,632,632
EL CHORO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
EL PUENTE(STC),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
EL PUENTE(TJA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
EL TORNO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,53,53
EL VILLAR,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
ENTRE RIOS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,25,25
ENTRE RIOS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,22,22
EUCALIPTUS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
EUREKA (SANTOS MERCADO),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
EXALTACION,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
FILADELFIA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
GENERAL SAAVEDRA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,16,16
GUANAY,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,27,27
GUAQUI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
GUAYARAMERIN,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,61,61
GUTIERREZ,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
HUACARETA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
HUANUNI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,25,25
HUARACAJE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
ICHOCA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
ICLA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
INCAHUASI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,31,31
INQUISIVI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,27,27
IRUPANA (VILLA DE LANZA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
IXIAMAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
JESUS DE MACHACA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
LA ASUNTA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,51,51
LA GUARDIA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,69,69
LA PAZ,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1013,1013
LAGUNILLAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
LAJA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
LAS CARRERAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
LICOMA PAMPA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
LLALLAGUA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,48,48
LLICA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
LORETO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
LURIBAY,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
MACHACAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
MACHARETI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,9,9
MAGDALENA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
MAIRANA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
MALLA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
MAPIRI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,15,15
MECAPACA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
MINEROS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,23,23
MIZQUE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,34,34
MOCOMOCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,18,18
MOJINETE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
MOJOCOYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,10,10
MONTEAGUDO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,48,48
MONTERO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,137,137
MORO MORO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
MOROCHATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,27,27
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
OCURI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,37,37
OKINAWA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,9,9
OMEREQUE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
ORURO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,429,429
PADCAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,18,18
PADILLA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,31,31
PAILON,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
PALCA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
PALOS BLANCOS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,32,32
PAMPA AULLAGAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
PAMPA GRANDE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
PAPEL PAMPA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
PASORAPA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
PATACAMAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,43,43
PAZÑA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
PELECHUCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
POCOATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,33,33
POCONA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
POJO (CBBA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
POOPO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,9,9
PORCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
POROMA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,19,19
PORONGO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,17,17
PORTACHUELO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,23,23
PORVENIR,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
POSTRER VALLE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
POTOSI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,352,352
PRESTO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,20,20
PUCARANI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,22,22
PUERTO ACOSTA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,24,24
PUERTO CARABUCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,23,23
PUERTO GONZALO MORENO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,9,9
PUERTO PEREZ,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
PUERTO QUIJARRO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
PUERTO RICO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
PUERTO SUAREZ,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,35,35
PUERTO VILLARROEL,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,87,87
PUNA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,47,47
PUNATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,49,49
QUIABAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
QUILLACOLLO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,30,30
QUIME,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
QUIRUSILLAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
RAVELO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,15,15
REYES,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
RIBERALTA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
ROBORE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
RURRENABAQUE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
SABAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
SACABA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,117,117
SACABAMBA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,10,10
SACACA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
SAIPINA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
SALINAS DE GARCI MENDOZA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,16,16
SAMAIPATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
SAN AGUSTIN,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
SAN ANDRES,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,20,20
SAN ANDRES DE MACHACA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
SAN ANTONIO DE ESMORUCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
SAN ANTONIO DE LOMERIO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
SAN BENITO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,17,17
SAN BORJA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,68,68
SAN BUENA VENTURA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,16,16
SAN CARLOS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,34,34
SAN IGNACIO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,24,24
SAN IGNACIO DE VELASCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,32,32
SAN JAVIER(BNI),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
SAN JAVIER(STC),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,21,21
SAN JOAQUIN,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,24,24
SAN JUAN DE YAPACANI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,27,27
SAN JULIAN,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,68,68
SAN LORENZO(PND),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,9,9
SAN LORENZO(TJA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,20,20
SAN LUCAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,45,45
SAN MATIAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
SAN MIGUEL DE VELASCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,20,20
SAN PABLO DE LIPEZ,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
SAN PEDRO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,20,20
SAN PEDRO DE BUENA VISTA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
SAN PEDRO DE CURAHUARA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
SAN PEDRO DE TIQUINA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
SAN PEDRO(PND),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
SAN RAFAEL,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
SAN RAMON,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
SANTA ANA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,16,16
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1267,1267
SANTA ROSA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,7,7
SANTA ROSA DEL SARA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,24,24
SANTIAGO DE CALLAPA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
SANTIAGO DE HUARI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,9,9
SANTIAGO DE MACHACA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
SANTIVAÑES,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
SANTUARIO DE QUILLACAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
SAPAHAQUI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
SENA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
SICA SICA (VILLA AROMA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,25,25
SICAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
SIPE SIPE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,43,43
SOPACHUY,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
SORACACHI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
SORATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,23,23
SUCRE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,204,204
TACACHI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
TACACOMA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
TACOBAMBA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
TACOPAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,27,27
TAHUA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
TAPACARI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,38,38
TARABUCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,54,54
TARACO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
TARATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,9,9
TARIJA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,181,181
TARVITA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,19,19
TEOPONTE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,8,8
TIAWANACU,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,23,23
TINGUIPAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,52,52
TIPUANI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,23,23
TIQUIPAYA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
TIRAQUE (CBBA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,102,102
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
TOCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
TOLATA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
TOLEDO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
TOMAVE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
TOMINA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
TORO TORO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,12,12
TOTORA(CBBA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,10,10
TOTORA(ORR),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
TRIGAL,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
TRINIDAD,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,240,240
TUPIZA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,70,70
TURCO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,4,4
UMALA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,3,3
UNCIA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,57,57
URIONDO (A. CONCEPCION),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
URUBICHA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
UYUNI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,18,18
VACAS,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,20,20
VALLEGRANDE,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,15,15
VIACHA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,29,29
VILA VILA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
VILLA MONTES,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,33,33
VILLA NUEVA (LOMA ALTA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
VILLA RIVERO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,6,6
VILLA SERRANO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,5,5
VILLA TUNARI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,84,84
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,11,11
VILLAZON,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,65,65
VINTO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,38,38
VITICHI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
WALDO BALLIVIAN,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
WARNES,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,46,46
YACO,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,10,10
YACUIBA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,96,96
YAMPARAEZ,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
YANACACHI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,2,2
YAPACANI,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,76,76
YOCALLA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,1,1
YOTALA,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,14,14
ZUDAÑEZ,atencion de partos en servicio,mujeres con primer control post parto,2006-01-01,13,13
ACACIO,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,15,15
ACHACACHI,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,63,63
ACHOCALLA,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,4,4
AIQUILE,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,23,23
ALALAY,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,5,5
ALCALA,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,6,6
ANCORAIMES,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,23,23
ANDAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,1,1
ANTEQUERA,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,4,4
ANZALDO,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,2,2
APOLO,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,28,28
ARAMPAMPA,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,7,7
ARANI,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,19,19
ARBIETO,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,3,3
ARQUE,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,17,17
ASCENCION DE GUARAYOS,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,50,50
ATOCHA,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,24,24
AUCAPATA,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,5,5
AYATA,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,15,15
AYO AYO,atencion de partos en servicio,mujeres con primer control post parto,2006-02-01,6,6
