municipality,group,variable,month,Restauraciones,TOTAL
CARAPARI,consultas odontologicas,restauraciones,2006-01-01,26,26
CARIPUYO,consultas odontologicas,restauraciones,2006-01-01,8,8
CHALLAPATA,consultas odontologicas,restauraciones,2006-01-01,66,66
CHARAGUA,consultas odontologicas,restauraciones,2006-01-01,21,21
CHAYANTA,consultas odontologicas,restauraciones,2006-01-01,18,18
CHIMORE,consultas odontologicas,restauraciones,2006-01-01,150,150
CHOQUE COTA,consultas odontologicas,restauraciones,2006-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,restauraciones,2006-01-01,66,66
CHUMA,consultas odontologicas,restauraciones,2006-01-01,4,4
CLIZA,consultas odontologicas,restauraciones,2006-01-01,37,37
COBIJA,consultas odontologicas,restauraciones,2006-01-01,252,252
COCHABAMBA,consultas odontologicas,restauraciones,2006-01-01,6489,6489
COLCAPIRHUA,consultas odontologicas,restauraciones,2006-01-01,112,112
COLLANA,consultas odontologicas,restauraciones,2006-01-01,19,19
COLOMI,consultas odontologicas,restauraciones,2006-01-01,91,91
COLPA BELGICA,consultas odontologicas,restauraciones,2006-01-01,38,38
COLQUECHACA,consultas odontologicas,restauraciones,2006-01-01,6,6
COLQUIRI,consultas odontologicas,restauraciones,2006-01-01,84,84
COMARAPA,consultas odontologicas,restauraciones,2006-01-01,346,346
COPACABANA,consultas odontologicas,restauraciones,2006-01-01,57,57
CORIPATA,consultas odontologicas,restauraciones,2006-01-01,97,97
CORO CORO,consultas odontologicas,restauraciones,2006-01-01,1,1
COROICO,consultas odontologicas,restauraciones,2006-01-01,228,228
COTAGAITA,consultas odontologicas,restauraciones,2006-01-01,163,163
COTOCA,consultas odontologicas,restauraciones,2006-01-01,78,78
CUEVO,consultas odontologicas,restauraciones,2006-01-01,53,53
CULPINA,consultas odontologicas,restauraciones,2006-01-01,17,17
CURAHUARA DE CARANGAS,consultas odontologicas,restauraciones,2006-01-01,56,56
CURVA,consultas odontologicas,restauraciones,2006-01-01,2,2
DESAGUADERO,consultas odontologicas,restauraciones,2006-01-01,33,33
EL ALTO,consultas odontologicas,restauraciones,2006-01-01,7354,7354
EL TORNO,consultas odontologicas,restauraciones,2006-01-01,220,220
EL VILLAR,consultas odontologicas,restauraciones,2006-01-01,2,2
ENTRE RIOS,consultas odontologicas,restauraciones,2006-01-01,27,27
ENTRE RIOS,consultas odontologicas,restauraciones,2006-01-01,128,128
EUCALIPTUS,consultas odontologicas,restauraciones,2006-01-01,43,43
EUREKA (SANTOS MERCADO),consultas odontologicas,restauraciones,2006-01-01,16,16
FERNANDEZ ALONSO,consultas odontologicas,restauraciones,2006-01-01,62,62
FILADELFIA,consultas odontologicas,restauraciones,2006-01-01,16,16
GENERAL SAAVEDRA,consultas odontologicas,restauraciones,2006-01-01,120,120
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,restauraciones,2006-01-01,17,17
GUANAY,consultas odontologicas,restauraciones,2006-01-01,55,55
GUAQUI,consultas odontologicas,restauraciones,2006-01-01,41,41
GUAYARAMERIN,consultas odontologicas,restauraciones,2006-01-01,221,221
GUTIERREZ,consultas odontologicas,restauraciones,2006-01-01,26,26
HUACARETA,consultas odontologicas,restauraciones,2006-01-01,37,37
HUACHACALLA,consultas odontologicas,restauraciones,2006-01-01,9,9
HUANUNI,consultas odontologicas,restauraciones,2006-01-01,82,82
HUARACAJE,consultas odontologicas,restauraciones,2006-01-01,45,45
HUAYLLAMARCA,consultas odontologicas,restauraciones,2006-01-01,5,5
ICHOCA,consultas odontologicas,restauraciones,2006-01-01,2,2
ICLA,consultas odontologicas,restauraciones,2006-01-01,65,65
INCAHUASI,consultas odontologicas,restauraciones,2006-01-01,40,40
INQUISIVI,consultas odontologicas,restauraciones,2006-01-01,3,3
IRUPANA (VILLA DE LANZA),consultas odontologicas,restauraciones,2006-01-01,94,94
IXIAMAS,consultas odontologicas,restauraciones,2006-01-01,22,22
JESUS DE MACHACA,consultas odontologicas,restauraciones,2006-01-01,55,55
LA ASUNTA,consultas odontologicas,restauraciones,2006-01-01,81,81
LA GUARDIA,consultas odontologicas,restauraciones,2006-01-01,381,381
LA PAZ,consultas odontologicas,restauraciones,2006-01-01,11459,11459
LAGUNILLAS,consultas odontologicas,restauraciones,2006-01-01,3,3
LAJA,consultas odontologicas,restauraciones,2006-01-01,40,40
LICOMA PAMPA,consultas odontologicas,restauraciones,2006-01-01,7,7
LLALLAGUA,consultas odontologicas,restauraciones,2006-01-01,304,304
LLICA,consultas odontologicas,restauraciones,2006-01-01,8,8
LURIBAY,consultas odontologicas,restauraciones,2006-01-01,9,9
MACHACAMARCA,consultas odontologicas,restauraciones,2006-01-01,19,19
MACHARETI,consultas odontologicas,restauraciones,2006-01-01,32,32
MAGDALENA,consultas odontologicas,restauraciones,2006-01-01,125,125
MAIRANA,consultas odontologicas,restauraciones,2006-01-01,105,105
MAPIRI,consultas odontologicas,restauraciones,2006-01-01,39,39
MECAPACA,consultas odontologicas,restauraciones,2006-01-01,26,26
MINEROS,consultas odontologicas,restauraciones,2006-01-01,42,42
MIZQUE,consultas odontologicas,restauraciones,2006-01-01,135,135
MOCOMOCO,consultas odontologicas,restauraciones,2006-01-01,4,4
MOJOCOYA,consultas odontologicas,restauraciones,2006-01-01,45,45
MONTEAGUDO,consultas odontologicas,restauraciones,2006-01-01,51,51
MONTERO,consultas odontologicas,restauraciones,2006-01-01,556,556
MORO MORO,consultas odontologicas,restauraciones,2006-01-01,16,16
MOROCHATA,consultas odontologicas,restauraciones,2006-01-01,24,24
NUEVO MANOA (NUEVA ESPERANZA),consultas odontologicas,restauraciones,2006-01-01,9,9
OCURI,consultas odontologicas,restauraciones,2006-01-01,30,30
OKINAWA,consultas odontologicas,restauraciones,2006-01-01,209,209
OMEREQUE,consultas odontologicas,restauraciones,2006-01-01,110,110
ORURO,consultas odontologicas,restauraciones,2006-01-01,2707,2707
PADCAYA,consultas odontologicas,restauraciones,2006-01-01,7,7
PADILLA,consultas odontologicas,restauraciones,2006-01-01,71,71
PAILON,consultas odontologicas,restauraciones,2006-01-01,39,39
PALOS BLANCOS,consultas odontologicas,restauraciones,2006-01-01,24,24
PAMPA AULLAGAS,consultas odontologicas,restauraciones,2006-01-01,10,10
PAPEL PAMPA,consultas odontologicas,restauraciones,2006-01-01,1,1
PATACAMAYA,consultas odontologicas,restauraciones,2006-01-01,33,33
PAZÑA,consultas odontologicas,restauraciones,2006-01-01,24,24
POCOATA,consultas odontologicas,restauraciones,2006-01-01,14,14
POJO (CBBA),consultas odontologicas,restauraciones,2006-01-01,6,6
POOPO,consultas odontologicas,restauraciones,2006-01-01,53,53
PORONGO,consultas odontologicas,restauraciones,2006-01-01,62,62
PORTACHUELO,consultas odontologicas,restauraciones,2006-01-01,80,80
PORVENIR,consultas odontologicas,restauraciones,2006-01-01,36,36
POSTRER VALLE,consultas odontologicas,restauraciones,2006-01-01,16,16
POTOSI,consultas odontologicas,restauraciones,2006-01-01,511,511
PRESTO,consultas odontologicas,restauraciones,2006-01-01,26,26
PUCARA,consultas odontologicas,restauraciones,2006-01-01,10,10
PUCARANI,consultas odontologicas,restauraciones,2006-01-01,69,69
PUERTO ACOSTA,consultas odontologicas,restauraciones,2006-01-01,117,117
PUERTO CARABUCO,consultas odontologicas,restauraciones,2006-01-01,50,50
PUERTO PEREZ,consultas odontologicas,restauraciones,2006-01-01,2,2
PUERTO QUIJARRO,consultas odontologicas,restauraciones,2006-01-01,72,72
PUERTO RICO,consultas odontologicas,restauraciones,2006-01-01,12,12
PUERTO SUAREZ,consultas odontologicas,restauraciones,2006-01-01,119,119
PUERTO VILLARROEL,consultas odontologicas,restauraciones,2006-01-01,193,193
PUNA,consultas odontologicas,restauraciones,2006-01-01,108,108
PUNATA,consultas odontologicas,restauraciones,2006-01-01,305,305
QUIABAYA,consultas odontologicas,restauraciones,2006-01-01,1,1
QUILLACOLLO,consultas odontologicas,restauraciones,2006-01-01,827,827
QUIME,consultas odontologicas,restauraciones,2006-01-01,115,115
QUIRUSILLAS,consultas odontologicas,restauraciones,2006-01-01,19,19
RAVELO,consultas odontologicas,restauraciones,2006-01-01,9,9
REYES,consultas odontologicas,restauraciones,2006-01-01,69,69
RIBERALTA,consultas odontologicas,restauraciones,2006-01-01,8,8
RURRENABAQUE,consultas odontologicas,restauraciones,2006-01-01,18,18
SABAYA,consultas odontologicas,restauraciones,2006-01-01,6,6
SACABA,consultas odontologicas,restauraciones,2006-01-01,732,732
SACABAMBA,consultas odontologicas,restauraciones,2006-01-01,15,15
SACACA,consultas odontologicas,restauraciones,2006-01-01,15,15
SAIPINA,consultas odontologicas,restauraciones,2006-01-01,45,45
SALINAS DE GARCI MENDOZA,consultas odontologicas,restauraciones,2006-01-01,16,16
SAMAIPATA,consultas odontologicas,restauraciones,2006-01-01,172,172
SAN AGUSTIN,consultas odontologicas,restauraciones,2006-01-01,19,19
SAN BENITO,consultas odontologicas,restauraciones,2006-01-01,156,156
SAN BORJA,consultas odontologicas,restauraciones,2006-01-01,87,87
SAN BUENA VENTURA,consultas odontologicas,restauraciones,2006-01-01,31,31
SAN CARLOS,consultas odontologicas,restauraciones,2006-01-01,37,37
SAN IGNACIO,consultas odontologicas,restauraciones,2006-01-01,93,93
SAN IGNACIO DE VELASCO,consultas odontologicas,restauraciones,2006-01-01,213,213
SAN JOAQUIN,consultas odontologicas,restauraciones,2006-01-01,5,5
SAN JUAN DE YAPACANI,consultas odontologicas,restauraciones,2006-01-01,80,80
SAN LORENZO(PND),consultas odontologicas,restauraciones,2006-01-01,2,2
SAN LORENZO(TJA),consultas odontologicas,restauraciones,2006-01-01,107,107
SAN LUCAS,consultas odontologicas,restauraciones,2006-01-01,79,79
SAN MIGUEL DE VELASCO,consultas odontologicas,restauraciones,2006-01-01,152,152
SAN PEDRO,consultas odontologicas,restauraciones,2006-01-01,86,86
SAN PEDRO DE BUENA VISTA,consultas odontologicas,restauraciones,2006-01-01,4,4
SAN PEDRO DE TIQUINA,consultas odontologicas,restauraciones,2006-01-01,5,5
SAN RAFAEL,consultas odontologicas,restauraciones,2006-01-01,56,56
SAN RAMON,consultas odontologicas,restauraciones,2006-01-01,29,29
SAN RAMON,consultas odontologicas,restauraciones,2006-01-01,84,84
SANTA ANA,consultas odontologicas,restauraciones,2006-01-01,32,32
SANTA CRUZ DE LA SIERRA,consultas odontologicas,restauraciones,2006-01-01,5355,5355
SANTA ROSA,consultas odontologicas,restauraciones,2006-01-01,44,44
SANTA ROSA DEL SARA,consultas odontologicas,restauraciones,2006-01-01,63,63
SANTIAGO DE HUARI,consultas odontologicas,restauraciones,2006-01-01,21,21
SANTIAGO DE MACHACA,consultas odontologicas,restauraciones,2006-01-01,31,31
SANTIVAÑES,consultas odontologicas,restauraciones,2006-01-01,8,8
SANTUARIO DE QUILLACAS,consultas odontologicas,restauraciones,2006-01-01,1,1
SAPAHAQUI,consultas odontologicas,restauraciones,2006-01-01,13,13
SENA,consultas odontologicas,restauraciones,2006-01-01,135,135
SICA SICA (VILLA AROMA),consultas odontologicas,restauraciones,2006-01-01,40,40
SIPE SIPE,consultas odontologicas,restauraciones,2006-01-01,547,547
SOPACHUY,consultas odontologicas,restauraciones,2006-01-01,43,43
SORACACHI,consultas odontologicas,restauraciones,2006-01-01,10,10
SORATA,consultas odontologicas,restauraciones,2006-01-01,40,40
SUCRE,consultas odontologicas,restauraciones,2006-01-01,3478,3478
TACACOMA,consultas odontologicas,restauraciones,2006-01-01,2,2
TACOPAYA,consultas odontologicas,restauraciones,2006-01-01,4,4
TAPACARI,consultas odontologicas,restauraciones,2006-01-01,12,12
TARABUCO,consultas odontologicas,restauraciones,2006-01-01,28,28
TARACO,consultas odontologicas,restauraciones,2006-01-01,15,15
TARATA,consultas odontologicas,restauraciones,2006-01-01,60,60
TARIJA,consultas odontologicas,restauraciones,2006-01-01,989,989
TARVITA,consultas odontologicas,restauraciones,2006-01-01,77,77
TEOPONTE,consultas odontologicas,restauraciones,2006-01-01,21,21
TIAWANACU,consultas odontologicas,restauraciones,2006-01-01,30,30
TIPUANI,consultas odontologicas,restauraciones,2006-01-01,37,37
TIQUIPAYA,consultas odontologicas,restauraciones,2006-01-01,354,354
TIRAQUE (CBBA),consultas odontologicas,restauraciones,2006-01-01,179,179
TOCO,consultas odontologicas,restauraciones,2006-01-01,16,16
TOLATA,consultas odontologicas,restauraciones,2006-01-01,4,4
TOLEDO,consultas odontologicas,restauraciones,2006-01-01,34,34
TOMINA,consultas odontologicas,restauraciones,2006-01-01,117,117
TORO TORO,consultas odontologicas,restauraciones,2006-01-01,23,23
TOTORA(CBBA),consultas odontologicas,restauraciones,2006-01-01,70,70
TRIGAL,consultas odontologicas,restauraciones,2006-01-01,9,9
TRINIDAD,consultas odontologicas,restauraciones,2006-01-01,407,407
TUPIZA,consultas odontologicas,restauraciones,2006-01-01,59,59
TURCO,consultas odontologicas,restauraciones,2006-01-01,13,13
UNCIA,consultas odontologicas,restauraciones,2006-01-01,139,139
URIONDO (A. CONCEPCION),consultas odontologicas,restauraciones,2006-01-01,68,68
UYUNI,consultas odontologicas,restauraciones,2006-01-01,38,38
VACAS,consultas odontologicas,restauraciones,2006-01-01,17,17
VALLEGRANDE,consultas odontologicas,restauraciones,2006-01-01,343,343
VIACHA,consultas odontologicas,restauraciones,2006-01-01,340,340
VILA VILA,consultas odontologicas,restauraciones,2006-01-01,5,5
VILLA MONTES,consultas odontologicas,restauraciones,2006-01-01,93,93
VILLA NUEVA (LOMA ALTA),consultas odontologicas,restauraciones,2006-01-01,17,17
VILLA RIVERO,consultas odontologicas,restauraciones,2006-01-01,60,60
VILLA SERRANO,consultas odontologicas,restauraciones,2006-01-01,62,62
VILLA TUNARI,consultas odontologicas,restauraciones,2006-01-01,291,291
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,restauraciones,2006-01-01,2007,2007
VILLAZON,consultas odontologicas,restauraciones,2006-01-01,220,220
VINTO,consultas odontologicas,restauraciones,2006-01-01,65,65
WARNES,consultas odontologicas,restauraciones,2006-01-01,291,291
YACUIBA,consultas odontologicas,restauraciones,2006-01-01,195,195
YAMPARAEZ,consultas odontologicas,restauraciones,2006-01-01,22,22
YANACACHI,consultas odontologicas,restauraciones,2006-01-01,18,18
YAPACANI,consultas odontologicas,restauraciones,2006-01-01,118,118
YOCALLA,consultas odontologicas,restauraciones,2006-01-01,1,1
YOTALA,consultas odontologicas,restauraciones,2006-01-01,74,74
YUNCHARA,consultas odontologicas,restauraciones,2006-01-01,13,13
ZUDAÑEZ,consultas odontologicas,restauraciones,2006-01-01,12,12
ACHACACHI,consultas odontologicas,restauraciones,2006-02-01,126,126
AIQUILE,consultas odontologicas,restauraciones,2006-02-01,132,132
ALALAY,consultas odontologicas,restauraciones,2006-02-01,2,2
ALCALA,consultas odontologicas,restauraciones,2006-02-01,43,43
ANCORAIMES,consultas odontologicas,restauraciones,2006-02-01,55,55
ANDAMARCA,consultas odontologicas,restauraciones,2006-02-01,5,5
ANTEQUERA,consultas odontologicas,restauraciones,2006-02-01,14,14
APOLO,consultas odontologicas,restauraciones,2006-02-01,49,49
ARANI,consultas odontologicas,restauraciones,2006-02-01,29,29
ARBIETO,consultas odontologicas,restauraciones,2006-02-01,11,11
AUCAPATA,consultas odontologicas,restauraciones,2006-02-01,20,20
AYO AYO,consultas odontologicas,restauraciones,2006-02-01,29,29
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,restauraciones,2006-02-01,36,36
AZURDUY,consultas odontologicas,restauraciones,2006-02-01,68,68
BATALLAS,consultas odontologicas,restauraciones,2006-02-01,25,25
BAURES,consultas odontologicas,restauraciones,2006-02-01,27,27
BELLA FLOR,consultas odontologicas,restauraciones,2006-02-01,21,21
BERMEJO,consultas odontologicas,restauraciones,2006-02-01,84,84
BETANZOS,consultas odontologicas,restauraciones,2006-02-01,44,44
BOLIVAR,consultas odontologicas,restauraciones,2006-02-01,8,8
BOYUIBE,consultas odontologicas,restauraciones,2006-02-01,46,46
BUENA VISTA,consultas odontologicas,restauraciones,2006-02-01,57,57
CABEZAS,consultas odontologicas,restauraciones,2006-02-01,29,29
CAIROMA,consultas odontologicas,restauraciones,2006-02-01,36,36
"CAIZA ""D""",consultas odontologicas,restauraciones,2006-02-01,1,1
CAJUATA,consultas odontologicas,restauraciones,2006-02-01,20,20
CALAMARCA,consultas odontologicas,restauraciones,2006-02-01,33,33
CAMARGO,consultas odontologicas,restauraciones,2006-02-01,129,129
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,restauraciones,2006-02-01,38,38
CAMIRI,consultas odontologicas,restauraciones,2006-02-01,282,282
CAPINOTA,consultas odontologicas,restauraciones,2006-02-01,52,52
CAQUIAVIRI,consultas odontologicas,restauraciones,2006-02-01,14,14
CARACOLLO,consultas odontologicas,restauraciones,2006-02-01,34,34
CARANAVI,consultas odontologicas,restauraciones,2006-02-01,56,56
CARAPARI,consultas odontologicas,restauraciones,2006-02-01,21,21
CARMEN RIVERO TORREZ,consultas odontologicas,restauraciones,2006-02-01,5,5
CHALLAPATA,consultas odontologicas,restauraciones,2006-02-01,120,120
CHAQUI,consultas odontologicas,restauraciones,2006-02-01,10,10
CHARAGUA,consultas odontologicas,restauraciones,2006-02-01,44,44
CHAYANTA,consultas odontologicas,restauraciones,2006-02-01,73,73
CHIMORE,consultas odontologicas,restauraciones,2006-02-01,84,84
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,restauraciones,2006-02-01,38,38
CLIZA,consultas odontologicas,restauraciones,2006-02-01,50,50
COBIJA,consultas odontologicas,restauraciones,2006-02-01,213,213
COCHABAMBA,consultas odontologicas,restauraciones,2006-02-01,5971,5971
COLCAPIRHUA,consultas odontologicas,restauraciones,2006-02-01,113,113
"COLCHA ""K""",consultas odontologicas,restauraciones,2006-02-01,8,8
COLLANA,consultas odontologicas,restauraciones,2006-02-01,13,13
COLOMI,consultas odontologicas,restauraciones,2006-02-01,117,117
COLQUECHACA,consultas odontologicas,restauraciones,2006-02-01,16,16
COLQUIRI,consultas odontologicas,restauraciones,2006-02-01,89,89
COMARAPA,consultas odontologicas,restauraciones,2006-02-01,283,283
COPACABANA,consultas odontologicas,restauraciones,2006-02-01,24,24
CORIPATA,consultas odontologicas,restauraciones,2006-02-01,75,75
CORO CORO,consultas odontologicas,restauraciones,2006-02-01,19,19
COROICO,consultas odontologicas,restauraciones,2006-02-01,217,217
CORQUE,consultas odontologicas,restauraciones,2006-02-01,4,4
COTAGAITA,consultas odontologicas,restauraciones,2006-02-01,136,136
COTOCA,consultas odontologicas,restauraciones,2006-02-01,52,52
CUEVO,consultas odontologicas,restauraciones,2006-02-01,14,14
CULPINA,consultas odontologicas,restauraciones,2006-02-01,37,37
CURAHUARA DE CARANGAS,consultas odontologicas,restauraciones,2006-02-01,17,17
CURVA,consultas odontologicas,restauraciones,2006-02-01,1,1
DESAGUADERO,consultas odontologicas,restauraciones,2006-02-01,27,27
EL ALTO,consultas odontologicas,restauraciones,2006-02-01,6444,6444
EL PUENTE(TJA),consultas odontologicas,restauraciones,2006-02-01,15,15
EL TORNO,consultas odontologicas,restauraciones,2006-02-01,81,81
EL VILLAR,consultas odontologicas,restauraciones,2006-02-01,20,20
ENTRE RIOS,consultas odontologicas,restauraciones,2006-02-01,64,64
ENTRE RIOS,consultas odontologicas,restauraciones,2006-02-01,100,100
EUCALIPTUS,consultas odontologicas,restauraciones,2006-02-01,50,50
EXALTACION,consultas odontologicas,restauraciones,2006-02-01,70,70
FERNANDEZ ALONSO,consultas odontologicas,restauraciones,2006-02-01,69,69
GENERAL SAAVEDRA,consultas odontologicas,restauraciones,2006-02-01,96,96
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,restauraciones,2006-02-01,50,50
GUANAY,consultas odontologicas,restauraciones,2006-02-01,59,59
GUAQUI,consultas odontologicas,restauraciones,2006-02-01,39,39
GUAYARAMERIN,consultas odontologicas,restauraciones,2006-02-01,108,108
GUTIERREZ,consultas odontologicas,restauraciones,2006-02-01,20,20
HUACARETA,consultas odontologicas,restauraciones,2006-02-01,50,50
HUACHACALLA,consultas odontologicas,restauraciones,2006-02-01,13,13
HUANUNI,consultas odontologicas,restauraciones,2006-02-01,112,112
HUARACAJE,consultas odontologicas,restauraciones,2006-02-01,26,26
ICLA,consultas odontologicas,restauraciones,2006-02-01,148,148
INCAHUASI,consultas odontologicas,restauraciones,2006-02-01,60,60
INGAVI (HUMAITA),consultas odontologicas,restauraciones,2006-02-01,4,4
INQUISIVI,consultas odontologicas,restauraciones,2006-02-01,19,19
IRUPANA (VILLA DE LANZA),consultas odontologicas,restauraciones,2006-02-01,113,113
IXIAMAS,consultas odontologicas,restauraciones,2006-02-01,51,51
JESUS DE MACHACA,consultas odontologicas,restauraciones,2006-02-01,25,25
LA ASUNTA,consultas odontologicas,restauraciones,2006-02-01,77,77
LA GUARDIA,consultas odontologicas,restauraciones,2006-02-01,280,280
LA PAZ,consultas odontologicas,restauraciones,2006-02-01,9692,9692
LAGUNILLAS,consultas odontologicas,restauraciones,2006-02-01,6,6
LAJA,consultas odontologicas,restauraciones,2006-02-01,23,23
LICOMA PAMPA,consultas odontologicas,restauraciones,2006-02-01,7,7
LLALLAGUA,consultas odontologicas,restauraciones,2006-02-01,156,156
LLICA,consultas odontologicas,restauraciones,2006-02-01,13,13
MACHACAMARCA,consultas odontologicas,restauraciones,2006-02-01,25,25
MACHARETI,consultas odontologicas,restauraciones,2006-02-01,27,27
MAGDALENA,consultas odontologicas,restauraciones,2006-02-01,61,61
MAIRANA,consultas odontologicas,restauraciones,2006-02-01,148,148
MAPIRI,consultas odontologicas,restauraciones,2006-02-01,37,37
MECAPACA,consultas odontologicas,restauraciones,2006-02-01,6,6
MINEROS,consultas odontologicas,restauraciones,2006-02-01,30,30
MIZQUE,consultas odontologicas,restauraciones,2006-02-01,166,166
MOCOMOCO,consultas odontologicas,restauraciones,2006-02-01,4,4
MOJOCOYA,consultas odontologicas,restauraciones,2006-02-01,32,32
MONTEAGUDO,consultas odontologicas,restauraciones,2006-02-01,66,66
MONTERO,consultas odontologicas,restauraciones,2006-02-01,358,358
MOROCHATA,consultas odontologicas,restauraciones,2006-02-01,22,22
NACEBE (SANTA ROSA DEL ABUNA),consultas odontologicas,restauraciones,2006-02-01,19,19
OCURI,consultas odontologicas,restauraciones,2006-02-01,8,8
OKINAWA,consultas odontologicas,restauraciones,2006-02-01,179,179
OMEREQUE,consultas odontologicas,restauraciones,2006-02-01,46,46
ORURO,consultas odontologicas,restauraciones,2006-02-01,1694,1694
PADCAYA,consultas odontologicas,restauraciones,2006-02-01,18,18
PADILLA,consultas odontologicas,restauraciones,2006-02-01,52,52
PALOS BLANCOS,consultas odontologicas,restauraciones,2006-02-01,27,27
PAMPA AULLAGAS,consultas odontologicas,restauraciones,2006-02-01,12,12
PAMPA GRANDE,consultas odontologicas,restauraciones,2006-02-01,6,6
PAPEL PAMPA,consultas odontologicas,restauraciones,2006-02-01,10,10
PASORAPA,consultas odontologicas,restauraciones,2006-02-01,14,14
PATACAMAYA,consultas odontologicas,restauraciones,2006-02-01,11,11
PAZÑA,consultas odontologicas,restauraciones,2006-02-01,37,37
POCOATA,consultas odontologicas,restauraciones,2006-02-01,7,7
POCONA,consultas odontologicas,restauraciones,2006-02-01,30,30
POJO (CBBA),consultas odontologicas,restauraciones,2006-02-01,59,59
POOPO,consultas odontologicas,restauraciones,2006-02-01,47,47
PORCO,consultas odontologicas,restauraciones,2006-02-01,3,3
POROMA,consultas odontologicas,restauraciones,2006-02-01,16,16
PORONGO,consultas odontologicas,restauraciones,2006-02-01,50,50
PORTACHUELO,consultas odontologicas,restauraciones,2006-02-01,129,129
PORVENIR,consultas odontologicas,restauraciones,2006-02-01,24,24
POSTRER VALLE,consultas odontologicas,restauraciones,2006-02-01,20,20
POTOSI,consultas odontologicas,restauraciones,2006-02-01,534,534
PRESTO,consultas odontologicas,restauraciones,2006-02-01,24,24
PUCARA,consultas odontologicas,restauraciones,2006-02-01,22,22
PUCARANI,consultas odontologicas,restauraciones,2006-02-01,92,92
PUERTO ACOSTA,consultas odontologicas,restauraciones,2006-02-01,130,130
PUERTO CARABUCO,consultas odontologicas,restauraciones,2006-02-01,26,26
PUERTO GONZALO MORENO,consultas odontologicas,restauraciones,2006-02-01,6,6
PUERTO PEREZ,consultas odontologicas,restauraciones,2006-02-01,3,3
PUERTO QUIJARRO,consultas odontologicas,restauraciones,2006-02-01,46,46
PUERTO RICO,consultas odontologicas,restauraciones,2006-02-01,25,25
PUERTO SILES,consultas odontologicas,restauraciones,2006-02-01,45,45
PUERTO SUAREZ,consultas odontologicas,restauraciones,2006-02-01,139,139
PUERTO VILLARROEL,consultas odontologicas,restauraciones,2006-02-01,206,206
PUNA,consultas odontologicas,restauraciones,2006-02-01,132,132
PUNATA,consultas odontologicas,restauraciones,2006-02-01,215,215
QUILLACOLLO,consultas odontologicas,restauraciones,2006-02-01,477,477
QUIME,consultas odontologicas,restauraciones,2006-02-01,141,141
QUIRUSILLAS,consultas odontologicas,restauraciones,2006-02-01,15,15
