,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA TUNARI,internaciones,contrareferidos,2024-01-01,39,130,39,130,169
VILLAZON,internaciones,contrareferidos,2024-01-01,1,0,1,0,1
WARNES,internaciones,contrareferidos,2024-01-01,27,137,27,137,164
YACUIBA,internaciones,contrareferidos,2024-01-01,131,266,131,266,397
YAPACANI,internaciones,contrareferidos,2024-01-01,0,4,0,4,4
ACHACACHI,internaciones,contrareferidos,2024-02-01,0,2,0,2,2
AIQUILE,internaciones,contrareferidos,2024-02-01,3,5,3,5,8
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2024-02-01,3,17,3,17,20
BERMEJO,internaciones,contrareferidos,2024-02-01,50,96,50,96,146
CAMARGO,internaciones,contrareferidos,2024-02-01,14,27,14,27,41
CAMIRI,internaciones,contrareferidos,2024-02-01,0,48,0,48,48
CARANAVI,internaciones,contrareferidos,2024-02-01,22,57,22,57,79
CHALLAPATA,internaciones,contrareferidos,2024-02-01,3,14,3,14,17
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2024-02-01,11,12,11,12,23
CLIZA,internaciones,contrareferidos,2024-02-01,1,0,1,0,1
COBIJA,internaciones,contrareferidos,2024-02-01,101,148,101,148,249
COCHABAMBA,internaciones,contrareferidos,2024-02-01,136,796,136,796,932
COROICO,internaciones,contrareferidos,2024-02-01,8,28,8,28,36
COTOCA,internaciones,contrareferidos,2024-02-01,165,82,165,82,247
EL ALTO,internaciones,contrareferidos,2024-02-01,274,977,274,977,1251
ESCOMA,internaciones,contrareferidos,2024-02-01,1,2,1,2,3
GUAYARAMERIN,internaciones,contrareferidos,2024-02-01,29,128,29,128,157
HUACARETA,internaciones,contrareferidos,2024-02-01,1,0,1,0,1
HUANUNI,internaciones,contrareferidos,2024-02-01,5,20,5,20,25
LA GUARDIA,internaciones,contrareferidos,2024-02-01,1,3,1,3,4
LA PAZ,internaciones,contrareferidos,2024-02-01,163,704,163,704,867
MAIRANA,internaciones,contrareferidos,2024-02-01,0,1,0,1,1
MONTEAGUDO,internaciones,contrareferidos,2024-02-01,11,29,11,29,40
MONTERO,internaciones,contrareferidos,2024-02-01,151,352,151,352,503
OCURI,internaciones,contrareferidos,2024-02-01,0,0,0,0,0
ORURO,internaciones,contrareferidos,2024-02-01,76,507,76,507,583
PADILLA,internaciones,contrareferidos,2024-02-01,11,15,11,15,26
PAILON,internaciones,contrareferidos,2024-02-01,2,1,2,1,3
PORTACHUELO,internaciones,contrareferidos,2024-02-01,1,0,1,0,1
POTOSI,internaciones,contrareferidos,2024-02-01,224,420,224,420,644
PUERTO VILLARROEL,internaciones,contrareferidos,2024-02-01,128,243,128,243,371
PUNATA,internaciones,contrareferidos,2024-02-01,90,209,90,209,299
QUILLACOLLO,internaciones,contrareferidos,2024-02-01,0,131,0,131,131
RIBERALTA,internaciones,contrareferidos,2024-02-01,94,312,94,312,406
SACABA,internaciones,contrareferidos,2024-02-01,3,115,3,115,118
SAN BUENA VENTURA,internaciones,contrareferidos,2024-02-01,3,11,3,11,14
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2024-02-01,19,34,19,34,53
SAN JOAQUIN,internaciones,contrareferidos,2024-02-01,1,0,1,0,1
SAN JULIAN,internaciones,contrareferidos,2024-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2024-02-01,488,1749,488,1749,2237
SHINAOTA,internaciones,contrareferidos,2024-02-01,1,0,1,0,1
SUCRE,internaciones,contrareferidos,2024-02-01,382,894,382,894,1276
TARABUCO,internaciones,contrareferidos,2024-02-01,27,35,27,35,62
TARIJA,internaciones,contrareferidos,2024-02-01,61,214,61,214,275
TRINIDAD,internaciones,contrareferidos,2024-02-01,110,343,110,343,453
TUPIZA,internaciones,contrareferidos,2024-02-01,4,1,4,1,5
VALLEGRANDE,internaciones,contrareferidos,2024-02-01,1,2,1,2,3
VIACHA,internaciones,contrareferidos,2024-02-01,0,18,0,18,18
VILLA MONTES,internaciones,contrareferidos,2024-02-01,4,14,4,14,18
VILLA TUNARI,internaciones,contrareferidos,2024-02-01,45,123,45,123,168
VILLAZON,internaciones,contrareferidos,2024-02-01,3,1,3,1,4
VINTO,internaciones,contrareferidos,2024-02-01,3,13,3,13,16
WARNES,internaciones,contrareferidos,2024-02-01,38,108,38,108,146
YACUIBA,internaciones,contrareferidos,2024-02-01,140,249,140,249,389
ACHACACHI,internaciones,contrareferidos,2024-03-01,1,2,1,2,3
AIQUILE,internaciones,contrareferidos,2024-03-01,3,3,3,3,6
ARAMPAMPA,internaciones,contrareferidos,2024-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2024-03-01,9,10,9,10,19
BERMEJO,internaciones,contrareferidos,2024-03-01,77,126,77,126,203
CAMARGO,internaciones,contrareferidos,2024-03-01,16,21,16,21,37
CAMIRI,internaciones,contrareferidos,2024-03-01,0,78,0,78,78
CARANAVI,internaciones,contrareferidos,2024-03-01,8,66,8,66,74
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2024-03-01,0,2,0,2,2
CHALLAPATA,internaciones,contrareferidos,2024-03-01,4,11,4,11,15
CHARAGUA,internaciones,contrareferidos,2024-03-01,1,0,1,0,1
CHIMORE,internaciones,contrareferidos,2024-03-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2024-03-01,8,17,8,17,25
CLIZA,internaciones,contrareferidos,2024-03-01,1,0,1,0,1
COBIJA,internaciones,contrareferidos,2024-03-01,100,159,100,159,259
COCHABAMBA,internaciones,contrareferidos,2024-03-01,263,860,263,860,1123
COLCAPIRHUA,internaciones,contrareferidos,2024-03-01,0,1,0,1,1
COROICO,internaciones,contrareferidos,2024-03-01,18,25,18,25,43
COTOCA,internaciones,contrareferidos,2024-03-01,91,217,91,217,308
CULPINA,internaciones,contrareferidos,2024-03-01,0,1,0,1,1
EL ALTO,internaciones,contrareferidos,2024-03-01,330,972,330,972,1302
ENTRE RIOS TRJ,internaciones,contrareferidos,2024-03-01,2,0,2,0,2
ESCOMA,internaciones,contrareferidos,2024-03-01,0,2,0,2,2
GUAYARAMERIN,internaciones,contrareferidos,2024-03-01,80,170,80,170,250
HUANUNI,internaciones,contrareferidos,2024-03-01,5,34,5,34,39
LA PAZ,internaciones,contrareferidos,2024-03-01,147,829,147,829,976
MAIRANA,internaciones,contrareferidos,2024-03-01,2,2,2,2,4
MONTEAGUDO,internaciones,contrareferidos,2024-03-01,14,29,14,29,43
MONTERO,internaciones,contrareferidos,2024-03-01,130,369,130,369,499
ORURO,internaciones,contrareferidos,2024-03-01,112,509,112,509,621
PADILLA,internaciones,contrareferidos,2024-03-01,16,30,16,30,46
PORTACHUELO,internaciones,contrareferidos,2024-03-01,1,1,1,1,2
POTOSI,internaciones,contrareferidos,2024-03-01,197,425,197,425,622
PUERTO VILLARROEL,internaciones,contrareferidos,2024-03-01,106,226,106,226,332
PUNATA,internaciones,contrareferidos,2024-03-01,101,228,101,228,329
QUILLACOLLO,internaciones,contrareferidos,2024-03-01,0,144,0,144,144
RIBERALTA,internaciones,contrareferidos,2024-03-01,90,94,90,94,184
SACABA,internaciones,contrareferidos,2024-03-01,6,123,6,123,129
SAMAIPATA,internaciones,contrareferidos,2024-03-01,0,1,0,1,1
SAN BUENA VENTURA,internaciones,contrareferidos,2024-03-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2024-03-01,26,34,26,34,60
SAN RAFAEL,internaciones,contrareferidos,2024-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2024-03-01,589,2334,589,2334,2923
SHINAOTA,internaciones,contrareferidos,2024-03-01,1,3,1,3,4
SUCRE,internaciones,contrareferidos,2024-03-01,386,940,386,940,1326
TARABUCO,internaciones,contrareferidos,2024-03-01,25,49,25,49,74
TARIJA,internaciones,contrareferidos,2024-03-01,66,215,66,215,281
TRINIDAD,internaciones,contrareferidos,2024-03-01,121,359,121,359,480
VALLEGRANDE,internaciones,contrareferidos,2024-03-01,2,6,2,6,8
VIACHA,internaciones,contrareferidos,2024-03-01,0,32,0,32,32
VILLA MONTES,internaciones,contrareferidos,2024-03-01,3,16,3,16,19
VILLA TUNARI,internaciones,contrareferidos,2024-03-01,46,147,46,147,193
VILLAZON,internaciones,contrareferidos,2024-03-01,4,6,4,6,10
VINTO,internaciones,contrareferidos,2024-03-01,2,69,2,69,71
YACUIBA,internaciones,contrareferidos,2024-03-01,133,269,133,269,402
ACHACACHI,internaciones,contrareferidos,2024-04-01,4,4,4,4,8
AIQUILE,internaciones,contrareferidos,2024-04-01,4,2,4,2,6
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2024-04-01,3,16,3,16,19
BERMEJO,internaciones,contrareferidos,2024-04-01,66,108,66,108,174
CAMARGO,internaciones,contrareferidos,2024-04-01,11,29,11,29,40
CAMIRI,internaciones,contrareferidos,2024-04-01,1,1,1,1,2
CAPINOTA,internaciones,contrareferidos,2024-04-01,0,1,0,1,1
CARANAVI,internaciones,contrareferidos,2024-04-01,8,59,8,59,67
CARAPARI,internaciones,contrareferidos,2024-04-01,0,1,0,1,1
CHALLAPATA,internaciones,contrareferidos,2024-04-01,0,9,0,9,9
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2024-04-01,6,13,6,13,19
CLIZA,internaciones,contrareferidos,2024-04-01,0,2,0,2,2
COBIJA,internaciones,contrareferidos,2024-04-01,91,157,91,157,248
COCHABAMBA,internaciones,contrareferidos,2024-04-01,263,848,263,848,1111
COLCAPIRHUA,internaciones,contrareferidos,2024-04-01,1,6,1,6,7
COROICO,internaciones,contrareferidos,2024-04-01,12,36,12,36,48
COTOCA,internaciones,contrareferidos,2024-04-01,185,98,185,98,283
EL ALTO,internaciones,contrareferidos,2024-04-01,368,1015,368,1015,1383
ENTRE RIOS TRJ,internaciones,contrareferidos,2024-04-01,1,1,1,1,2
ENTRE RIOS CBBA,internaciones,contrareferidos,2024-04-01,0,1,0,1,1
ESCOMA,internaciones,contrareferidos,2024-04-01,2,2,2,2,4
GUAYARAMERIN,internaciones,contrareferidos,2024-04-01,39,118,39,118,157
HUANUNI,internaciones,contrareferidos,2024-04-01,3,34,3,34,37
LA GUARDIA,internaciones,contrareferidos,2024-04-01,2,1,2,1,3
LA PAZ,internaciones,contrareferidos,2024-04-01,126,765,126,765,891
MAIRANA,internaciones,contrareferidos,2024-04-01,1,3,1,3,4
MIZQUE,internaciones,contrareferidos,2024-04-01,1,0,1,0,1
MONTEAGUDO,internaciones,contrareferidos,2024-04-01,15,24,15,24,39
MONTERO,internaciones,contrareferidos,2024-04-01,167,360,167,360,527
OCURI,internaciones,contrareferidos,2024-04-01,0,0,0,0,0
ORURO,internaciones,contrareferidos,2024-04-01,168,558,168,558,726
PADILLA,internaciones,contrareferidos,2024-04-01,10,11,10,11,21
POTOSI,internaciones,contrareferidos,2024-04-01,226,387,226,387,613
PUERTO VILLARROEL,internaciones,contrareferidos,2024-04-01,102,224,102,224,326
PUNATA,internaciones,contrareferidos,2024-04-01,124,209,124,209,333
QUILLACOLLO,internaciones,contrareferidos,2024-04-01,0,90,0,90,90
RIBERALTA,internaciones,contrareferidos,2024-04-01,94,346,94,346,440
SACABA,internaciones,contrareferidos,2024-04-01,1,117,1,117,118
SACABAMBA,internaciones,contrareferidos,2024-04-01,1,0,1,0,1
SAN BORJA,internaciones,contrareferidos,2024-04-01,6,0,6,0,6
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2024-04-01,28,33,28,33,61
SAN LUCAS,internaciones,contrareferidos,2024-04-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2024-04-01,660,2408,660,2408,3068
SHINAOTA,internaciones,contrareferidos,2024-04-01,3,1,3,1,4
SUCRE,internaciones,contrareferidos,2024-04-01,406,910,406,910,1316
TARABUCO,internaciones,contrareferidos,2024-04-01,33,52,33,52,85
TARIJA,internaciones,contrareferidos,2024-04-01,82,309,82,309,391
TRINIDAD,internaciones,contrareferidos,2024-04-01,140,358,140,358,498
TUPIZA,internaciones,contrareferidos,2024-04-01,19,90,19,90,109
VALLEGRANDE,internaciones,contrareferidos,2024-04-01,3,4,3,4,7
VIACHA,internaciones,contrareferidos,2024-04-01,0,33,0,33,33
VILLA MONTES,internaciones,contrareferidos,2024-04-01,5,17,5,17,22
VILLA TUNARI,internaciones,contrareferidos,2024-04-01,37,149,37,149,186
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2024-04-01,1,0,1,0,1
VILLAZON,internaciones,contrareferidos,2024-04-01,2,2,2,2,4
VINTO,internaciones,contrareferidos,2024-04-01,0,45,0,45,45
WARNES,internaciones,contrareferidos,2024-04-01,26,140,26,140,166
YACUIBA,internaciones,contrareferidos,2024-04-01,135,248,135,248,383
ACHACACHI,internaciones,contrareferidos,2024-05-01,0,2,0,2,2
AIQUILE,internaciones,contrareferidos,2024-05-01,2,6,2,6,8
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2024-05-01,4,8,4,8,12
BERMEJO,internaciones,contrareferidos,2024-05-01,49,108,49,108,157
CAMARGO,internaciones,contrareferidos,2024-05-01,8,21,8,21,29
CARANAVI,internaciones,contrareferidos,2024-05-01,20,58,20,58,78
CHALLAPATA,internaciones,contrareferidos,2024-05-01,3,16,3,16,19
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2024-05-01,8,20,8,20,28
COBIJA,internaciones,contrareferidos,2024-05-01,94,144,94,144,238
COCHABAMBA,internaciones,contrareferidos,2024-05-01,271,831,271,831,1102
COROICO,internaciones,contrareferidos,2024-05-01,16,27,16,27,43
EL ALTO,internaciones,contrareferidos,2024-05-01,424,1050,424,1050,1474
ESCOMA,internaciones,contrareferidos,2024-05-01,1,2,1,2,3
GUAYARAMERIN,internaciones,contrareferidos,2024-05-01,44,124,44,124,168
HUANUNI,internaciones,contrareferidos,2024-05-01,6,45,6,45,51
LA PAZ,internaciones,contrareferidos,2024-05-01,157,827,157,827,984
MACHARETI,internaciones,contrareferidos,2024-05-01,2,0,2,0,2
MONTEAGUDO,internaciones,contrareferidos,2024-05-01,12,30,12,30,42
MONTERO,internaciones,contrareferidos,2024-05-01,143,356,143,356,499
OCURI,internaciones,contrareferidos,2024-05-01,0,0,0,0,0
ORURO,internaciones,contrareferidos,2024-05-01,126,561,126,561,687
PADILLA,internaciones,contrareferidos,2024-05-01,11,18,11,18,29
POROMA,internaciones,contrareferidos,2024-05-01,0,1,0,1,1
POTOSI,internaciones,contrareferidos,2024-05-01,233,425,233,425,658
PUERTO VILLARROEL,internaciones,contrareferidos,2024-05-01,98,222,98,222,320
PUNATA,internaciones,contrareferidos,2024-05-01,124,219,124,219,343
QUILLACOLLO,internaciones,contrareferidos,2024-05-01,0,71,0,71,71
RIBERALTA,internaciones,contrareferidos,2024-05-01,123,329,123,329,452
SACABA,internaciones,contrareferidos,2024-05-01,1,94,1,94,95
SAN BORJA,internaciones,contrareferidos,2024-05-01,1,0,1,0,1
SAN BUENA VENTURA,internaciones,contrareferidos,2024-05-01,10,12,10,12,22
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2024-05-01,20,35,20,35,55
SAN LUCAS,internaciones,contrareferidos,2024-05-01,1,1,1,1,2
SAN PEDRO DE BUENA VISTA,internaciones,contrareferidos,2024-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2024-05-01,638,2276,638,2276,2914
SHINAOTA,internaciones,contrareferidos,2024-05-01,1,0,1,0,1
SUCRE,internaciones,contrareferidos,2024-05-01,448,894,448,894,1342
TARABUCO,internaciones,contrareferidos,2024-05-01,30,42,30,42,72
TARIJA,internaciones,contrareferidos,2024-05-01,111,316,111,316,427
TRINIDAD,internaciones,contrareferidos,2024-05-01,107,376,107,376,483
TUPIZA,internaciones,contrareferidos,2024-05-01,23,69,23,69,92
VALLEGRANDE,internaciones,contrareferidos,2024-05-01,1,5,1,5,6
VIACHA,internaciones,contrareferidos,2024-05-01,1,26,1,26,27
VILLA MONTES,internaciones,contrareferidos,2024-05-01,11,21,11,21,32
VILLA TUNARI,internaciones,contrareferidos,2024-05-01,41,123,41,123,164
VILLAZON,internaciones,contrareferidos,2024-05-01,2,5,2,5,7
VINTO,internaciones,contrareferidos,2024-05-01,1,68,1,68,69
WARNES,internaciones,contrareferidos,2024-05-01,61,253,61,253,314
YACUIBA,internaciones,contrareferidos,2024-05-01,121,239,121,239,360
ACHACACHI,internaciones,contrareferidos,2024-06-01,0,2,0,2,2
AIQUILE,internaciones,contrareferidos,2024-06-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2024-06-01,7,13,7,13,20
BERMEJO,internaciones,contrareferidos,2024-06-01,48,108,48,108,156
CAMARGO,internaciones,contrareferidos,2024-06-01,10,20,10,20,30
CAMIRI,internaciones,contrareferidos,2024-06-01,0,57,0,57,57
CARANAVI,internaciones,contrareferidos,2024-06-01,20,52,20,52,72
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2024-06-01,1,0,1,0,1
CHALLAPATA,internaciones,contrareferidos,2024-06-01,3,7,3,7,10
CHARAGUA,internaciones,contrareferidos,2024-06-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2024-06-01,8,29,8,29,37
COBIJA,internaciones,contrareferidos,2024-06-01,76,175,76,175,251
COCHABAMBA,internaciones,contrareferidos,2024-06-01,256,802,256,802,1058
COROICO,internaciones,contrareferidos,2024-06-01,20,36,20,36,56
COTOCA,internaciones,contrareferidos,2024-06-01,96,169,96,169,265
EL ALTO,internaciones,contrareferidos,2024-06-01,344,900,344,900,1244
ENTRE RIOS TRJ,internaciones,contrareferidos,2024-06-01,0,1,0,1,1
ESCOMA,internaciones,contrareferidos,2024-06-01,0,7,0,7,7
GUAYARAMERIN,internaciones,contrareferidos,2024-06-01,37,90,37,90,127
HUANUNI,internaciones,contrareferidos,2024-06-01,14,22,14,22,36
INCAHUASI,internaciones,contrareferidos,2024-06-01,0,1,0,1,1
LA PAZ,internaciones,contrareferidos,2024-06-01,173,4418,173,4418,4591
MAIRANA,internaciones,contrareferidos,2024-06-01,0,4,0,4,4
MONTEAGUDO,internaciones,contrareferidos,2024-06-01,19,34,19,34,53
MONTERO,internaciones,contrareferidos,2024-06-01,135,329,135,329,464
ORURO,internaciones,contrareferidos,2024-06-01,149,506,149,506,655
PADILLA,internaciones,contrareferidos,2024-06-01,10,23,10,23,33
POROMA,internaciones,contrareferidos,2024-06-01,0,1,0,1,1
POTOSI,internaciones,contrareferidos,2024-06-01,197,391,197,391,588
PUERTO VILLARROEL,internaciones,contrareferidos,2024-06-01,98,220,98,220,318
PUNATA,internaciones,contrareferidos,2024-06-01,110,260,110,260,370
QUILLACOLLO,internaciones,contrareferidos,2024-06-01,0,99,0,99,99
RIBERALTA,internaciones,contrareferidos,2024-06-01,99,309,99,309,408
SACABA,internaciones,contrareferidos,2024-06-01,2,26,2,26,28
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2024-06-01,19,37,19,37,56
SAN JULIAN,internaciones,contrareferidos,2024-06-01,2,0,2,0,2
SAN LUCAS,internaciones,contrareferidos,2024-06-01,4,1,4,1,5
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2024-06-01,658,2205,658,2205,2863
SHINAOTA,internaciones,contrareferidos,2024-06-01,2,3,2,3,5
SUCRE,internaciones,contrareferidos,2024-06-01,407,876,407,876,1283
TARABUCO,internaciones,contrareferidos,2024-06-01,23,46,23,46,69
TARIJA,internaciones,contrareferidos,2024-06-01,116,314,116,314,430
TRINIDAD,internaciones,contrareferidos,2024-06-01,133,148,133,148,281
TUPIZA,internaciones,contrareferidos,2024-06-01,29,78,29,78,107
VALLEGRANDE,internaciones,contrareferidos,2024-06-01,3,4,3,4,7
VIACHA,internaciones,contrareferidos,2024-06-01,1,32,1,32,33
VILLA MONTES,internaciones,contrareferidos,2024-06-01,1,13,1,13,14
VILLA TUNARI,internaciones,contrareferidos,2024-06-01,26,111,26,111,137
VILLAZON,internaciones,contrareferidos,2024-06-01,0,6,0,6,6
VINTO,internaciones,contrareferidos,2024-06-01,5,82,5,82,87
WARNES,internaciones,contrareferidos,2024-06-01,36,162,36,162,198
YACUIBA,internaciones,contrareferidos,2024-06-01,102,210,102,210,312
YAPACANI,internaciones,contrareferidos,2024-06-01,0,1,0,1,1
ACHACACHI,internaciones,contrareferidos,2024-07-01,1,5,1,5,6
AIQUILE,internaciones,contrareferidos,2024-07-01,7,6,7,6,13
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2024-07-01,7,16,7,16,23
BERMEJO,internaciones,contrareferidos,2024-07-01,50,82,50,82,132
CAMARGO,internaciones,contrareferidos,2024-07-01,6,25,6,25,31
CAMIRI,internaciones,contrareferidos,2024-07-01,0,42,0,42,42
CARANAVI,internaciones,contrareferidos,2024-07-01,15,53,15,53,68
CHALLAPATA,internaciones,contrareferidos,2024-07-01,0,11,0,11,11
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2024-07-01,7,14,7,14,21
CLIZA,internaciones,contrareferidos,2024-07-01,0,1,0,1,1
COBIJA,internaciones,contrareferidos,2024-07-01,99,156,99,156,255
COCHABAMBA,internaciones,contrareferidos,2024-07-01,279,863,279,863,1142
COROICO,internaciones,contrareferidos,2024-07-01,19,43,19,43,62
COTOCA,internaciones,contrareferidos,2024-07-01,83,193,83,193,276
EL ALTO,internaciones,contrareferidos,2024-07-01,478,1114,478,1114,1592
ENTRE RIOS TRJ,internaciones,contrareferidos,2024-07-01,1,1,1,1,2
ENTRE RIOS CBBA,internaciones,contrareferidos,2024-07-01,1,0,1,0,1
ESCOMA,internaciones,contrareferidos,2024-07-01,1,2,1,2,3
GUAYARAMERIN,internaciones,contrareferidos,2024-07-01,42,105,42,105,147
HUACARETA,internaciones,contrareferidos,2024-07-01,1,0,1,0,1
HUANUNI,internaciones,contrareferidos,2024-07-01,21,31,21,31,52
LA PAZ,internaciones,contrareferidos,2024-07-01,125,769,125,769,894
LLALLAGUA,internaciones,contrareferidos,2024-07-01,1,0,1,0,1
MAIRANA,internaciones,contrareferidos,2024-07-01,0,8,0,8,8
MONTEAGUDO,internaciones,contrareferidos,2024-07-01,16,25,16,25,41
MONTERO,internaciones,contrareferidos,2024-07-01,215,659,215,659,874
ORURO,internaciones,contrareferidos,2024-07-01,132,561,132,561,693
PADILLA,internaciones,contrareferidos,2024-07-01,12,22,12,22,34
POTOSI,internaciones,contrareferidos,2024-07-01,148,301,148,301,449
PUERTO VILLARROEL,internaciones,contrareferidos,2024-07-01,90,202,90,202,292
PUNATA,internaciones,contrareferidos,2024-07-01,103,251,103,251,354
QUILLACOLLO,internaciones,contrareferidos,2024-07-01,1,94,1,94,95
RIBERALTA,internaciones,contrareferidos,2024-07-01,91,320,91,320,411
ROBORE,internaciones,contrareferidos,2024-07-01,0,4,0,4,4
SACABA,internaciones,contrareferidos,2024-07-01,3,3,3,3,6
SAN BUENA VENTURA,internaciones,contrareferidos,2024-07-01,12,0,12,0,12
SAN IGNACIO,internaciones,contrareferidos,2024-07-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2024-07-01,30,32,30,32,62
SAN JAVIER(BNI),internaciones,contrareferidos,2024-07-01,1,0,1,0,1
