municipality,group,variable,month,Egresos,TOTAL
SANTA ROSA DEL SARA,internaciones,egresos,2009-01-01,64,64
SANTIAGO DE CALLAPA,internaciones,egresos,2009-01-01,1,1
SANTIAGO DE MACHACA,internaciones,egresos,2009-01-01,2,2
SANTIVAÑES,internaciones,egresos,2009-01-01,4,4
SAPAHAQUI,internaciones,egresos,2009-01-01,2,2
SENA,internaciones,egresos,2009-01-01,13,13
SICA SICA (VILLA AROMA),internaciones,egresos,2009-01-01,9,9
SIPE SIPE,internaciones,egresos,2009-01-01,22,22
SOPACHUY,internaciones,egresos,2009-01-01,37,37
SORACACHI,internaciones,egresos,2009-01-01,5,5
SORATA,internaciones,egresos,2009-01-01,36,36
SUCRE,internaciones,egresos,2009-01-01,3341,3341
TACACHI,internaciones,egresos,2009-01-01,2,2
TACACOMA,internaciones,egresos,2009-01-01,4,4
TACOPAYA,internaciones,egresos,2009-01-01,1,1
TAPACARI,internaciones,egresos,2009-01-01,5,5
TARABUCO,internaciones,egresos,2009-01-01,59,59
TARACO,internaciones,egresos,2009-01-01,1,1
TARATA,internaciones,egresos,2009-01-01,11,11
TARIJA,internaciones,egresos,2009-01-01,1670,1670
TARVITA,internaciones,egresos,2009-01-01,28,28
TEOPONTE,internaciones,egresos,2009-01-01,9,9
TIAWANACU,internaciones,egresos,2009-01-01,10,10
TIPUANI,internaciones,egresos,2009-01-01,34,34
TIQUIPAYA,internaciones,egresos,2009-01-01,58,58
TIRAQUE (CBBA),internaciones,egresos,2009-01-01,173,173
TOCO,internaciones,egresos,2009-01-01,2,2
TOLEDO,internaciones,egresos,2009-01-01,8,8
TOMAVE,internaciones,egresos,2009-01-01,9,9
TOMINA,internaciones,egresos,2009-01-01,37,37
TORO TORO,internaciones,egresos,2009-01-01,5,5
TOTORA(CBBA),internaciones,egresos,2009-01-01,15,15
TOTORA(ORR),internaciones,egresos,2009-01-01,2,2
TRIGAL,internaciones,egresos,2009-01-01,3,3
TRINIDAD,internaciones,egresos,2009-01-01,1101,1101
TUPIZA,internaciones,egresos,2009-01-01,216,216
UMALA,internaciones,egresos,2009-01-01,1,1
UNCIA,internaciones,egresos,2009-01-01,175,175
URUBICHA,internaciones,egresos,2009-01-01,33,33
UYUNI,internaciones,egresos,2009-01-01,136,136
VACAS,internaciones,egresos,2009-01-01,9,9
VALLEGRANDE,internaciones,egresos,2009-01-01,149,149
VIACHA,internaciones,egresos,2009-01-01,95,95
VILLA MONTES,internaciones,egresos,2009-01-01,242,242
VILLA RIVERO,internaciones,egresos,2009-01-01,7,7
VILLA SERRANO,internaciones,egresos,2009-01-01,17,17
VILLA TUNARI,internaciones,egresos,2009-01-01,347,347
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,egresos,2009-01-01,13,13
VILLAZON,internaciones,egresos,2009-01-01,182,182
VINTO,internaciones,egresos,2009-01-01,158,158
VITICHI,internaciones,egresos,2009-01-01,5,5
WARNES,internaciones,egresos,2009-01-01,175,175
YACO,internaciones,egresos,2009-01-01,1,1
YACUIBA,internaciones,egresos,2009-01-01,948,948
YAMPARAEZ,internaciones,egresos,2009-01-01,11,11
YANACACHI,internaciones,egresos,2009-01-01,4,4
YAPACANI,internaciones,egresos,2009-01-01,459,459
YOTALA,internaciones,egresos,2009-01-01,27,27
ZUDAÑEZ,internaciones,egresos,2009-01-01,27,27
ACACIO,internaciones,egresos,2009-02-01,3,3
ACHACACHI,internaciones,egresos,2009-02-01,35,35
ACHOCALLA,internaciones,egresos,2009-02-01,5,5
AIQUILE,internaciones,egresos,2009-02-01,109,109
ALALAY,internaciones,egresos,2009-02-01,2,2
ALCALA,internaciones,egresos,2009-02-01,3,3
ANCORAIMES,internaciones,egresos,2009-02-01,8,8
ANTEQUERA,internaciones,egresos,2009-02-01,1,1
ANZALDO,internaciones,egresos,2009-02-01,4,4
APOLO,internaciones,egresos,2009-02-01,36,36
ARANI,internaciones,egresos,2009-02-01,23,23
ARBIETO,internaciones,egresos,2009-02-01,2,2
ARQUE,internaciones,egresos,2009-02-01,4,4
ASCENCION DE GUARAYOS,internaciones,egresos,2009-02-01,313,313
ATOCHA,internaciones,egresos,2009-02-01,30,30
AYATA,internaciones,egresos,2009-02-01,1,1
AYO AYO,internaciones,egresos,2009-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2009-02-01,43,43
BATALLAS,internaciones,egresos,2009-02-01,20,20
BAURES,internaciones,egresos,2009-02-01,20,20
BERMEJO,internaciones,egresos,2009-02-01,275,275
BETANZOS,internaciones,egresos,2009-02-01,38,38
BOYUIBE,internaciones,egresos,2009-02-01,57,57
BUENA VISTA,internaciones,egresos,2009-02-01,60,60
CABEZAS,internaciones,egresos,2009-02-01,109,109
CAJUATA,internaciones,egresos,2009-02-01,22,22
CALAMARCA,internaciones,egresos,2009-02-01,4,4
CAMARGO,internaciones,egresos,2009-02-01,110,110
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2009-02-01,4,4
CAMIRI,internaciones,egresos,2009-02-01,611,611
CAPINOTA,internaciones,egresos,2009-02-01,46,46
CAQUIAVIRI,internaciones,egresos,2009-02-01,2,2
CARACOLLO,internaciones,egresos,2009-02-01,38,38
CARANAVI,internaciones,egresos,2009-02-01,215,215
CARMEN RIVERO TORREZ,internaciones,egresos,2009-02-01,14,14
CHALLAPATA,internaciones,egresos,2009-02-01,96,96
CHAQUI,internaciones,egresos,2009-02-01,1,1
CHARAGUA,internaciones,egresos,2009-02-01,158,158
CHIMORE,internaciones,egresos,2009-02-01,30,30
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2009-02-01,67,67
CHUMA,internaciones,egresos,2009-02-01,2,2
CLIZA,internaciones,egresos,2009-02-01,48,48
COBIJA,internaciones,egresos,2009-02-01,416,416
COCHABAMBA,internaciones,egresos,2009-02-01,6491,6491
COLCAPIRHUA,internaciones,egresos,2009-02-01,120,120
"COLCHA ""K""",internaciones,egresos,2009-02-01,1,1
COLOMI,internaciones,egresos,2009-02-01,17,17
COLPA BELGICA,internaciones,egresos,2009-02-01,20,20
COLQUECHACA,internaciones,egresos,2009-02-01,4,4
COLQUENCHA,internaciones,egresos,2009-02-01,3,3
COLQUIRI,internaciones,egresos,2009-02-01,20,20
COMARAPA,internaciones,egresos,2009-02-01,106,106
COMBAYA,internaciones,egresos,2009-02-01,1,1
CONCEPCION,internaciones,egresos,2009-02-01,69,69
COPACABANA,internaciones,egresos,2009-02-01,12,12
CORIPATA,internaciones,egresos,2009-02-01,13,13
CORO CORO,internaciones,egresos,2009-02-01,1,1
COROICO,internaciones,egresos,2009-02-01,94,94
COTAGAITA,internaciones,egresos,2009-02-01,27,27
COTOCA,internaciones,egresos,2009-02-01,78,78
CUATRO CAÑADAS,internaciones,egresos,2009-02-01,98,98
CUCHUMUELA (V. G. VILLARROEL),internaciones,egresos,2009-02-01,1,1
CUEVO,internaciones,egresos,2009-02-01,9,9
CULPINA,internaciones,egresos,2009-02-01,46,46
CURAHUARA DE CARANGAS,internaciones,egresos,2009-02-01,20,20
DESAGUADERO,internaciones,egresos,2009-02-01,5,5
EL ALTO,internaciones,egresos,2009-02-01,2523,2523
EL PUENTE(STC),internaciones,egresos,2009-02-01,32,32
EL TORNO,internaciones,egresos,2009-02-01,199,199
EL VILLAR,internaciones,egresos,2009-02-01,8,8
ENTRE RIOS,internaciones,egresos,2009-02-01,21,21
ENTRE RIOS,internaciones,egresos,2009-02-01,31,31
EUCALIPTUS,internaciones,egresos,2009-02-01,9,9
EXALTACION,internaciones,egresos,2009-02-01,5,5
FERNANDEZ ALONSO,internaciones,egresos,2009-02-01,98,98
FILADELFIA,internaciones,egresos,2009-02-01,10,10
GENERAL SAAVEDRA,internaciones,egresos,2009-02-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2009-02-01,3,3
GUANAY,internaciones,egresos,2009-02-01,33,33
GUAQUI,internaciones,egresos,2009-02-01,3,3
GUAYARAMERIN,internaciones,egresos,2009-02-01,639,639
GUTIERREZ,internaciones,egresos,2009-02-01,24,24
HUACARETA,internaciones,egresos,2009-02-01,20,20
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2009-02-01,1,1
HUACHACALLA,internaciones,egresos,2009-02-01,8,8
HUANUNI,internaciones,egresos,2009-02-01,25,25
HUARACAJE,internaciones,egresos,2009-02-01,15,15
ICHOCA,internaciones,egresos,2009-02-01,1,1
INCAHUASI,internaciones,egresos,2009-02-01,22,22
INQUISIVI,internaciones,egresos,2009-02-01,5,5
IRUPANA (VILLA DE LANZA),internaciones,egresos,2009-02-01,24,24
IXIAMAS,internaciones,egresos,2009-02-01,23,23
JESUS DE MACHACA,internaciones,egresos,2009-02-01,1,1
LA ASUNTA,internaciones,egresos,2009-02-01,48,48
LA GUARDIA,internaciones,egresos,2009-02-01,310,310
LA PAZ,internaciones,egresos,2009-02-01,6794,6794
LAGUNILLAS,internaciones,egresos,2009-02-01,15,15
LAJA,internaciones,egresos,2009-02-01,3,3
LICOMA PAMPA,internaciones,egresos,2009-02-01,1,1
LLALLAGUA,internaciones,egresos,2009-02-01,178,178
LLICA,internaciones,egresos,2009-02-01,3,3
LURIBAY,internaciones,egresos,2009-02-01,5,5
MACHARETI,internaciones,egresos,2009-02-01,19,19
MAGDALENA,internaciones,egresos,2009-02-01,65,65
MAIRANA,internaciones,egresos,2009-02-01,63,63
MAPIRI,internaciones,egresos,2009-02-01,33,33
MECAPACA,internaciones,egresos,2009-02-01,4,4
MINEROS,internaciones,egresos,2009-02-01,26,26
MIZQUE,internaciones,egresos,2009-02-01,50,50
MOJOCOYA,internaciones,egresos,2009-02-01,7,7
MONTEAGUDO,internaciones,egresos,2009-02-01,173,173
MONTERO,internaciones,egresos,2009-02-01,603,603
MORO MORO,internaciones,egresos,2009-02-01,1,1
MOROCHATA,internaciones,egresos,2009-02-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),internaciones,egresos,2009-02-01,5,5
OCURI,internaciones,egresos,2009-02-01,14,14
OKINAWA,internaciones,egresos,2009-02-01,21,21
OMEREQUE,internaciones,egresos,2009-02-01,16,16
ORURO,internaciones,egresos,2009-02-01,2175,2175
PADILLA,internaciones,egresos,2009-02-01,76,76
PAILON,internaciones,egresos,2009-02-01,117,117
PALOS BLANCOS,internaciones,egresos,2009-02-01,116,116
PAMPA GRANDE,internaciones,egresos,2009-02-01,18,18
PASORAPA,internaciones,egresos,2009-02-01,12,12
PATACAMAYA,internaciones,egresos,2009-02-01,39,39
POCOATA,internaciones,egresos,2009-02-01,7,7
POCONA,internaciones,egresos,2009-02-01,12,12
POJO (CBBA),internaciones,egresos,2009-02-01,17,17
POOPO,internaciones,egresos,2009-02-01,5,5
PORCO,internaciones,egresos,2009-02-01,3,3
POROMA,internaciones,egresos,2009-02-01,4,4
PORONGO,internaciones,egresos,2009-02-01,29,29
PORTACHUELO,internaciones,egresos,2009-02-01,251,251
PORVENIR,internaciones,egresos,2009-02-01,2,2
POSTRER VALLE,internaciones,egresos,2009-02-01,6,6
POTOSI,internaciones,egresos,2009-02-01,1703,1703
PRESTO,internaciones,egresos,2009-02-01,5,5
PUCARA,internaciones,egresos,2009-02-01,1,1
PUCARANI,internaciones,egresos,2009-02-01,13,13
PUERTO ACOSTA,internaciones,egresos,2009-02-01,54,54
PUERTO GONZALO MORENO,internaciones,egresos,2009-02-01,3,3
PUERTO QUIJARRO,internaciones,egresos,2009-02-01,151,151
PUERTO RICO,internaciones,egresos,2009-02-01,18,18
PUERTO SILES,internaciones,egresos,2009-02-01,4,4
PUERTO SUAREZ,internaciones,egresos,2009-02-01,140,140
PUERTO VILLARROEL,internaciones,egresos,2009-02-01,200,200
PUNA,internaciones,egresos,2009-02-01,29,29
PUNATA,internaciones,egresos,2009-02-01,197,197
QUILLACOLLO,internaciones,egresos,2009-02-01,239,239
QUIME,internaciones,egresos,2009-02-01,7,7
QUIRUSILLAS,internaciones,egresos,2009-02-01,1,1
RAVELO,internaciones,egresos,2009-02-01,2,2
REYES,internaciones,egresos,2009-02-01,38,38
RIBERALTA,internaciones,egresos,2009-02-01,698,698
ROBORE,internaciones,egresos,2009-02-01,141,141
RURRENABAQUE,internaciones,egresos,2009-02-01,100,100
SACABA,internaciones,egresos,2009-02-01,398,398
SACABAMBA,internaciones,egresos,2009-02-01,17,17
SACACA,internaciones,egresos,2009-02-01,17,17
SAIPINA,internaciones,egresos,2009-02-01,23,23
SAMAIPATA,internaciones,egresos,2009-02-01,22,22
SAN AGUSTIN,internaciones,egresos,2009-02-01,3,3
SAN ANDRES,internaciones,egresos,2009-02-01,4,4
SAN ANDRES DE MACHACA,internaciones,egresos,2009-02-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,egresos,2009-02-01,22,22
SAN BENITO,internaciones,egresos,2009-02-01,7,7
SAN BORJA,internaciones,egresos,2009-02-01,157,157
SAN BUENA VENTURA,internaciones,egresos,2009-02-01,51,51
SAN CARLOS,internaciones,egresos,2009-02-01,143,143
SAN IGNACIO,internaciones,egresos,2009-02-01,67,67
SAN IGNACIO DE VELASCO,internaciones,egresos,2009-02-01,522,522
SAN JAVIER(STC),internaciones,egresos,2009-02-01,97,97
SAN JOAQUIN,internaciones,egresos,2009-02-01,46,46
SAN JOSE DE CHIQUITOS,internaciones,egresos,2009-02-01,154,154
SAN JUAN DE YAPACANI,internaciones,egresos,2009-02-01,135,135
SAN JULIAN,internaciones,egresos,2009-02-01,187,187
SAN LORENZO(PND),internaciones,egresos,2009-02-01,21,21
SAN LORENZO(TJA),internaciones,egresos,2009-02-01,15,15
SAN LUCAS,internaciones,egresos,2009-02-01,51,51
SAN MATIAS,internaciones,egresos,2009-02-01,114,114
SAN MIGUEL DE VELASCO,internaciones,egresos,2009-02-01,90,90
SAN PEDRO,internaciones,egresos,2009-02-01,46,46
SAN PEDRO DE BUENA VISTA,internaciones,egresos,2009-02-01,4,4
SAN PEDRO DE TIQUINA,internaciones,egresos,2009-02-01,1,1
SAN RAFAEL,internaciones,egresos,2009-02-01,41,41
SAN RAMON,internaciones,egresos,2009-02-01,28,28
SAN RAMON,internaciones,egresos,2009-02-01,46,46
SANTA ANA,internaciones,egresos,2009-02-01,103,103
SANTA CRUZ DE LA SIERRA,internaciones,egresos,2009-02-01,10015,10015
SANTA ROSA,internaciones,egresos,2009-02-01,62,62
SANTA ROSA DEL SARA,internaciones,egresos,2009-02-01,66,66
SANTIAGO DE CALLAPA,internaciones,egresos,2009-02-01,2,2
SANTIAGO DE MACHACA,internaciones,egresos,2009-02-01,2,2
SANTIVAÑES,internaciones,egresos,2009-02-01,2,2
SAPAHAQUI,internaciones,egresos,2009-02-01,1,1
SENA,internaciones,egresos,2009-02-01,21,21
SICA SICA (VILLA AROMA),internaciones,egresos,2009-02-01,13,13
SIPE SIPE,internaciones,egresos,2009-02-01,24,24
SOPACHUY,internaciones,egresos,2009-02-01,35,35
SORACACHI,internaciones,egresos,2009-02-01,1,1
SORATA,internaciones,egresos,2009-02-01,32,32
SUCRE,internaciones,egresos,2009-02-01,3081,3081
TACACOMA,internaciones,egresos,2009-02-01,7,7
TACOPAYA,internaciones,egresos,2009-02-01,1,1
TAPACARI,internaciones,egresos,2009-02-01,12,12
TARABUCO,internaciones,egresos,2009-02-01,60,60
TARATA,internaciones,egresos,2009-02-01,13,13
TARIJA,internaciones,egresos,2009-02-01,1461,1461
TARVITA,internaciones,egresos,2009-02-01,42,42
TEOPONTE,internaciones,egresos,2009-02-01,4,4
TIAWANACU,internaciones,egresos,2009-02-01,4,4
TIPUANI,internaciones,egresos,2009-02-01,26,26
TIQUIPAYA,internaciones,egresos,2009-02-01,79,79
TIRAQUE (CBBA),internaciones,egresos,2009-02-01,174,174
TOCO,internaciones,egresos,2009-02-01,1,1
TOLATA,internaciones,egresos,2009-02-01,2,2
TOLEDO,internaciones,egresos,2009-02-01,12,12
TOMAVE,internaciones,egresos,2009-02-01,7,7
TOMINA,internaciones,egresos,2009-02-01,18,18
TOTORA(CBBA),internaciones,egresos,2009-02-01,51,51
TOTORA(ORR),internaciones,egresos,2009-02-01,2,2
TRIGAL,internaciones,egresos,2009-02-01,2,2
TRINIDAD,internaciones,egresos,2009-02-01,1060,1060
TUPIZA,internaciones,egresos,2009-02-01,182,182
UMALA,internaciones,egresos,2009-02-01,1,1
UNCIA,internaciones,egresos,2009-02-01,162,162
URUBICHA,internaciones,egresos,2009-02-01,30,30
UYUNI,internaciones,egresos,2009-02-01,133,133
VACAS,internaciones,egresos,2009-02-01,12,12
VALLEGRANDE,internaciones,egresos,2009-02-01,164,164
VIACHA,internaciones,egresos,2009-02-01,85,85
