municipality,group,variable,month,0 Contrareferidos,TOTAL
POTOSI,internaciones,contrareferidos,2009-07-01,31,31
PUERTO RICO,internaciones,contrareferidos,2009-07-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2009-07-01,6,6
PUERTO VILLARROEL,internaciones,contrareferidos,2009-07-01,8,8
PUNATA,internaciones,contrareferidos,2009-07-01,15,15
RIBERALTA,internaciones,contrareferidos,2009-07-01,71,71
RURRENABAQUE,internaciones,contrareferidos,2009-07-01,2,2
SAN BORJA,internaciones,contrareferidos,2009-07-01,4,4
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-07-01,15,15
SAN LORENZO(PND),internaciones,contrareferidos,2009-07-01,1,1
SAN PEDRO,internaciones,contrareferidos,2009-07-01,4,4
SAN RAFAEL,internaciones,contrareferidos,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-07-01,161,161
SUCRE,internaciones,contrareferidos,2009-07-01,8,8
TACACOMA,internaciones,contrareferidos,2009-07-01,1,1
TAPACARI,internaciones,contrareferidos,2009-07-01,1,1
TARABUCO,internaciones,contrareferidos,2009-07-01,6,6
TARIJA,internaciones,contrareferidos,2009-07-01,5642,5642
TARVITA,internaciones,contrareferidos,2009-07-01,1,1
TOLEDO,internaciones,contrareferidos,2009-07-01,1,1
TORO TORO,internaciones,contrareferidos,2009-07-01,1,1
TUPIZA,internaciones,contrareferidos,2009-07-01,37,37
UNCIA,internaciones,contrareferidos,2009-07-01,5,5
VIACHA,internaciones,contrareferidos,2009-07-01,7,7
VILLA SERRANO,internaciones,contrareferidos,2009-07-01,2,2
VILLA TUNARI,internaciones,contrareferidos,2009-07-01,1,1
VILLAZON,internaciones,contrareferidos,2009-07-01,42,42
YAPACANI,internaciones,contrareferidos,2009-07-01,3,3
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-08-01,5,5
BERMEJO,internaciones,contrareferidos,2009-08-01,3,3
BUENA VISTA,internaciones,contrareferidos,2009-08-01,2,2
CAIROMA,internaciones,contrareferidos,2009-08-01,2,2
CARANAVI,internaciones,contrareferidos,2009-08-01,1,1
COBIJA,internaciones,contrareferidos,2009-08-01,26,26
COCHABAMBA,internaciones,contrareferidos,2009-08-01,8,8
COMARAPA,internaciones,contrareferidos,2009-08-01,11,11
CONCEPCION,internaciones,contrareferidos,2009-08-01,1,1
COROICO,internaciones,contrareferidos,2009-08-01,14,14
COTOCA,internaciones,contrareferidos,2009-08-01,17,17
EL ALTO,internaciones,contrareferidos,2009-08-01,81,81
EL TORNO,internaciones,contrareferidos,2009-08-01,2,2
ENTRE RIOS,internaciones,contrareferidos,2009-08-01,1,1
GUAYARAMERIN,internaciones,contrareferidos,2009-08-01,11,11
GUTIERREZ,internaciones,contrareferidos,2009-08-01,1,1
JESUS DE MACHACA,internaciones,contrareferidos,2009-08-01,1,1
LA ASUNTA,internaciones,contrareferidos,2009-08-01,4,4
LA GUARDIA,internaciones,contrareferidos,2009-08-01,1,1
LA PAZ,internaciones,contrareferidos,2009-08-01,5484,5484
MACHARETI,internaciones,contrareferidos,2009-08-01,2,2
MONTEAGUDO,internaciones,contrareferidos,2009-08-01,4,4
OCURI,internaciones,contrareferidos,2009-08-01,1,1
ORURO,internaciones,contrareferidos,2009-08-01,43,43
PATACAMAYA,internaciones,contrareferidos,2009-08-01,4,4
POJO (CBBA),internaciones,contrareferidos,2009-08-01,1,1
PORTACHUELO,internaciones,contrareferidos,2009-08-01,1,1
POTOSI,internaciones,contrareferidos,2009-08-01,40,40
PUERTO RICO,internaciones,contrareferidos,2009-08-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2009-08-01,8,8
PUERTO VILLARROEL,internaciones,contrareferidos,2009-08-01,1,1
RIBERALTA,internaciones,contrareferidos,2009-08-01,54,54
ROBORE,internaciones,contrareferidos,2009-08-01,2,2
RURRENABAQUE,internaciones,contrareferidos,2009-08-01,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-08-01,10,10
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2009-08-01,126,126
SIPE SIPE,internaciones,contrareferidos,2009-08-01,1,1
SOPACHUY,internaciones,contrareferidos,2009-08-01,1,1
SORATA,internaciones,contrareferidos,2009-08-01,1,1
SUCRE,internaciones,contrareferidos,2009-08-01,15,15
TACOPAYA,internaciones,contrareferidos,2009-08-01,1,1
TARABUCO,internaciones,contrareferidos,2009-08-01,6,6
TARVITA,internaciones,contrareferidos,2009-08-01,1,1
TOLEDO,internaciones,contrareferidos,2009-08-01,1,1
UNCIA,internaciones,contrareferidos,2009-08-01,2,2
VIACHA,internaciones,contrareferidos,2009-08-01,10,10
VILLA TUNARI,internaciones,contrareferidos,2009-08-01,19,19
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2009-08-01,1,1
VILLAZON,internaciones,contrareferidos,2009-08-01,40,40
WARNES,internaciones,contrareferidos,2009-08-01,1,1
YACUIBA,internaciones,contrareferidos,2009-08-01,2,2
YAMPARAEZ,internaciones,contrareferidos,2009-08-01,2,2
YAPACANI,internaciones,contrareferidos,2009-08-01,2,2
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2009-09-01,4,4
CAIROMA,internaciones,contrareferidos,2009-09-01,2,2
CAMARGO,internaciones,contrareferidos,2009-09-01,4,4
CAPINOTA,internaciones,contrareferidos,2009-09-01,3,3
CARANAVI,internaciones,contrareferidos,2009-09-01,1,1
COBIJA,internaciones,contrareferidos,2009-09-01,28,28
COCHABAMBA,internaciones,contrareferidos,2009-09-01,7,7
COLOMI,internaciones,contrareferidos,2009-09-01,1,1
CONCEPCION,internaciones,contrareferidos,2009-09-01,2,2
COROICO,internaciones,contrareferidos,2009-09-01,18,18
COTOCA,internaciones,contrareferidos,2009-09-01,5,5
EL ALTO,internaciones,contrareferidos,2009-09-01,131,131
GUAYARAMERIN,internaciones,contrareferidos,2009-09-01,8,8
LA ASUNTA,internaciones,contrareferidos,2009-09-01,3,3
LA PAZ,internaciones,contrareferidos,2009-09-01,175,175
MACHARETI,internaciones,contrareferidos,2009-09-01,5,5
MONTEAGUDO,internaciones,contrareferidos,2009-09-01,4,4
MORO MORO,internaciones,contrareferidos,2009-09-01,1,1
OCURI,internaciones,contrareferidos,2009-09-01,6,6
ORURO,internaciones,contrareferidos,2009-09-01,44,44
PADILLA,internaciones,contrareferidos,2009-09-01,9,9
PATACAMAYA,internaciones,contrareferidos,2009-09-01,2,2
PORONGO,internaciones,contrareferidos,2009-09-01,2,2
POTOSI,internaciones,contrareferidos,2009-09-01,35,35
PUERTO QUIJARRO,internaciones,contrareferidos,2009-09-01,2,2
PUERTO SUAREZ,internaciones,contrareferidos,2009-09-01,3,3
PUERTO VILLARROEL,internaciones,contrareferidos,2009-09-01,1,1
PUNATA,internaciones,contrareferidos,2009-09-01,3,3
RIBERALTA,internaciones,contrareferidos,2009-09-01,105,105
SACABAMBA,internaciones,contrareferidos,2009-09-01,30,30
SAIPINA,internaciones,contrareferidos,2009-09-01,1,1
SAN BUENA VENTURA,internaciones,contrareferidos,2009-09-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2009-09-01,5,5
SAN LUCAS,internaciones,contrareferidos,2009-09-01,2,2
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2009-09-01,2,2
SAN RAFAEL,internaciones,contrareferidos,2009-09-01,1,1
