municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas maternidad,2009-01-01,3,3
CAMIRI,internaciones,dias camas ocupadas maternidad,2009-01-01,263,263
CAPINOTA,internaciones,dias camas ocupadas maternidad,2009-01-01,40,40
CARACOLLO,internaciones,dias camas ocupadas maternidad,2009-01-01,27,27
CARANAVI,internaciones,dias camas ocupadas maternidad,2009-01-01,157,157
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas maternidad,2009-01-01,13,13
CHALLAPATA,internaciones,dias camas ocupadas maternidad,2009-01-01,115,115
CHARAGUA,internaciones,dias camas ocupadas maternidad,2009-01-01,105,105
CHAYANTA,internaciones,dias camas ocupadas maternidad,2009-01-01,34,34
CHIMORE,internaciones,dias camas ocupadas maternidad,2009-01-01,26,26
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas maternidad,2009-01-01,24,24
CHUMA,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
CLIZA,internaciones,dias camas ocupadas maternidad,2009-01-01,40,40
COBIJA,internaciones,dias camas ocupadas maternidad,2009-01-01,833,833
COCHABAMBA,internaciones,dias camas ocupadas maternidad,2009-01-01,5136,5136
COLCAPIRHUA,internaciones,dias camas ocupadas maternidad,2009-01-01,93,93
"COLCHA ""K""",internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
COLLANA,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
COLOMI,internaciones,dias camas ocupadas maternidad,2009-01-01,41,41
COLPA BELGICA,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
COLQUECHACA,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
COLQUIRI,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
COMARAPA,internaciones,dias camas ocupadas maternidad,2009-01-01,83,83
CONCEPCION,internaciones,dias camas ocupadas maternidad,2009-01-01,104,104
COPACABANA,internaciones,dias camas ocupadas maternidad,2009-01-01,13,13
CORIPATA,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
CORO CORO,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
COROICO,internaciones,dias camas ocupadas maternidad,2009-01-01,60,60
COTAGAITA,internaciones,dias camas ocupadas maternidad,2009-01-01,11,11
COTOCA,internaciones,dias camas ocupadas maternidad,2009-01-01,86,86
CUATRO CAÑADAS,internaciones,dias camas ocupadas maternidad,2009-01-01,15,15
CUCHUMUELA (V. G. VILLARROEL),internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
CUEVO,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
CULPINA,internaciones,dias camas ocupadas maternidad,2009-01-01,112,112
CURAHUARA DE CARANGAS,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
DESAGUADERO,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
EL ALTO,internaciones,dias camas ocupadas maternidad,2009-01-01,2928,2928
EL PUENTE(STC),internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
EL TORNO,internaciones,dias camas ocupadas maternidad,2009-01-01,144,144
EL VILLAR,internaciones,dias camas ocupadas maternidad,2009-01-01,34,34
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2009-01-01,30,30
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2009-01-01,26,26
EUCALIPTUS,internaciones,dias camas ocupadas maternidad,2009-01-01,8,8
EXALTACION,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
FERNANDEZ ALONSO,internaciones,dias camas ocupadas maternidad,2009-01-01,235,235
FILADELFIA,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
GENERAL SAAVEDRA,internaciones,dias camas ocupadas maternidad,2009-01-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
GUANAY,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
GUAQUI,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
GUAYARAMERIN,internaciones,dias camas ocupadas maternidad,2009-01-01,414,414
GUTIERREZ,internaciones,dias camas ocupadas maternidad,2009-01-01,15,15
HUACARETA,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
HUACHACALLA,internaciones,dias camas ocupadas maternidad,2009-01-01,9,9
HUANUNI,internaciones,dias camas ocupadas maternidad,2009-01-01,32,32
HUARACAJE,internaciones,dias camas ocupadas maternidad,2009-01-01,12,12
ICLA,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
INCAHUASI,internaciones,dias camas ocupadas maternidad,2009-01-01,32,32
INQUISIVI,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
IRUPANA (VILLA DE LANZA),internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
IXIAMAS,internaciones,dias camas ocupadas maternidad,2009-01-01,8,8
JESUS DE MACHACA,internaciones,dias camas ocupadas maternidad,2009-01-01,10,10
LA ASUNTA,internaciones,dias camas ocupadas maternidad,2009-01-01,31,31
LA GUARDIA,internaciones,dias camas ocupadas maternidad,2009-01-01,66,66
LA PAZ,internaciones,dias camas ocupadas maternidad,2009-01-01,5525,5525
LAGUNILLAS,internaciones,dias camas ocupadas maternidad,2009-01-01,7,7
LAJA,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
LAS CARRERAS,internaciones,dias camas ocupadas maternidad,2009-01-01,7,7
LICOMA PAMPA,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
LLALLAGUA,internaciones,dias camas ocupadas maternidad,2009-01-01,195,195
LLICA,internaciones,dias camas ocupadas maternidad,2009-01-01,10,10
LURIBAY,internaciones,dias camas ocupadas maternidad,2009-01-01,12,12
MACHACAMARCA,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
MACHARETI,internaciones,dias camas ocupadas maternidad,2009-01-01,20,20
MAGDALENA,internaciones,dias camas ocupadas maternidad,2009-01-01,81,81
MAIRANA,internaciones,dias camas ocupadas maternidad,2009-01-01,56,56
MAPIRI,internaciones,dias camas ocupadas maternidad,2009-01-01,21,21
MECAPACA,internaciones,dias camas ocupadas maternidad,2009-01-01,3,3
MINEROS,internaciones,dias camas ocupadas maternidad,2009-01-01,36,36
MIZQUE,internaciones,dias camas ocupadas maternidad,2009-01-01,76,76
MOCOMOCO,internaciones,dias camas ocupadas maternidad,2009-01-01,3,3
MOJOCOYA,internaciones,dias camas ocupadas maternidad,2009-01-01,10,10
MONTEAGUDO,internaciones,dias camas ocupadas maternidad,2009-01-01,105,105
MONTERO,internaciones,dias camas ocupadas maternidad,2009-01-01,561,561
MORO MORO,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
MOROCHATA,internaciones,dias camas ocupadas maternidad,2009-01-01,11,11
OCURI,internaciones,dias camas ocupadas maternidad,2009-01-01,17,17
OKINAWA,internaciones,dias camas ocupadas maternidad,2009-01-01,26,26
OMEREQUE,internaciones,dias camas ocupadas maternidad,2009-01-01,15,15
ORURO,internaciones,dias camas ocupadas maternidad,2009-01-01,1733,1733
PADILLA,internaciones,dias camas ocupadas maternidad,2009-01-01,81,81
PAILON,internaciones,dias camas ocupadas maternidad,2009-01-01,28,28
PALOS BLANCOS,internaciones,dias camas ocupadas maternidad,2009-01-01,43,43
PAMPA AULLAGAS,internaciones,dias camas ocupadas maternidad,2009-01-01,1,1
PAMPA GRANDE,internaciones,dias camas ocupadas maternidad,2009-01-01,11,11
PASORAPA,internaciones,dias camas ocupadas maternidad,2009-01-01,1,1
PATACAMAYA,internaciones,dias camas ocupadas maternidad,2009-01-01,79,79
PAZÑA,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
POCOATA,internaciones,dias camas ocupadas maternidad,2009-01-01,9,9
POCONA,internaciones,dias camas ocupadas maternidad,2009-01-01,29,29
POJO (CBBA),internaciones,dias camas ocupadas maternidad,2009-01-01,36,36
PORCO,internaciones,dias camas ocupadas maternidad,2009-01-01,8,8
POROMA,internaciones,dias camas ocupadas maternidad,2009-01-01,32,32
PORONGO,internaciones,dias camas ocupadas maternidad,2009-01-01,17,17
PORTACHUELO,internaciones,dias camas ocupadas maternidad,2009-01-01,97,97
PORVENIR,internaciones,dias camas ocupadas maternidad,2009-01-01,5,5
POTOSI,internaciones,dias camas ocupadas maternidad,2009-01-01,1019,1019
PRESTO,internaciones,dias camas ocupadas maternidad,2009-01-01,5,5
PUCARA,internaciones,dias camas ocupadas maternidad,2009-01-01,1,1
PUCARANI,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
PUERTO ACOSTA,internaciones,dias camas ocupadas maternidad,2009-01-01,34,34
PUERTO CARABUCO,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
PUERTO PEREZ,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
PUERTO QUIJARRO,internaciones,dias camas ocupadas maternidad,2009-01-01,34,34
PUERTO RICO,internaciones,dias camas ocupadas maternidad,2009-01-01,3,3
PUERTO SUAREZ,internaciones,dias camas ocupadas maternidad,2009-01-01,42,42
PUERTO VILLARROEL,internaciones,dias camas ocupadas maternidad,2009-01-01,162,162
PUNA,internaciones,dias camas ocupadas maternidad,2009-01-01,45,45
PUNATA,internaciones,dias camas ocupadas maternidad,2009-01-01,224,224
QUILLACOLLO,internaciones,dias camas ocupadas maternidad,2009-01-01,290,290
QUIME,internaciones,dias camas ocupadas maternidad,2009-01-01,8,8
QUIRUSILLAS,internaciones,dias camas ocupadas maternidad,2009-01-01,9,9
RAVELO,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
REYES,internaciones,dias camas ocupadas maternidad,2009-01-01,49,49
RIBERALTA,internaciones,dias camas ocupadas maternidad,2009-01-01,495,495
ROBORE,internaciones,dias camas ocupadas maternidad,2009-01-01,12,12
RURRENABAQUE,internaciones,dias camas ocupadas maternidad,2009-01-01,148,148
SACABA,internaciones,dias camas ocupadas maternidad,2009-01-01,293,293
SACABAMBA,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
SACACA,internaciones,dias camas ocupadas maternidad,2009-01-01,44,44
SAIPINA,internaciones,dias camas ocupadas maternidad,2009-01-01,8,8
SALINAS DE GARCI MENDOZA,internaciones,dias camas ocupadas maternidad,2009-01-01,10,10
SAMAIPATA,internaciones,dias camas ocupadas maternidad,2009-01-01,17,17
SAN ANDRES,internaciones,dias camas ocupadas maternidad,2009-01-01,3,3
SAN ANDRES DE MACHACA,internaciones,dias camas ocupadas maternidad,2009-01-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,dias camas ocupadas maternidad,2009-01-01,10,10
SAN BENITO,internaciones,dias camas ocupadas maternidad,2009-01-01,22,22
SAN BORJA,internaciones,dias camas ocupadas maternidad,2009-01-01,134,134
SAN BUENA VENTURA,internaciones,dias camas ocupadas maternidad,2009-01-01,47,47
SAN CARLOS,internaciones,dias camas ocupadas maternidad,2009-01-01,109,109
SAN IGNACIO,internaciones,dias camas ocupadas maternidad,2009-01-01,168,168
SAN IGNACIO DE VELASCO,internaciones,dias camas ocupadas maternidad,2009-01-01,302,302
SAN JAVIER(STC),internaciones,dias camas ocupadas maternidad,2009-01-01,39,39
SAN JOAQUIN,internaciones,dias camas ocupadas maternidad,2009-01-01,26,26
SAN JOSE DE CHIQUITOS,internaciones,dias camas ocupadas maternidad,2009-01-01,154,154
SAN JUAN DE YAPACANI,internaciones,dias camas ocupadas maternidad,2009-01-01,24,24
SAN JULIAN,internaciones,dias camas ocupadas maternidad,2009-01-01,174,174
SAN LORENZO(PND),internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
SAN LORENZO(TJA),internaciones,dias camas ocupadas maternidad,2009-01-01,15,15
SAN LUCAS,internaciones,dias camas ocupadas maternidad,2009-01-01,109,109
SAN MATIAS,internaciones,dias camas ocupadas maternidad,2009-01-01,43,43
SAN MIGUEL DE VELASCO,internaciones,dias camas ocupadas maternidad,2009-01-01,39,39
SAN PEDRO,internaciones,dias camas ocupadas maternidad,2009-01-01,15,15
SAN PEDRO DE CURAHUARA,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
SAN PEDRO DE TIQUINA,internaciones,dias camas ocupadas maternidad,2009-01-01,3,3
SAN RAFAEL,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
SAN RAMON,internaciones,dias camas ocupadas maternidad,2009-01-01,34,34
SAN RAMON,internaciones,dias camas ocupadas maternidad,2009-01-01,37,37
SANTA ANA,internaciones,dias camas ocupadas maternidad,2009-01-01,77,77
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2009-01-01,7295,7295
SANTA ROSA,internaciones,dias camas ocupadas maternidad,2009-01-01,29,29
SANTA ROSA DEL SARA,internaciones,dias camas ocupadas maternidad,2009-01-01,25,25
SANTIAGO DE CALLAPA,internaciones,dias camas ocupadas maternidad,2009-01-01,1,1
SANTIAGO DE HUARI,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
SANTIAGO DE MACHACA,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
SANTIVAÑES,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
SAPAHAQUI,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
SENA,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
SICA SICA (VILLA AROMA),internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
SIPE SIPE,internaciones,dias camas ocupadas maternidad,2009-01-01,30,30
SOPACHUY,internaciones,dias camas ocupadas maternidad,2009-01-01,55,55
SORACACHI,internaciones,dias camas ocupadas maternidad,2009-01-01,9,9
SORATA,internaciones,dias camas ocupadas maternidad,2009-01-01,21,21
SUCRE,internaciones,dias camas ocupadas maternidad,2009-01-01,1900,1900
TACACHI,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
TACACOMA,internaciones,dias camas ocupadas maternidad,2009-01-01,5,5
TACOPAYA,internaciones,dias camas ocupadas maternidad,2009-01-01,3,3
TARABUCO,internaciones,dias camas ocupadas maternidad,2009-01-01,100,100
TARACO,internaciones,dias camas ocupadas maternidad,2009-01-01,1,1
TARATA,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
TARIJA,internaciones,dias camas ocupadas maternidad,2009-01-01,814,814
TARVITA,internaciones,dias camas ocupadas maternidad,2009-01-01,38,38
TEOPONTE,internaciones,dias camas ocupadas maternidad,2009-01-01,15,15
TIAWANACU,internaciones,dias camas ocupadas maternidad,2009-01-01,10,10
TIPUANI,internaciones,dias camas ocupadas maternidad,2009-01-01,17,17
TIQUIPAYA,internaciones,dias camas ocupadas maternidad,2009-01-01,88,88
TIRAQUE (CBBA),internaciones,dias camas ocupadas maternidad,2009-01-01,199,199
TOMAVE,internaciones,dias camas ocupadas maternidad,2009-01-01,3,3
TOMINA,internaciones,dias camas ocupadas maternidad,2009-01-01,42,42
TORO TORO,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
TOTORA(CBBA),internaciones,dias camas ocupadas maternidad,2009-01-01,35,35
TOTORA(ORR),internaciones,dias camas ocupadas maternidad,2009-01-01,7,7
TRIGAL,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
TRINIDAD,internaciones,dias camas ocupadas maternidad,2009-01-01,819,819
TUPIZA,internaciones,dias camas ocupadas maternidad,2009-01-01,128,128
UMALA,internaciones,dias camas ocupadas maternidad,2009-01-01,1,1
UNCIA,internaciones,dias camas ocupadas maternidad,2009-01-01,126,126
URUBICHA,internaciones,dias camas ocupadas maternidad,2009-01-01,14,14
UYUNI,internaciones,dias camas ocupadas maternidad,2009-01-01,162,162
VACAS,internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
VALLEGRANDE,internaciones,dias camas ocupadas maternidad,2009-01-01,95,95
VIACHA,internaciones,dias camas ocupadas maternidad,2009-01-01,190,190
VILLA MONTES,internaciones,dias camas ocupadas maternidad,2009-01-01,126,126
VILLA RIVERO,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
VILLA SERRANO,internaciones,dias camas ocupadas maternidad,2009-01-01,57,57
VILLA TUNARI,internaciones,dias camas ocupadas maternidad,2009-01-01,295,295
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,dias camas ocupadas maternidad,2009-01-01,4,4
VILLAZON,internaciones,dias camas ocupadas maternidad,2009-01-01,186,186
VINTO,internaciones,dias camas ocupadas maternidad,2009-01-01,75,75
VITICHI,internaciones,dias camas ocupadas maternidad,2009-01-01,5,5
WARNES,internaciones,dias camas ocupadas maternidad,2009-01-01,138,138
YACO,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
YACUIBA,internaciones,dias camas ocupadas maternidad,2009-01-01,378,378
YAMPARAEZ,internaciones,dias camas ocupadas maternidad,2009-01-01,18,18
YANACACHI,internaciones,dias camas ocupadas maternidad,2009-01-01,6,6
YAPACANI,internaciones,dias camas ocupadas maternidad,2009-01-01,132,132
YOCALLA,internaciones,dias camas ocupadas maternidad,2009-01-01,2,2
YOTALA,internaciones,dias camas ocupadas maternidad,2009-01-01,33,33
ZUDAÑEZ,internaciones,dias camas ocupadas maternidad,2009-01-01,27,27
ACACIO,internaciones,dias camas ocupadas maternidad,2009-02-01,2,2
ACHACACHI,internaciones,dias camas ocupadas maternidad,2009-02-01,22,22
ACHOCALLA,internaciones,dias camas ocupadas maternidad,2009-02-01,5,5
AIQUILE,internaciones,dias camas ocupadas maternidad,2009-02-01,83,83
ALALAY,internaciones,dias camas ocupadas maternidad,2009-02-01,4,4
ALCALA,internaciones,dias camas ocupadas maternidad,2009-02-01,8,8
ANCORAIMES,internaciones,dias camas ocupadas maternidad,2009-02-01,7,7
ANTEQUERA,internaciones,dias camas ocupadas maternidad,2009-02-01,2,2
ANZALDO,internaciones,dias camas ocupadas maternidad,2009-02-01,4,4
APOLO,internaciones,dias camas ocupadas maternidad,2009-02-01,24,24
ARANI,internaciones,dias camas ocupadas maternidad,2009-02-01,30,30
ARBIETO,internaciones,dias camas ocupadas maternidad,2009-02-01,4,4
ARQUE,internaciones,dias camas ocupadas maternidad,2009-02-01,3,3
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas maternidad,2009-02-01,166,166
ATOCHA,internaciones,dias camas ocupadas maternidad,2009-02-01,9,9
AYO AYO,internaciones,dias camas ocupadas maternidad,2009-02-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas maternidad,2009-02-01,37,37
AZURDUY,internaciones,dias camas ocupadas maternidad,2009-02-01,24,24
BATALLAS,internaciones,dias camas ocupadas maternidad,2009-02-01,26,26
BAURES,internaciones,dias camas ocupadas maternidad,2009-02-01,23,23
BERMEJO,internaciones,dias camas ocupadas maternidad,2009-02-01,251,251
BETANZOS,internaciones,dias camas ocupadas maternidad,2009-02-01,47,47
BOYUIBE,internaciones,dias camas ocupadas maternidad,2009-02-01,3,3
BUENA VISTA,internaciones,dias camas ocupadas maternidad,2009-02-01,18,18
CABEZAS,internaciones,dias camas ocupadas maternidad,2009-02-01,45,45
"CAIZA ""D""",internaciones,dias camas ocupadas maternidad,2009-02-01,8,8
CAJUATA,internaciones,dias camas ocupadas maternidad,2009-02-01,10,10
CALAMARCA,internaciones,dias camas ocupadas maternidad,2009-02-01,4,4
CAMARGO,internaciones,dias camas ocupadas maternidad,2009-02-01,46,46
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas maternidad,2009-02-01,6,6
CAMIRI,internaciones,dias camas ocupadas maternidad,2009-02-01,264,264
CAPINOTA,internaciones,dias camas ocupadas maternidad,2009-02-01,49,49
CAQUIAVIRI,internaciones,dias camas ocupadas maternidad,2009-02-01,2,2
CARACOLLO,internaciones,dias camas ocupadas maternidad,2009-02-01,57,57
CARANAVI,internaciones,dias camas ocupadas maternidad,2009-02-01,107,107
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas maternidad,2009-02-01,12,12
CHALLAPATA,internaciones,dias camas ocupadas maternidad,2009-02-01,100,100
CHAQUI,internaciones,dias camas ocupadas maternidad,2009-02-01,2,2
CHARAGUA,internaciones,dias camas ocupadas maternidad,2009-02-01,74,74
CHAYANTA,internaciones,dias camas ocupadas maternidad,2009-02-01,36,36
CHIMORE,internaciones,dias camas ocupadas maternidad,2009-02-01,15,15
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas maternidad,2009-02-01,37,37
CHUMA,internaciones,dias camas ocupadas maternidad,2009-02-01,1,1
CLIZA,internaciones,dias camas ocupadas maternidad,2009-02-01,23,23
COBIJA,internaciones,dias camas ocupadas maternidad,2009-02-01,350,350
COCHABAMBA,internaciones,dias camas ocupadas maternidad,2009-02-01,4485,4485
COLCAPIRHUA,internaciones,dias camas ocupadas maternidad,2009-02-01,92,92
COLOMI,internaciones,dias camas ocupadas maternidad,2009-02-01,23,23
COLPA BELGICA,internaciones,dias camas ocupadas maternidad,2009-02-01,12,12
COLQUECHACA,internaciones,dias camas ocupadas maternidad,2009-02-01,9,9
COLQUENCHA,internaciones,dias camas ocupadas maternidad,2009-02-01,5,5
COLQUIRI,internaciones,dias camas ocupadas maternidad,2009-02-01,13,13
COMARAPA,internaciones,dias camas ocupadas maternidad,2009-02-01,53,53
COMBAYA,internaciones,dias camas ocupadas maternidad,2009-02-01,1,1
CONCEPCION,internaciones,dias camas ocupadas maternidad,2009-02-01,66,66
COPACABANA,internaciones,dias camas ocupadas maternidad,2009-02-01,8,8
CORIPATA,internaciones,dias camas ocupadas maternidad,2009-02-01,18,18
CORO CORO,internaciones,dias camas ocupadas maternidad,2009-02-01,1,1
COROICO,internaciones,dias camas ocupadas maternidad,2009-02-01,64,64
COTAGAITA,internaciones,dias camas ocupadas maternidad,2009-02-01,9,9
COTOCA,internaciones,dias camas ocupadas maternidad,2009-02-01,110,110
CUATRO CAÑADAS,internaciones,dias camas ocupadas maternidad,2009-02-01,29,29
CUCHUMUELA (V. G. VILLARROEL),internaciones,dias camas ocupadas maternidad,2009-02-01,1,1
CUEVO,internaciones,dias camas ocupadas maternidad,2009-02-01,5,5
CULPINA,internaciones,dias camas ocupadas maternidad,2009-02-01,72,72
CURAHUARA DE CARANGAS,internaciones,dias camas ocupadas maternidad,2009-02-01,22,22
DESAGUADERO,internaciones,dias camas ocupadas maternidad,2009-02-01,5,5
EL ALTO,internaciones,dias camas ocupadas maternidad,2009-02-01,2631,2631
EL PUENTE(STC),internaciones,dias camas ocupadas maternidad,2009-02-01,18,18
EL TORNO,internaciones,dias camas ocupadas maternidad,2009-02-01,291,291
EL VILLAR,internaciones,dias camas ocupadas maternidad,2009-02-01,19,19
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2009-02-01,23,23
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2009-02-01,18,18
EXALTACION,internaciones,dias camas ocupadas maternidad,2009-02-01,6,6
FERNANDEZ ALONSO,internaciones,dias camas ocupadas maternidad,2009-02-01,101,101
FILADELFIA,internaciones,dias camas ocupadas maternidad,2009-02-01,11,11
GENERAL SAAVEDRA,internaciones,dias camas ocupadas maternidad,2009-02-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas ocupadas maternidad,2009-02-01,2,2
GUANAY,internaciones,dias camas ocupadas maternidad,2009-02-01,168,168
GUAQUI,internaciones,dias camas ocupadas maternidad,2009-02-01,3,3
GUAYARAMERIN,internaciones,dias camas ocupadas maternidad,2009-02-01,379,379
GUTIERREZ,internaciones,dias camas ocupadas maternidad,2009-02-01,10,10
HUACARETA,internaciones,dias camas ocupadas maternidad,2009-02-01,12,12
HUACHACALLA,internaciones,dias camas ocupadas maternidad,2009-02-01,9,9
HUANUNI,internaciones,dias camas ocupadas maternidad,2009-02-01,18,18
HUARACAJE,internaciones,dias camas ocupadas maternidad,2009-02-01,17,17
ICHOCA,internaciones,dias camas ocupadas maternidad,2009-02-01,2,2
ICLA,internaciones,dias camas ocupadas maternidad,2009-02-01,2,2
INCAHUASI,internaciones,dias camas ocupadas maternidad,2009-02-01,63,63
INQUISIVI,internaciones,dias camas ocupadas maternidad,2009-02-01,7,7
IRUPANA (VILLA DE LANZA),internaciones,dias camas ocupadas maternidad,2009-02-01,5,5
IXIAMAS,internaciones,dias camas ocupadas maternidad,2009-02-01,5,5
JESUS DE MACHACA,internaciones,dias camas ocupadas maternidad,2009-02-01,17,17
LA ASUNTA,internaciones,dias camas ocupadas maternidad,2009-02-01,29,29
LA GUARDIA,internaciones,dias camas ocupadas maternidad,2009-02-01,85,85
LA PAZ,internaciones,dias camas ocupadas maternidad,2009-02-01,4450,4450
LAGUNILLAS,internaciones,dias camas ocupadas maternidad,2009-02-01,12,12
LAJA,internaciones,dias camas ocupadas maternidad,2009-02-01,5,5
LICOMA PAMPA,internaciones,dias camas ocupadas maternidad,2009-02-01,2,2
LLALLAGUA,internaciones,dias camas ocupadas maternidad,2009-02-01,216,216
LLICA,internaciones,dias camas ocupadas maternidad,2009-02-01,6,6
LURIBAY,internaciones,dias camas ocupadas maternidad,2009-02-01,2,2
MACHARETI,internaciones,dias camas ocupadas maternidad,2009-02-01,19,19
MAGDALENA,internaciones,dias camas ocupadas maternidad,2009-02-01,107,107
MAIRANA,internaciones,dias camas ocupadas maternidad,2009-02-01,53,53
MAPIRI,internaciones,dias camas ocupadas maternidad,2009-02-01,22,22
MECAPACA,internaciones,dias camas ocupadas maternidad,2009-02-01,4,4
MINEROS,internaciones,dias camas ocupadas maternidad,2009-02-01,22,22
MIZQUE,internaciones,dias camas ocupadas maternidad,2009-02-01,80,80
MOJOCOYA,internaciones,dias camas ocupadas maternidad,2009-02-01,13,13
