municipality,group,variable,month,Fallecidos antes de las 48 horas,TOTAL
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2009-01-01,57,57
SANTA ROSA DEL SARA,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2009-01-01,26,26
TARIJA,internaciones,fallecidos antes de las 48 horas,2009-01-01,39,39
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2009-01-01,5,5
UYUNI,internaciones,fallecidos antes de las 48 horas,2009-01-01,2,2
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
VIACHA,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2009-01-01,3,3
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2009-01-01,5,5
VILLAZON,internaciones,fallecidos antes de las 48 horas,2009-01-01,4,4
VINTO,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2009-01-01,5,5
YAPACANI,internaciones,fallecidos antes de las 48 horas,2009-01-01,1,1
AIQUILE,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
AYATA,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2009-02-01,4,4
CAMARGO,internaciones,fallecidos antes de las 48 horas,2009-02-01,2,2
CAMIRI,internaciones,fallecidos antes de las 48 horas,2009-02-01,3,3
CAPINOTA,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2009-02-01,9,9
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2009-02-01,47,47
COROICO,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2009-02-01,14,14
EL TORNO,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
GUANAY,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2009-02-01,3,3
HUARACAJE,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2009-02-01,73,73
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2009-02-01,2,2
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2009-02-01,3,3
MONTERO,internaciones,fallecidos antes de las 48 horas,2009-02-01,2,2
ORURO,internaciones,fallecidos antes de las 48 horas,2009-02-01,14,14
POCOATA,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2009-02-01,20,20
PUERTO RICO,internaciones,fallecidos antes de las 48 horas,2009-02-01,2,2
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
QUILLACOLLO,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2009-02-01,14,14
ROBORE,internaciones,fallecidos antes de las 48 horas,2009-02-01,2,2
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2009-02-01,3,3
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2009-02-01,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2009-02-01,2,2
SAN JUAN DE YAPACANI,internaciones,fallecidos antes de las 48 horas,2009-02-01,2,2
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
SAN RAMON,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2009-02-01,63,63
SANTA ROSA,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
SORATA,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2009-02-01,19,19
TARIJA,internaciones,fallecidos antes de las 48 horas,2009-02-01,15,15
TIPUANI,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2009-02-01,4,4
UYUNI,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2009-02-01,2,2
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2009-02-01,3,3
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2009-02-01,3,3
VILLAZON,internaciones,fallecidos antes de las 48 horas,2009-02-01,5,5
WARNES,internaciones,fallecidos antes de las 48 horas,2009-02-01,1,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2009-02-01,8,8
ACHACACHI,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2009-03-01,5,5
CAMARGO,internaciones,fallecidos antes de las 48 horas,2009-03-01,3,3
CAMIRI,internaciones,fallecidos antes de las 48 horas,2009-03-01,5,5
CAPINOTA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2009-03-01,2,2
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2009-03-01,4,4
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2009-03-01,48,48
COMARAPA,internaciones,fallecidos antes de las 48 horas,2009-03-01,2,2
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
CORIPATA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
COTOCA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2009-03-01,21,21
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2009-03-01,3,3
ICLA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2009-03-01,91,91
LAGUNILLAS,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2009-03-01,3,3
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2009-03-01,4,4
MONTERO,internaciones,fallecidos antes de las 48 horas,2009-03-01,4,4
OCURI,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2009-03-01,22,22
PADILLA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2009-03-01,18,18
PUERTO ACOSTA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2009-03-01,2,2
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2009-03-01,13,13
ROBORE,internaciones,fallecidos antes de las 48 horas,2009-03-01,2,2
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2009-03-01,3,3
SACABA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2009-03-01,4,4
SAN JAVIER(STC),internaciones,fallecidos antes de las 48 horas,2009-03-01,2,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2009-03-01,4,4
SAN JULIAN,internaciones,fallecidos antes de las 48 horas,2009-03-01,2,2
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2009-03-01,64,64
SUCRE,internaciones,fallecidos antes de las 48 horas,2009-03-01,24,24
TARIJA,internaciones,fallecidos antes de las 48 horas,2009-03-01,15,15
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2009-03-01,12,12
TUPIZA,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2009-03-01,2,2
VILLA SERRANO,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2009-03-01,2,2
VILLAZON,internaciones,fallecidos antes de las 48 horas,2009-03-01,3,3
YACUIBA,internaciones,fallecidos antes de las 48 horas,2009-03-01,8,8
YAPACANI,internaciones,fallecidos antes de las 48 horas,2009-03-01,1,1
ANCORAIMES,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
ATOCHA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
BOLIVAR,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2009-04-01,2,2
CHARAGUA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
COBIJA,internaciones,fallecidos antes de las 48 horas,2009-04-01,10,10
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2009-04-01,60,60
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
CUEVO,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
CULPINA,internaciones,fallecidos antes de las 48 horas,2009-04-01,2,2
EL ALTO,internaciones,fallecidos antes de las 48 horas,2009-04-01,13,13
GUANAY,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2009-04-01,2,2
HUANUNI,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
IXIAMAS,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
JESUS DE MACHACA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2009-04-01,87,87
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
MAIRANA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
MINEROS,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
MIZQUE,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2009-04-01,2,2
MONTERO,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2009-04-01,24,24
PADILLA,internaciones,fallecidos antes de las 48 horas,2009-04-01,3,3
POJO (CBBA),internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2009-04-01,25,25
PUERTO ACOSTA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2009-04-01,2,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2009-04-01,2,2
PUNA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2009-04-01,10,10
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2009-04-01,2,2
SAN BUENA VENTURA,internaciones,fallecidos antes de las 48 horas,2009-04-01,2,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2009-04-01,5,5
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2009-04-01,42,42
SUCRE,internaciones,fallecidos antes de las 48 horas,2009-04-01,28,28
TARIJA,internaciones,fallecidos antes de las 48 horas,2009-04-01,21,21
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2009-04-01,9,9
TUPIZA,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2009-04-01,3,3
VILLAZON,internaciones,fallecidos antes de las 48 horas,2009-04-01,2,2
VINTO,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
WARNES,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2009-04-01,3,3
ZUDAÑEZ,internaciones,fallecidos antes de las 48 horas,2009-04-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
ATOCHA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
CAMARGO,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
CARANAVI,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
CARMEN RIVERO TORREZ,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2009-05-01,7,7
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2009-05-01,64,64
COLCAPIRHUA,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
COLQUIRI,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
COMARAPA,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
COPACABANA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
COROICO,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
CULPINA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2009-05-01,12,12
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2009-05-01,4,4
LA PAZ,internaciones,fallecidos antes de las 48 horas,2009-05-01,64,64
LICOMA PAMPA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
MINEROS,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
ORURO,internaciones,fallecidos antes de las 48 horas,2009-05-01,25,25
POTOSI,internaciones,fallecidos antes de las 48 horas,2009-05-01,14,14
PUERTO ACOSTA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
PUNATA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
QUILLACOLLO,internaciones,fallecidos antes de las 48 horas,2009-05-01,8,8
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2009-05-01,9,9
ROBORE,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
SACABA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
SAN CARLOS,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2009-05-01,3,3
SAN JOAQUIN,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
SAN LUCAS,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
SAN MIGUEL DE VELASCO,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
SAN PEDRO DE BUENA VISTA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2009-05-01,52,52
SUCRE,internaciones,fallecidos antes de las 48 horas,2009-05-01,27,27
TARABUCO,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
TARIJA,internaciones,fallecidos antes de las 48 horas,2009-05-01,12,12
TIPUANI,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2009-05-01,6,6
TUPIZA,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
UYUNI,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2009-05-01,3,3
VILLA SERRANO,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,fallecidos antes de las 48 horas,2009-05-01,1,1
VILLAZON,internaciones,fallecidos antes de las 48 horas,2009-05-01,4,4
VINTO,internaciones,fallecidos antes de las 48 horas,2009-05-01,4,4
YACUIBA,internaciones,fallecidos antes de las 48 horas,2009-05-01,7,7
YAPACANI,internaciones,fallecidos antes de las 48 horas,2009-05-01,2,2
AIQUILE,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
BERMEJO,internaciones,fallecidos antes de las 48 horas,2009-06-01,5,5
CAIROMA,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
CHALLAPATA,internaciones,fallecidos antes de las 48 horas,2009-06-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2009-06-01,2,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2009-06-01,5,5
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2009-06-01,53,53
COROICO,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
COTOCA,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2009-06-01,17,17
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2009-06-01,3,3
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
LA ASUNTA,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2009-06-01,111,111
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
MAIRANA,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2009-06-01,2,2
ORURO,internaciones,fallecidos antes de las 48 horas,2009-06-01,23,23
PADILLA,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
POJO (CBBA),internaciones,fallecidos antes de las 48 horas,2009-06-01,4,4
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2009-06-01,19,19
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
PUNA,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2009-06-01,4,4
QUILLACOLLO,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
QUIRUSILLAS,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2009-06-01,10,10
ROBORE,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
SACABA,internaciones,fallecidos antes de las 48 horas,2009-06-01,2,2
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2009-06-01,3,3
SAN PEDRO DE BUENA VISTA,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2009-06-01,42,42
SUCRE,internaciones,fallecidos antes de las 48 horas,2009-06-01,30,30
TARIJA,internaciones,fallecidos antes de las 48 horas,2009-06-01,20,20
TIPUANI,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
TIRAQUE (CBBA),internaciones,fallecidos antes de las 48 horas,2009-06-01,2,2
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2009-06-01,13,13
TUPIZA,internaciones,fallecidos antes de las 48 horas,2009-06-01,2,2
UYUNI,internaciones,fallecidos antes de las 48 horas,2009-06-01,2,2
VALLEGRANDE,internaciones,fallecidos antes de las 48 horas,2009-06-01,2,2
VILLA MONTES,internaciones,fallecidos antes de las 48 horas,2009-06-01,3,3
VILLA TUNARI,internaciones,fallecidos antes de las 48 horas,2009-06-01,3,3
VILLAZON,internaciones,fallecidos antes de las 48 horas,2009-06-01,7,7
VINTO,internaciones,fallecidos antes de las 48 horas,2009-06-01,1,1
YACUIBA,internaciones,fallecidos antes de las 48 horas,2009-06-01,2,2
BERMEJO,internaciones,fallecidos antes de las 48 horas,2009-07-01,4,4
BOYUIBE,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2009-07-01,6,6
CAMIRI,internaciones,fallecidos antes de las 48 horas,2009-07-01,3,3
CARANAVI,internaciones,fallecidos antes de las 48 horas,2009-07-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 horas,2009-07-01,2,2
COBIJA,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2009-07-01,70,70
CUEVO,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2009-07-01,15,15
GUANAY,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
ICLA,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
LA PAZ,internaciones,fallecidos antes de las 48 horas,2009-07-01,107,107
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2009-07-01,2,2
MAGDALENA,internaciones,fallecidos antes de las 48 horas,2009-07-01,2,2
MONTEAGUDO,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
MONTERO,internaciones,fallecidos antes de las 48 horas,2009-07-01,3,3
ORURO,internaciones,fallecidos antes de las 48 horas,2009-07-01,31,31
POCOATA,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2009-07-01,22,22
PUERTO ACOSTA,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2009-07-01,4,4
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
PUNATA,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
REYES,internaciones,fallecidos antes de las 48 horas,2009-07-01,1,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2009-07-01,14,14
