municipality,group,variable,month,Ingresos espontáneos,TOTAL
SAN RAFAEL,internaciones,ingresos espontaneos,2009-01-01,54,54
SAN RAMON,internaciones,ingresos espontaneos,2009-01-01,30,30
SAN RAMON,internaciones,ingresos espontaneos,2009-01-01,65,65
SANTA ANA,internaciones,ingresos espontaneos,2009-01-01,103,103
SANTA CRUZ DE LA SIERRA,internaciones,ingresos espontaneos,2009-01-01,10819,10819
SANTA ROSA,internaciones,ingresos espontaneos,2009-01-01,40,40
SANTA ROSA DEL SARA,internaciones,ingresos espontaneos,2009-01-01,62,62
SANTIAGO DE CALLAPA,internaciones,ingresos espontaneos,2009-01-01,1,1
SANTIAGO DE MACHACA,internaciones,ingresos espontaneos,2009-01-01,2,2
SANTIVAÑES,internaciones,ingresos espontaneos,2009-01-01,4,4
SAPAHAQUI,internaciones,ingresos espontaneos,2009-01-01,2,2
SENA,internaciones,ingresos espontaneos,2009-01-01,10,10
SICA SICA (VILLA AROMA),internaciones,ingresos espontaneos,2009-01-01,9,9
SIPE SIPE,internaciones,ingresos espontaneos,2009-01-01,23,23
SOPACHUY,internaciones,ingresos espontaneos,2009-01-01,35,35
SORACACHI,internaciones,ingresos espontaneos,2009-01-01,5,5
SORATA,internaciones,ingresos espontaneos,2009-01-01,36,36
SUCRE,internaciones,ingresos espontaneos,2009-01-01,3398,3398
TACACHI,internaciones,ingresos espontaneos,2009-01-01,2,2
TACACOMA,internaciones,ingresos espontaneos,2009-01-01,4,4
TACOPAYA,internaciones,ingresos espontaneos,2009-01-01,1,1
TAPACARI,internaciones,ingresos espontaneos,2009-01-01,5,5
TARABUCO,internaciones,ingresos espontaneos,2009-01-01,53,53
TARACO,internaciones,ingresos espontaneos,2009-01-01,1,1
TARATA,internaciones,ingresos espontaneos,2009-01-01,11,11
TARIJA,internaciones,ingresos espontaneos,2009-01-01,1689,1689
TARVITA,internaciones,ingresos espontaneos,2009-01-01,29,29
TEOPONTE,internaciones,ingresos espontaneos,2009-01-01,9,9
TIAWANACU,internaciones,ingresos espontaneos,2009-01-01,10,10
TIPUANI,internaciones,ingresos espontaneos,2009-01-01,34,34
TIQUIPAYA,internaciones,ingresos espontaneos,2009-01-01,58,58
TIRAQUE (CBBA),internaciones,ingresos espontaneos,2009-01-01,230,230
TOCO,internaciones,ingresos espontaneos,2009-01-01,2,2
TOLEDO,internaciones,ingresos espontaneos,2009-01-01,8,8
TOMAVE,internaciones,ingresos espontaneos,2009-01-01,9,9
TOMINA,internaciones,ingresos espontaneos,2009-01-01,37,37
TORO TORO,internaciones,ingresos espontaneos,2009-01-01,4,4
TOTORA(CBBA),internaciones,ingresos espontaneos,2009-01-01,15,15
TOTORA(ORR),internaciones,ingresos espontaneos,2009-01-01,2,2
TRIGAL,internaciones,ingresos espontaneos,2009-01-01,3,3
TRINIDAD,internaciones,ingresos espontaneos,2009-01-01,1160,1160
TUPIZA,internaciones,ingresos espontaneos,2009-01-01,178,178
UMALA,internaciones,ingresos espontaneos,2009-01-01,1,1
UNCIA,internaciones,ingresos espontaneos,2009-01-01,137,137
URUBICHA,internaciones,ingresos espontaneos,2009-01-01,34,34
UYUNI,internaciones,ingresos espontaneos,2009-01-01,156,156
VACAS,internaciones,ingresos espontaneos,2009-01-01,9,9
VALLEGRANDE,internaciones,ingresos espontaneos,2009-01-01,147,147
VIACHA,internaciones,ingresos espontaneos,2009-01-01,97,97
VILLA MONTES,internaciones,ingresos espontaneos,2009-01-01,220,220
VILLA RIVERO,internaciones,ingresos espontaneos,2009-01-01,7,7
VILLA SERRANO,internaciones,ingresos espontaneos,2009-01-01,17,17
VILLA TUNARI,internaciones,ingresos espontaneos,2009-01-01,347,347
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos espontaneos,2009-01-01,14,14
VILLAZON,internaciones,ingresos espontaneos,2009-01-01,180,180
VINTO,internaciones,ingresos espontaneos,2009-01-01,168,168
VITICHI,internaciones,ingresos espontaneos,2009-01-01,4,4
WARNES,internaciones,ingresos espontaneos,2009-01-01,176,176
YACO,internaciones,ingresos espontaneos,2009-01-01,1,1
YACUIBA,internaciones,ingresos espontaneos,2009-01-01,956,956
YAMPARAEZ,internaciones,ingresos espontaneos,2009-01-01,11,11
YANACACHI,internaciones,ingresos espontaneos,2009-01-01,4,4
YAPACANI,internaciones,ingresos espontaneos,2009-01-01,459,459
YOCALLA,internaciones,ingresos espontaneos,2009-01-01,1,1
YOTALA,internaciones,ingresos espontaneos,2009-01-01,28,28
ZUDAÑEZ,internaciones,ingresos espontaneos,2009-01-01,28,28
ACACIO,internaciones,ingresos espontaneos,2009-02-01,4,4
ACHACACHI,internaciones,ingresos espontaneos,2009-02-01,34,34
ACHOCALLA,internaciones,ingresos espontaneos,2009-02-01,5,5
AIQUILE,internaciones,ingresos espontaneos,2009-02-01,106,106
ALALAY,internaciones,ingresos espontaneos,2009-02-01,2,2
ALCALA,internaciones,ingresos espontaneos,2009-02-01,3,3
ANCORAIMES,internaciones,ingresos espontaneos,2009-02-01,8,8
ANTEQUERA,internaciones,ingresos espontaneos,2009-02-01,1,1
ANZALDO,internaciones,ingresos espontaneos,2009-02-01,4,4
APOLO,internaciones,ingresos espontaneos,2009-02-01,34,34
ARANI,internaciones,ingresos espontaneos,2009-02-01,23,23
ARBIETO,internaciones,ingresos espontaneos,2009-02-01,2,2
ARQUE,internaciones,ingresos espontaneos,2009-02-01,4,4
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2009-02-01,223,223
ATOCHA,internaciones,ingresos espontaneos,2009-02-01,31,31
AYATA,internaciones,ingresos espontaneos,2009-02-01,2,2
AYO AYO,internaciones,ingresos espontaneos,2009-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2009-02-01,39,39
BATALLAS,internaciones,ingresos espontaneos,2009-02-01,20,20
BAURES,internaciones,ingresos espontaneos,2009-02-01,21,21
BERMEJO,internaciones,ingresos espontaneos,2009-02-01,264,264
BETANZOS,internaciones,ingresos espontaneos,2009-02-01,35,35
BOYUIBE,internaciones,ingresos espontaneos,2009-02-01,56,56
BUENA VISTA,internaciones,ingresos espontaneos,2009-02-01,64,64
CABEZAS,internaciones,ingresos espontaneos,2009-02-01,109,109
CAJUATA,internaciones,ingresos espontaneos,2009-02-01,22,22
CALAMARCA,internaciones,ingresos espontaneos,2009-02-01,4,4
CAMARGO,internaciones,ingresos espontaneos,2009-02-01,117,117
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2009-02-01,4,4
CAMIRI,internaciones,ingresos espontaneos,2009-02-01,582,582
CAPINOTA,internaciones,ingresos espontaneos,2009-02-01,53,53
CAQUIAVIRI,internaciones,ingresos espontaneos,2009-02-01,2,2
CARACOLLO,internaciones,ingresos espontaneos,2009-02-01,38,38
CARANAVI,internaciones,ingresos espontaneos,2009-02-01,193,193
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2009-02-01,19,19
CHALLAPATA,internaciones,ingresos espontaneos,2009-02-01,94,94
CHAQUI,internaciones,ingresos espontaneos,2009-02-01,1,1
CHARAGUA,internaciones,ingresos espontaneos,2009-02-01,158,158
CHIMORE,internaciones,ingresos espontaneos,2009-02-01,30,30
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2009-02-01,68,68
CHUMA,internaciones,ingresos espontaneos,2009-02-01,2,2
CLIZA,internaciones,ingresos espontaneos,2009-02-01,48,48
COBIJA,internaciones,ingresos espontaneos,2009-02-01,272,272
COCHABAMBA,internaciones,ingresos espontaneos,2009-02-01,6569,6569
COLCAPIRHUA,internaciones,ingresos espontaneos,2009-02-01,125,125
"COLCHA ""K""",internaciones,ingresos espontaneos,2009-02-01,1,1
COLOMI,internaciones,ingresos espontaneos,2009-02-01,17,17
COLPA BELGICA,internaciones,ingresos espontaneos,2009-02-01,20,20
COLQUECHACA,internaciones,ingresos espontaneos,2009-02-01,2,2
COLQUENCHA,internaciones,ingresos espontaneos,2009-02-01,3,3
COLQUIRI,internaciones,ingresos espontaneos,2009-02-01,20,20
COMARAPA,internaciones,ingresos espontaneos,2009-02-01,106,106
COMBAYA,internaciones,ingresos espontaneos,2009-02-01,1,1
CONCEPCION,internaciones,ingresos espontaneos,2009-02-01,71,71
COPACABANA,internaciones,ingresos espontaneos,2009-02-01,12,12
CORIPATA,internaciones,ingresos espontaneos,2009-02-01,13,13
CORO CORO,internaciones,ingresos espontaneos,2009-02-01,1,1
COROICO,internaciones,ingresos espontaneos,2009-02-01,78,78
COTAGAITA,internaciones,ingresos espontaneos,2009-02-01,27,27
COTOCA,internaciones,ingresos espontaneos,2009-02-01,78,78
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2009-02-01,102,102
CUCHUMUELA (V. G. VILLARROEL),internaciones,ingresos espontaneos,2009-02-01,1,1
CUEVO,internaciones,ingresos espontaneos,2009-02-01,9,9
CULPINA,internaciones,ingresos espontaneos,2009-02-01,42,42
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2009-02-01,20,20
DESAGUADERO,internaciones,ingresos espontaneos,2009-02-01,5,5
EL ALTO,internaciones,ingresos espontaneos,2009-02-01,2487,2487
EL PUENTE(STC),internaciones,ingresos espontaneos,2009-02-01,32,32
EL TORNO,internaciones,ingresos espontaneos,2009-02-01,167,167
EL VILLAR,internaciones,ingresos espontaneos,2009-02-01,8,8
ENTRE RIOS,internaciones,ingresos espontaneos,2009-02-01,32,32
ENTRE RIOS,internaciones,ingresos espontaneos,2009-02-01,21,21
EUCALIPTUS,internaciones,ingresos espontaneos,2009-02-01,9,9
EXALTACION,internaciones,ingresos espontaneos,2009-02-01,5,5
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2009-02-01,98,98
FILADELFIA,internaciones,ingresos espontaneos,2009-02-01,10,10
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2009-02-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos espontaneos,2009-02-01,3,3
GUANAY,internaciones,ingresos espontaneos,2009-02-01,30,30
GUAQUI,internaciones,ingresos espontaneos,2009-02-01,3,3
GUAYARAMERIN,internaciones,ingresos espontaneos,2009-02-01,635,635
GUTIERREZ,internaciones,ingresos espontaneos,2009-02-01,24,24
HUACARETA,internaciones,ingresos espontaneos,2009-02-01,20,20
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2009-02-01,1,1
HUACHACALLA,internaciones,ingresos espontaneos,2009-02-01,8,8
HUANUNI,internaciones,ingresos espontaneos,2009-02-01,25,25
HUARACAJE,internaciones,ingresos espontaneos,2009-02-01,16,16
ICHOCA,internaciones,ingresos espontaneos,2009-02-01,1,1
INCAHUASI,internaciones,ingresos espontaneos,2009-02-01,22,22
INQUISIVI,internaciones,ingresos espontaneos,2009-02-01,5,5
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2009-02-01,23,23
IXIAMAS,internaciones,ingresos espontaneos,2009-02-01,25,25
JESUS DE MACHACA,internaciones,ingresos espontaneos,2009-02-01,19,19
LA ASUNTA,internaciones,ingresos espontaneos,2009-02-01,48,48
LA GUARDIA,internaciones,ingresos espontaneos,2009-02-01,301,301
LA PAZ,internaciones,ingresos espontaneos,2009-02-01,5387,5387
LAGUNILLAS,internaciones,ingresos espontaneos,2009-02-01,15,15
LAJA,internaciones,ingresos espontaneos,2009-02-01,3,3
LICOMA PAMPA,internaciones,ingresos espontaneos,2009-02-01,1,1
LLALLAGUA,internaciones,ingresos espontaneos,2009-02-01,193,193
LLICA,internaciones,ingresos espontaneos,2009-02-01,3,3
LURIBAY,internaciones,ingresos espontaneos,2009-02-01,5,5
MACHARETI,internaciones,ingresos espontaneos,2009-02-01,22,22
MAGDALENA,internaciones,ingresos espontaneos,2009-02-01,58,58
MAIRANA,internaciones,ingresos espontaneos,2009-02-01,60,60
MAPIRI,internaciones,ingresos espontaneos,2009-02-01,32,32
MECAPACA,internaciones,ingresos espontaneos,2009-02-01,4,4
MINEROS,internaciones,ingresos espontaneos,2009-02-01,26,26
MIZQUE,internaciones,ingresos espontaneos,2009-02-01,53,53
MOJOCOYA,internaciones,ingresos espontaneos,2009-02-01,7,7
MONTEAGUDO,internaciones,ingresos espontaneos,2009-02-01,160,160
MONTERO,internaciones,ingresos espontaneos,2009-02-01,550,550
MORO MORO,internaciones,ingresos espontaneos,2009-02-01,1,1
MOROCHATA,internaciones,ingresos espontaneos,2009-02-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),internaciones,ingresos espontaneos,2009-02-01,5,5
OCURI,internaciones,ingresos espontaneos,2009-02-01,16,16
OKINAWA,internaciones,ingresos espontaneos,2009-02-01,21,21
OMEREQUE,internaciones,ingresos espontaneos,2009-02-01,16,16
ORURO,internaciones,ingresos espontaneos,2009-02-01,2077,2077
PADILLA,internaciones,ingresos espontaneos,2009-02-01,47,47
PAILON,internaciones,ingresos espontaneos,2009-02-01,117,117
PALOS BLANCOS,internaciones,ingresos espontaneos,2009-02-01,110,110
PAMPA GRANDE,internaciones,ingresos espontaneos,2009-02-01,18,18
PASORAPA,internaciones,ingresos espontaneos,2009-02-01,12,12
PATACAMAYA,internaciones,ingresos espontaneos,2009-02-01,39,39
POCOATA,internaciones,ingresos espontaneos,2009-02-01,8,8
POCONA,internaciones,ingresos espontaneos,2009-02-01,11,11
POJO (CBBA),internaciones,ingresos espontaneos,2009-02-01,17,17
POOPO,internaciones,ingresos espontaneos,2009-02-01,5,5
PORCO,internaciones,ingresos espontaneos,2009-02-01,3,3
POROMA,internaciones,ingresos espontaneos,2009-02-01,4,4
PORONGO,internaciones,ingresos espontaneos,2009-02-01,29,29
PORTACHUELO,internaciones,ingresos espontaneos,2009-02-01,249,249
PORVENIR,internaciones,ingresos espontaneos,2009-02-01,2,2
POSTRER VALLE,internaciones,ingresos espontaneos,2009-02-01,6,6
POTOSI,internaciones,ingresos espontaneos,2009-02-01,1660,1660
PRESTO,internaciones,ingresos espontaneos,2009-02-01,5,5
PUCARA,internaciones,ingresos espontaneos,2009-02-01,1,1
PUCARANI,internaciones,ingresos espontaneos,2009-02-01,13,13
PUERTO ACOSTA,internaciones,ingresos espontaneos,2009-02-01,44,44
PUERTO GONZALO MORENO,internaciones,ingresos espontaneos,2009-02-01,3,3
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2009-02-01,157,157
PUERTO RICO,internaciones,ingresos espontaneos,2009-02-01,14,14
PUERTO SILES,internaciones,ingresos espontaneos,2009-02-01,4,4
PUERTO SUAREZ,internaciones,ingresos espontaneos,2009-02-01,128,128
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2009-02-01,190,190
PUNA,internaciones,ingresos espontaneos,2009-02-01,24,24
PUNATA,internaciones,ingresos espontaneos,2009-02-01,168,168
