municipality,group,variable,month,Ingresos referidos de otros establecimientos,TOTAL
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,4,4
REYES,internaciones,ingresos referidos de otros establecimientos,2009-01-01,3,3
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,110,110
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2009-01-01,21,21
SACABA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,5,5
SACACA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
SAMAIPATA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,7,7
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,12,12
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,15,15
SAN JAVIER(STC),internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2009-01-01,5,5
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,8,8
SAN MATIAS,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
SAN RAMON,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,80,80
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,9,9
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
SUCRE,internaciones,ingresos referidos de otros establecimientos,2009-01-01,104,104
TACOPAYA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,6,6
TARIJA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,204,204
TEOPONTE,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
TORO TORO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,2,2
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,49,49
UNCIA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,43,43
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2009-01-01,13,13
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2009-01-01,30,30
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,30,30
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2009-01-01,9,9
VINTO,internaciones,ingresos referidos de otros establecimientos,2009-01-01,3,3
VITICHI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
WARNES,internaciones,ingresos referidos de otros establecimientos,2009-01-01,3,3
YACUIBA,internaciones,ingresos referidos de otros establecimientos,2009-01-01,1,1
YAPACANI,internaciones,ingresos referidos de otros establecimientos,2009-01-01,31,31
ZUDAÑEZ,internaciones,ingresos referidos de otros establecimientos,2009-01-01,4,4
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2009-02-01,4,4
APOLO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2009-02-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2009-02-01,6,6
BERMEJO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,3,3
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2009-02-01,3,3
BOYUIBE,internaciones,ingresos referidos de otros establecimientos,2009-02-01,3,3
CABEZAS,internaciones,ingresos referidos de otros establecimientos,2009-02-01,4,4
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,3,3
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,29,29
CAPINOTA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,18,18
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
COBIJA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,69,69
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,44,44
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,10,10
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
COTOCA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,56,56
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
CULPINA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,6,6
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,216,216
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,35,35
ENTRE RIOS,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos,2009-02-01,4,4
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2009-02-01,16,16
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2009-02-01,3,3
INCAHUASI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,6,6
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,9,9
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2189,2189
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,6,6
MACHARETI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,9,9
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
MAPIRI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecimientos,2009-02-01,6,6
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,15,15
MONTERO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,93,93
OCURI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
ORURO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,141,141
PADILLA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,27,27
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
POCONA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
POROMA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
POTOSI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,46,46
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,12,12
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
PUERTO RICO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
PUERTO SILES,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2009-02-01,25,25
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2009-02-01,17,17
PUNA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
PUNATA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,35,35
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
REYES,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,69,69
ROBORE,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2009-02-01,17,17
SACABA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,3,3
SACABAMBA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
SACACA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
SAN BORJA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,9,9
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
SAN IGNACIO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,18,18
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
SAN LORENZO(PND),internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2009-02-01,11,11
SAN RAMON,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,120,120
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,12,12
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,4,4
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
SORATA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
SUCRE,internaciones,ingresos referidos de otros establecimientos,2009-02-01,153,153
TACOPAYA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
TAPACARI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,5,5
TARIJA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,84,84
TARVITA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos,2009-02-01,25,25
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,7,7
UNCIA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,21,21
UYUNI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2009-02-01,10,10
VIACHA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2009-02-01,27,27
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,24,24
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2009-02-01,10,10
VINTO,internaciones,ingresos referidos de otros establecimientos,2009-02-01,2,2
WARNES,internaciones,ingresos referidos de otros establecimientos,2009-02-01,14,14
YAPACANI,internaciones,ingresos referidos de otros establecimientos,2009-02-01,7,7
YOTALA,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
ZUDAÑEZ,internaciones,ingresos referidos de otros establecimientos,2009-02-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,27,27
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2009-03-01,6,6
BERMEJO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,6,6
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,5,5
CABEZAS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,7,7
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,8,8
CARACOLLO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,14,14
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,3,3
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,5,5
COBIJA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,71,71
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,344,344
COLOMI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2009-03-01,3,3
COPACABANA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,4,4
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,4,4
COTOCA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,53,53
CUEVO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
CULPINA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,5,5
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,252,252
EL PUENTE(STC),internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos,2009-03-01,4,4
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2009-03-01,34,34
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2009-03-01,45,45
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
ICLA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
INCAHUASI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
LA ASUNTA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,3,3
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2333,2333
LAS CARRERAS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,11,11
MACHARETI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,12,12
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
MINEROS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,28,28
MONTERO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,135,135
OCURI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,6,6
OMEREQUE,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
ORURO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,51,51
PADILLA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,39,39
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
PAMPA GRANDE,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
POJO (CBBA),internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
POROMA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,4,4
POTOSI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,42,42
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,18,18
PUERTO CARABUCO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
PUERTO SILES,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2009-03-01,19,19
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2009-03-01,19,19
PUNA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
PUNATA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,41,41
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,10,10
REYES,internaciones,ingresos referidos de otros establecimientos,2009-03-01,4,4
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,192,192
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2009-03-01,22,22
SACABA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,6,6
SACABAMBA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
SACACA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,4,4
SAN ANTONIO DE ESMORUCO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
SAN BORJA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,10,10
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,4,4
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,7,7
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,17,17
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,5,5
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2009-03-01,8,8
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,4,4
SAN MATIAS,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
SAN RAMON,internaciones,ingresos referidos de otros establecimientos,2009-03-01,7,7
SANTA ANA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,215,215
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,7,7
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
SUCRE,internaciones,ingresos referidos de otros establecimientos,2009-03-01,93,93
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,7,7
TARIJA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,94,94
TARVITA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
TOMINA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
TORO TORO,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,41,41
UNCIA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,25,25
UYUNI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,5,5
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2009-03-01,17,17
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2009-03-01,35,35
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,24,24
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecimientos,2009-03-01,3,3
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2009-03-01,11,11
VITICHI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
WARNES,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
YACUIBA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,2,2
YAPACANI,internaciones,ingresos referidos de otros establecimientos,2009-03-01,4,4
YOTALA,internaciones,ingresos referidos de otros establecimientos,2009-03-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2009-04-01,12,12
ANTEQUERA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2009-04-01,26,26
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2009-04-01,5,5
AZURDUY,internaciones,ingresos referidos de otros establecimientos,2009-04-01,2,2
BERMEJO,internaciones,ingresos referidos de otros establecimientos,2009-04-01,10,10
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2009-04-01,6,6
BOYUIBE,internaciones,ingresos referidos de otros establecimientos,2009-04-01,1,1
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2009-04-01,3,3
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2009-04-01,12,12
CARACOLLO,internaciones,ingresos referidos de otros establecimientos,2009-04-01,2,2
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2009-04-01,16,16
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2009-04-01,5,5
COBIJA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,82,82
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,330,330
COLCAPIRHUA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,4,4
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,4,4
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2009-04-01,3,3
COPACABANA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,2,2
CORO CORO,internaciones,ingresos referidos de otros establecimientos,2009-04-01,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos,2009-04-01,7,7
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,5,5
COTOCA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,66,66
CULPINA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,40,40
CURAHUARA DE CARANGAS,internaciones,ingresos referidos de otros establecimientos,2009-04-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2009-04-01,212,212
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2009-04-01,7,7
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos,2009-04-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos,2009-04-01,5,5
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2009-04-01,38,38
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2009-04-01,2,2
HUACARETA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,1,1
HUANUNI,internaciones,ingresos referidos de otros establecimientos,2009-04-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2009-04-01,5,5
