municipality,group,variable,month,Viviendas positivas,TOTAL
TACACOMA,chagas,viviendas positivas,2007-02-01,5,5
TAPACARI,chagas,viviendas positivas,2007-02-01,2,2
TARIJA,chagas,viviendas positivas,2007-02-01,11,11
TIQUIPAYA,chagas,viviendas positivas,2007-02-01,2,2
URIONDO (A. CONCEPCION),chagas,viviendas positivas,2007-02-01,3,3
AIQUILE,chagas,viviendas positivas,2007-03-01,41,41
ANZALDO,chagas,viviendas positivas,2007-03-01,3,3
ARANI,chagas,viviendas positivas,2007-03-01,34,34
ARBIETO,chagas,viviendas positivas,2007-03-01,3,3
BOYUIBE,chagas,viviendas positivas,2007-03-01,73,73
CAPINOTA,chagas,viviendas positivas,2007-03-01,8,8
COCHABAMBA,chagas,viviendas positivas,2007-03-01,48,48
COLCAPIRHUA,chagas,viviendas positivas,2007-03-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas positivas,2007-03-01,1,1
EL PUENTE(TJA),chagas,viviendas positivas,2007-03-01,2,2
LAS CARRERAS,chagas,viviendas positivas,2007-03-01,50,50
LURIBAY,chagas,viviendas positivas,2007-03-01,51,51
MECAPACA,chagas,viviendas positivas,2007-03-01,2,2
MIZQUE,chagas,viviendas positivas,2007-03-01,15,15
OMEREQUE,chagas,viviendas positivas,2007-03-01,26,26
PADCAYA,chagas,viviendas positivas,2007-03-01,1,1
PASORAPA,chagas,viviendas positivas,2007-03-01,8,8
POJO (CBBA),chagas,viviendas positivas,2007-03-01,12,12
QUILLACOLLO,chagas,viviendas positivas,2007-03-01,11,11
SACABA,chagas,viviendas positivas,2007-03-01,23,23
SAN LORENZO(TJA),chagas,viviendas positivas,2007-03-01,26,26
SAPAHAQUI,chagas,viviendas positivas,2007-03-01,51,51
SIPE SIPE,chagas,viviendas positivas,2007-03-01,9,9
TACACHI,chagas,viviendas positivas,2007-03-01,3,3
TACOPAYA,chagas,viviendas positivas,2007-03-01,52,52
TAPACARI,chagas,viviendas positivas,2007-03-01,8,8
TARIJA,chagas,viviendas positivas,2007-03-01,5,5
TIQUIPAYA,chagas,viviendas positivas,2007-03-01,9,9
TORO TORO,chagas,viviendas positivas,2007-03-01,10,10
TOTORA(CBBA),chagas,viviendas positivas,2007-03-01,1,1
URIONDO (A. CONCEPCION),chagas,viviendas positivas,2007-03-01,4,4
VILLA RIVERO,chagas,viviendas positivas,2007-03-01,10,10
VINTO,chagas,viviendas positivas,2007-03-01,4,4
AIQUILE,chagas,viviendas positivas,2007-04-01,82,82
ANZALDO,chagas,viviendas positivas,2007-04-01,17,17
ARANI,chagas,viviendas positivas,2007-04-01,18,18
ARBIETO,chagas,viviendas positivas,2007-04-01,1,1
CLIZA,chagas,viviendas positivas,2007-04-01,2,2
COCHABAMBA,chagas,viviendas positivas,2007-04-01,46,46
COTOCA,chagas,viviendas positivas,2007-04-01,12,12
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas positivas,2007-04-01,1,1
CULPINA,chagas,viviendas positivas,2007-04-01,1,1
EL PUENTE(TJA),chagas,viviendas positivas,2007-04-01,3,3
EL TORNO,chagas,viviendas positivas,2007-04-01,17,17
INQUISIVI,chagas,viviendas positivas,2007-04-01,1,1
MAIRANA,chagas,viviendas positivas,2007-04-01,52,52
MECAPACA,chagas,viviendas positivas,2007-04-01,1,1
MIZQUE,chagas,viviendas positivas,2007-04-01,20,20
MORO MORO,chagas,viviendas positivas,2007-04-01,26,26
OMEREQUE,chagas,viviendas positivas,2007-04-01,9,9
PADCAYA,chagas,viviendas positivas,2007-04-01,1,1
PALCA,chagas,viviendas positivas,2007-04-01,39,39
PASORAPA,chagas,viviendas positivas,2007-04-01,25,25
POJO (CBBA),chagas,viviendas positivas,2007-04-01,13,13
QUIRUSILLAS,chagas,viviendas positivas,2007-04-01,5,5
SACABA,chagas,viviendas positivas,2007-04-01,15,15
SACABAMBA,chagas,viviendas positivas,2007-04-01,2,2
SAIPINA,chagas,viviendas positivas,2007-04-01,22,22
SAN IGNACIO DE VELASCO,chagas,viviendas positivas,2007-04-01,1,1
SAN LORENZO(TJA),chagas,viviendas positivas,2007-04-01,7,7
SAPAHAQUI,chagas,viviendas positivas,2007-04-01,3,3
SIPE SIPE,chagas,viviendas positivas,2007-04-01,2,2
TAPACARI,chagas,viviendas positivas,2007-04-01,5,5
TARIJA,chagas,viviendas positivas,2007-04-01,10,10
TIQUIPAYA,chagas,viviendas positivas,2007-04-01,2,2
TOTORA(CBBA),chagas,viviendas positivas,2007-04-01,1,1
URIONDO (A. CONCEPCION),chagas,viviendas positivas,2007-04-01,2,2
VILA VILA,chagas,viviendas positivas,2007-04-01,24,24
VILLA RIVERO,chagas,viviendas positivas,2007-04-01,8,8
ACACIO,chagas,viviendas positivas,2007-05-01,3,3
AIQUILE,chagas,viviendas positivas,2007-05-01,17,17
ALCALA,chagas,viviendas positivas,2007-05-01,1,1
ANZALDO,chagas,viviendas positivas,2007-05-01,6,6
ARBIETO,chagas,viviendas positivas,2007-05-01,6,6
BETANZOS,chagas,viviendas positivas,2007-05-01,6,6
CAJUATA,chagas,viviendas positivas,2007-05-01,1,1
CAPINOTA,chagas,viviendas positivas,2007-05-01,3,3
CARAPARI,chagas,viviendas positivas,2007-05-01,3,3
COCHABAMBA,chagas,viviendas positivas,2007-05-01,110,110
COLCAPIRHUA,chagas,viviendas positivas,2007-05-01,5,5
COTOCA,chagas,viviendas positivas,2007-05-01,9,9
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas positivas,2007-05-01,2,2
EL PUENTE(TJA),chagas,viviendas positivas,2007-05-01,3,3
EL TORNO,chagas,viviendas positivas,2007-05-01,2,2
INQUISIVI,chagas,viviendas positivas,2007-05-01,5,5
MAIRANA,chagas,viviendas positivas,2007-05-01,70,70
MIZQUE,chagas,viviendas positivas,2007-05-01,1,1
OMEREQUE,chagas,viviendas positivas,2007-05-01,7,7
PASORAPA,chagas,viviendas positivas,2007-05-01,5,5
POCONA,chagas,viviendas positivas,2007-05-01,2,2
POJO (CBBA),chagas,viviendas positivas,2007-05-01,15,15
PUCARA,chagas,viviendas positivas,2007-05-01,16,16
QUILLACOLLO,chagas,viviendas positivas,2007-05-01,1,1
SACABA,chagas,viviendas positivas,2007-05-01,6,6
SAIPINA,chagas,viviendas positivas,2007-05-01,5,5
SAN LORENZO(TJA),chagas,viviendas positivas,2007-05-01,4,4
SAN LUCAS,chagas,viviendas positivas,2007-05-01,5,5
SIPE SIPE,chagas,viviendas positivas,2007-05-01,13,13
TARIJA,chagas,viviendas positivas,2007-05-01,7,7
TUPIZA,chagas,viviendas positivas,2007-05-01,6,6
VILA VILA,chagas,viviendas positivas,2007-05-01,7,7
VINTO,chagas,viviendas positivas,2007-05-01,1,1
AIQUILE,chagas,viviendas positivas,2007-06-01,28,28
ARBIETO,chagas,viviendas positivas,2007-06-01,2,2
ARQUE,chagas,viviendas positivas,2007-06-01,1,1
BERMEJO,chagas,viviendas positivas,2007-06-01,1,1
BETANZOS,chagas,viviendas positivas,2007-06-01,2,2
COCHABAMBA,chagas,viviendas positivas,2007-06-01,18,18
COROICO,chagas,viviendas positivas,2007-06-01,1,1
COTOCA,chagas,viviendas positivas,2007-06-01,3,3
MAIRANA,chagas,viviendas positivas,2007-06-01,3,3
MIZQUE,chagas,viviendas positivas,2007-06-01,15,15
OKINAWA,chagas,viviendas positivas,2007-06-01,1,1
OMEREQUE,chagas,viviendas positivas,2007-06-01,2,2
PASORAPA,chagas,viviendas positivas,2007-06-01,2,2
POJO (CBBA),chagas,viviendas positivas,2007-06-01,28,28
POROMA,chagas,viviendas positivas,2007-06-01,8,8
PUCARA,chagas,viviendas positivas,2007-06-01,2,2
QUILLACOLLO,chagas,viviendas positivas,2007-06-01,2,2
QUIRUSILLAS,chagas,viviendas positivas,2007-06-01,3,3
TACOPAYA,chagas,viviendas positivas,2007-06-01,1,1
TARATA,chagas,viviendas positivas,2007-06-01,2,2
TOTORA(CBBA),chagas,viviendas positivas,2007-06-01,6,6
TUPIZA,chagas,viviendas positivas,2007-06-01,4,4
YUNCHARA,chagas,viviendas positivas,2007-06-01,16,16
AIQUILE,chagas,viviendas positivas,2007-07-01,18,18
ANZALDO,chagas,viviendas positivas,2007-07-01,31,31
ARANI,chagas,viviendas positivas,2007-07-01,16,16
ARBIETO,chagas,viviendas positivas,2007-07-01,8,8
CAJUATA,chagas,viviendas positivas,2007-07-01,1,1
COCHABAMBA,chagas,viviendas positivas,2007-07-01,1,1
COTOCA,chagas,viviendas positivas,2007-07-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas positivas,2007-07-01,5,5
EL TORNO,chagas,viviendas positivas,2007-07-01,16,16
GUAYARAMERIN,chagas,viviendas positivas,2007-07-01,1,1
INCAHUASI,chagas,viviendas positivas,2007-07-01,2,2
MAIRANA,chagas,viviendas positivas,2007-07-01,3,3
MIZQUE,chagas,viviendas positivas,2007-07-01,58,58
OKINAWA,chagas,viviendas positivas,2007-07-01,7,7
PADCAYA,chagas,viviendas positivas,2007-07-01,1,1
PASORAPA,chagas,viviendas positivas,2007-07-01,1,1
POJO (CBBA),chagas,viviendas positivas,2007-07-01,7,7
POROMA,chagas,viviendas positivas,2007-07-01,9,9
QUIRUSILLAS,chagas,viviendas positivas,2007-07-01,1,1
SAIPINA,chagas,viviendas positivas,2007-07-01,5,5
SAN LUCAS,chagas,viviendas positivas,2007-07-01,5,5
SAN PEDRO DE BUENA VISTA,chagas,viviendas positivas,2007-07-01,15,15
SUCRE,chagas,viviendas positivas,2007-07-01,1,1
TOMINA,chagas,viviendas positivas,2007-07-01,3,3
TOTORA(CBBA),chagas,viviendas positivas,2007-07-01,13,13
URIONDO (A. CONCEPCION),chagas,viviendas positivas,2007-07-01,1,1
AIQUILE,chagas,viviendas positivas,2007-08-01,18,18
ARANI,chagas,viviendas positivas,2007-08-01,12,12
ARBIETO,chagas,viviendas positivas,2007-08-01,120,120
ARQUE,chagas,viviendas positivas,2007-08-01,3,3
CABEZAS,chagas,viviendas positivas,2007-08-01,21,21
CAJUATA,chagas,viviendas positivas,2007-08-01,1,1
COCHABAMBA,chagas,viviendas positivas,2007-08-01,24,24
COLCAPIRHUA,chagas,viviendas positivas,2007-08-01,1,1
COTOCA,chagas,viviendas positivas,2007-08-01,1,1
EL TORNO,chagas,viviendas positivas,2007-08-01,15,15
EL VILLAR,chagas,viviendas positivas,2007-08-01,10,10
INCAHUASI,chagas,viviendas positivas,2007-08-01,7,7
LICOMA PAMPA,chagas,viviendas positivas,2007-08-01,8,8
MAIRANA,chagas,viviendas positivas,2007-08-01,3,3
MORO MORO,chagas,viviendas positivas,2007-08-01,3,3
OKINAWA,chagas,viviendas positivas,2007-08-01,5,5
OMEREQUE,chagas,viviendas positivas,2007-08-01,6,6
PADCAYA,chagas,viviendas positivas,2007-08-01,1,1
PAILON,chagas,viviendas positivas,2007-08-01,9,9
PASORAPA,chagas,viviendas positivas,2007-08-01,5,5
POROMA,chagas,viviendas positivas,2007-08-01,8,8
PUCARA,chagas,viviendas positivas,2007-08-01,1,1
PUNA,chagas,viviendas positivas,2007-08-01,3,3
QUIRUSILLAS,chagas,viviendas positivas,2007-08-01,3,3
SACABA,chagas,viviendas positivas,2007-08-01,8,8
SAIPINA,chagas,viviendas positivas,2007-08-01,10,10
SAN LORENZO(TJA),chagas,viviendas positivas,2007-08-01,1,1
SAN LUCAS,chagas,viviendas positivas,2007-08-01,5,5
SAN PEDRO DE BUENA VISTA,chagas,viviendas positivas,2007-08-01,7,7
TARATA,chagas,viviendas positivas,2007-08-01,1,1
TARIJA,chagas,viviendas positivas,2007-08-01,1,1
TIQUIPAYA,chagas,viviendas positivas,2007-08-01,1,1
TOTORA(CBBA),chagas,viviendas positivas,2007-08-01,5,5
TUPIZA,chagas,viviendas positivas,2007-08-01,4,4
URIONDO (A. CONCEPCION),chagas,viviendas positivas,2007-08-01,4,4
VILA VILA,chagas,viviendas positivas,2007-08-01,3,3
VILLA SERRANO,chagas,viviendas positivas,2007-08-01,5,5
ACACIO,chagas,viviendas positivas,2007-09-01,4,4
AIQUILE,chagas,viviendas positivas,2007-09-01,53,53
ANZALDO,chagas,viviendas positivas,2007-09-01,9,9
ARAMPAMPA,chagas,viviendas positivas,2007-09-01,12,12
ARANI,chagas,viviendas positivas,2007-09-01,14,14
ARBIETO,chagas,viviendas positivas,2007-09-01,10,10
AZURDUY,chagas,viviendas positivas,2007-09-01,105,105
CABEZAS,chagas,viviendas positivas,2007-09-01,20,20
CAJUATA,chagas,viviendas positivas,2007-09-01,7,7
CAPINOTA,chagas,viviendas positivas,2007-09-01,7,7
COLCAPIRHUA,chagas,viviendas positivas,2007-09-01,1,1
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas positivas,2007-09-01,1,1
EL TORNO,chagas,viviendas positivas,2007-09-01,4,4
EL VILLAR,chagas,viviendas positivas,2007-09-01,8,8
INCAHUASI,chagas,viviendas positivas,2007-09-01,2,2
MAIRANA,chagas,viviendas positivas,2007-09-01,1,1
OKINAWA,chagas,viviendas positivas,2007-09-01,2,2
OMEREQUE,chagas,viviendas positivas,2007-09-01,52,52
PAILON,chagas,viviendas positivas,2007-09-01,5,5
PASORAPA,chagas,viviendas positivas,2007-09-01,2,2
POCONA,chagas,viviendas positivas,2007-09-01,1,1
POJO (CBBA),chagas,viviendas positivas,2007-09-01,29,29
POROMA,chagas,viviendas positivas,2007-09-01,6,6
PUCARA,chagas,viviendas positivas,2007-09-01,3,3
REYES,chagas,viviendas positivas,2007-09-01,1,1
SACABA,chagas,viviendas positivas,2007-09-01,6,6
SAIPINA,chagas,viviendas positivas,2007-09-01,13,13
SAMAIPATA,chagas,viviendas positivas,2007-09-01,3,3
SAN PEDRO DE BUENA VISTA,chagas,viviendas positivas,2007-09-01,12,12
SANTIVAÑES,chagas,viviendas positivas,2007-09-01,2,2
SICAYA,chagas,viviendas positivas,2007-09-01,3,3
TARIJA,chagas,viviendas positivas,2007-09-01,80,80
VILA VILA,chagas,viviendas positivas,2007-09-01,1,1
AIQUILE,chagas,viviendas positivas,2007-10-01,31,31
ANZALDO,chagas,viviendas positivas,2007-10-01,12,12
ARANI,chagas,viviendas positivas,2007-10-01,22,22
ARBIETO,chagas,viviendas positivas,2007-10-01,2,2
AZURDUY,chagas,viviendas positivas,2007-10-01,86,86
CAPINOTA,chagas,viviendas positivas,2007-10-01,10,10
COCHABAMBA,chagas,viviendas positivas,2007-10-01,5,5
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas positivas,2007-10-01,1,1
EL PUENTE(TJA),chagas,viviendas positivas,2007-10-01,3,3
EL TORNO,chagas,viviendas positivas,2007-10-01,10,10
EL VILLAR,chagas,viviendas positivas,2007-10-01,25,25
GUTIERREZ,chagas,viviendas positivas,2007-10-01,8,8
INCAHUASI,chagas,viviendas positivas,2007-10-01,3,3
LURIBAY,chagas,viviendas positivas,2007-10-01,50,50
MIZQUE,chagas,viviendas positivas,2007-10-01,69,69
MOJOCOYA,chagas,viviendas positivas,2007-10-01,30,30
OMEREQUE,chagas,viviendas positivas,2007-10-01,50,50
PASORAPA,chagas,viviendas positivas,2007-10-01,15,15
POJO (CBBA),chagas,viviendas positivas,2007-10-01,5,5
POROMA,chagas,viviendas positivas,2007-10-01,3,3
POSTRER VALLE,chagas,viviendas positivas,2007-10-01,5,5
QUILLACOLLO,chagas,viviendas positivas,2007-10-01,1,1
SACABA,chagas,viviendas positivas,2007-10-01,21,21
SAN LORENZO(TJA),chagas,viviendas positivas,2007-10-01,6,6
SAN PEDRO DE BUENA VISTA,chagas,viviendas positivas,2007-10-01,8,8
SIPE SIPE,chagas,viviendas positivas,2007-10-01,1,1
TARATA,chagas,viviendas positivas,2007-10-01,5,5
TARIJA,chagas,viviendas positivas,2007-10-01,16,16
TOTORA(CBBA),chagas,viviendas positivas,2007-10-01,6,6
TUPIZA,chagas,viviendas positivas,2007-10-01,1,1
URIONDO (A. CONCEPCION),chagas,viviendas positivas,2007-10-01,5,5
VILA VILA,chagas,viviendas positivas,2007-10-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),chagas,viviendas positivas,2007-10-01,2,2
VINTO,chagas,viviendas positivas,2007-10-01,2,2
AIQUILE,chagas,viviendas positivas,2007-11-01,21,21
ANZALDO,chagas,viviendas positivas,2007-11-01,469,469
ARANI,chagas,viviendas positivas,2007-11-01,19,19
CABEZAS,chagas,viviendas positivas,2007-11-01,4,4
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas positivas,2007-11-01,9,9
CHARAGUA,chagas,viviendas positivas,2007-11-01,111,111
CLIZA,chagas,viviendas positivas,2007-11-01,2,2
EL TORNO,chagas,viviendas positivas,2007-11-01,16,16
LA GUARDIA,chagas,viviendas positivas,2007-11-01,3,3
LURIBAY,chagas,viviendas positivas,2007-11-01,11,11
MAIRANA,chagas,viviendas positivas,2007-11-01,1,1
MOJOCOYA,chagas,viviendas positivas,2007-11-01,29,29
MORO MORO,chagas,viviendas positivas,2007-11-01,13,13
OMEREQUE,chagas,viviendas positivas,2007-11-01,28,28
PADCAYA,chagas,viviendas positivas,2007-11-01,1,1
PASORAPA,chagas,viviendas positivas,2007-11-01,4,4
POCONA,chagas,viviendas positivas,2007-11-01,4,4
POJO (CBBA),chagas,viviendas positivas,2007-11-01,7,7
POROMA,chagas,viviendas positivas,2007-11-01,5,5
PORONGO,chagas,viviendas positivas,2007-11-01,4,4
POSTRER VALLE,chagas,viviendas positivas,2007-11-01,1,1
QUILLACOLLO,chagas,viviendas positivas,2007-11-01,2,2
QUIRUSILLAS,chagas,viviendas positivas,2007-11-01,2,2
RAVELO,chagas,viviendas positivas,2007-11-01,6,6
RIBERALTA,chagas,viviendas positivas,2007-11-01,4,4
SACABA,chagas,viviendas positivas,2007-11-01,13,13
SAIPINA,chagas,viviendas positivas,2007-11-01,3,3
SAMAIPATA,chagas,viviendas positivas,2007-11-01,4,4
SAN BENITO,chagas,viviendas positivas,2007-11-01,18,18
SICAYA,chagas,viviendas positivas,2007-11-01,10,10
SIPE SIPE,chagas,viviendas positivas,2007-11-01,4,4
TARATA,chagas,viviendas positivas,2007-11-01,3,3
TARIJA,chagas,viviendas positivas,2007-11-01,11,11
TOMINA,chagas,viviendas positivas,2007-11-01,14,14
TOTORA(CBBA),chagas,viviendas positivas,2007-11-01,3,3
TUPIZA,chagas,viviendas positivas,2007-11-01,11,11
URIONDO (A. CONCEPCION),chagas,viviendas positivas,2007-11-01,7,7
VILA VILA,chagas,viviendas positivas,2007-11-01,5,5
AIQUILE,chagas,viviendas positivas,2007-12-01,51,51
ANZALDO,chagas,viviendas positivas,2007-12-01,2,2
AZURDUY,chagas,viviendas positivas,2007-12-01,1,1
BERMEJO,chagas,viviendas positivas,2007-12-01,1,1
CABEZAS,chagas,viviendas positivas,2007-12-01,2,2
COCHABAMBA,chagas,viviendas positivas,2007-12-01,7,7
COLQUECHACA,chagas,viviendas positivas,2007-12-01,7,7
COTOCA,chagas,viviendas positivas,2007-12-01,8,8
CULPINA,chagas,viviendas positivas,2007-12-01,124,124
EL TORNO,chagas,viviendas positivas,2007-12-01,1,1
EL VILLAR,chagas,viviendas positivas,2007-12-01,9,9
LA GUARDIA,chagas,viviendas positivas,2007-12-01,17,17
MIZQUE,chagas,viviendas positivas,2007-12-01,5,5
MOJOCOYA,chagas,viviendas positivas,2007-12-01,22,22
MONTEAGUDO,chagas,viviendas positivas,2007-12-01,48,48
MORO MORO,chagas,viviendas positivas,2007-12-01,9,9
OMEREQUE,chagas,viviendas positivas,2007-12-01,15,15
PADCAYA,chagas,viviendas positivas,2007-12-01,3,3
PAILON,chagas,viviendas positivas,2007-12-01,3,3
POCONA,chagas,viviendas positivas,2007-12-01,4,4
POJO (CBBA),chagas,viviendas positivas,2007-12-01,2,2
POROMA,chagas,viviendas positivas,2007-12-01,30,30
PORONGO,chagas,viviendas positivas,2007-12-01,5,5
PUCARA,chagas,viviendas positivas,2007-12-01,2,2
PUNATA,chagas,viviendas positivas,2007-12-01,8,8
QUIRUSILLAS,chagas,viviendas positivas,2007-12-01,2,2
RAVELO,chagas,viviendas positivas,2007-12-01,2,2
SACABA,chagas,viviendas positivas,2007-12-01,13,13
SAIPINA,chagas,viviendas positivas,2007-12-01,8,8
SAMAIPATA,chagas,viviendas positivas,2007-12-01,2,2
SAN JOSE DE CHIQUITOS,chagas,viviendas positivas,2007-12-01,2,2
SAN LUCAS,chagas,viviendas positivas,2007-12-01,1,1
SAN PEDRO DE BUENA VISTA,chagas,viviendas positivas,2007-12-01,84,84
TACOPAYA,chagas,viviendas positivas,2007-12-01,2,2
TARATA,chagas,viviendas positivas,2007-12-01,6,6
TOMINA,chagas,viviendas positivas,2007-12-01,7,7
TOTORA(CBBA),chagas,viviendas positivas,2007-12-01,6,6
TUPIZA,chagas,viviendas positivas,2007-12-01,5,5
URIONDO (A. CONCEPCION),chagas,viviendas positivas,2007-12-01,2,2
