municipality,group,variable,month,Positivos en el mes niños menores de 5 años,TOTAL
BERMEJO,chagas,positivos en el mes ninos menores de 5 anos,2007-05-01,1,1
COCHABAMBA,chagas,positivos en el mes ninos menores de 5 anos,2007-05-01,1,1
PADILLA,chagas,positivos en el mes ninos menores de 5 anos,2007-05-01,1,1
PRESTO,chagas,positivos en el mes ninos menores de 5 anos,2007-05-01,1,1
QUILLACOLLO,chagas,positivos en el mes ninos menores de 5 anos,2007-05-01,1,1
SIPE SIPE,chagas,positivos en el mes ninos menores de 5 anos,2007-05-01,1,1
AIQUILE,chagas,positivos en el mes ninos menores de 5 anos,2007-06-01,3,3
COLCAPIRHUA,chagas,positivos en el mes ninos menores de 5 anos,2007-06-01,5,5
MIZQUE,chagas,positivos en el mes ninos menores de 5 anos,2007-06-01,1,1
QUILLACOLLO,chagas,positivos en el mes ninos menores de 5 anos,2007-06-01,1,1
SIPE SIPE,chagas,positivos en el mes ninos menores de 5 anos,2007-06-01,1,1
BERMEJO,chagas,positivos en el mes ninos menores de 5 anos,2007-07-01,1,1
MIZQUE,chagas,positivos en el mes ninos menores de 5 anos,2007-07-01,1,1
SAN LUCAS,chagas,positivos en el mes ninos menores de 5 anos,2007-07-01,1,1
TUPIZA,chagas,positivos en el mes ninos menores de 5 anos,2007-07-01,1,1
VINTO,chagas,positivos en el mes ninos menores de 5 anos,2007-07-01,1,1
PADCAYA,chagas,positivos en el mes ninos menores de 5 anos,2007-08-01,1,1
PADILLA,chagas,positivos en el mes ninos menores de 5 anos,2007-08-01,3,3
POROMA,chagas,positivos en el mes ninos menores de 5 anos,2007-08-01,75,75
COLCAPIRHUA,chagas,positivos en el mes ninos menores de 5 anos,2007-09-01,2,2
POROMA,chagas,positivos en el mes ninos menores de 5 anos,2007-09-01,6,6
SICAYA,chagas,positivos en el mes ninos menores de 5 anos,2007-09-01,1,1
URIONDO (A. CONCEPCION),chagas,positivos en el mes ninos menores de 5 anos,2007-09-01,5,5
YACUIBA,chagas,positivos en el mes ninos menores de 5 anos,2007-09-01,7,7
COCHABAMBA,chagas,positivos en el mes ninos menores de 5 anos,2007-10-01,3,3
MIZQUE,chagas,positivos en el mes ninos menores de 5 anos,2007-10-01,2,2
POROMA,chagas,positivos en el mes ninos menores de 5 anos,2007-10-01,5,5
TIQUIPAYA,chagas,positivos en el mes ninos menores de 5 anos,2007-10-01,1,1
YACUIBA,chagas,positivos en el mes ninos menores de 5 anos,2007-10-01,1,1
LA GUARDIA,chagas,positivos en el mes ninos menores de 5 anos,2007-11-01,2,2
PADCAYA,chagas,positivos en el mes ninos menores de 5 anos,2007-11-01,2,2
POROMA,chagas,positivos en el mes ninos menores de 5 anos,2007-11-01,1,1
SAN LUCAS,chagas,positivos en el mes ninos menores de 5 anos,2007-11-01,1,1
SIPE SIPE,chagas,positivos en el mes ninos menores de 5 anos,2007-11-01,1,1
TIQUIPAYA,chagas,positivos en el mes ninos menores de 5 anos,2007-11-01,2,2
AZURDUY,chagas,positivos en el mes ninos menores de 5 anos,2007-12-01,2,2
COCHABAMBA,chagas,positivos en el mes ninos menores de 5 anos,2007-12-01,1,1
PASORAPA,chagas,positivos en el mes ninos menores de 5 anos,2007-12-01,3,3
PORONGO,chagas,positivos en el mes ninos menores de 5 anos,2007-12-01,2,2
SAN PEDRO DE BUENA VISTA,chagas,positivos en el mes ninos menores de 5 anos,2007-12-01,1,1
