municipality,group,variable,month,Ingresos referidos de otros establecim,TOTAL
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
PUERTO RICO,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-01-01,15,15
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-01-01,17,17
PUNATA,internaciones,ingresos referidos de otros establecim,2008-01-01,17,17
QUILLACOLLO,internaciones,ingresos referidos de otros establecim,2008-01-01,17,17
REYES,internaciones,ingresos referidos de otros establecim,2008-01-01,5,5
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-01-01,193,193
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-01-01,24,24
SACABA,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
SACACA,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
SAMAIPATA,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
SAN ANTONIO DE LOMERIO,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
SAN BORJA,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-01-01,33,33
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-01-01,10,10
SAN JOAQUIN,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecim,2008-01-01,5,5
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-01-01,6,6
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-01-01,13,13
SAN MATIAS,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
SAN MIGUEL DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
SAN RAMON,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-01-01,202,202
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
SUCRE,internaciones,ingresos referidos de otros establecim,2008-01-01,56,56
TARABUCO,internaciones,ingresos referidos de otros establecim,2008-01-01,6,6
TARATA,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
TARIJA,internaciones,ingresos referidos de otros establecim,2008-01-01,244,244
TARVITA,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
TIRAQUE (CBBA),internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
TOTORA(CBBA),internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
TRINIDAD,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-01-01,47,47
UNCIA,internaciones,ingresos referidos de otros establecim,2008-01-01,26,26
URIONDO (A. CONCEPCION),internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
UYUNI,internaciones,ingresos referidos de otros establecim,2008-01-01,7,7
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-01-01,3,3
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-01-01,20,20
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-01-01,21,21
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-01-01,5,5
VITICHI,internaciones,ingresos referidos de otros establecim,2008-01-01,1,1
WARNES,internaciones,ingresos referidos de otros establecim,2008-01-01,2,2
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-01-01,32,32
YAPACANI,internaciones,ingresos referidos de otros establecim,2008-01-01,5,5
ACACIO,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
ACHACACHI,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-02-01,4,4
APOLO,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
ARQUE,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-02-01,8,8
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-02-01,8,8
AZURDUY,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-02-01,7,7
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-02-01,50,50
CAPINOTA,internaciones,ingresos referidos de otros establecim,2008-02-01,7,7
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-02-01,28,28
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-02-01,7,7
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
COBIJA,internaciones,ingresos referidos de otros establecim,2008-02-01,52,52
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-02-01,55,55
"COLCHA ""K""",internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
COMARAPA,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
CONCEPCION,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
COROICO,internaciones,ingresos referidos de otros establecim,2008-02-01,7,7
COTAGAITA,internaciones,ingresos referidos de otros establecim,2008-02-01,6,6
COTOCA,internaciones,ingresos referidos de otros establecim,2008-02-01,26,26
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-02-01,286,286
EL CHORO,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
EL TORNO,internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-02-01,19,19
GUTIERREZ,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
HUANUNI,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
ICLA,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
IXIAMAS,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-02-01,5,5
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-02-01,1597,1597
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
MAGDALENA,internaciones,ingresos referidos de otros establecim,2008-02-01,6,6
MAIRANA,internaciones,ingresos referidos de otros establecim,2008-02-01,5,5
MAPIRI,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-02-01,17,17
MONTERO,internaciones,ingresos referidos de otros establecim,2008-02-01,66,66
ORURO,internaciones,ingresos referidos de otros establecim,2008-02-01,131,131
PADILLA,internaciones,ingresos referidos de otros establecim,2008-02-01,20,20
PALOS BLANCOS,internaciones,ingresos referidos de otros establecim,2008-02-01,5,5
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-02-01,5,5
POTOSI,internaciones,ingresos referidos de otros establecim,2008-02-01,36,36
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
PUERTO RICO,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-02-01,14,14
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-02-01,27,27
PUNATA,internaciones,ingresos referidos de otros establecim,2008-02-01,8,8
QUILLACOLLO,internaciones,ingresos referidos de otros establecim,2008-02-01,32,32
REYES,internaciones,ingresos referidos de otros establecim,2008-02-01,10,10
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-02-01,176,176
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-02-01,17,17
SACABA,internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
SACABAMBA,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
SACACA,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
SAMAIPATA,internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
SAN BORJA,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-02-01,6,6
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-02-01,33,33
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-02-01,10,10
SAN JOAQUIN,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecim,2008-02-01,4,4
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-02-01,5,5
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-02-01,10,10
SAN RAMON,internaciones,ingresos referidos de otros establecim,2008-02-01,7,7
SANTA ANA,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-02-01,258,258
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-02-01,5,5
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-02-01,9,9
SORATA,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
SUCRE,internaciones,ingresos referidos de otros establecim,2008-02-01,65,65
TARABUCO,internaciones,ingresos referidos de otros establecim,2008-02-01,6,6
TARIJA,internaciones,ingresos referidos de otros establecim,2008-02-01,202,202
TIAWANACU,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
TIPUANI,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
TIQUIPAYA,internaciones,ingresos referidos de otros establecim,2008-02-01,5,5
TOMAVE,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
TOMINA,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
TRINIDAD,internaciones,ingresos referidos de otros establecim,2008-02-01,6,6
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-02-01,29,29
UNCIA,internaciones,ingresos referidos de otros establecim,2008-02-01,1,1
UYUNI,internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-02-01,3,3
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-02-01,27,27
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-02-01,24,24
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-02-01,8,8
VITICHI,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
WARNES,internaciones,ingresos referidos de otros establecim,2008-02-01,5,5
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-02-01,12,12
YAPACANI,internaciones,ingresos referidos de otros establecim,2008-02-01,2,2
ACACIO,internaciones,ingresos referidos de otros establecim,2008-03-01,3,3
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-03-01,5,5
APOLO,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
ARANI,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-03-01,9,9
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-03-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-03-01,5,5
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-03-01,9,9
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
BOYUIBE,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-03-01,3,3
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-03-01,5,5
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-03-01,10,10
CARACOLLO,internaciones,ingresos referidos de otros establecim,2008-03-01,6,6
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-03-01,28,28
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-03-01,9,9
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-03-01,4,4
CHAYANTA,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
COBIJA,internaciones,ingresos referidos de otros establecim,2008-03-01,43,43
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-03-01,20,20
COLOMI,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
CONCEPCION,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
COROICO,internaciones,ingresos referidos de otros establecim,2008-03-01,12,12
COTAGAITA,internaciones,ingresos referidos de otros establecim,2008-03-01,4,4
COTOCA,internaciones,ingresos referidos de otros establecim,2008-03-01,44,44
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-03-01,300,300
EL PUENTE(STC),internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
EL TORNO,internaciones,ingresos referidos de otros establecim,2008-03-01,6,6
ENTRE RIOS,internaciones,ingresos referidos de otros establecim,2008-03-01,13,13
FILADELFIA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecim,2008-03-01,3,3
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-03-01,50,50
HUACHACALLA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-03-01,6,6
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-03-01,1363,1363
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-03-01,12,12
MACHARETI,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
MAGDALENA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
MAIRANA,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-03-01,23,23
MONTERO,internaciones,ingresos referidos de otros establecim,2008-03-01,80,80
OCURI,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
ORURO,internaciones,ingresos referidos de otros establecim,2008-03-01,209,209
PADILLA,internaciones,ingresos referidos de otros establecim,2008-03-01,21,21
PALCA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
PAMPA GRANDE,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-03-01,3,3
POTOSI,internaciones,ingresos referidos de otros establecim,2008-03-01,50,50
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecim,2008-03-01,7,7
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
PUERTO RICO,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-03-01,16,16
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-03-01,25,25
PUNA,internaciones,ingresos referidos de otros establecim,2008-03-01,4,4
PUNATA,internaciones,ingresos referidos de otros establecim,2008-03-01,24,24
QUILLACOLLO,internaciones,ingresos referidos de otros establecim,2008-03-01,4,4
QUIME,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
REYES,internaciones,ingresos referidos de otros establecim,2008-03-01,6,6
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-03-01,370,370
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-03-01,32,32
SACABA,internaciones,ingresos referidos de otros establecim,2008-03-01,9,9
SACABAMBA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
SAMAIPATA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
SAN ANTONIO DE LOMERIO,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
SAN BORJA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-03-01,32,32
SAN IGNACIO,internaciones,ingresos referidos de otros establecim,2008-03-01,3,3
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-03-01,8,8
SAN JAVIER(STC),internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-03-01,9,9
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-03-01,9,9
SAN MATIAS,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
SAN PEDRO DE BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
SAN RAMON,internaciones,ingresos referidos de otros establecim,2008-03-01,10,10
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-03-01,259,259
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-03-01,6,6
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-03-01,4,4
SORATA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
SUCRE,internaciones,ingresos referidos de otros establecim,2008-03-01,66,66
TACACOMA,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
TARABUCO,internaciones,ingresos referidos de otros establecim,2008-03-01,5,5
TARIJA,internaciones,ingresos referidos de otros establecim,2008-03-01,134,134
TARVITA,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
TIRAQUE (CBBA),internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
TOMINA,internaciones,ingresos referidos de otros establecim,2008-03-01,3,3
TOTORA(CBBA),internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
TRIGAL,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-03-01,49,49
UNCIA,internaciones,ingresos referidos de otros establecim,2008-03-01,30,30
UYUNI,internaciones,ingresos referidos de otros establecim,2008-03-01,7,7
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-03-01,2,2
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-03-01,23,23
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-03-01,20,20
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecim,2008-03-01,4,4
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-03-01,6,6
WARNES,internaciones,ingresos referidos de otros establecim,2008-03-01,3,3
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-03-01,11,11
YAPACANI,internaciones,ingresos referidos de otros establecim,2008-03-01,8,8
ZUDAÑEZ,internaciones,ingresos referidos de otros establecim,2008-03-01,1,1
ACHACACHI,internaciones,ingresos referidos de otros establecim,2008-04-01,5,5
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-04-01,10,10
APOLO,internaciones,ingresos referidos de otros establecim,2008-04-01,5,5
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-04-01,14,14
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-04-01,26,26
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
AZURDUY,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-04-01,15,15
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-04-01,5,5
BOYUIBE,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-04-01,4,4
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-04-01,5,5
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-04-01,14,14
CAPINOTA,internaciones,ingresos referidos de otros establecim,2008-04-01,7,7
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-04-01,29,29
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-04-01,9,9
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-04-01,4,4
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecim,2008-04-01,6,6
CHUMA,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
COBIJA,internaciones,ingresos referidos de otros establecim,2008-04-01,38,38
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-04-01,30,30
COLOMI,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
COMARAPA,internaciones,ingresos referidos de otros establecim,2008-04-01,3,3
CONCEPCION,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
CORO CORO,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
COROICO,internaciones,ingresos referidos de otros establecim,2008-04-01,5,5
COTAGAITA,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
COTOCA,internaciones,ingresos referidos de otros establecim,2008-04-01,36,36
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
CULPINA,internaciones,ingresos referidos de otros establecim,2008-04-01,3,3
CURAHUARA DE CARANGAS,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-04-01,316,316
EL TORNO,internaciones,ingresos referidos de otros establecim,2008-04-01,5,5
ENTRE RIOS,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
EXALTACION,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
FILADELFIA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-04-01,27,27
HUACHACALLA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
HUARACAJE,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-04-01,1531,1531
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-04-01,17,17
MACHARETI,internaciones,ingresos referidos de otros establecim,2008-04-01,7,7
MAGDALENA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
MAIRANA,internaciones,ingresos referidos de otros establecim,2008-04-01,1,1
MAPIRI,internaciones,ingresos referidos de otros establecim,2008-04-01,2,2
MIZQUE,internaciones,ingresos referidos de otros establecim,2008-04-01,3,3
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-04-01,24,24
MONTERO,internaciones,ingresos referidos de otros establecim,2008-04-01,73,73
