municipality,group,variable,month,0 Contrareferidos,TOTAL
TARATA,internaciones,contrareferidos,2008-01-01,1,1
TARVITA,internaciones,contrareferidos,2008-01-01,61,61
TIRAQUE (CBBA),internaciones,contrareferidos,2008-01-01,434,434
TOCO,internaciones,contrareferidos,2008-01-01,1,1
TOMINA,internaciones,contrareferidos,2008-01-01,2,2
TRINIDAD,internaciones,contrareferidos,2008-01-01,5,5
TUPIZA,internaciones,contrareferidos,2008-01-01,54,54
VILLAZON,internaciones,contrareferidos,2008-01-01,55,55
YACUIBA,internaciones,contrareferidos,2008-01-01,24,24
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2008-02-01,6,6
ATOCHA,internaciones,contrareferidos,2008-02-01,23,23
AZURDUY,internaciones,contrareferidos,2008-02-01,1,1
BOLIVAR,internaciones,contrareferidos,2008-02-01,4,4
CAMARGO,internaciones,contrareferidos,2008-02-01,5,5
CAPINOTA,internaciones,contrareferidos,2008-02-01,3,3
COBIJA,internaciones,contrareferidos,2008-02-01,22,22
COCHABAMBA,internaciones,contrareferidos,2008-02-01,6,6
COLCAPIRHUA,internaciones,contrareferidos,2008-02-01,1,1
EL ALTO,internaciones,contrareferidos,2008-02-01,150,150
FERNANDEZ ALONSO,internaciones,contrareferidos,2008-02-01,116,116
GUAYARAMERIN,internaciones,contrareferidos,2008-02-01,9,9
GUTIERREZ,internaciones,contrareferidos,2008-02-01,1,1
HUANUNI,internaciones,contrareferidos,2008-02-01,6,6
LA GUARDIA,internaciones,contrareferidos,2008-02-01,1,1
LA PAZ,internaciones,contrareferidos,2008-02-01,73,73
MACHARETI,internaciones,contrareferidos,2008-02-01,2,2
MONTEAGUDO,internaciones,contrareferidos,2008-02-01,6,6
ORURO,internaciones,contrareferidos,2008-02-01,151,151
PADILLA,internaciones,contrareferidos,2008-02-01,4,4
POJO (CBBA),internaciones,contrareferidos,2008-02-01,1,1
POTOSI,internaciones,contrareferidos,2008-02-01,36,36
PUERTO QUIJARRO,internaciones,contrareferidos,2008-02-01,2,2
PUERTO SUAREZ,internaciones,contrareferidos,2008-02-01,3,3
RIBERALTA,internaciones,contrareferidos,2008-02-01,74,74
RURRENABAQUE,internaciones,contrareferidos,2008-02-01,1,1
SACABAMBA,internaciones,contrareferidos,2008-02-01,1,1
SAIPINA,internaciones,contrareferidos,2008-02-01,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-02-01,4,4
SAN LUCAS,internaciones,contrareferidos,2008-02-01,4,4
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-02-01,165,165
SANTIAGO DE MACHACA,internaciones,contrareferidos,2008-02-01,1,1
SUCRE,internaciones,contrareferidos,2008-02-01,11,11
TARATA,internaciones,contrareferidos,2008-02-01,1,1
TRINIDAD,internaciones,contrareferidos,2008-02-01,6,6
TUPIZA,internaciones,contrareferidos,2008-02-01,7,7
VILLA MONTES,internaciones,contrareferidos,2008-02-01,1,1
VILLA TUNARI,internaciones,contrareferidos,2008-02-01,20,20
VILLAZON,internaciones,contrareferidos,2008-02-01,28,28
VITICHI,internaciones,contrareferidos,2008-02-01,1,1
YACUIBA,internaciones,contrareferidos,2008-02-01,13,13
YAMPARAEZ,internaciones,contrareferidos,2008-02-01,3,3
YAPACANI,internaciones,contrareferidos,2008-02-01,2,2
ATOCHA,internaciones,contrareferidos,2008-03-01,7,7
BOLIVAR,internaciones,contrareferidos,2008-03-01,4,4
COBIJA,internaciones,contrareferidos,2008-03-01,9,9
COCHABAMBA,internaciones,contrareferidos,2008-03-01,9,9
COLCAPIRHUA,internaciones,contrareferidos,2008-03-01,1,1
COLOMI,internaciones,contrareferidos,2008-03-01,1,1
COMARAPA,internaciones,contrareferidos,2008-03-01,1,1
COTOCA,internaciones,contrareferidos,2008-03-01,2,2
EL ALTO,internaciones,contrareferidos,2008-03-01,124,124
EL VILLAR,internaciones,contrareferidos,2008-03-01,1,1
GENERAL SAAVEDRA,internaciones,contrareferidos,2008-03-01,1,1
HUANUNI,internaciones,contrareferidos,2008-03-01,6,6
LA GUARDIA,internaciones,contrareferidos,2008-03-01,2,2
LA PAZ,internaciones,contrareferidos,2008-03-01,69,69
MONTEAGUDO,internaciones,contrareferidos,2008-03-01,6,6
OKINAWA,internaciones,contrareferidos,2008-03-01,1,1
ORURO,internaciones,contrareferidos,2008-03-01,171,171
PORTACHUELO,internaciones,contrareferidos,2008-03-01,1,1
POTOSI,internaciones,contrareferidos,2008-03-01,50,50
PUERTO SUAREZ,internaciones,contrareferidos,2008-03-01,13,13
RIBERALTA,internaciones,contrareferidos,2008-03-01,207,207
RURRENABAQUE,internaciones,contrareferidos,2008-03-01,4,4
SACABA,internaciones,contrareferidos,2008-03-01,2,2
SACACA,internaciones,contrareferidos,2008-03-01,1,1
SAN BUENA VENTURA,internaciones,contrareferidos,2008-03-01,1,1
SAN CARLOS,internaciones,contrareferidos,2008-03-01,25,25
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-03-01,5,5
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2008-03-01,3,3
SAN LUCAS,internaciones,contrareferidos,2008-03-01,5,5
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2008-03-01,1,1
SAN PEDRO,internaciones,contrareferidos,2008-03-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2008-03-01,2,2
SAN RAMON,internaciones,contrareferidos,2008-03-01,1,1
SANTA ANA,internaciones,contrareferidos,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-03-01,249,249
SORATA,internaciones,contrareferidos,2008-03-01,3,3
SUCRE,internaciones,contrareferidos,2008-03-01,10,10
TARABUCO,internaciones,contrareferidos,2008-03-01,10,10
TOLEDO,internaciones,contrareferidos,2008-03-01,31,31
TOMINA,internaciones,contrareferidos,2008-03-01,2,2
TUPIZA,internaciones,contrareferidos,2008-03-01,47,47
VILLA TUNARI,internaciones,contrareferidos,2008-03-01,9,9
VILLAZON,internaciones,contrareferidos,2008-03-01,24,24
YACUIBA,internaciones,contrareferidos,2008-03-01,8,8
APOLO,internaciones,contrareferidos,2008-04-01,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2008-04-01,2,2
ATOCHA,internaciones,contrareferidos,2008-04-01,22,22
BERMEJO,internaciones,contrareferidos,2008-04-01,2,2
BETANZOS,internaciones,contrareferidos,2008-04-01,1,1
BOLIVAR,internaciones,contrareferidos,2008-04-01,3,3
CAPINOTA,internaciones,contrareferidos,2008-04-01,4,4
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2008-04-01,1,1
CHARAGUA,internaciones,contrareferidos,2008-04-01,1,1
COBIJA,internaciones,contrareferidos,2008-04-01,18,18
COCHABAMBA,internaciones,contrareferidos,2008-04-01,12,12
COLCAPIRHUA,internaciones,contrareferidos,2008-04-01,1,1
COROICO,internaciones,contrareferidos,2008-04-01,1,1
COTOCA,internaciones,contrareferidos,2008-04-01,4,4
EL ALTO,internaciones,contrareferidos,2008-04-01,213,213
GENERAL SAAVEDRA,internaciones,contrareferidos,2008-04-01,9,9
GUAYARAMERIN,internaciones,contrareferidos,2008-04-01,9,9
GUTIERREZ,internaciones,contrareferidos,2008-04-01,1,1
HUACARETA,internaciones,contrareferidos,2008-04-01,1,1
HUANUNI,internaciones,contrareferidos,2008-04-01,1,1
LA ASUNTA,internaciones,contrareferidos,2008-04-01,2,2
LA PAZ,internaciones,contrareferidos,2008-04-01,85,85
MONTEAGUDO,internaciones,contrareferidos,2008-04-01,16,16
MONTERO,internaciones,contrareferidos,2008-04-01,13,13
MORO MORO,internaciones,contrareferidos,2008-04-01,1,1
ORURO,internaciones,contrareferidos,2008-04-01,99,99
PALOS BLANCOS,internaciones,contrareferidos,2008-04-01,6,6
PORTACHUELO,internaciones,contrareferidos,2008-04-01,1,1
POTOSI,internaciones,contrareferidos,2008-04-01,27,27
PUCARANI,internaciones,contrareferidos,2008-04-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2008-04-01,13,13
PUERTO VILLARROEL,internaciones,contrareferidos,2008-04-01,1,1
RIBERALTA,internaciones,contrareferidos,2008-04-01,52,52
RURRENABAQUE,internaciones,contrareferidos,2008-04-01,1,1
SAN ANDRES,internaciones,contrareferidos,2008-04-01,1,1
SAN BUENA VENTURA,internaciones,contrareferidos,2008-04-01,1,1
SAN CARLOS,internaciones,contrareferidos,2008-04-01,11,11
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-04-01,5,5
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2008-04-01,6,6
SAN JUAN DE YAPACANI,internaciones,contrareferidos,2008-04-01,1,1
SAN LUCAS,internaciones,contrareferidos,2008-04-01,3,3
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2008-04-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2008-04-01,3,3
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-04-01,134,134
SUCRE,internaciones,contrareferidos,2008-04-01,14,14
TARABUCO,internaciones,contrareferidos,2008-04-01,9,9
TARACO,internaciones,contrareferidos,2008-04-01,1,1
TARATA,internaciones,contrareferidos,2008-04-01,1,1
TUPIZA,internaciones,contrareferidos,2008-04-01,57,57
VILLA TUNARI,internaciones,contrareferidos,2008-04-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,contrareferidos,2008-04-01,1,1
VILLAZON,internaciones,contrareferidos,2008-04-01,18,18
YACUIBA,internaciones,contrareferidos,2008-04-01,1,1
ANDAMARCA,internaciones,contrareferidos,2008-05-01,1,1
ATOCHA,internaciones,contrareferidos,2008-05-01,41,41
BOLIVAR,internaciones,contrareferidos,2008-05-01,5,5
CAPINOTA,internaciones,contrareferidos,2008-05-01,3,3
CHARAGUA,internaciones,contrareferidos,2008-05-01,3,3
COBIJA,internaciones,contrareferidos,2008-05-01,21,21
COCHABAMBA,internaciones,contrareferidos,2008-05-01,3,3
COIPASA,internaciones,contrareferidos,2008-05-01,1,1
COLCAPIRHUA,internaciones,contrareferidos,2008-05-01,1,1
COTOCA,internaciones,contrareferidos,2008-05-01,3,3
CULPINA,internaciones,contrareferidos,2008-05-01,1,1
EL ALTO,internaciones,contrareferidos,2008-05-01,106,106
EL PUENTE(STC),internaciones,contrareferidos,2008-05-01,1,1
GUAYARAMERIN,internaciones,contrareferidos,2008-05-01,6,6
GUTIERREZ,internaciones,contrareferidos,2008-05-01,1,1
HUACARETA,internaciones,contrareferidos,2008-05-01,1,1
LA PAZ,internaciones,contrareferidos,2008-05-01,78,78
MOJOCOYA,internaciones,contrareferidos,2008-05-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2008-05-01,12,12
ORURO,internaciones,contrareferidos,2008-05-01,86,86
PADILLA,internaciones,contrareferidos,2008-05-01,2,2
PAILON,internaciones,contrareferidos,2008-05-01,1,1
PORTACHUELO,internaciones,contrareferidos,2008-05-01,1,1
POTOSI,internaciones,contrareferidos,2008-05-01,60,60
PUERTO SUAREZ,internaciones,contrareferidos,2008-05-01,14,14
RIBERALTA,internaciones,contrareferidos,2008-05-01,95,95
RURRENABAQUE,internaciones,contrareferidos,2008-05-01,1,1
SACABAMBA,internaciones,contrareferidos,2008-05-01,1,1
SAIPINA,internaciones,contrareferidos,2008-05-01,1,1
SAN BUENA VENTURA,internaciones,contrareferidos,2008-05-01,1,1
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-05-01,7,7
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2008-05-01,1,1
SAN LUCAS,internaciones,contrareferidos,2008-05-01,4,4
SAN PABLO DE LIPEZ,internaciones,contrareferidos,2008-05-01,2,2
SAN RAFAEL,internaciones,contrareferidos,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-05-01,219,219
SUCRE,internaciones,contrareferidos,2008-05-01,11,11
TARABUCO,internaciones,contrareferidos,2008-05-01,7,7
TOMINA,internaciones,contrareferidos,2008-05-01,1,1
TORO TORO,internaciones,contrareferidos,2008-05-01,1,1
TUPIZA,internaciones,contrareferidos,2008-05-01,41,41
VACAS,internaciones,contrareferidos,2008-05-01,1,1
VILLA TUNARI,internaciones,contrareferidos,2008-05-01,15,15
VILLAZON,internaciones,contrareferidos,2008-05-01,22,22
ANZALDO,internaciones,contrareferidos,2008-06-01,1,1
ARANI,internaciones,contrareferidos,2008-06-01,1,1
ATOCHA,internaciones,contrareferidos,2008-06-01,12,12
BOLIVAR,internaciones,contrareferidos,2008-06-01,4,4
CAPINOTA,internaciones,contrareferidos,2008-06-01,3,3
CARANAVI,internaciones,contrareferidos,2008-06-01,1,1
CLIZA,internaciones,contrareferidos,2008-06-01,1,1
COBIJA,internaciones,contrareferidos,2008-06-01,26,26
COCHABAMBA,internaciones,contrareferidos,2008-06-01,1,1
COLOMI,internaciones,contrareferidos,2008-06-01,2,2
COPACABANA,internaciones,contrareferidos,2008-06-01,1,1
COTOCA,internaciones,contrareferidos,2008-06-01,3,3
CULPINA,internaciones,contrareferidos,2008-06-01,1,1
EL ALTO,internaciones,contrareferidos,2008-06-01,137,137
EL PUENTE(STC),internaciones,contrareferidos,2008-06-01,5,5
GUANAY,internaciones,contrareferidos,2008-06-01,1,1
GUAYARAMERIN,internaciones,contrareferidos,2008-06-01,7,7
HUANUNI,internaciones,contrareferidos,2008-06-01,3,3
INCAHUASI,internaciones,contrareferidos,2008-06-01,2,2
LA PAZ,internaciones,contrareferidos,2008-06-01,35,35
MINEROS,internaciones,contrareferidos,2008-06-01,1,1
MOJOCOYA,internaciones,contrareferidos,2008-06-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2008-06-01,11,11
ORURO,internaciones,contrareferidos,2008-06-01,181,181
PAILON,internaciones,contrareferidos,2008-06-01,1,1
PORTACHUELO,internaciones,contrareferidos,2008-06-01,5,5
POTOSI,internaciones,contrareferidos,2008-06-01,40,40
PRESTO,internaciones,contrareferidos,2008-06-01,1,1
PUERTO SUAREZ,internaciones,contrareferidos,2008-06-01,14,14
RIBERALTA,internaciones,contrareferidos,2008-06-01,62,62
RURRENABAQUE,internaciones,contrareferidos,2008-06-01,2,2
SAIPINA,internaciones,contrareferidos,2008-06-01,1,1
SAMAIPATA,internaciones,contrareferidos,2008-06-01,1,1
SAN CARLOS,internaciones,contrareferidos,2008-06-01,8,8
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-06-01,15,15
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2008-06-01,1,1
SAN LUCAS,internaciones,contrareferidos,2008-06-01,6,6
SAN RAFAEL,internaciones,contrareferidos,2008-06-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-06-01,114,114
SANTA ROSA DEL SARA,internaciones,contrareferidos,2008-06-01,1,1
SUCRE,internaciones,contrareferidos,2008-06-01,14,14
TARABUCO,internaciones,contrareferidos,2008-06-01,5,5
TARIJA,internaciones,contrareferidos,2008-06-01,1,1
TRIGAL,internaciones,contrareferidos,2008-06-01,1,1
TUPIZA,internaciones,contrareferidos,2008-06-01,22,22
UYUNI,internaciones,contrareferidos,2008-06-01,1,1
VILLA TUNARI,internaciones,contrareferidos,2008-06-01,2,2
VILLAZON,internaciones,contrareferidos,2008-06-01,30,30
VINTO,internaciones,contrareferidos,2008-06-01,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2008-07-01,11,11
ATOCHA,internaciones,contrareferidos,2008-07-01,21,21
BOLIVAR,internaciones,contrareferidos,2008-07-01,7,7
CAMIRI,internaciones,contrareferidos,2008-07-01,1,1
CAPINOTA,internaciones,contrareferidos,2008-07-01,1,1
COBIJA,internaciones,contrareferidos,2008-07-01,26,26
COCHABAMBA,internaciones,contrareferidos,2008-07-01,8,8
COPACABANA,internaciones,contrareferidos,2008-07-01,2,2
COTOCA,internaciones,contrareferidos,2008-07-01,2,2
EL ALTO,internaciones,contrareferidos,2008-07-01,134,134
EUCALIPTUS,internaciones,contrareferidos,2008-07-01,1,1
GUANAY,internaciones,contrareferidos,2008-07-01,2,2
GUAYARAMERIN,internaciones,contrareferidos,2008-07-01,17,17
GUTIERREZ,internaciones,contrareferidos,2008-07-01,1,1
INCAHUASI,internaciones,contrareferidos,2008-07-01,2,2
LA PAZ,internaciones,contrareferidos,2008-07-01,28,28
MAGDALENA,internaciones,contrareferidos,2008-07-01,1,1
MINEROS,internaciones,contrareferidos,2008-07-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2008-07-01,16,16
ORURO,internaciones,contrareferidos,2008-07-01,95,95
PALOS BLANCOS,internaciones,contrareferidos,2008-07-01,5,5
PORTACHUELO,internaciones,contrareferidos,2008-07-01,2,2
POTOSI,internaciones,contrareferidos,2008-07-01,46,46
PRESTO,internaciones,contrareferidos,2008-07-01,2,2
PUERTO QUIJARRO,internaciones,contrareferidos,2008-07-01,1,1
PUERTO RICO,internaciones,contrareferidos,2008-07-01,2,2
PUERTO SUAREZ,internaciones,contrareferidos,2008-07-01,7,7
PUERTO VILLARROEL,internaciones,contrareferidos,2008-07-01,1,1
RIBERALTA,internaciones,contrareferidos,2008-07-01,46,46
SAN CARLOS,internaciones,contrareferidos,2008-07-01,6,6
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-07-01,10,10
SAN LUCAS,internaciones,contrareferidos,2008-07-01,9,9
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2008-07-01,1,1
SAN PEDRO DE BUENA VISTA,internaciones,contrareferidos,2008-07-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2008-07-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-07-01,88,88
SANTIVAÑES,internaciones,contrareferidos,2008-07-01,1,1
SOPACHUY,internaciones,contrareferidos,2008-07-01,1,1
SUCRE,internaciones,contrareferidos,2008-07-01,6,6
TARVITA,internaciones,contrareferidos,2008-07-01,3,3
TORO TORO,internaciones,contrareferidos,2008-07-01,1,1
TUPIZA,internaciones,contrareferidos,2008-07-01,44,44
VILLAZON,internaciones,contrareferidos,2008-07-01,40,40
YACUIBA,internaciones,contrareferidos,2008-07-01,6,6
YAMPARAEZ,internaciones,contrareferidos,2008-07-01,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2008-08-01,9,9
ATOCHA,internaciones,contrareferidos,2008-08-01,12,12
BOLIVAR,internaciones,contrareferidos,2008-08-01,5,5
CAMIRI,internaciones,contrareferidos,2008-08-01,3,3
CAPINOTA,internaciones,contrareferidos,2008-08-01,1,1
CARMEN RIVERO TORREZ,internaciones,contrareferidos,2008-08-01,1,1
CHARAGUA,internaciones,contrareferidos,2008-08-01,2,2
COBIJA,internaciones,contrareferidos,2008-08-01,44,44
COCHABAMBA,internaciones,contrareferidos,2008-08-01,2,2
COPACABANA,internaciones,contrareferidos,2008-08-01,1,1
COTOCA,internaciones,contrareferidos,2008-08-01,5,5
CUCHUMUELA (V. G. VILLARROEL),internaciones,contrareferidos,2008-08-01,62,62
EL ALTO,internaciones,contrareferidos,2008-08-01,163,163
GUAYARAMERIN,internaciones,contrareferidos,2008-08-01,20,20
GUTIERREZ,internaciones,contrareferidos,2008-08-01,1,1
HUAYLLAMARCA,internaciones,contrareferidos,2008-08-01,1,1
ICLA,internaciones,contrareferidos,2008-08-01,1,1
JESUS DE MACHACA,internaciones,contrareferidos,2008-08-01,1,1
LA GUARDIA,internaciones,contrareferidos,2008-08-01,1,1
LA PAZ,internaciones,contrareferidos,2008-08-01,76,76
MACHARETI,internaciones,contrareferidos,2008-08-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2008-08-01,3,3
OCURI,internaciones,contrareferidos,2008-08-01,1,1
ORURO,internaciones,contrareferidos,2008-08-01,88,88
PALOS BLANCOS,internaciones,contrareferidos,2008-08-01,9,9
PATACAMAYA,internaciones,contrareferidos,2008-08-01,1,1
POCONA,internaciones,contrareferidos,2008-08-01,1,1
POTOSI,internaciones,contrareferidos,2008-08-01,49,49
PUERTO SUAREZ,internaciones,contrareferidos,2008-08-01,5,5
PUERTO VILLARROEL,internaciones,contrareferidos,2008-08-01,1,1
RIBERALTA,internaciones,contrareferidos,2008-08-01,55,55
RURRENABAQUE,internaciones,contrareferidos,2008-08-01,1,1
SAIPINA,internaciones,contrareferidos,2008-08-01,1,1
SAN BORJA,internaciones,contrareferidos,2008-08-01,1,1
SAN CARLOS,internaciones,contrareferidos,2008-08-01,11,11
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-08-01,13,13
SAN JUAN DE YAPACANI,internaciones,contrareferidos,2008-08-01,1,1
SAN JULIAN,internaciones,contrareferidos,2008-08-01,1,1
SAN MIGUEL DE VELASCO,internaciones,contrareferidos,2008-08-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2008-08-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-08-01,124,124
SUCRE,internaciones,contrareferidos,2008-08-01,6,6
TUPIZA,internaciones,contrareferidos,2008-08-01,52,52
UYUNI,internaciones,contrareferidos,2008-08-01,2,2
VILLA TUNARI,internaciones,contrareferidos,2008-08-01,20,20
VILLAZON,internaciones,contrareferidos,2008-08-01,28,28
WARNES,internaciones,contrareferidos,2008-08-01,2,2
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2008-09-01,3,3
ATOCHA,internaciones,contrareferidos,2008-09-01,21,21
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2008-09-01,30,30
CAMIRI,internaciones,contrareferidos,2008-09-01,3,3
CAPINOTA,internaciones,contrareferidos,2008-09-01,32,32
CHARAGUA,internaciones,contrareferidos,2008-09-01,4,4
COBIJA,internaciones,contrareferidos,2008-09-01,25,25
COCHABAMBA,internaciones,contrareferidos,2008-09-01,3,3
CONCEPCION,internaciones,contrareferidos,2008-09-01,2,2
COROICO,internaciones,contrareferidos,2008-09-01,6,6
COTOCA,internaciones,contrareferidos,2008-09-01,5,5
CULPINA,internaciones,contrareferidos,2008-09-01,1,1
EL ALTO,internaciones,contrareferidos,2008-09-01,118,118
FILADELFIA,internaciones,contrareferidos,2008-09-01,3,3
GUAYARAMERIN,internaciones,contrareferidos,2008-09-01,8,8
INCAHUASI,internaciones,contrareferidos,2008-09-01,1,1
IXIAMAS,internaciones,contrareferidos,2008-09-01,1,1
LA PAZ,internaciones,contrareferidos,2008-09-01,58,58
MINEROS,internaciones,contrareferidos,2008-09-01,1,1
MONTEAGUDO,internaciones,contrareferidos,2008-09-01,3,3
ORURO,internaciones,contrareferidos,2008-09-01,68,68
PALOS BLANCOS,internaciones,contrareferidos,2008-09-01,11,11
PATACAMAYA,internaciones,contrareferidos,2008-09-01,1,1
POCONA,internaciones,contrareferidos,2008-09-01,2,2
POROMA,internaciones,contrareferidos,2008-09-01,1,1
PORTACHUELO,internaciones,contrareferidos,2008-09-01,1,1
POTOSI,internaciones,contrareferidos,2008-09-01,32,32
PUERTO SUAREZ,internaciones,contrareferidos,2008-09-01,9,9
PUERTO VILLARROEL,internaciones,contrareferidos,2008-09-01,3,3
PUNATA,internaciones,contrareferidos,2008-09-01,6,6
RIBERALTA,internaciones,contrareferidos,2008-09-01,47,47
RURRENABAQUE,internaciones,contrareferidos,2008-09-01,1,1
SAN BORJA,internaciones,contrareferidos,2008-09-01,1,1
SAN CARLOS,internaciones,contrareferidos,2008-09-01,2,2
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2008-09-01,10,10
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2008-09-01,1,1
SAN JUAN DE YAPACANI,internaciones,contrareferidos,2008-09-01,1,1
SAN JULIAN,internaciones,contrareferidos,2008-09-01,1,1
SAN LUCAS,internaciones,contrareferidos,2008-09-01,1,1
SAN RAFAEL,internaciones,contrareferidos,2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2008-09-01,153,153
SUCRE,internaciones,contrareferidos,2008-09-01,13,13
TARABUCO,internaciones,contrareferidos,2008-09-01,7,7
TARIJA,internaciones,contrareferidos,2008-09-01,1,1
TARVITA,internaciones,contrareferidos,2008-09-01,1,1
TUPIZA,internaciones,contrareferidos,2008-09-01,38,38
VILLAZON,internaciones,contrareferidos,2008-09-01,40,40
VINTO,internaciones,contrareferidos,2008-09-01,1,1
VITICHI,internaciones,contrareferidos,2008-09-01,1,1
YACUIBA,internaciones,contrareferidos,2008-09-01,3,3
YAMPARAEZ,internaciones,contrareferidos,2008-09-01,1,1
YANACACHI,internaciones,contrareferidos,2008-09-01,1,1
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2008-10-01,1,1
ATOCHA,internaciones,contrareferidos,2008-10-01,19,19
BERMEJO,internaciones,contrareferidos,2008-10-01,2,2
BUENA VISTA,internaciones,contrareferidos,2008-10-01,1,1
CAMIRI,internaciones,contrareferidos,2008-10-01,1,1
CAPINOTA,internaciones,contrareferidos,2008-10-01,2,2
COBIJA,internaciones,contrareferidos,2008-10-01,49,49
COCHABAMBA,internaciones,contrareferidos,2008-10-01,3,3
COLCAPIRHUA,internaciones,contrareferidos,2008-10-01,1,1
