municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2008-03-01,3,3
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2008-03-01,105,105
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,24,24
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,2,2
POTOSI,internaciones,fallecidos a partir de las 48 horas,2008-03-01,21,21
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,2,2
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,7,7
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
SAN RAMON,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,101,101
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2008-03-01,26,26
TARIJA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,44,44
TARVITA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
TIRAQUE (CBBA),internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2008-03-01,11,11
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,5,5
UYUNI,internaciones,fallecidos a partir de las 48 horas,2008-03-01,3,3
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2008-03-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2008-03-01,4,4
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
BETANZOS,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
CHALLAPATA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,5,5
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,78,78
CONCEPCION,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2008-04-01,6,6
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2008-04-01,124,124
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2008-04-01,2,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2008-04-01,26,26
PAILON,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2008-04-01,11,11
PUNATA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,3,3
ROBORE,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2008-04-01,16,16
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2008-04-01,2,2
SAN LUCAS,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
SAN RAMON,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,115,115
SUCRE,internaciones,fallecidos a partir de las 48 horas,2008-04-01,34,34
TARIJA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,41,41
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2008-04-01,14,14
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,5,5
UNCIA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,2,2
UYUNI,internaciones,fallecidos a partir de las 48 horas,2008-04-01,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2008-04-01,2,2
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2008-04-01,2,2
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2008-04-01,3,3
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,2,2
BAURES,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,8,8
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,118,118
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
CONCEPCION,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
CULPINA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2008-05-01,11,11
FERNANDEZ ALONSO,internaciones,fallecidos a partir de las 48 horas,2008-05-01,25,25
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2008-05-01,123,123
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,2,2
MONTERO,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2008-05-01,23,23
PADILLA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2008-05-01,18,18
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,5,5
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2008-05-01,2,2
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
SAN RAFAEL,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
SAN RAMON,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,104,104
SUCRE,internaciones,fallecidos a partir de las 48 horas,2008-05-01,31,31
TARIJA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,33,33
TIRAQUE (CBBA),internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2008-05-01,9,9
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,4,4
UNCIA,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
UYUNI,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2008-05-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,2,2
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2008-06-01,2,2
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2008-06-01,5,5
CARACOLLO,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2008-06-01,5,5
COBIJA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,3,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,103,103
COTAGAITA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
CUATRO CAÑADAS,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2008-06-01,19,19
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2008-06-01,2,2
JESUS DE MACHACA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2008-06-01,124,124
MAPIRI,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2008-06-01,23,23
POTOSI,internaciones,fallecidos a partir de las 48 horas,2008-06-01,25,25
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,6,6
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2008-06-01,5,5
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,96,96
SOPACHUY,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2008-06-01,26,26
TARIJA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,28,28
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2008-06-01,9,9
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,2,2
UNCIA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
UYUNI,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2008-06-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2008-06-01,3,3
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2008-06-01,6,6
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2008-07-01,2,2
BOYUIBE,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2008-07-01,3,3
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,3,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,112,112
COLQUECHACA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
COROICO,internaciones,fallecidos a partir de las 48 horas,2008-07-01,2,2
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2008-07-01,15,15
ENTRE RIOS,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2008-07-01,3,3
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2008-07-01,186,186
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2008-07-01,2,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2008-07-01,31,31
POTOSI,internaciones,fallecidos a partir de las 48 horas,2008-07-01,22,22
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2008-07-01,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,3,3
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
SAN JAVIER(STC),internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
SAN JUAN DE YAPACANI,internaciones,fallecidos a partir de las 48 horas,2008-07-01,2,2
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,103,103
SUCRE,internaciones,fallecidos a partir de las 48 horas,2008-07-01,47,47
TARIJA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,30,30
TARVITA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2008-07-01,13,13
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,4,4
UYUNI,internaciones,fallecidos a partir de las 48 horas,2008-07-01,2,2
VIACHA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2008-07-01,3,3
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2008-07-01,2,2
AIQUILE,internaciones,fallecidos a partir de las 48 horas,2008-08-01,2,2
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,3,3
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2008-08-01,3,3
COBIJA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,6,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,78,78
COROICO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,22,22
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2008-08-01,2,2
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2008-08-01,158,158
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,4,4
ORURO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,27,27
POTOSI,internaciones,fallecidos a partir de las 48 horas,2008-08-01,16,16
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
ROBORE,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,2,2
SAN JAVIER(STC),internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2008-08-01,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,99,99
SUCRE,internaciones,fallecidos a partir de las 48 horas,2008-08-01,27,27
TARIJA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,48,48
TIPUANI,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2008-08-01,10,10
UNCIA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
UYUNI,internaciones,fallecidos a partir de las 48 horas,2008-08-01,5,5
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
VIACHA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2008-08-01,1,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2008-08-01,3,3
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2008-08-01,7,7
YAPACANI,internaciones,fallecidos a partir de las 48 horas,2008-08-01,4,4
APOLO,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2008-09-01,2,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2008-09-01,5,5
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2008-09-01,3,3
CARMEN RIVERO TORREZ,internaciones,fallecidos a partir de las 48 horas,2008-09-01,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,3,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,88,88
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
COMARAPA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2008-09-01,23,23
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2008-09-01,155,155
MIZQUE,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
MONTEAGUDO,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2008-09-01,29,29
PADILLA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
PAILON,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2008-09-01,9,9
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2008-09-01,2,2
PUNATA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,9,9
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2008-09-01,2,2
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,10,10
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,134,134
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2008-09-01,1,1
