municipality,group,variable,month,Ingresos espontáneos,TOTAL
MOJOCOYA,internaciones,ingresos espontaneos,2008-01-01,8,8
MONTEAGUDO,internaciones,ingresos espontaneos,2008-01-01,123,123
MONTERO,internaciones,ingresos espontaneos,2008-01-01,635,635
MORO MORO,internaciones,ingresos espontaneos,2008-01-01,5,5
MOROCHATA,internaciones,ingresos espontaneos,2008-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),internaciones,ingresos espontaneos,2008-01-01,1,1
OCURI,internaciones,ingresos espontaneos,2008-01-01,12,12
OMEREQUE,internaciones,ingresos espontaneos,2008-01-01,7,7
ORURO,internaciones,ingresos espontaneos,2008-01-01,1996,1996
PADILLA,internaciones,ingresos espontaneos,2008-01-01,49,49
PAILON,internaciones,ingresos espontaneos,2008-01-01,78,78
PALCA,internaciones,ingresos espontaneos,2008-01-01,4,4
PALOS BLANCOS,internaciones,ingresos espontaneos,2008-01-01,57,57
PAMPA GRANDE,internaciones,ingresos espontaneos,2008-01-01,15,15
PAPEL PAMPA,internaciones,ingresos espontaneos,2008-01-01,1,1
PASORAPA,internaciones,ingresos espontaneos,2008-01-01,1,1
PATACAMAYA,internaciones,ingresos espontaneos,2008-01-01,47,47
POCOATA,internaciones,ingresos espontaneos,2008-01-01,10,10
POCONA,internaciones,ingresos espontaneos,2008-01-01,7,7
POJO (CBBA),internaciones,ingresos espontaneos,2008-01-01,8,8
PORCO,internaciones,ingresos espontaneos,2008-01-01,8,8
POROMA,internaciones,ingresos espontaneos,2008-01-01,16,16
PORONGO,internaciones,ingresos espontaneos,2008-01-01,2,2
PORTACHUELO,internaciones,ingresos espontaneos,2008-01-01,198,198
PORVENIR,internaciones,ingresos espontaneos,2008-01-01,3,3
POSTRER VALLE,internaciones,ingresos espontaneos,2008-01-01,1,1
POTOSI,internaciones,ingresos espontaneos,2008-01-01,1640,1640
PUCARA,internaciones,ingresos espontaneos,2008-01-01,2,2
PUCARANI,internaciones,ingresos espontaneos,2008-01-01,16,16
PUERTO ACOSTA,internaciones,ingresos espontaneos,2008-01-01,58,58
PUERTO CARABUCO,internaciones,ingresos espontaneos,2008-01-01,7,7
PUERTO PEREZ,internaciones,ingresos espontaneos,2008-01-01,1,1
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2008-01-01,68,68
PUERTO RICO,internaciones,ingresos espontaneos,2008-01-01,19,19
PUERTO SUAREZ,internaciones,ingresos espontaneos,2008-01-01,88,88
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2008-01-01,171,171
PUNA,internaciones,ingresos espontaneos,2008-01-01,13,13
PUNATA,internaciones,ingresos espontaneos,2008-01-01,249,249
QUILLACOLLO,internaciones,ingresos espontaneos,2008-01-01,290,290
QUIME,internaciones,ingresos espontaneos,2008-01-01,9,9
QUIRUSILLAS,internaciones,ingresos espontaneos,2008-01-01,6,6
RAVELO,internaciones,ingresos espontaneos,2008-01-01,1,1
REYES,internaciones,ingresos espontaneos,2008-01-01,38,38
RIBERALTA,internaciones,ingresos espontaneos,2008-01-01,513,513
ROBORE,internaciones,ingresos espontaneos,2008-01-01,91,91
RURRENABAQUE,internaciones,ingresos espontaneos,2008-01-01,121,121
SACABA,internaciones,ingresos espontaneos,2008-01-01,433,433
SACABAMBA,internaciones,ingresos espontaneos,2008-01-01,1,1
SACACA,internaciones,ingresos espontaneos,2008-01-01,17,17
SAIPINA,internaciones,ingresos espontaneos,2008-01-01,27,27
SAMAIPATA,internaciones,ingresos espontaneos,2008-01-01,30,30
SAN ANDRES DE MACHACA,internaciones,ingresos espontaneos,2008-01-01,3,3
SAN ANTONIO DE LOMERIO,internaciones,ingresos espontaneos,2008-01-01,12,12
SAN BENITO,internaciones,ingresos espontaneos,2008-01-01,1,1
SAN BORJA,internaciones,ingresos espontaneos,2008-01-01,132,132
SAN BUENA VENTURA,internaciones,ingresos espontaneos,2008-01-01,52,52
SAN CARLOS,internaciones,ingresos espontaneos,2008-01-01,146,146
SAN IGNACIO,internaciones,ingresos espontaneos,2008-01-01,62,62
SAN IGNACIO DE VELASCO,internaciones,ingresos espontaneos,2008-01-01,284,284
SAN JAVIER(STC),internaciones,ingresos espontaneos,2008-01-01,54,54
SAN JOAQUIN,internaciones,ingresos espontaneos,2008-01-01,51,51
SAN JOSE DE CHIQUITOS,internaciones,ingresos espontaneos,2008-01-01,112,112
SAN JUAN DE YAPACANI,internaciones,ingresos espontaneos,2008-01-01,118,118
SAN JULIAN,internaciones,ingresos espontaneos,2008-01-01,114,114
SAN LORENZO(TJA),internaciones,ingresos espontaneos,2008-01-01,2,2
SAN LUCAS,internaciones,ingresos espontaneos,2008-01-01,49,49
SAN MATIAS,internaciones,ingresos espontaneos,2008-01-01,55,55
SAN MIGUEL DE VELASCO,internaciones,ingresos espontaneos,2008-01-01,69,69
SAN PEDRO,internaciones,ingresos espontaneos,2008-01-01,17,17
SAN PEDRO DE BUENA VISTA,internaciones,ingresos espontaneos,2008-01-01,5,5
SAN RAFAEL,internaciones,ingresos espontaneos,2008-01-01,25,25
SAN RAMON,internaciones,ingresos espontaneos,2008-01-01,37,37
SAN RAMON,internaciones,ingresos espontaneos,2008-01-01,36,36
SANTA ANA,internaciones,ingresos espontaneos,2008-01-01,79,79
SANTA CRUZ DE LA SIERRA,internaciones,ingresos espontaneos,2008-01-01,8212,8212
SANTA ROSA,internaciones,ingresos espontaneos,2008-01-01,26,26
SANTA ROSA DEL SARA,internaciones,ingresos espontaneos,2008-01-01,63,63
SANTIAGO DE MACHACA,internaciones,ingresos espontaneos,2008-01-01,2,2
SANTIVAÑES,internaciones,ingresos espontaneos,2008-01-01,2,2
SENA,internaciones,ingresos espontaneos,2008-01-01,13,13
SICA SICA (VILLA AROMA),internaciones,ingresos espontaneos,2008-01-01,14,14
SICAYA,internaciones,ingresos espontaneos,2008-01-01,2,2
SIPE SIPE,internaciones,ingresos espontaneos,2008-01-01,85,85
SOPACHUY,internaciones,ingresos espontaneos,2008-01-01,20,20
SORACACHI,internaciones,ingresos espontaneos,2008-01-01,1,1
SORATA,internaciones,ingresos espontaneos,2008-01-01,22,22
SUCRE,internaciones,ingresos espontaneos,2008-01-01,3124,3124
TACACHI,internaciones,ingresos espontaneos,2008-01-01,3,3
TACACOMA,internaciones,ingresos espontaneos,2008-01-01,6,6
TAPACARI,internaciones,ingresos espontaneos,2008-01-01,4,4
TARABUCO,internaciones,ingresos espontaneos,2008-01-01,49,49
TARATA,internaciones,ingresos espontaneos,2008-01-01,10,10
TARIJA,internaciones,ingresos espontaneos,2008-01-01,1844,1844
TARVITA,internaciones,ingresos espontaneos,2008-01-01,25,25
TEOPONTE,internaciones,ingresos espontaneos,2008-01-01,4,4
TIAWANACU,internaciones,ingresos espontaneos,2008-01-01,14,14
TIPUANI,internaciones,ingresos espontaneos,2008-01-01,42,42
TIQUIPAYA,internaciones,ingresos espontaneos,2008-01-01,76,76
TIRAQUE (CBBA),internaciones,ingresos espontaneos,2008-01-01,209,209
TOCO,internaciones,ingresos espontaneos,2008-01-01,2,2
TOLATA,internaciones,ingresos espontaneos,2008-01-01,5,5
TOLEDO,internaciones,ingresos espontaneos,2008-01-01,14,14
TOMAVE,internaciones,ingresos espontaneos,2008-01-01,5,5
TOMINA,internaciones,ingresos espontaneos,2008-01-01,11,11
TORO TORO,internaciones,ingresos espontaneos,2008-01-01,6,6
TOTORA(CBBA),internaciones,ingresos espontaneos,2008-01-01,25,25
TRIGAL,internaciones,ingresos espontaneos,2008-01-01,5,5
TRINIDAD,internaciones,ingresos espontaneos,2008-01-01,1343,1343
TUPIZA,internaciones,ingresos espontaneos,2008-01-01,260,260
TURCO,internaciones,ingresos espontaneos,2008-01-01,4,4
UMALA,internaciones,ingresos espontaneos,2008-01-01,1,1
UNCIA,internaciones,ingresos espontaneos,2008-01-01,170,170
URIONDO (A. CONCEPCION),internaciones,ingresos espontaneos,2008-01-01,17,17
URUBICHA,internaciones,ingresos espontaneos,2008-01-01,24,24
UYUNI,internaciones,ingresos espontaneos,2008-01-01,147,147
VACAS,internaciones,ingresos espontaneos,2008-01-01,12,12
VALLEGRANDE,internaciones,ingresos espontaneos,2008-01-01,119,119
VIACHA,internaciones,ingresos espontaneos,2008-01-01,68,68
VILA VILA,internaciones,ingresos espontaneos,2008-01-01,1,1
VILLA MONTES,internaciones,ingresos espontaneos,2008-01-01,285,285
VILLA RIVERO,internaciones,ingresos espontaneos,2008-01-01,1,1
VILLA SERRANO,internaciones,ingresos espontaneos,2008-01-01,11,11
VILLA TUNARI,internaciones,ingresos espontaneos,2008-01-01,334,334
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos espontaneos,2008-01-01,11,11
VILLAZON,internaciones,ingresos espontaneos,2008-01-01,220,220
VINTO,internaciones,ingresos espontaneos,2008-01-01,71,71
VITICHI,internaciones,ingresos espontaneos,2008-01-01,13,13
WARNES,internaciones,ingresos espontaneos,2008-01-01,100,100
YACUIBA,internaciones,ingresos espontaneos,2008-01-01,773,773
YAMPARAEZ,internaciones,ingresos espontaneos,2008-01-01,7,7
YAPACANI,internaciones,ingresos espontaneos,2008-01-01,172,172
YOCALLA,internaciones,ingresos espontaneos,2008-01-01,7,7
ZUDAÑEZ,internaciones,ingresos espontaneos,2008-01-01,36,36
ACACIO,internaciones,ingresos espontaneos,2008-02-01,2,2
ACHACACHI,internaciones,ingresos espontaneos,2008-02-01,33,33
ACHOCALLA,internaciones,ingresos espontaneos,2008-02-01,12,12
AIQUILE,internaciones,ingresos espontaneos,2008-02-01,130,130
ALCALA,internaciones,ingresos espontaneos,2008-02-01,2,2
ANCORAIMES,internaciones,ingresos espontaneos,2008-02-01,3,3
ANDAMARCA,internaciones,ingresos espontaneos,2008-02-01,3,3
ANTEQUERA,internaciones,ingresos espontaneos,2008-02-01,1,1
ANZALDO,internaciones,ingresos espontaneos,2008-02-01,2,2
APOLO,internaciones,ingresos espontaneos,2008-02-01,38,38
ARANI,internaciones,ingresos espontaneos,2008-02-01,5,5
ARQUE,internaciones,ingresos espontaneos,2008-02-01,4,4
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2008-02-01,141,141
ATOCHA,internaciones,ingresos espontaneos,2008-02-01,172,172
AUCAPATA,internaciones,ingresos espontaneos,2008-02-01,1,1
AYO AYO,internaciones,ingresos espontaneos,2008-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2008-02-01,45,45
AZURDUY,internaciones,ingresos espontaneos,2008-02-01,9,9
BATALLAS,internaciones,ingresos espontaneos,2008-02-01,8,8
BAURES,internaciones,ingresos espontaneos,2008-02-01,17,17
BERMEJO,internaciones,ingresos espontaneos,2008-02-01,220,220
BETANZOS,internaciones,ingresos espontaneos,2008-02-01,37,37
BOLIVAR,internaciones,ingresos espontaneos,2008-02-01,2,2
BOYUIBE,internaciones,ingresos espontaneos,2008-02-01,27,27
BUENA VISTA,internaciones,ingresos espontaneos,2008-02-01,28,28
CABEZAS,internaciones,ingresos espontaneos,2008-02-01,20,20
CAIROMA,internaciones,ingresos espontaneos,2008-02-01,10,10
"CAIZA ""D""",internaciones,ingresos espontaneos,2008-02-01,7,7
CAJUATA,internaciones,ingresos espontaneos,2008-02-01,20,20
CALAMARCA,internaciones,ingresos espontaneos,2008-02-01,2,2
CAMARGO,internaciones,ingresos espontaneos,2008-02-01,76,76
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2008-02-01,15,15
CAMIRI,internaciones,ingresos espontaneos,2008-02-01,392,392
CAPINOTA,internaciones,ingresos espontaneos,2008-02-01,67,67
CAQUIAVIRI,internaciones,ingresos espontaneos,2008-02-01,1,1
CARACOLLO,internaciones,ingresos espontaneos,2008-02-01,26,26
CARANAVI,internaciones,ingresos espontaneos,2008-02-01,157,157
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2008-02-01,20,20
CHALLAPATA,internaciones,ingresos espontaneos,2008-02-01,90,90
CHAQUI,internaciones,ingresos espontaneos,2008-02-01,1,1
CHARAGUA,internaciones,ingresos espontaneos,2008-02-01,103,103
CHARAÑA,internaciones,ingresos espontaneos,2008-02-01,1,1
CHIMORE,internaciones,ingresos espontaneos,2008-02-01,10,10
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2008-02-01,151,151
CHUMA,internaciones,ingresos espontaneos,2008-02-01,6,6
CLIZA,internaciones,ingresos espontaneos,2008-02-01,47,47
COBIJA,internaciones,ingresos espontaneos,2008-02-01,334,334
COCHABAMBA,internaciones,ingresos espontaneos,2008-02-01,6654,6654
COLCAPIRHUA,internaciones,ingresos espontaneos,2008-02-01,109,109
"COLCHA ""K""",internaciones,ingresos espontaneos,2008-02-01,1,1
COLLANA,internaciones,ingresos espontaneos,2008-02-01,2,2
COLOMI,internaciones,ingresos espontaneos,2008-02-01,26,26
COLPA BELGICA,internaciones,ingresos espontaneos,2008-02-01,13,13
COLQUENCHA,internaciones,ingresos espontaneos,2008-02-01,7,7
COLQUIRI,internaciones,ingresos espontaneos,2008-02-01,17,17
COMARAPA,internaciones,ingresos espontaneos,2008-02-01,92,92
COMBAYA,internaciones,ingresos espontaneos,2008-02-01,4,4
CONCEPCION,internaciones,ingresos espontaneos,2008-02-01,71,71
COPACABANA,internaciones,ingresos espontaneos,2008-02-01,25,25
CORIPATA,internaciones,ingresos espontaneos,2008-02-01,8,8
CORO CORO,internaciones,ingresos espontaneos,2008-02-01,1,1
COROICO,internaciones,ingresos espontaneos,2008-02-01,66,66
COTAGAITA,internaciones,ingresos espontaneos,2008-02-01,20,20
COTOCA,internaciones,ingresos espontaneos,2008-02-01,133,133
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2008-02-01,51,51
CUEVO,internaciones,ingresos espontaneos,2008-02-01,3,3
CULPINA,internaciones,ingresos espontaneos,2008-02-01,19,19
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2008-02-01,17,17
CURVA,internaciones,ingresos espontaneos,2008-02-01,1,1
DESAGUADERO,internaciones,ingresos espontaneos,2008-02-01,9,9
EL ALTO,internaciones,ingresos espontaneos,2008-02-01,2492,2492
EL CHORO,internaciones,ingresos espontaneos,2008-02-01,2,2
EL PUENTE(STC),internaciones,ingresos espontaneos,2008-02-01,16,16
EL PUENTE(TJA),internaciones,ingresos espontaneos,2008-02-01,4,4
EL TORNO,internaciones,ingresos espontaneos,2008-02-01,162,162
EL VILLAR,internaciones,ingresos espontaneos,2008-02-01,6,6
ENTRE RIOS,internaciones,ingresos espontaneos,2008-02-01,19,19
ENTRE RIOS,internaciones,ingresos espontaneos,2008-02-01,34,34
EUCALIPTUS,internaciones,ingresos espontaneos,2008-02-01,7,7
EXALTACION,internaciones,ingresos espontaneos,2008-02-01,6,6
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2008-02-01,33,33
FILADELFIA,internaciones,ingresos espontaneos,2008-02-01,3,3
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2008-02-01,44,44
GUANAY,internaciones,ingresos espontaneos,2008-02-01,23,23
GUAQUI,internaciones,ingresos espontaneos,2008-02-01,6,6
GUAYARAMERIN,internaciones,ingresos espontaneos,2008-02-01,439,439
GUTIERREZ,internaciones,ingresos espontaneos,2008-02-01,26,26
HUACARETA,internaciones,ingresos espontaneos,2008-02-01,28,28
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos espontaneos,2008-02-01,1,1
HUACHACALLA,internaciones,ingresos espontaneos,2008-02-01,5,5
HUANUNI,internaciones,ingresos espontaneos,2008-02-01,52,52
HUARACAJE,internaciones,ingresos espontaneos,2008-02-01,8,8
HUAYLLAMARCA,internaciones,ingresos espontaneos,2008-02-01,5,5
INCAHUASI,internaciones,ingresos espontaneos,2008-02-01,19,19
INQUISIVI,internaciones,ingresos espontaneos,2008-02-01,1,1
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2008-02-01,27,27
IXIAMAS,internaciones,ingresos espontaneos,2008-02-01,21,21
JESUS DE MACHACA,internaciones,ingresos espontaneos,2008-02-01,9,9
LA ASUNTA,internaciones,ingresos espontaneos,2008-02-01,40,40
LA GUARDIA,internaciones,ingresos espontaneos,2008-02-01,153,153
LA PAZ,internaciones,ingresos espontaneos,2008-02-01,5388,5388
LAGUNILLAS,internaciones,ingresos espontaneos,2008-02-01,6,6
LAJA,internaciones,ingresos espontaneos,2008-02-01,4,4
LLALLAGUA,internaciones,ingresos espontaneos,2008-02-01,196,196
LLICA,internaciones,ingresos espontaneos,2008-02-01,6,6
LURIBAY,internaciones,ingresos espontaneos,2008-02-01,7,7
MACHACAMARCA,internaciones,ingresos espontaneos,2008-02-01,2,2
MACHARETI,internaciones,ingresos espontaneos,2008-02-01,13,13
MAGDALENA,internaciones,ingresos espontaneos,2008-02-01,53,53
MAIRANA,internaciones,ingresos espontaneos,2008-02-01,30,30
MAPIRI,internaciones,ingresos espontaneos,2008-02-01,27,27
MECAPACA,internaciones,ingresos espontaneos,2008-02-01,1,1
MINEROS,internaciones,ingresos espontaneos,2008-02-01,11,11
MIZQUE,internaciones,ingresos espontaneos,2008-02-01,44,44
MOCOMOCO,internaciones,ingresos espontaneos,2008-02-01,1,1
MOJOCOYA,internaciones,ingresos espontaneos,2008-02-01,19,19
MONTEAGUDO,internaciones,ingresos espontaneos,2008-02-01,109,109
MONTERO,internaciones,ingresos espontaneos,2008-02-01,606,606
MORO MORO,internaciones,ingresos espontaneos,2008-02-01,3,3
MOROCHATA,internaciones,ingresos espontaneos,2008-02-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),internaciones,ingresos espontaneos,2008-02-01,2,2
OCURI,internaciones,ingresos espontaneos,2008-02-01,20,20
OMEREQUE,internaciones,ingresos espontaneos,2008-02-01,9,9
ORURO,internaciones,ingresos espontaneos,2008-02-01,1915,1915
PADILLA,internaciones,ingresos espontaneos,2008-02-01,41,41
PAILON,internaciones,ingresos espontaneos,2008-02-01,78,78
PALCA,internaciones,ingresos espontaneos,2008-02-01,1,1
PALOS BLANCOS,internaciones,ingresos espontaneos,2008-02-01,76,76
PAMPA GRANDE,internaciones,ingresos espontaneos,2008-02-01,16,16
PATACAMAYA,internaciones,ingresos espontaneos,2008-02-01,46,46
POCOATA,internaciones,ingresos espontaneos,2008-02-01,9,9
POCONA,internaciones,ingresos espontaneos,2008-02-01,14,14
POJO (CBBA),internaciones,ingresos espontaneos,2008-02-01,7,7
POOPO,internaciones,ingresos espontaneos,2008-02-01,7,7
PORCO,internaciones,ingresos espontaneos,2008-02-01,3,3
POROMA,internaciones,ingresos espontaneos,2008-02-01,6,6
PORONGO,internaciones,ingresos espontaneos,2008-02-01,6,6
PORTACHUELO,internaciones,ingresos espontaneos,2008-02-01,179,179
PORVENIR,internaciones,ingresos espontaneos,2008-02-01,4,4
POSTRER VALLE,internaciones,ingresos espontaneos,2008-02-01,2,2
POTOSI,internaciones,ingresos espontaneos,2008-02-01,1449,1449
PRESTO,internaciones,ingresos espontaneos,2008-02-01,6,6
PUCARA,internaciones,ingresos espontaneos,2008-02-01,2,2
PUCARANI,internaciones,ingresos espontaneos,2008-02-01,5,5
PUERTO ACOSTA,internaciones,ingresos espontaneos,2008-02-01,63,63
PUERTO CARABUCO,internaciones,ingresos espontaneos,2008-02-01,3,3
PUERTO PEREZ,internaciones,ingresos espontaneos,2008-02-01,1,1
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2008-02-01,66,66
PUERTO RICO,internaciones,ingresos espontaneos,2008-02-01,19,19
PUERTO SUAREZ,internaciones,ingresos espontaneos,2008-02-01,114,114
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2008-02-01,195,195
PUNA,internaciones,ingresos espontaneos,2008-02-01,18,18
PUNATA,internaciones,ingresos espontaneos,2008-02-01,266,266
QUILLACOLLO,internaciones,ingresos espontaneos,2008-02-01,261,261
QUIME,internaciones,ingresos espontaneos,2008-02-01,6,6
QUIRUSILLAS,internaciones,ingresos espontaneos,2008-02-01,2,2
RAVELO,internaciones,ingresos espontaneos,2008-02-01,2,2
REYES,internaciones,ingresos espontaneos,2008-02-01,31,31
