municipality,group,variable,month,Total 8.3 Niños (as) de 6 meses a menores de 2 años con dosis completa de hierro,TOTAL
BOLIVAR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,18,18
BOLPEBRA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,7,7
BOYUIBE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,23,23
BUENA VISTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,65,65
CABEZAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,153,153
CAIROMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,50,50
"CAIZA ""D""",micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,30,30
CAJUATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,40,40
CALACOTO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,12,12
CALAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,50,50
CAMARGO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,62,62
CAMATAQUI (C. VILLA ABECIA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,16,16
CAMIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,73,73
CAPINOTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,69,69
CAQUIAVIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,25,25
CARACOLLO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,63,63
CARANAVI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,226,226
CARAPARI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,44,44
CARIPUYO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,22,22
CARMEN RIVERO TORREZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,9,9
CATACORA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,2,2
CHACARILLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,4,4
CHALLAPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,94,94
CHAQUI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,27,27
CHARAGUA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,90,90
CHARAÑA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,1,1
CHAYANTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,9,9
CHIMORE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,84,84
CHIPAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,7,7
CHOQUE COTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,3,3
CHUA COCANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,21,21
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,64,64
CHUMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,25,25
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,24,24
CKOCHAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,43,43
CLIZA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,86,86
COBIJA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,212,212
COCAPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,39,39
COCHABAMBA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,1567,1567
COIPASA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,3,3
COLCAPIRHUA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,110,110
"COLCHA ""K""",micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,32,32
COLLANA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,7,7
COLOMI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,87,87
COLPA BELGICA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,5,5
COLQUECHACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,37,37
COLQUENCHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,27,27
COLQUIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,42,42
COMANCHE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,3,3
COMARAPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,64,64
COMBAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,12,12
CONCEPCION,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,115,115
COPACABANA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,46,46
CORIPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,69,69
CORO CORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,18,18
COROICO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,46,46
CORQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,22,22
COTAGAITA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,77,77
COTOCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,269,269
CUATRO CAÑADAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,64,64
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,3,3
CUEVO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,10,10
CULPINA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,83,83
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,12,12
CURVA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,7,7
DESAGUADERO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,25,25
EL ALTO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,2627,2627
EL CHORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,14,14
EL PUENTE(STC),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,63,63
EL PUENTE(TJA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,33,33
EL TORNO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,184,184
EL VILLAR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,18,18
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,85,85
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,65,65
ESCOMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,20,20
ESMERALDA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,2,2
EUCALIPTUS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,11,11
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,8,8
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,41,41
FILADELFIA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,28,28
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,64,64
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,27,27
GUANAY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,50,50
GUAQUI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,17,17
GUAYARAMERIN,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,207,207
GUTIERREZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,73,73
HUACARETA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,48,48
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,10,10
HUACHACALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,8,8
HUANUNI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,102,102
HUARINA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,14,14
HUATAJATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,7,7
HUAYLLAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,11,11
HUMANATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,8,8
ICHOCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,17,17
ICLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,21,21
INCAHUASI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,50,50
INGAVI (HUMAITA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,7,7
INQUISIVI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,40,40
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,50,50
IXIAMAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,18,18
JESUS DE MACHACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,21,21
LA ASUNTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,176,176
LA GUARDIA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,158,158
LA PAZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,1662,1662
LA RIVERA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,1,1
LAGUNILLAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,23,23
LAJA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,61,61
LAS CARRERAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,27,27
LICOMA PAMPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,12,12
LLALLAGUA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,121,121
LLICA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,12,12
LORETO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,9,9
LURIBAY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,26,26
MACHACAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,12,12
MACHARETI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,36,36
MAGDALENA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,76,76
MAIRANA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,15,15
MALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,8,8
MAPIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,28,28
MECAPACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,32,32
MINEROS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,222,222
MIZQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,104,104
MOCOMOCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,42,42
MOJINETE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,2,2
MOJOCOYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,14,14
MONTEAGUDO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,84,84
MONTERO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,458,458
MORO MORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,12,12
MOROCHATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,38,38
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,4,4
NAZACARA DE PACAJES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,7,7
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,13,13
OCURI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,26,26
OKINAWA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,69,69
OMEREQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,31,31
ORURO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,685,685
PADCAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,70,70
PADILLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,46,46
PAILON,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,67,67
PALCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,90,90
PALOS BLANCOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,140,140
PAMPA AULLAGAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,15,15
PAMPA GRANDE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,20,20
PAPEL PAMPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,6,6
PASORAPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,5,5
PATACAMAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,87,87
PAZÑA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,6,6
PELECHUCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,22,22
POCOATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,57,57
POCONA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,27,27
POJO (CBBA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,51,51
POOPO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,13,13
PORCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,14,14
POROMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,67,67
PORONGO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,57,57
PORTACHUELO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,65,65
PORVENIR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,18,18
POSTRER VALLE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,9,9
POTOSI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,754,754
PRESTO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,29,29
PUCARA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,2,2
PUCARANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,113,113
PUERTO ACOSTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,31,31
PUERTO CARABUCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,36,36
PUERTO GONZALO MORENO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,26,26
PUERTO PEREZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,15,15
PUERTO QUIJARRO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,71,71
PUERTO RICO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,24,24
PUERTO SUAREZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,45,45
PUERTO VILLARROEL,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,151,151
PUNA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,41,41
PUNATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,113,113
QUIABAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,3,3
QUILLACOLLO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,597,597
QUIME,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,38,38
QUIRUSILLAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,8,8
RAVELO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,49,49
REYES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,40,40
RIBERALTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,421,421
ROBORE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,60,60
RURRENABAQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,50,50
SABAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,4,4
SACABA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,470,470
SACABAMBA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,7,7
SACACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,34,34
SAIPINA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,25,25
SALINAS DE GARCI MENDOZA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,37,37
SAMAIPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,33,33
SAN AGUSTIN,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,3,3
SAN ANDRES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,46,46
SAN ANDRES DE MACHACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,15,15
SAN ANTONIO DE ESMORUCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,13,13
SAN ANTONIO DE LOMERIO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,22,22
SAN BENITO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,22,22
SAN BORJA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,149,149
SAN BUENA VENTURA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,28,28
SAN CARLOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,80,80
SAN IGNACIO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,105,105
SAN IGNACIO DE VELASCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,201,201
SAN JAVIER(BNI),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,21,21
SAN JAVIER(STC),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,67,67
SAN JOAQUIN,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,34,34
SAN JOSE DE CHIQUITOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-01-01,61,61
