municipality,group,variable,month,Total 8.6 Niños (as) de 6 meses a menor de 1 año con dosis única de vitamina A,TOTAL
EL PUENTE(TJA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,17,17
EL TORNO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,85,85
EL VILLAR,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,9,9
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,43,43
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,31,31
ESCOMA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,12,12
ESMERALDA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,1,1
EUCALIPTUS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,2,2
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,2,2
EXALTACION,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,3,3
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,31,31
FILADELFIA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,17,17
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,14,14
GUANAY,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,23,23
GUAQUI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,6,6
GUAYARAMERIN,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,120,120
GUTIERREZ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,21,21
HUACARETA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,26,26
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,7,7
HUACHACALLA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,6,6
HUANUNI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,40,40
HUARACAJE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,9,9
HUARINA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,4,4
HUATAJATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,3,3
HUAYLLAMARCA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,4,4
HUMANATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,7,7
ICHOCA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,5,5
ICLA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,10,10
INCAHUASI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,23,23
INGAVI (HUMAITA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,4,4
INQUISIVI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,19,19
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,18,18
IXIAMAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,19,19
JESUS DE MACHACA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,13,13
LA ASUNTA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,75,75
LA GUARDIA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,155,155
LA PAZ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,1048,1048
LAGUNILLAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,11,11
LAJA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,28,28
LAS CARRERAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,6,6
LICOMA PAMPA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,6,6
LLALLAGUA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,115,115
LLICA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,9,9
LORETO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,7,7
LURIBAY,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,18,18
MACHACAMARCA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,6,6
MACHARETI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,16,16
MAGDALENA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,33,33
MAIRANA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,18,18
MALLA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,7,7
MAPIRI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,10,10
MECAPACA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,21,21
MINEROS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,59,59
MIZQUE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,49,49
MOCOMOCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,20,20
MOJINETE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-01-01,2,2
