municipality,group,variable,month,Total 8.6 Niños (as) de 6 meses a menor de 1 año con dosis única de vitamina A,TOTAL
COROICO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,24,24
CORQUE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,9,9
COTAGAITA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,34,34
COTOCA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,112,112
CUATRO CAÑADAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,33,33
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,2,2
CUEVO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,9,9
CULPINA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,24,24
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,7,7
CURVA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,7,7
DESAGUADERO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,18,18
EL ALTO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1421,1421
EL CHORO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,6,6
EL PUENTE(STC),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
EL PUENTE(TJA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,23,23
EL TORNO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,87,87
EL VILLAR,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,4,4
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,37,37
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,91,91
ESCOMA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,8,8
EUCALIPTUS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,7,7
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
EXALTACION,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,12,12
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,24,24
FILADELFIA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,10,10
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,25,25
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,21,21
GUANAY,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,23,23
GUAQUI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,13,13
GUAYARAMERIN,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,107,107
GUTIERREZ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,16,16
HUACARETA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,19,19
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,8,8
HUANUNI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,51,51
HUARACAJE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,6,6
HUARINA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,8,8
HUATAJATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,3,3
HUAYLLAMARCA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,7,7
HUMANATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,11,11
ICHOCA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,6,6
ICLA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,10,10
INCAHUASI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,48,48
INGAVI (HUMAITA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,3,3
INQUISIVI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,22,22
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,31,31
IXIAMAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,13,13
JESUS DE MACHACA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,19,19
LA ASUNTA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,105,105
LA GUARDIA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,185,185
LA PAZ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1083,1083
LAGUNILLAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,13,13
LAJA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,23,23
LAS CARRERAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,3,3
LICOMA PAMPA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,3,3
LLALLAGUA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,83,83
LLICA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,10,10
LORETO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,4,4
LURIBAY,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
MACHACAMARCA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,8,8
MACHARETI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,16,16
MAGDALENA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,14,14
MAIRANA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,22,22
MALLA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,4,4
MAPIRI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,23,23
MECAPACA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,12,12
MINEROS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,41,41
MIZQUE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,69,69
MOCOMOCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,26,26
MOJINETE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
MOJOCOYA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,5,5
MONTEAGUDO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,35,35
MONTERO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,208,208
MORO MORO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,4,4
MOROCHATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,22,22
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,7,7
NAZACARA DE PACAJES,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,5,5
OCURI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,26,26
OKINAWA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,27,27
OMEREQUE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,8,8
ORURO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,385,385
PADCAYA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,17,17
PADILLA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,18,18
PAILON,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,26,26
PALCA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,27,27
PALOS BLANCOS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,47,47
PAMPA AULLAGAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,3,3
PAMPA GRANDE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,12,12
PAPEL PAMPA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,4,4
PASORAPA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,6,6
PATACAMAYA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,27,27
PAZÑA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,6,6
PELECHUCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,13,13
POCOATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,50,50
POCONA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,20,20
POJO (CBBA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,30,30
POOPO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
PORCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
POROMA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,28,28
PORONGO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,23,23
PORTACHUELO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,31,31
PORVENIR,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,16,16
POSTRER VALLE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,2,2
POTOSI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,333,333
PRESTO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
PUCARA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
PUCARANI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,53,53
PUERTO ACOSTA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
PUERTO CARABUCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,21,21
PUERTO GONZALO MORENO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,12,12
PUERTO PEREZ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,13,13
PUERTO QUIJARRO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,42,42
PUERTO RICO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,19,19
PUERTO SILES,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,4,4
PUERTO SUAREZ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,37,37
PUERTO VILLARROEL,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,118,118
PUNA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,27,27
PUNATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,48,48
QUIABAYA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,5,5
QUILLACOLLO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,248,248
QUIME,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,20,20
QUIRUSILLAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
RAVELO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,29,29
REYES,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,49,49
RIBERALTA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,237,237
ROBORE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,21,21
RURRENABAQUE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,24,24
SABAYA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,5,5
SACABA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,265,265
SACABAMBA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,10,10
SACACA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,35,35
SAIPINA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
SALINAS DE GARCI MENDOZA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,17,17
SAMAIPATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,21,21
SAN AGUSTIN,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,2,2
SAN ANDRES,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,9,9
SAN ANDRES DE MACHACA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,5,5
SAN ANTONIO DE ESMORUCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,9,9
SAN BORJA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,80,80
SAN BUENA VENTURA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,27,27
SAN CARLOS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,42,42
SAN IGNACIO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,27,27
SAN IGNACIO DE VELASCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,89,89
SAN JAVIER(BNI),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,9,9
SAN JAVIER(STC),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,22,22
SAN JOAQUIN,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,6,6
SAN JOSE DE CHIQUITOS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,48,48
SAN JUAN DE YAPACANI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,13,13
SAN JULIAN,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,77,77
SAN LORENZO(PND),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,18,18
SAN LORENZO(TJA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,38,38
SAN LUCAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,55,55
SAN MATIAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,11,11
SAN MIGUEL DE VELASCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,21,21
SAN PABLO DE LIPEZ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,12,12
SAN PEDRO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,26,26
SAN PEDRO DE BUENA VISTA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,47,47
SAN PEDRO DE CURAHUARA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
SAN PEDRO DE QUEMES,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,11,11
SAN PEDRO(PND),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,4,4
SAN RAFAEL,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,7,7
SAN RAMON BENI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,10,10
SAN RAMON SCZ,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,22,22
SANTA ANA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,30,30
SANTA CRUZ DE LA SIERRA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1993,1993
SANTA ROSA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,18,18
SANTA ROSA DEL SARA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,28,28
SANTIAGO DE CALLAPA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,6,6
SANTIAGO DE HUARI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
SANTIAGO DE HUATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,10,10
SANTIAGO DE MACHACA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,3,3
SANTIVAÑES,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
SANTUARIO DE QUILLACAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
SAPAHAQUI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,14,14
SENA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,17,17
SHINAOTA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,48,48
SICA SICA (VILLA AROMA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,38,38
SICAYA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,8,8
SIPE SIPE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,79,79
SOPACHUY,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,11,11
SORACACHI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,19,19
SORATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,33,33
SUCRE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,574,574
TACACHI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,2,2
TACACOMA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,8,8
TACOBAMBA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,16,16
TACOPAYA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,23,23
TAPACARI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,31,31
TARABUCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,32,32
TARACO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,9,9
TARATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,8,8
TARIJA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,456,456
TARVITA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,28,28
TEOPONTE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,34,34
TIAWANACU,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,15,15
TINGUIPAYA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,38,38
TIPUANI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,20,20
TIQUIPAYA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,106,106
TIRAQUE (CBBA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,49,49
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
TOCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,10,10
TODOS SANTOS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,1,1
TOLATA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,14,14
TOLEDO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,7,7
TOMAVE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,30,30
TOMINA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,11,11
TORO TORO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,16,16
TOTORA(CBBA),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,22,22
TOTORA(ORR),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,8,8
TRIGAL,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,2,2
TRINIDAD,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,150,150
TUPIZA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,98,98
TURCO,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,9,9
UMALA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,13,13
UNCIA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,51,51
URIONDO (A. CONCEPCION),micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,26,26
URUBICHA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,23,23
UYUNI,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,52,52
VACAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,9,9
VALLEGRANDE,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,16,16
VIACHA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,71,71
VILA VILA,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,9,9
VILLA CHARCAS,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,38,38
VILLA MONTES,micronutrientes, ninos (as) de 6 meses a menor de 1 ano con dosis unica de vitamina a,2014-06-01,60,60
