municipality,group,variable,month,Total 8.8 Niños (as) de 1 año a menores de 5 años con 2da dosis vitamina A,TOTAL
CAMARGO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,69,69
CAMATAQUI (C. VILLA ABECIA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,25,25
CAMIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,80,80
CAPINOTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,43,43
CAQUIAVIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,11,11
CARACOLLO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,65,65
CARANAVI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,114,114
CARAPARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,60,60
CARIPUYO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,38,38
CARMEN RIVERO TORREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,5,5
CATACORA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,6,6
CHACARILLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,2,2
CHALLAPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,80,80
CHAQUI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,20,20
CHARAGUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,89,89
CHARAÑA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
CHAYANTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,33,33
CHIMORE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,116,116
CHIPAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
CHOQUE COTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,2,2
CHUA COCANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,13,13
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,37,37
CHUMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,26,26
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,18,18
CKOCHAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,53,53
CLIZA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,90,90
COBIJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,209,209
COCAPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,59,59
COCHABAMBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,798,798
COIPASA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,2,2
COLCAPIRHUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,120,120
"COLCHA ""K""",micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,35,35
COLLANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
COLOMI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,58,58
COLPA BELGICA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,28,28
COLQUECHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,118,118
COLQUENCHA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,42,42
COLQUIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,21,21
COMARAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,91,91
COMBAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,10,10
CONCEPCION,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,78,78
COPACABANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,41,41
CORIPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,25,25
CORO CORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
COROICO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,55,55
CORQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,19,19
COTAGAITA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,135,135
COTOCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,186,186
CUATRO CAÑADAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,75,75
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
CUEVO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,23,23
CULPINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,78,78
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,16,16
CURVA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,9,9
DESAGUADERO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,16,16
EL ALTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,2000,2000
EL CHORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,25,25
EL PUENTE(STC),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,65,65
EL PUENTE(TJA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,51,51
EL TORNO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,173,173
EL VILLAR,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,22,22
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,126,126
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,53,53
ESCARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,3,3
ESCOMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,25,25
EUCALIPTUS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,18,18
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,18,18
EXALTACION,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,10,10
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,96,96
FILADELFIA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,38,38
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,85,85
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,46,46
GUANAY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,67,67
GUAQUI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,8,8
GUAYARAMERIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,165,165
GUTIERREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,36,36
HUACARETA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,42,42
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,14,14
HUACHACALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,4,4
HUANUNI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,113,113
HUARACAJE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,19,19
HUARINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,20,20
HUATAJATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,11,11
HUAYLLAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,13,13
HUMANATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,13,13
ICHOCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,15,15
ICLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,40,40
INCAHUASI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,59,59
INGAVI (HUMAITA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,4,4
INQUISIVI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,33,33
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,36,36
IXIAMAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,20,20
JESUS DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,40,40
LA ASUNTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,126,126
LA GUARDIA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,279,279
LA PAZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,1628,1628
LAGUNILLAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,22,22
LAJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,70,70
LAS CARRERAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
LICOMA PAMPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,11,11
LLALLAGUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,139,139
LLICA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,2,2
LORETO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,16,16
LURIBAY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,13,13
MACHACAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,25,25
MACHARETI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,17,17
MAGDALENA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,41,41
MAIRANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,16,16
MALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,12,12
MAPIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,22,22
MECAPACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,29,29
MINEROS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,123,123
MIZQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,80,80
MOCOMOCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,64,64
MOJINETE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
MOJOCOYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,26,26
MONTEAGUDO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,90,90
MONTERO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,432,432
MORO MORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,21,21
MOROCHATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,60,60
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
OCURI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,39,39
OKINAWA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,59,59
OMEREQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,32,32
ORURO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,739,739
PADCAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,66,66
PADILLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,38,38
PAILON,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,48,48
PALCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,49,49
PALOS BLANCOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,101,101
PAMPA AULLAGAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
PAMPA GRANDE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,29,29
PAPEL PAMPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,17,17
PASORAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,14,14
PATACAMAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,50,50
PAZÑA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,18,18
PELECHUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,22,22
POCOATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,62,62
POCONA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,52,52
POJO (CBBA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,57,57
POOPO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,28,28
PORCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,9,9
POROMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,53,53
PORONGO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,43,43
PORTACHUELO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,34,34
PORVENIR,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,30,30
POSTRER VALLE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,7,7
POTOSI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,573,573
PRESTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,46,46
PUCARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,10,10
PUCARANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,82,82
PUERTO ACOSTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,37,37
PUERTO CARABUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,31,31
PUERTO GONZALO MORENO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,34,34
PUERTO PEREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,36,36
PUERTO QUIJARRO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,17,17
PUERTO RICO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,21,21
PUERTO SILES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,4,4
PUERTO SUAREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,58,58
PUERTO VILLARROEL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,128,128
PUNA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,75,75
PUNATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,102,102
QUIABAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,12,12
QUILLACOLLO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,473,473
QUIME,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,34,34
QUIRUSILLAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,6,6
RAVELO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,104,104
REYES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,37,37
RIBERALTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,490,490
ROBORE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,53,53
RURRENABAQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,49,49
SABAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,2,2
SACABA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,370,370
SACABAMBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,8,8
SACACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,63,63
SAIPINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,18,18
SALINAS DE GARCI MENDOZA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,61,61
SAMAIPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,35,35
SAN AGUSTIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,5,5
SAN ANDRES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,26,26
SAN ANDRES DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,11,11
SAN ANTONIO DE ESMORUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,4,4
SAN ANTONIO DE LOMERIO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,49,49
SAN BENITO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,21,21
SAN BORJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,122,122
SAN BUENA VENTURA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-01-01,29,29
