municipality,group,variable,month,Total 8.7 Niños (as) de 1 año a menores de 5 años con 1ra dosis vitamina A,TOTAL
GUAYARAMERIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,250,250
GUTIERREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,119,119
HUACARETA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,69,69
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,24,24
HUACHACALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,6,6
HUANUNI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,131,131
HUARACAJE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,25,25
HUARINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,35,35
HUATAJATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,11,11
HUAYLLAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,16,16
HUMANATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,9,9
ICHOCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,24,24
ICLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,52,52
INCAHUASI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,83,83
INGAVI (HUMAITA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,2,2
INQUISIVI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,44,44
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,73,73
IXIAMAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,44,44
JESUS DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,47,47
LA ASUNTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,217,217
LA GUARDIA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,279,279
LA PAZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,2279,2279
LAGUNILLAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,49,49
LAJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,81,81
LAS CARRERAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,22,22
LICOMA PAMPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,10,10
LLALLAGUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,253,253
LLICA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,14,14
LORETO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,24,24
LURIBAY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,36,36
MACHACAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,20,20
MACHARETI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,63,63
MAGDALENA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,100,100
MAIRANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,38,38
MALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,20,20
MAPIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,45,45
MECAPACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,57,57
MINEROS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,124,124
MIZQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,139,139
MOCOMOCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,96,96
MOJINETE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,4,4
MOJOCOYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,30,30
MONTEAGUDO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,163,163
MONTERO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,662,662
MORO MORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,19,19
MOROCHATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,84,84
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,8,8
NAZACARA DE PACAJES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,12,12
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,21,21
OCURI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,77,77
OKINAWA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,92,92
OMEREQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,48,48
ORURO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,1205,1205
PADCAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,77,77
PADILLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,53,53
PAILON,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,135,135
PALCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,145,145
PALOS BLANCOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,235,235
PAMPA AULLAGAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,22,22
PAMPA GRANDE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,35,35
PAPEL PAMPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,22,22
PASORAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,20,20
PATACAMAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,76,76
PAZÑA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,19,19
PELECHUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,42,42
POCOATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,96,96
POCONA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,57,57
POJO (CBBA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,81,81
POOPO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,33,33
PORCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,41,41
POROMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,89,89
PORONGO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,77,77
PORTACHUELO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,76,76
PORVENIR,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,48,48
POSTRER VALLE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,17,17
POTOSI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,798,798
PRESTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,51,51
PUCARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,7,7
PUCARANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,99,99
PUERTO ACOSTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,46,46
PUERTO CARABUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,52,52
PUERTO GONZALO MORENO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,32,32
PUERTO PEREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,41,41
PUERTO QUIJARRO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,80,80
PUERTO RICO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,21,21
PUERTO SILES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,6,6
PUERTO SUAREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,42,42
PUERTO VILLARROEL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,184,184
PUNA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,105,105
PUNATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,134,134
QUIABAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,9,9
QUILLACOLLO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,822,822
QUIME,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,60,60
QUIRUSILLAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,15,15
RAVELO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,97,97
REYES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,81,81
RIBERALTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,771,771
ROBORE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,52,52
RURRENABAQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,65,65
SABAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,13,13
SACABA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,582,582
SACABAMBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,8,8
SACACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,97,97
SAIPINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,29,29
SALINAS DE GARCI MENDOZA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,69,69
SAMAIPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,41,41
SAN AGUSTIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2014-01-01,7,7
