municipality,group,variable,month,Total 8.5 Mujeres puérperas con dosis única de vitamina A,TOTAL
BELEN DE ANDAMARCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
BELEN DE URMIRI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
BERMEJO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
BETANZOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,36,36
BOLIVAR,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
BOYUIBE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
BUENA VISTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,16,16
CABEZAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,49,49
CAIROMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
"CAIZA ""D""",micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
CAJUATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,13,13
CALACOTO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
CALAMARCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,20,20
CAMARGO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,42,42
CAMATAQUI (C. VILLA ABECIA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
CAMIRI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,70,70
CAPINOTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,16,16
CAQUIAVIRI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,17,17
CARACOLLO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,26,26
CARANAVI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,110,110
CARANGAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
CARAPARI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
CARIPUYO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
CARMEN RIVERO TORREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,12,12
CHACARILLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
CHALLAPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,65,65
CHAQUI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
CHARAGUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,70,70
CHARAÑA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
CHAYANTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,24,24
CHIMORE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
CHIPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
CHUA COCANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,42,42
CHUMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,9,9
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,13,13
CKOCHAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,23,23
CLIZA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,23,23
COBIJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,156,156
COCAPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,22,22
COCHABAMBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,925,925
COLCAPIRHUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,41,41
"COLCHA ""K""",micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,16,16
COLLANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
COLOMI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,35,35
COLPA BELGICA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,9,9
COLQUECHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,49,49
COLQUENCHA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,9,9
COLQUIRI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,14,14
COMANCHE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
COMARAPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,23,23
COMBAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
CONCEPCION,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,30,30
COPACABANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,20,20
CORIPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,13,13
CORO CORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,10,10
COROICO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,26,26
CORQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
COTAGAITA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,25,25
COTOCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,128,128
CUATRO CAÑADAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,26,26
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
CUEVO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
CULPINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,23,23
CURAHUARA DE CARANGAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
CURVA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
DESAGUADERO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
EL ALTO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1281,1281
EL CHORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
EL PUENTE(STC),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,15,15
EL PUENTE(TJA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,13,13
EL TORNO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,101,101
ENTRE RIOS TRJ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,12,12
ENTRE RIOS CBBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,24,24
ESCOMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
EUCALIPTUS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
EUREKA (SANTOS MERCADO),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
EXALTACION,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
FERNANDEZ ALONSO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,19,19
FILADELFIA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
GENERAL SAAVEDRA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,15,15
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,9,9
GUANAY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,17,17
GUAQUI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,9,9
GUAYARAMERIN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,196,196
GUTIERREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,15,15
HUACARETA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,17,17
HUACAYA (VILLA DE HUACAYA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
HUACHACALLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
HUANUNI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,30,30
HUARACAJE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
HUARINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
HUATAJATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
HUAYLLAMARCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
HUMANATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
ICHOCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
ICLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
INCAHUASI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,16,16
INGAVI (HUMAITA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
INQUISIVI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
IRUPANA (VILLA DE LANZA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,14,14
IXIAMAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,13,13
JESUS DE MACHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,15,15
LA ASUNTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,51,51
LA GUARDIA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,53,53
LA PAZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1377,1377
LAGUNILLAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,9,9
LAJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,19,19
LAS CARRERAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
LICOMA PAMPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
LLALLAGUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,10,10
LLICA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
LORETO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
LURIBAY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
MACHACAMARCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
MACHARETI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
MAGDALENA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
MAIRANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,27,27
MALLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
MAPIRI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,33,33
MECAPACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
MINEROS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,25,25
MIZQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,38,38
MOCOMOCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,18,18
MOJINETE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
MOJOCOYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
MONTEAGUDO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,43,43
MONTERO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,319,319
MORO MORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
MOROCHATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,14,14
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
NAZACARA DE PACAJES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
OCURI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,25,25
OKINAWA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
OMEREQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
ORURO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,441,441
PADCAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,17,17
PADILLA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,28,28
PAILON,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,30,30
PALCA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,18,18
PALOS BLANCOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,41,41
PAMPA AULLAGAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
PAMPA GRANDE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
PAPEL PAMPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
PATACAMAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,32,32
PAZÑA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
PELECHUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
POCOATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,36,36
POCONA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,20,20
POJO (CBBA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
POOPO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
PORCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,10,10
POROMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,13,13
PORONGO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
PORTACHUELO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,40,40
PORVENIR,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
POSTRER VALLE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
POTOSI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,357,357
PRESTO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,14,14
PUCARANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,38,38
PUERTO ACOSTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,15,15
PUERTO CARABUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,17,17
PUERTO GONZALO MORENO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
PUERTO PEREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
PUERTO QUIJARRO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,18,18
PUERTO RICO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,14,14
PUERTO SILES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
PUERTO SUAREZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,40,40
PUERTO VILLARROEL,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,127,127
PUNA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,18,18
PUNATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
QUIABAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
QUILLACOLLO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,178,178
QUIME,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
RAVELO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,22,22
REYES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,30,30
RIBERALTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,242,242
ROBORE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,26,26
RURRENABAQUE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,46,46
SABAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
SACABA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,190,190
SACABAMBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
SACACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,31,31
SAIPINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
SALINAS DE GARCI MENDOZA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,19,19
SAMAIPATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
SAN AGUSTIN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
SAN ANDRES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
SAN ANDRES DE MACHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
SAN ANTONIO DE ESMORUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
SAN ANTONIO DE LOMERIO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
SAN BENITO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
SAN BORJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,83,83
SAN BUENA VENTURA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,25,25
SAN CARLOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,40,40
SAN IGNACIO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,50,50
SAN IGNACIO DE VELASCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,124,124
SAN JAVIER(BNI),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
SAN JAVIER(STC),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,41,41
SAN JOSE DE CHIQUITOS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,36,36
SAN JUAN DE YAPACANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
SAN JULIAN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,83,83
SAN LORENZO(PND),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
SAN LORENZO(TJA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,9,9
SAN LUCAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,49,49
SAN MATIAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,19,19
SAN MIGUEL DE VELASCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,19,19
SAN PABLO DE LIPEZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
SAN PEDRO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
SAN PEDRO DE BUENA VISTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,16,16
SAN PEDRO DE CURAHUARA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,4,4
SAN PEDRO DE TIQUINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
SAN PEDRO(PND),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
SAN RAFAEL,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
SAN RAMON BENI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,10,10
SAN RAMON SCZ,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,19,19
SANTA ANA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,56,56
SANTA CRUZ DE LA SIERRA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,787,787
SANTA ROSA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,24,24
SANTA ROSA DEL SARA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
SANTIAGO DE CALLAPA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
SANTIAGO DE HUARI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,14,14
SANTIAGO DE HUATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,10,10
SANTIAGO DE MACHACA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
SANTIVAÑES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
SANTUARIO DE QUILLACAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
SAPAHAQUI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
SENA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
SHINAOTA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,55,55
SICA SICA (VILLA AROMA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,28,28
SICAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
SIPE SIPE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,34,34
SOPACHUY,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
SORACACHI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
SORATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
SUCRE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,228,228
TACACHI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,3,3
TACACOMA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
TACOBAMBA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
TACOPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,15,15
TAHUA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
TAPACARI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,28,28
TARABUCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,25,25
TARACO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
TARATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
TARIJA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,303,303
TARVITA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,20,20
TEOPONTE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,21,21
TIAWANACU,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,19,19
TINGUIPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,17,17
TIPUANI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
TIQUIPAYA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,103,103
TIRAQUE (CBBA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,21,21
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
TOCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
TOLATA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
TOLEDO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
TOMAVE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,15,15
TOMINA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,13,13
TORO TORO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
TOTORA(CBBA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,26,26
TOTORA(ORR),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,9,9
TRIGAL,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
TRINIDAD,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,306,306
TUPIZA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,57,57
TURCO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,1,1
UMALA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
UNCIA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,39,39
URIONDO (A. CONCEPCION),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
URUBICHA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,12,12
UYUNI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,41,41
VACAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,6,6
VALLEGRANDE,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,38,38
VIACHA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,50,50
VILA VILA,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
VILLA CHARCAS,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,21,21
VILLA MONTES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,10,10
VILLA RIVERO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,8,8
VILLA SERRANO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,10,10
VILLA TUNARI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,76,76
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,2,2
VILLAZON,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,55,55
VINTO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,71,71
VITICHI,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,7,7
WALDO BALLIVIAN,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,5,5
WARNES,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,149,149
YACO,micronutrientes, mujeres puerperas con dosis unica de vitamina a,2014-04-01,11,11
