municipality,group,variable,month,Total 8.4 Niños (as) de 2 años a menores de 5 años con dosis completa de hierro,TOTAL
BETANZOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,102,102
BOLIVAR,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,19,19
BOLPEBRA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,4,4
BOYUIBE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,15,15
BUENA VISTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,56,56
CABEZAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,140,140
CAIROMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,33,33
"CAIZA ""D""",micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,41,41
CAJUATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,24,24
CALACOTO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,12,12
CALAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,74,74
CAMARGO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,95,95
CAMATAQUI (C. VILLA ABECIA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,45,45
CAMIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,80,80
CAPINOTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,111,111
CAQUIAVIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,35,35
CARACOLLO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,69,69
CARANAVI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,211,211
CARANGAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,2,2
CARAPARI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,62,62
CARIPUYO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,51,51
CARMEN RIVERO TORREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,13,13
CATACORA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,2,2
CHACARILLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,9,9
CHALLAPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,108,108
CHAQUI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,19,19
CHARAGUA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,87,87
CHARAÑA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,4,4
CHAYANTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,40,40
CHIMORE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,93,93
CHIPAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,9,9
CHUA COCANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,14,14
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,38,38
CHUMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,37,37
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,21,21
CKOCHAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,50,50
CLIZA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,120,120
COBIJA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,208,208
COCAPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,56,56
COCHABAMBA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,1080,1080
COIPASA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,2,2
COLCAPIRHUA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,134,134
"COLCHA ""K""",micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,45,45
COLLANA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,16,16
COLOMI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,71,71
COLPA BELGICA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,11,11
COLQUECHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,123,123
COLQUENCHA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,51,51
COLQUIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,27,27
COMARAPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,70,70
COMBAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,27,27
CONCEPCION,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,127,127
COPACABANA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,83,83
CORIPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,42,42
CORO CORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,23,23
COROICO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,65,65
CORQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,17,17
COTAGAITA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,108,108
COTOCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,234,234
CRUZ DE MACHACAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,5,5
CUATRO CAÑADAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,79,79
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,6,6
CUEVO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,29,29
CULPINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,74,74
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,18,18
CURVA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,11,11
DESAGUADERO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,41,41
EL ALTO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,2402,2402
EL CHORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,15,15
EL PUENTE(STC),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,60,60
EL PUENTE(TJA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,45,45
EL TORNO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,176,176
EL VILLAR,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,15,15
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,115,115
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,90,90
ESCOMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,28,28
ESMERALDA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,1,1
EUCALIPTUS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,18,18
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,13,13
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,59,59
FILADELFIA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,22,22
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,88,88
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,40,40
GUANAY,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,42,42
GUAQUI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,11,11
GUAYARAMERIN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,105,105
GUTIERREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,82,82
HUACARETA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,50,50
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,7,7
HUACHACALLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,6,6
HUANUNI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,130,130
HUARACAJE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,13,13
HUARINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,31,31
HUATAJATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,10,10
HUAYLLAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,7,7
HUMANATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,9,9
ICHOCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,14,14
ICLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,42,42
INCAHUASI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,62,62
INQUISIVI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,32,32
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,45,45
IXIAMAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,26,26
JESUS DE MACHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,39,39
LA ASUNTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,143,143
LA GUARDIA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,167,167
LA PAZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,1693,1693
LAGUNILLAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,43,43
LAJA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,63,63
LAS CARRERAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,33,33
LICOMA PAMPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,10,10
LLALLAGUA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,152,152
LLICA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,10,10
LORETO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,16,16
LURIBAY,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,27,27
MACHACAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,2,2
MACHARETI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,80,80
MAGDALENA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,78,78
MAIRANA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,37,37
MALLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,15,15
MAPIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,30,30
MECAPACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,32,32
MINEROS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,113,113
MIZQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,91,91
MOCOMOCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,63,63
MOJINETE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,6,6
MOJOCOYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,18,18
MONTEAGUDO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,111,111
MONTERO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,435,435
MORO MORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,10,10
MOROCHATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,81,81
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,3,3
NAZACARA DE PACAJES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,9,9
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,13,13
OCURI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,60,60
OKINAWA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,49,49
OMEREQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,32,32
ORURO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,731,731
PADCAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,53,53
PADILLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,34,34
PAILON,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,103,103
PALCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,95,95
PALOS BLANCOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,161,161
PAMPA AULLAGAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,16,16
PAMPA GRANDE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,32,32
PAPEL PAMPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,20,20
PASORAPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,15,15
PATACAMAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,37,37
PAZÑA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,16,16
PELECHUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,33,33
POCOATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,69,69
POCONA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,53,53
POJO (CBBA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,76,76
POOPO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,32,32
PORCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,21,21
POROMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,56,56
PORONGO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,59,59
PORTACHUELO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,35,35
PORVENIR,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,41,41
POSTRER VALLE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,4,4
POTOSI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,550,550
PRESTO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,40,40
PUCARA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,11,11
PUCARANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,86,86
PUERTO ACOSTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,34,34
PUERTO CARABUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,49,49
PUERTO GONZALO MORENO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,19,19
PUERTO PEREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,30,30
PUERTO QUIJARRO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,30,30
PUERTO RICO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,28,28
PUERTO SILES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,3,3
PUERTO SUAREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,52,52
PUERTO VILLARROEL,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,179,179
PUNA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,64,64
PUNATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,84,84
QUIABAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,4,4
QUILLACOLLO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,813,813
QUIME,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,40,40
QUIRUSILLAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,11,11
RAVELO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,89,89
REYES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,70,70
RIBERALTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,605,605
ROBORE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,40,40
RURRENABAQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,48,48
SABAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,8,8
SACABA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,361,361
SACABAMBA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,8,8
SACACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,73,73
SAIPINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,20,20
SALINAS DE GARCI MENDOZA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,49,49
SAMAIPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,41,41
SAN AGUSTIN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,7,7
SAN ANDRES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,37,37
SAN ANDRES DE MACHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,8,8
SAN ANTONIO DE ESMORUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,5,5
SAN ANTONIO DE LOMERIO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,48,48
SAN BENITO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,21,21
SAN BORJA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,143,143
SAN BUENA VENTURA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,34,34
SAN CARLOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,91,91
SAN IGNACIO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,154,154
SAN IGNACIO DE VELASCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,229,229
SAN JAVIER(BNI),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,32,32
SAN JAVIER(STC),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,97,97
SAN JOAQUIN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,22,22
SAN JOSE DE CHIQUITOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,42,42
SAN JUAN DE YAPACANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,18,18
SAN JULIAN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-01-01,196,196
