municipality,group,variable,month,Total 8.1 Mujeres embarazadas con dosis completa de hierro,TOTAL
CHARAÑA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2,2
CHAYANTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,19,19
CHIMORE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,53,53
CHIPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
CHOQUE COTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2,2
CHUA COCANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,49,49
CHUMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,19,19
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,14,14
CKOCHAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,16,16
CLIZA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,18,18
COBIJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,186,186
COCAPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,20,20
COCHABAMBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1288,1288
COIPASA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2,2
COLCAPIRHUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,79,79
"COLCHA ""K""",micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,20,20
COLLANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
COLOMI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,36,36
COLPA BELGICA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
COLQUECHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,61,61
COLQUENCHA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,14,14
COLQUIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,18,18
COMANCHE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
COMARAPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,36,36
COMBAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,6,6
CONCEPCION,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,49,49
COPACABANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,34,34
CORIPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,41,41
CORO CORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,9,9
COROICO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,35,35
CORQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,9,9
COTAGAITA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,35,35
COTOCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,137,137
CUATRO CAÑADAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,30,30
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
CUEVO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
CULPINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,23,23
CURAHUARA DE CARANGAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
CURVA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
DESAGUADERO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,12,12
EL ALTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2067,2067
EL CHORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,12,12
EL PUENTE(STC),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,12,12
EL PUENTE(TJA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,18,18
EL TORNO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,100,100
EL VILLAR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,9,9
ENTRE RIOS TRJ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,46,46
ENTRE RIOS CBBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,118,118
ESCARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1,1
ESCOMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
EUCALIPTUS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,9,9
EUREKA (SANTOS MERCADO),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,5,5
FERNANDEZ ALONSO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,15,15
FILADELFIA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
GENERAL SAAVEDRA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,36,36
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,16,16
GUANAY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,22,22
GUAQUI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
GUAYARAMERIN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,95,95
GUTIERREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,41,41
HUACARETA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,13,13
HUACAYA (VILLA DE HUACAYA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
HUACHACALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
HUANUNI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,88,88
HUARACAJE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,6,6
HUARINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
HUATAJATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
HUAYLLAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
HUMANATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,12,12
ICHOCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
ICLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,18,18
INCAHUASI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,22,22
INGAVI (HUMAITA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,6,6
INQUISIVI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,19,19
IRUPANA (VILLA DE LANZA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,31,31
IXIAMAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,29,29
JESUS DE MACHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,31,31
LA ASUNTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,117,117
LA GUARDIA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,229,229
LA PAZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1949,1949
LAGUNILLAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
LAJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,36,36
LAS CARRERAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,12,12
LICOMA PAMPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
LLALLAGUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,87,87
LLICA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
LORETO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1,1
LURIBAY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,17,17
MACHACAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2,2
MACHARETI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,13,13
MAGDALENA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,28,28
MAIRANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,25,25
MALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1,1
MAPIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,43,43
MECAPACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,28,28
MINEROS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,70,70
MIZQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,36,36
MOCOMOCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,18,18
MOJINETE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
MOJOCOYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
MONTEAGUDO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,41,41
MONTERO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,320,320
MORO MORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1,1
MOROCHATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,21,21
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,6,6
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
OCURI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,18,18
OKINAWA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,38,38
OMEREQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,7,7
ORURO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,594,594
PADCAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,37,37
PADILLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,15,15
PAILON,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,71,71
PALCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,39,39
PALOS BLANCOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,63,63
PAMPA AULLAGAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,5,5
PAMPA GRANDE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,20,20
PAPEL PAMPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,7,7
PASORAPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
PATACAMAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,46,46
PAZÑA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,7,7
PELECHUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
POCOATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,27,27
POCONA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,18,18
POJO (CBBA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,30,30
POOPO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
PORCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,32,32
POROMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,23,23
PORONGO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,18,18
PORTACHUELO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,48,48
PORVENIR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,22,22
POSTRER VALLE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1,1
POTOSI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,520,520
PRESTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,19,19
PUCARANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,59,59
PUERTO ACOSTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,13,13
PUERTO CARABUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,12,12
PUERTO GONZALO MORENO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
PUERTO PEREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
PUERTO QUIJARRO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,32,32
PUERTO RICO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,25,25
PUERTO SUAREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,42,42
PUERTO VILLARROEL,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,91,91
PUNA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,23,23
PUNATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,44,44
QUIABAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
QUILLACOLLO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,273,273
QUIME,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,17,17
QUIRUSILLAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2,2
RAVELO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,22,22
REYES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,33,33
RIBERALTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,330,330
ROBORE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,24,24
RURRENABAQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,36,36
SABAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
SACABA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,293,293
SACABAMBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
SACACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,44,44
SAIPINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
SALINAS DE GARCI MENDOZA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,23,23
SAMAIPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,22,22
SAN AGUSTIN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
SAN ANDRES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,21,21
SAN ANDRES DE MACHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,5,5
SAN ANTONIO DE ESMORUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,25,25
SAN BENITO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,26,26
SAN BORJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,86,86
SAN BUENA VENTURA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,30,30
SAN CARLOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,50,50
SAN IGNACIO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,59,59
SAN IGNACIO DE VELASCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,186,186
SAN JAVIER(BNI),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
SAN JAVIER(STC),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,41,41
SAN JOAQUIN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
SAN JOSE DE CHIQUITOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
SAN JUAN DE YAPACANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,20,20
SAN JULIAN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,198,198
SAN LORENZO(PND),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,9,9
SAN LORENZO(TJA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,45,45
SAN LUCAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,57,57
SAN MATIAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,53,53
SAN MIGUEL DE VELASCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,29,29
SAN PABLO DE LIPEZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,7,7
SAN PEDRO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,24,24
SAN PEDRO DE BUENA VISTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,35,35
SAN PEDRO DE CURAHUARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,12,12
SAN PEDRO DE TIQUINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,4,4
SAN RAFAEL,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,20,20
SAN RAMON BENI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,6,6
SAN RAMON SCZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,30,30
SANTA ANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,66,66
SANTA CRUZ DE LA SIERRA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2946,2946
SANTA ROSA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,17,17
SANTA ROSA DEL SARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,42,42
SANTIAGO DE CALLAPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
SANTIAGO DE HUARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
SANTIAGO DE HUATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
SANTIAGO DE MACHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,6,6
SANTIVAÑES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,11,11
SANTUARIO DE QUILLACAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
SAPAHAQUI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,8,8
SENA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,12,12
SHINAOTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,20,20
SICA SICA (VILLA AROMA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,46,46
SICAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,10,10
SIPE SIPE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,107,107
SOPACHUY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,15,15
SORACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,18,18
SORATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,31,31
SUCRE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,817,817
TACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2,2
TACACOMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,26,26
TACOBAMBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,20,20
TACOPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,16,16
TAHUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2,2
TAPACARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,40,40
TARABUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,21,21
TARACO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,3,3
TARATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,27,27
TARIJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,448,448
TARVITA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,36,36
TEOPONTE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,29,29
TIAWANACU,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,28,28
TINGUIPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,36,36
TIPUANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,23,23
TIQUIPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,133,133
TIRAQUE (CBBA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,40,40
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,2,2
TOCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,15,15
TODOS SANTOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,1,1
TOLATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,9,9
TOLEDO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,9,9
TOMAVE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,19,19
TOMINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,5,5
TORO TORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,14,14
TOTORA(CBBA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-01-01,22,22
