municipality,group,variable,month,Total 8.2 Mujeres puérperas con dosis completa de hierro,TOTAL
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,16,16
GUANAY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,15,15
GUAQUI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,9,9
GUAYARAMERIN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,59,59
GUTIERREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,12,12
HUACARETA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
HUACAYA (VILLA DE HUACAYA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
HUACHACALLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
HUANUNI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,28,28
HUARACAJE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,5,5
HUARINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,4,4
HUATAJATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,4,4
HUMANATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,4,4
ICHOCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,5,5
ICLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
INCAHUASI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,12,12
INGAVI (HUMAITA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,4,4
INQUISIVI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
IRUPANA (VILLA DE LANZA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,18,18
IXIAMAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
JESUS DE MACHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,17,17
LA ASUNTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,51,51
LA GUARDIA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,52,52
LA PAZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,861,861
LAGUNILLAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
LAJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,17,17
LAS CARRERAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
LICOMA PAMPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
LLALLAGUA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,93,93
LLICA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
LORETO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
LURIBAY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,6,6
MACHACAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
MACHARETI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,5,5
MAGDALENA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,24,24
MAIRANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,28,28
MALLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,5,5
MAPIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,21,21
MECAPACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,9,9
MINEROS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,13,13
MIZQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,30,30
MOCOMOCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,15,15
MOJINETE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
MOJOCOYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
MONTEAGUDO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,56,56
MONTERO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,156,156
MOROCHATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,22,22
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,4,4
NAZACARA DE PACAJES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,4,4
OCURI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,19,19
OKINAWA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,22,22
OMEREQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
ORURO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,392,392
PADCAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,12,12
PADILLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,15,15
PAILON,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,49,49
PALCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,20,20
PALOS BLANCOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,37,37
PAMPA AULLAGAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
PAMPA GRANDE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,9,9
PAPEL PAMPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
PASORAPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
PATACAMAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,31,31
PAZÑA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,6,6
PELECHUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,7,7
POCOATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,31,31
POCONA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,12,12
POJO (CBBA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,17,17
POOPO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
PORCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,26,26
POROMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,20,20
PORONGO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
PORTACHUELO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,43,43
PORVENIR,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
POSTRER VALLE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
POTOSI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,333,333
PRESTO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,5,5
PUCARANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,41,41
PUERTO ACOSTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,11,11
PUERTO CARABUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,13,13
PUERTO GONZALO MORENO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
PUERTO PEREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,6,6
PUERTO QUIJARRO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,16,16
PUERTO RICO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,9,9
PUERTO SUAREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,39,39
PUERTO VILLARROEL,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,132,132
PUNA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,17,17
PUNATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,83,83
QUIABAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
QUILLACOLLO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,203,203
QUIME,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,7,7
RAVELO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,16,16
REYES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,33,33
RIBERALTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,251,251
ROBORE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,26,26
RURRENABAQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,55,55
SABAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
SACABA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,137,137
SACABAMBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,9,9
SACACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,29,29
SAIPINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,4,4
SALINAS DE GARCI MENDOZA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,16,16
SAMAIPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
SAN AGUSTIN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
SAN ANDRES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,12,12
SAN ANDRES DE MACHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
SAN ANTONIO DE ESMORUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,12,12
SAN BENITO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
SAN BORJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,83,83
SAN BUENA VENTURA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,13,13
SAN CARLOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,64,64
SAN IGNACIO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,48,48
SAN IGNACIO DE VELASCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,139,139
SAN JAVIER(BNI),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,7,7
SAN JAVIER(STC),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,31,31
SAN JOAQUIN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,35,35
SAN JULIAN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,90,90
SAN LORENZO(PND),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
SAN LORENZO(TJA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
SAN LUCAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,31,31
SAN MATIAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,24,24
SAN MIGUEL DE VELASCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,22,22
SAN PABLO DE LIPEZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,91,91
SAN PEDRO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,22,22
SAN PEDRO DE BUENA VISTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,30,30
SAN PEDRO DE CURAHUARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,5,5
SAN PEDRO DE QUEMES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
SAN PEDRO DE TIQUINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,7,7
SAN PEDRO(PND),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
SAN RAFAEL,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,6,6
SAN RAMON BENI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,11,11
SAN RAMON SCZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,17,17
SANTA ANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,11,11
SANTA CRUZ DE LA SIERRA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1223,1223
SANTA ROSA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,18,18
SANTA ROSA DEL SARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,12,12
SANTIAGO DE CALLAPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
SANTIAGO DE HUARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
SANTIAGO DE HUATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
SANTIAGO DE MACHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
SANTIVAÑES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,6,6
SANTUARIO DE QUILLACAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
SAPAHAQUI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,7,7
SENA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,16,16
SHINAOTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,27,27
SICA SICA (VILLA AROMA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,36,36
SICAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,9,9
SIPE SIPE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,47,47
SOPACHUY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,7,7
SORACACHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
SORATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,17,17
SUCRE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,412,412
TACACOMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,4,4
TACOBAMBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,11,11
TACOPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,5,5
TAHUA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
TAPACARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,30,30
TARABUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,18,18
TARACO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,6,6
TARATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,6,6
TARIJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,656,656
TARVITA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,16,16
TEOPONTE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,16,16
TIAWANACU,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,16,16
TINGUIPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,36,36
TIPUANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
TIQUIPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,101,101
TIRAQUE (CBBA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,19,19
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
TOCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
TOLATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
TOLEDO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,6,6
TOMAVE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,15,15
TOMINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
TORO TORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,14,14
TOTORA(CBBA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,19,19
TOTORA(ORR),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
TRINIDAD,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,280,280
TUPIZA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,71,71
TURCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
UMALA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,14,14
UNCIA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,31,31
URIONDO (A. CONCEPCION),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
URUBICHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,11,11
UYUNI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,51,51
VACAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,4,4
VALLEGRANDE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,28,28
VIACHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,57,57
VILA VILA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
VILLA CHARCAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,23,23
VILLA MONTES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,26,26
VILLA RIVERO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,7,7
VILLA SERRANO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,10,10
VILLA TUNARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,191,191
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,13,13
VILLAZON,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,59,59
VINTO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,62,62
VITICHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,16,16
WALDO BALLIVIAN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,2,2
WARNES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,109,109
YACO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,7,7
YACUIBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,124,124
YAMPARAEZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,3,3
YANACACHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,8,8
YAPACANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,72,72
YOCALLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,9,9
YOTALA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,5,5
YUNCHARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,1,1
ZUDAÑEZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-06-01,13,13
ACACIO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,8,8
ACHACACHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,56,56
ACHOCALLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,11,11
AIQUILE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,33,33
ALALAY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,3,3
ALCALA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,3,3
ALTO BENI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,7,7
ANCORAIMES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,26,26
ANDAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,3,3
ANTEQUERA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,3,3
ANZALDO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,6,6
APOLO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,23,23
ARAMPAMPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,7,7
ARANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,16,16
ARBIETO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,22,22
ARQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,14,14
ASCENCION DE GUARAYOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,66,66
ATOCHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,12,12
AUCAPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,6,6
AYATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,14,14
AYO AYO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,39,39
AZURDUY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,17,17
BATALLAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,11,11
BAURES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,8,8
BELEN DE ANDAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,4,4
BELEN DE URMIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,2,2
BELLA FLOR,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,3,3
BERMEJO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,7,7
BETANZOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,38,38
BOLIVAR,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,7,7
BOYUIBE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,5,5
BUENA VISTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,5,5
CABEZAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,22,22
CAIROMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,4,4
"CAIZA ""D""",micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,4,4
CAJUATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,9,9
CALACOTO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,7,7
CALAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,12,12
CAMARGO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,28,28
CAMATAQUI (C. VILLA ABECIA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,4,4
CAMIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,71,71
CAPINOTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,22,22
CAQUIAVIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,6,6
CARACOLLO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,25,25
CARANAVI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,102,102
CARAPARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,10,10
CARIPUYO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,16,16
CARMEN RIVERO TORREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,9,9
CATACORA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,1,1
CHACARILLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,1,1
CHALLAPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,62,62
CHAQUI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,9,9
CHARAGUA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,75,75
CHARAÑA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,1,1
CHAYANTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,27,27
CHIMORE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,20,20
CHIPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,4,4
CHOQUE COTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,2,2
CHUA COCANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,22,22
CHUMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,10,10
CKOCHAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,22,22
CLIZA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,39,39
COBIJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,180,180
COCAPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,26,26
COCHABAMBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,470,470
COIPASA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,1,1
COLCAPIRHUA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,23,23
"COLCHA ""K""",micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,17,17
COLLANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,6,6
COLOMI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,26,26
COLPA BELGICA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,9,9
COLQUECHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,44,44
COLQUENCHA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,9,9
COLQUIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,7,7
COMANCHE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,3,3
COMARAPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,22,22
COMBAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,4,4
CONCEPCION,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,29,29
COPACABANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,18,18
CORIPATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,9,9
CORO CORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,7,7
COROICO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,40,40
CORQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,5,5
COTAGAITA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,21,21
COTOCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,124,124
CUATRO CAÑADAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,14,14
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-07-01,2,2
