municipality,group,variable,month,Total 8.2 Mujeres puérperas con dosis completa de hierro,TOTAL
FILADELFIA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
GENERAL SAAVEDRA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,9,9
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
GUANAY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,14,14
GUAQUI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,9,9
GUAYARAMERIN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,55,55
GUTIERREZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,18,18
HUACARETA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,9,9
HUACAYA (VILLA DE HUACAYA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,9,9
HUANUNI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,29,29
HUARACAJE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
HUATAJATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
HUAYLLAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
HUMANATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
ICHOCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
ICLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,11,11
INCAHUASI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,14,14
INGAVI (HUMAITA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
INQUISIVI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
IRUPANA (VILLA DE LANZA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
IXIAMAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
JESUS DE MACHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,13,13
LA ASUNTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,66,66
LA GUARDIA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,83,83
LA PAZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,813,813
LAGUNILLAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,8,8
LAJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,17,17
LAS CARRERAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
LICOMA PAMPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,5,5
LLALLAGUA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,65,65
LLICA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
LORETO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
LURIBAY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
MACHACAMARCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
MACHARETI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
MAGDALENA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,24,24
MAIRANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,35,35
MALLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
MAPIRI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,16,16
MECAPACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
MINEROS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,26,26
MIZQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,46,46
MOCOMOCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,19,19
MOJOCOYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,12,12
MONTEAGUDO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,45,45
MONTERO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,87,87
MORO MORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
MOROCHATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,19,19
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
NAZACARA DE PACAJES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
OCURI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,25,25
OKINAWA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,15,15
OMEREQUE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,8,8
ORURO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,380,380
PADCAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,15,15
PADILLA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,25,25
PAILON,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,44,44
PALCA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,17,17
PALOS BLANCOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,51,51
PAMPA AULLAGAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
PAMPA GRANDE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
PAPEL PAMPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
PASORAPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
PATACAMAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,25,25
PAZÑA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,9,9
PELECHUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
POCOATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,34,34
POCONA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,14,14
POJO (CBBA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,8,8
POOPO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,5,5
PORCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
POROMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,21,21
PORONGO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
