,group,variable,month,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
TOLATA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,43,120,43,120,163
TOLEDO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,1,10,1,10,11
TOTORA(CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,6,0,6,0,6
TUPIZA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,15,0,15,15
UMALA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,10,0,10,10
VIACHA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,10,17,10,17,27
VILA VILA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,7,2,7,2,9
VILLA SERRANO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,20,0,20,20
VILLA TUNARI,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,39,154,39,154,193
VILLAZON,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,30,0,30,30
VINTO,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,82,135,82,135,217
WARNES,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,48,786,48,786,834
YACUIBA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,4,0,4,0,4
YANACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,25,0,25,25
YOTALA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,6,0,6,6
YUNCHARA,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,20,0,20,20
ZUDAÑEZ,otras vacunaciones,antirrabica en perros y gatos,2011-01-01,0,23,0,23,23
ACHACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,1,7,1,7,8
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,8,50,8,50,58
ALALAY,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,1,18,1,18,19
ALTO BENI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,9,0,9,9
ANTEQUERA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,4,0,4,4
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,224,0,224,224
ARBIETO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,9,324,9,324,333
ARQUE,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,7,0,7,0,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,62,0,62,62
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,298,0,298,298
BOLIVAR,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,1,3,1,3,4
CALAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,40,0,40,40
CAMARGO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,12,20,12,20,32
CAPINOTA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,4,0,4,0,4
CARACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,30,0,30,30
CARANAVI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,60,0,60,60
CARAPARI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,126,0,126,126
CATACORA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,10,0,10,10
CHIMORE,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,20,0,20,0,20
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2011-02-01,2,30,2,30,32
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,19,244,19,244,263
COCAPATA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,70,60,70,60,130
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,771,494,771,494,1265
COLCAPIRHUA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,581,0,581,581
"COLCHA ""K""",otras vacunaciones,antirrabica en perros y gatos,2011-02-01,1,0,1,0,1
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,11,103,11,103,114
COLPA BELGICA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,58,0,58,58
COLQUECHACA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,15,0,15,15
COLQUENCHA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,4,0,4,0,4
CONCEPCION,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,186,0,186,186
COPACABANA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,103,0,103,103
CORIPATA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,20,0,20,20
CORQUE,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,10,0,10,10
COTAGAITA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,40,0,40,40
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,10,0,10,10
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,344,2038,344,2038,2382
EL TORNO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,39,2122,39,2122,2161
ENTRE RIOS CBBA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,46,0,46,46
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,7,88,7,88,95
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,45,0,45,45
GUANAY,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,18,0,18,18
GUTIERREZ,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,86,436,86,436,522
ICHOCA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,35,0,35,35
ICLA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,50,0,50,50
IXIAMAS,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,8,0,8,8
LA ASUNTA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,50,0,50,0,50
LA GUARDIA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,24,1293,24,1293,1317
LA PAZ,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,68,663,68,663,731
LAGUNILLAS,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,55,0,55,55
LURIBAY,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,174,0,174,174
MAPIRI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,200,0,200,200
MONTERO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,997,526,997,526,1523
MOROCHATA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,25,0,25,25
OCURI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,44,0,44,44
ORURO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,10,0,10,0,10
PADCAYA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,33,0,33,33
PAPEL PAMPA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,2,0,2,2
POJO (CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-02-01,9,2,9,2,11
POROMA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,10,0,10,0,10
PORONGO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,50,0,50,0,50
PUERTO PEREZ,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,10,0,10,10
PUERTO VILLARROEL,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,16,41,16,41,57
PUNATA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,455,138,455,138,593
SACABA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,121,187,121,187,308
SAN BENITO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,8,0,8,8
SAN BORJA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,116,1259,116,1259,1375
SAN IGNACIO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,10,130,10,130,140
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,2,0,2,2
SAN JULIAN,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,2,7,2,7,9
SAN LORENZO(TJA),otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,98,0,98,98
SAN LUCAS,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,30,60,30,60,90
SAN MIGUEL DE VELASCO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,58,226,58,226,284
SAN RAMON SCZ,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,75,0,75,75
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,1013,4307,1013,4307,5320
SANTA ROSA DEL SARA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,2,0,2,0,2
SAPAHAQUI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,20,0,20,20
SHINAOTA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,16,0,16,16
SICA SICA (VILLA AROMA),otras vacunaciones,antirrabica en perros y gatos,2011-02-01,20,130,20,130,150
SORACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,19,0,19,19
SORATA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,18,0,18,18
SUCRE,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,10452,26545,10452,26545,36997
TACACOMA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,8,0,8,8
TAPACARI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,93,0,93,93
TARABUCO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,178,0,178,0,178
TARATA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,26,1100,26,1100,1126
TARIJA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,16,0,16,0,16
TIPUANI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,20,0,20,20
TIQUIPAYA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,39,111,39,111,150
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,4,0,4,4
TOCO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,188,0,188,188
TOLATA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,33,61,33,61,94
TOLEDO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,3,0,3,0,3
TOTORA(CBBA),otras vacunaciones,antirrabica en perros y gatos,2011-02-01,3,0,3,0,3
TURCO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,1,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,14,0,14,14
VIACHA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,33,0,33,33
VILA VILA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,1,0,1,1
VILLA RIVERO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,26,0,26,26
VILLA TUNARI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,48,215,48,215,263
VINTO,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,105,16,105,16,121
WALDO BALLIVIAN,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,20,0,20,20
WARNES,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,31,1481,31,1481,1512
YACUIBA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,9,0,9,0,9
YANACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,0,24,0,24,24
YOTALA,otras vacunaciones,antirrabica en perros y gatos,2011-02-01,3,32,3,32,35
ACHACACHI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,5,0,5,5
AIQUILE,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,5,0,5,0,5
ALALAY,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,2,0,2,0,2
ALTO BENI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,12,0,12,12
ANCORAIMES,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,30,0,30,30
ANDAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,15,10,15,10,25
ANZALDO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,111,0,111,111
ARQUE,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,10,0,10,10
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica en perros y gatos,2011-03-01,480,38,480,38,518
BATALLAS,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,261,0,261,261
BERMEJO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,152,0,152,152
BOLIVAR,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,4,0,4,4
CABEZAS,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,12,0,12,12
CAIROMA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,87,0,87,87
CALACOTO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,50,0,50,50
CAPINOTA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,4,0,4,0,4
CARACOLLO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,10,0,10,10
CARAPARI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,122,0,122,122
CATACORA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,27,0,27,27
CHARAGUA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,117,0,117,117
CHARAÑA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,6,0,6,6
CHIMORE,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,40,0,40,40
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,6,0,6,6
CLIZA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,4,30,4,30,34
COCAPATA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,1,122,1,122,123
COCHABAMBA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,292,1372,292,1372,1664
COLCAPIRHUA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,1408,0,1408,1408
"COLCHA ""K""",otras vacunaciones,antirrabica en perros y gatos,2011-03-01,1,0,1,0,1
COLOMI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,15,51,15,51,66
COLQUENCHA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,3,0,3,0,3
COPACABANA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,239,0,239,239
CORIPATA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,20,0,20,20
CORO CORO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,60,0,60,60
CORQUE,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,15,0,15,15
COTOCA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,98,0,98,98
CUATRO CAÑADAS,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,43,0,43,43
DESAGUADERO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,8,0,8,0,8
EL ALTO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,119,6325,119,6325,6444
EL CHORO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,10,11,10,11,21
EL PUENTE(TJA),otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,48,0,48,48
EL TORNO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,71,237,71,237,308
ENTRE RIOS TRJ,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,10,0,10,10
FERNANDEZ ALONSO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,84,0,84,84
GENERAL SAAVEDRA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,4,0,4,4
GUANAY,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,5,0,5,5
HUACHACALLA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,2,0,2,0,2
ICHOCA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,10,0,10,0,10
ICLA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,10,0,10,10
LA ASUNTA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,2,67,2,67,69
LA GUARDIA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,14,70,14,70,84
LA PAZ,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,32,400,32,400,432
LAGUNILLAS,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,64,0,64,64
MACHACAMARCA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,910,0,910,910
MOCOMOCO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,10,0,10,10
MONTERO,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,438,858,438,858,1296
MOROCHATA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,30,0,30,30
OCURI,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,50,56,50,56,106
PADCAYA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,308,0,308,308
PADILLA,otras vacunaciones,antirrabica en perros y gatos,2011-03-01,0,30,0,30,30
