municipality,group,variable,month,Niños 1 a 4 años con 2da dosis de vitamina A,TOTAL
TEOPONTE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,25,25
TIAWANACU,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,3,3
TINGUIPAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,9,9
TIPUANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,43,43
TIQUIPAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,34,34
TIRAQUE (CBBA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,12,12
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,4,4
TOCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,9,9
TOLATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,7,7
TOMAVE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,4,4
TOTORA(CBBA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,12,12
TOTORA(ORR),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,2,2
TRINIDAD,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,105,105
UMALA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,5,5
UNCIA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,18,18
URIONDO (A. CONCEPCION),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,61,61
VACAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,5,5
VIACHA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,165,165
VILLA TUNARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,100,100
VINTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,25,25
WARNES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,16,16
YACUIBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,95,95
YANACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,18,18
YOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,1,1
YUNCHARA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-01-01,10,10
ACHOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,24,24
AIQUILE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,17,17
ALALAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,6,6
ANTEQUERA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,5,5
ANZALDO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,10,10
ARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,3,3
ARBIETO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,5,5
ARQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,21,21
ASCENCION DE GUARAYOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,12,12
AUCAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,29,29
AYATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,54,54
AYO AYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,29,29
BATALLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,52,52
BAURES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,11,11
BELLA FLOR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,9,9
BERMEJO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,53,53
BOLIVAR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,6,6
BOYUIBE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,6,6
CAIROMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,14,14
"CAIZA ""D""",micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,1,1
CAJUATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,8,8
CAMIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,136,136
CAPINOTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,42,42
CARANAVI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,235,235
CARAPARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,24,24
CARMEN RIVERO TORREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,17,17
CHACARILLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,10,10
CHARAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,37,37
CHIMORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,30,30
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,18,18
CHUMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,6,6
CLIZA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,18,18
COBIJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,67,67
COCHABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,568,568
COLCAPIRHUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,33,33
COLOMI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,42,42
COLQUECHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,2,2
COLQUIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,24,24
CORIPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,55,55
COROICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,2,2
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,1,1
DESAGUADERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,23,23
EL ALTO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,635,635
EL PUENTE(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,14,14
ENTRE RIOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,25,25
EUREKA (SANTOS MERCADO),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,4,4
EXALTACION,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,4,4
FERNANDEZ ALONSO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,84,84
FILADELFIA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,13,13
GENERAL SAAVEDRA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,12,12
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,34,34
GUANAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,49,49
GUAQUI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,35,35
GUTIERREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,62,62
HUANUNI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,10,10
HUARACAJE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,3,3
INGAVI (HUMAITA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,10,10
IRUPANA (VILLA DE LANZA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,13,13
IXIAMAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,21,21
LA ASUNTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,27,27
LA PAZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,1013,1013
LAGUNILLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,22,22
LAJA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,25,25
LORETO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,14,14
LURIBAY,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,2,2
MALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,5,5
MAPIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,18,18
MECAPACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,25,25
MIZQUE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,23,23
MOCOMOCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,48,48
MONTERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,78,78
MOROCHATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,72,72
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,2,2
ORURO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,3,3
PADCAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,47,47
PAILON,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,22,22
PALCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,18,18
PALOS BLANCOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,81,81
PATACAMAYA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,21,21
PELECHUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,20,20
POCONA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,27,27
POJO (CBBA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,37,37
PORVENIR,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,58,58
POTOSI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,21,21
PUCARANI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,71,71
PUERTO ACOSTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,62,62
PUERTO CARABUCO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,38,38
PUERTO GONZALO MORENO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,18,18
PUERTO PEREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,12,12
PUERTO QUIJARRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,33,33
PUERTO RICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,15,15
PUERTO SILES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,21,21
PUERTO SUAREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,25,25
PUERTO VILLARROEL,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,65,65
PUNA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,109,109
PUNATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,69,69
QUILLACOLLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,92,92
ROBORE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,6,6
SACABA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,50,50
SACABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,22,22
SAN ANDRES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,16,16
SAN BENITO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,2,2
SAN BUENA VENTURA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,27,27
SAN IGNACIO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,92,92
SAN JAVIER(BNI),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,1,1
SAN JOAQUIN,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,4,4
SAN LORENZO(PND),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,9,9
SAN LORENZO(TJA),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,26,26
SAN MATIAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,63,63
SAN PEDRO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,31,31
SAN PEDRO DE TIQUINA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2006-02-01,8,8
