municipality,group,variable,month,Mujeres puérperas que recibieron dosis única d,TOTAL
CHUMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,13,13
CLIZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
COBIJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,63,63
COCHABAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,404,404
COLCAPIRHUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
"COLCHA ""K""",micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
COLOMI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,21,21
COLPA BELGICA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,10,10
COLQUECHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,76,76
COLQUENCHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,11,11
COLQUIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,39,39
COMANCHE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
COMARAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,29,29
COMBAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
COPACABANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,21,21
CORIPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
CORO CORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
COROICO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,25,25
CORQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
COTAGAITA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,30,30
COTOCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,65,65
CUATRO CAÑADAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,14,14
CUEVO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
CULPINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,33,33
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,8,8
CURVA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
DESAGUADERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
EL ALTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,878,878
EL CHORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
EL PUENTE(TJA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,13,13
EL TORNO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,61,61
EL VILLAR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,34,34
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
EUCALIPTUS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,13,13
EUREKA (SANTOS MERCADO),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,6,6
EXALTACION,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
FILADELFIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,39,39
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
GUANAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,22,22
GUAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,8,8
GUAYARAMERIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,126,126
GUTIERREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
HUACARETA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,15,15
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
HUANUNI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,27,27
HUARACAJE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
HUAYLLAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
ICHOCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
ICLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,14,14
INCAHUASI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,40,40
INQUISIVI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,27,27
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,10,10
IXIAMAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
JESUS DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,11,11
LA ASUNTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,47,47
LA GUARDIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,45,45
LA PAZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,912,912
LAGUNILLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
LAJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,13,13
LAS CARRERAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
LICOMA PAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
LLALLAGUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,59,59
LLICA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,6,6
LORETO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
LURIBAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
MACHACAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
MACHARETI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,8,8
MAGDALENA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
MAIRANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,24,24
MALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
MAPIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
MECAPACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
MINEROS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,24,24
MIZQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,45,45
MOCOMOCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,18,18
MOJINETE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
MOJOCOYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,13,13
MONTEAGUDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,52,52
MONTERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,275,275
MORO MORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
MOROCHATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,48,48
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
OCURI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,38,38
OKINAWA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
OMEREQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
ORURO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,200,200
PADCAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,17,17
PADILLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,29,29
PAILON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,14,14
PALCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,13,13
PALOS BLANCOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,30,30
PAMPA AULLAGAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,6,6
PAMPA GRANDE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
PAPEL PAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
PASORAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
PATACAMAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,18,18
PAZÑA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
PELECHUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,8,8
POCOATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,35,35
POCONA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,11,11
POJO (CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
POOPO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
PORCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,10,10
POROMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,22,22
PORONGO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,8,8
PORTACHUELO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,18,18
PORVENIR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
POSTRER VALLE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
POTOSI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,390,390
PRESTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
PUCARANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,22,22
PUERTO ACOSTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,25,25
PUERTO CARABUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,23,23
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
PUERTO PEREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
PUERTO QUIJARRO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
PUERTO RICO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
PUERTO SUAREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,34,34
PUERTO VILLARROEL,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,96,96
PUNA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,49,49
PUNATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,54,54
QUIABAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
QUILLACOLLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,141,141
QUIME,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,11,11
QUIRUSILLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
RAVELO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,20,20
REYES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,24,24
RIBERALTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,115,115
ROBORE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,31,31
RURRENABAQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,26,26
SABAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
SACABA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,132,132
SACABAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
SACACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,33,33
SAIPINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,6,6
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,11,11
SAMAIPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,6,6
SAN AGUSTIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
SAN ANDRES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
SAN ANDRES DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,10,10
SAN BENITO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,17,17
SAN BORJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,88,88
SAN BUENA VENTURA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
SAN CARLOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,56,56
SAN IGNACIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,25,25
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,73,73
SAN JAVIER(BNI),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
SAN JAVIER(STC),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,17,17
SAN JOAQUIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,25,25
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,25,25
SAN JULIAN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,114,114
SAN LORENZO(PND),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,11,11
SAN LORENZO(TJA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
SAN LUCAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,56,56
SAN MATIAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,18,18
SAN MIGUEL DE VELASCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,20,20
SAN PABLO DE LIPEZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
SAN PEDRO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,33,33
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
SAN PEDRO(PND),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
SAN RAFAEL,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
SAN RAMON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
SAN RAMON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
SANTA ANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,25,25
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1580,1580
SANTA ROSA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,15,15
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
SANTIAGO DE MACHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
SANTIVAÑES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,7,7
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
SAPAHAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
SENA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,6,6
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,25,25
SICAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
SIPE SIPE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,39,39
SOPACHUY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,14,14
SORACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
SORATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,23,23
SUCRE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,206,206
TACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
TACACOMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
TACOBAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
TACOPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,27,27
TAHUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
TAPACARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,31,31
TARABUCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,54,54
TARACO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
TARATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,8,8
TARIJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,301,301
TARVITA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
TEOPONTE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,8,8
TIAWANACU,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,24,24
TINGUIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,50,50
TIPUANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,21,21
TIQUIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
TIRAQUE (CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,71,71
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
TOCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
TOLATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
TOLEDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
TOMAVE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,9,9
TOMINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
TORO TORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,21,21
TOTORA(CBBA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,10,10
TOTORA(ORR),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,11,11
TRIGAL,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,2,2
TRINIDAD,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,233,233
TUPIZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,49,49
TURCO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
UMALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
UNCIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,43,43
URIONDO (A. CONCEPCION),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,12,12
URUBICHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,3,3
UYUNI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,19,19
VACAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,20,20
VALLEGRANDE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,21,21
VIACHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,24,24
VILA VILA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,4,4
VILLA MONTES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,64,64
VILLA NUEVA (LOMA ALTA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
VILLA RIVERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,5,5
VILLA SERRANO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,16,16
VILLA TUNARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,94,94
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,15,15
VILLAZON,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,13,13
VINTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,1,1
VITICHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2006-01-01,15,15
