municipality,group,variable,month,Niños menores de 5 años con 1ra dosis de hier,TOTAL
SAN MIGUEL DE VELASCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,5,5
SAN PEDRO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,73,73
SAN PEDRO(PND),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,6,6
SAN RAMON,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,23,23
SANTA ANA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,24,24
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,1960,1960
SANTA ROSA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,8,8
SANTA ROSA DEL SARA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,78,78
SENA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,24,24
SICAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,1,1
SIPE SIPE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,47,47
SUCRE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,232,232
TACOPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,6,6
TAPACARI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,17,17
TARABUCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,29,29
TARATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,37,37
TARIJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,121,121
TINGUIPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,91,91
TIQUIPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,42,42
TOCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,1,1
TOLATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,6,6
TOLEDO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,6,6
TOMAVE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,9,9
TOTORA(ORR),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,4,4
TRINIDAD,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,224,224
UNCIA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,28,28
URUBICHA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,2,2
UYUNI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,1,1
VILLA NUEVA (LOMA ALTA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,19,19
VILLA SERRANO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,1,1
VINTO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,6,6
VITICHI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,140,140
WARNES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,84,84
YACUIBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,31,31
YAPACANI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,51,51
YOCALLA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,20,20
YOTALA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,47,47
YUNCHARA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-01-01,14,14
ALALAY,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,2,2
ALCALA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,12,12
ANDAMARCA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,2,2
ANTEQUERA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,9,9
ANZALDO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,12,12
ARANI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,45,45
ARBIETO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,10,10
BAURES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,40,40
BELLA FLOR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,18,18
BERMEJO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,110,110
BETANZOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,13,13
BOLPEBRA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
BOYUIBE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,22,22
BUENA VISTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,65,65
CABEZAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,9,9
CAMARGO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1,1
CAMIRI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,164,164
CARACOLLO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,18,18
CARMEN RIVERO TORREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,26,26
CHARAGUA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,236,236
CHAYANTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,110,110
CHOQUE COTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
COBIJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,125,125
COCHABAMBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,38,38
COLCAPIRHUA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,4,4
COLPA BELGICA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,108,108
CORQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,3,3
COTAGAITA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,156,156
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1,1
CUEVO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,76,76
CULPINA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,94,94
CURAHUARA DE CARANGAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,7,7
EL ALTO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1,1
EL CHORO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,16,16
EL PUENTE(STC),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,71,71
EL TORNO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,26,26
EUREKA (SANTOS MERCADO),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,4,4
EXALTACION,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,2,2
FERNANDEZ ALONSO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,68,68
FILADELFIA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,40,40
GENERAL SAAVEDRA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,11,11
GUAYARAMERIN,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,6,6
GUTIERREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,48,48
HUACARETA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,11,11
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,6,6
HUANUNI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,10,10
HUARACAJE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,37,37
ICLA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
INCAHUASI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,26,26
INGAVI (HUMAITA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,11,11
LAGUNILLAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,67,67
LLICA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1,1
LORETO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
MACHARETI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
MAGDALENA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,99,99
MAIRANA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,47,47
MINEROS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,168,168
MOJOCOYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,55,55
MONTEAGUDO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,6,6
MONTERO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,123,123
MOROCHATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,25,25
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,19,19
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,4,4
OCURI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,27,27
OKINAWA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,71,71
ORURO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,30,30
PADCAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
PAILON,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,118,118
PAMPA GRANDE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,7,7
POCONA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,3,3
POJO (CBBA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,25,25
PORCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
POROMA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,8,8
PORTACHUELO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1,1
PORVENIR,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,37,37
POTOSI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
PUERTO GONZALO MORENO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,14,14
PUERTO QUIJARRO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,20,20
PUERTO RICO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,26,26
PUERTO SILES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,7,7
PUERTO SUAREZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,7,7
PUNA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,6,6
QUILLACOLLO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,84,84
QUIRUSILLAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,8,8
REYES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,9,9
RIBERALTA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,170,170
ROBORE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,93,93
RURRENABAQUE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,9,9
SACABAMBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
SALINAS DE GARCI MENDOZA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,19,19
SAMAIPATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,41,41
SAN ANDRES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,21,21
SAN BENITO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,17,17
SAN BORJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,62,62
SAN CARLOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,4,4
SAN IGNACIO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,35,35
SAN IGNACIO DE VELASCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,54,54
SAN JAVIER(BNI),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,5,5
SAN JOAQUIN,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,174,174
SAN JUAN DE YAPACANI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,80,80
SAN JULIAN,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,18,18
SAN LORENZO(PND),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,10,10
SAN LORENZO(TJA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,18,18
SAN LUCAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,239,239
SAN MATIAS,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,22,22
SAN MIGUEL DE VELASCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,4,4
SAN PEDRO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,79,79
SAN PEDRO(PND),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,16,16
SAN RAMON,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,20,20
SANTA ANA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,13,13
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1683,1683
SANTA ROSA DEL SARA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,181,181
SANTIAGO DE HUARI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,25,25
SENA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,16,16
SIPE SIPE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,45,45
SUCRE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,233,233
TACOPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,62,62
TAPACARI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,37,37
TARABUCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,131,131
TARIJA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,65,65
TINGUIPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,118,118
TIQUIPAYA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,44,44
TOLATA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,24,24
TOLEDO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,3,3
TOMAVE,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,12,12
TOTORA(ORR),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,3,3
TRINIDAD,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,293,293
TUPIZA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1,1
TURCO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,11,11
UNCIA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,59,59
UYUNI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1,1
VILLAZON,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,10,10
VINTO,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,4,4
VITICHI,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,232,232
WARNES,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,140,140
YACUIBA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,47,47
YAMPARAEZ,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,45,45
YOCALLA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,6,6
YOTALA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,11,11
YUNCHARA,micronutrientes,ninos menores de  5 anos con 1ra dosis de hier,2006-02-01,1,1
