municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas d,TOTAL
AZURDUY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,27,27
BATALLAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,26,26
BAURES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
BELLA FLOR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,6,6
BERMEJO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,30,30
BETANZOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,28,28
BOLIVAR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,18,18
BOLPEBRA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
BOYUIBE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
BUENA VISTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,15,15
CABEZAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
CAIROMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,15,15
"CAIZA ""D""",micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
CAJUATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
CALACOTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
CALAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,18,18
CAMARGO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,34,34
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
CAMIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,15,15
CAPINOTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,19,19
CAQUIAVIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,10,10
CARACOLLO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,37,37
CARANAVI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,86,86
CARAPARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
CARIPUYO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,17,17
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
CHALLAPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,33,33
CHAQUI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,6,6
CHARAGUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,42,42
CHARAÑA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
CHAYANTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,28,28
CHIMORE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,25,25
CHIPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
CHOQUE COTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,33,33
CHUMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,18,18
CLIZA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,10,10
COBIJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,66,66
COCHABAMBA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,69,69
COLCAPIRHUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,204,204
"COLCHA ""K""",micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
COLOMI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,20,20
COLPA BELGICA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,6,6
COLQUECHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,77,77
COLQUENCHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,11,11
COLQUIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,39,39
COMANCHE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
COMARAPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,31,31
COMBAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
COPACABANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,21,21
CORIPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,16,16
CORO CORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
COROICO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,18,18
CORQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
COTAGAITA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,29,29
COTOCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
CUATRO CAÑADAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
CUEVO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
CULPINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,34,34
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
CURVA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
DESAGUADERO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
EL ALTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1041,1041
EL CHORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
EL PUENTE(STC),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
EL PUENTE(TJA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,14,14
EL TORNO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,35,35
EL VILLAR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,34,34
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,13,13
EUCALIPTUS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,13,13
EUREKA (SANTOS MERCADO),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
EXALTACION,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
FILADELFIA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,27,27
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,16,16
GUANAY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,21,21
GUAQUI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
GUAYARAMERIN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,75,75
GUTIERREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
HUACARETA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,14,14
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
HUANUNI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,27,27
HUARACAJE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
HUAYLLAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
ICHOCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
ICLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,14,14
INCAHUASI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,41,41
INGAVI (HUMAITA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
INQUISIVI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
IXIAMAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
JESUS DE MACHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,11,11
LA ASUNTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,51,51
LA GUARDIA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,23,23
LA PAZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,819,819
LAGUNILLAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
LAJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,13,13
LAS CARRERAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
LICOMA PAMPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
LLALLAGUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
LLICA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
LORETO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
LURIBAY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
MACHACAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
MACHARETI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
MAGDALENA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
MAIRANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
MALLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
MAPIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,16,16
MECAPACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,11,11
MINEROS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,15,15
MIZQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,17,17
MOCOMOCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,16,16
MOJINETE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
MOJOCOYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,13,13
MONTEAGUDO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,49,49
MONTERO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,66,66
MORO MORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
MOROCHATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,21,21
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
OCURI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,39,39
OKINAWA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
OMEREQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
ORURO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,363,363
PADCAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,16,16
PADILLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,31,31
PALCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
PALOS BLANCOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,41,41
PAMPA AULLAGAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,6,6
PAMPA GRANDE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
PAPEL PAMPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
PASORAPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
PATACAMAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,43,43
PAZÑA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
PELECHUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
POCOATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,35,35
POCONA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,14,14
POJO (CBBA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
POOPO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
PORCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
POROMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,22,22
PORONGO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
PORTACHUELO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,17,17
PORVENIR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
POSTRER VALLE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
POTOSI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,130,130
PRESTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,17,17
PUCARANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,22,22
PUERTO ACOSTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,24,24
PUERTO CARABUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,23,23
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
PUERTO PEREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
PUERTO QUIJARRO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
PUERTO RICO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
PUERTO VILLARROEL,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,25,25
PUNA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,49,49
PUNATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,10,10
QUIABAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
QUILLACOLLO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,143,143
QUIME,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,11,11
QUIRUSILLAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
RAVELO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,19,19
REYES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
RIBERALTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,136,136
ROBORE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
RURRENABAQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
SABAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
SACABA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,50,50
SACABAMBA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
SACACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,34,34
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,15,15
SAMAIPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
SAN AGUSTIN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
SAN ANDRES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,23,23
SAN ANDRES DE MACHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
SAN BENITO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,13,13
SAN BORJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,44,44
SAN BUENA VENTURA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,16,16
SAN CARLOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,17,17
SAN IGNACIO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,17,17
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,38,38
SAN JAVIER(BNI),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
SAN JAVIER(STC),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,23,23
SAN JOAQUIN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,16,16
SAN JUAN DE YAPACANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
SAN JULIAN,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,45,45
SAN LORENZO(PND),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,11,11
SAN LORENZO(TJA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,20,20
SAN LUCAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,53,53
SAN MATIAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,6,6
SAN PABLO DE LIPEZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
SAN PEDRO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,20,20
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,34,34
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,6,6
SAN PEDRO DE TIQUINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
SAN PEDRO(PND),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
SAN RAFAEL,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
SAN RAMON,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
SANTA ANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,276,276
SANTA ROSA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
SANTA ROSA DEL SARA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
SANTIAGO DE CALLAPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
SANTIAGO DE HUARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
SANTIAGO DE MACHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
SANTIVAÑES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
SANTUARIO DE QUILLACAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
SAPAHAQUI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,9,9
SENA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,6,6
SICA SICA (VILLA AROMA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,28,28
SICAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
SIPE SIPE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,14,14
SOPACHUY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,14,14
SORACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
SORATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,23,23
SUCRE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,332,332
TACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
TACACOMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
TACOBAMBA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
TACOPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,26,26
TAHUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
TAPACARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,22,22
TARABUCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,45,45
TARACO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
TARIJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,33,33
TARVITA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,18,18
TEOPONTE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,8,8
TIAWANACU,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,24,24
TINGUIPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,36,36
TIPUANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,28,28
TIQUIPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
TIRAQUE (CBBA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,52,52
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
TOCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
TOLATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
TOLEDO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,4,4
TOMAVE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,32,32
TOMINA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,13,13
TORO TORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,12,12
TOTORA(CBBA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,7,7
TOTORA(ORR),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,11,11
TRIGAL,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
TRINIDAD,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,235,235
TUPIZA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,51,51
TURCO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
UMALA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,3,3
UNCIA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,41,41
URIONDO (A. CONCEPCION),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,10,10
UYUNI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,10,10
VACAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,15,15
VALLEGRANDE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,15,15
VIACHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,25,25
VILA VILA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,1,1
VILLA MONTES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,65,65
VILLA NUEVA (LOMA ALTA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,2,2
VILLA RIVERO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2006-01-01,5,5
