municipality,group,variable,month,Niños menores de 5 años con 3ra dosis de hier,TOTAL
FERNANDEZ ALONSO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,75,75
FILADELFIA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,12,12
GENERAL SAAVEDRA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,8,8
GUANAY,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
GUAQUI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,9,9
GUAYARAMERIN,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,10,10
GUTIERREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,36,36
INCAHUASI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,13,13
INGAVI (HUMAITA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
IRUPANA (VILLA DE LANZA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
IXIAMAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,5,5
LA ASUNTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,3,3
LA PAZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,722,722
LAGUNILLAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,13,13
LAJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,17,17
LLICA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
LORETO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,10,10
LURIBAY,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,3,3
MAIRANA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,9,9
MALLA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,3,3
MAPIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,18,18
MINEROS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,69,69
MIZQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
MOCOMOCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
MONTERO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,175,175
MOROCHATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,15,15
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,12,12
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
OKINAWA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,56,56
ORURO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,65,65
PADCAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,23,23
PAILON,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,5,5
PALCA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
PALOS BLANCOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,36,36
PATACAMAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,25,25
PELECHUCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,12,12
POCONA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
PORVENIR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,11,11
POTOSI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,96,96
PUCARANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,22,22
PUERTO ACOSTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,53,53
PUERTO CARABUCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,35,35
PUERTO GONZALO MORENO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
PUERTO QUIJARRO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,3,3
PUERTO RICO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,3,3
PUERTO SILES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,3,3
PUERTO SUAREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,17,17
PUERTO VILLARROEL,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,37,37
PUNA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,43,43
PUNATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,41,41
QUILLACOLLO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,80,80
QUIME,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
ROBORE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,64,64
RURRENABAQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,13,13
SACABA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,192,192
SACABAMBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,10,10
SAMAIPATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,8,8
SAN ANDRES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,22,22
SAN ANDRES DE MACHACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,7,7
SAN BENITO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,12,12
SAN BORJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,128,128
SAN BUENA VENTURA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,15,15
SAN IGNACIO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,52,52
SAN JAVIER(BNI),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,5,5
SAN JOAQUIN,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,5,5
SAN JUAN DE YAPACANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
SAN LORENZO(PND),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,4,4
SAN LORENZO(TJA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,23,23
SAN PEDRO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,37,37
SAN PEDRO DE CURAHUARA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
SAN PEDRO DE TIQUINA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
SAN PEDRO(PND),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
SAN RAMON,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,12,12
SANTA ANA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,32,32
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1213,1213
SANTA ROSA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,20,20
SANTA ROSA DEL SARA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,11,11
SANTIAGO DE CALLAPA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
SENA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,25,25
SICA SICA (VILLA AROMA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
SICAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
SIPE SIPE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
SORACACHI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
SUCRE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,23,23
TACACHI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
TACOPAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,22,22
TAPACARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,23,23
TARACO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,22,22
TARATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,2,2
TARIJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,101,101
TEOPONTE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,9,9
TIAWANACU,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,5,5
TINGUIPAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,54,54
TIPUANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,15,15
TIQUIPAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,41,41
TIRAQUE (CBBA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,8,8
TOCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
TOLATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
TOTORA(CBBA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
TOTORA(ORR),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,4,4
TRINIDAD,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,94,94
UMALA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
UNCIA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,37,37
URIONDO (A. CONCEPCION),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,61,61
VACAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,13,13
VIACHA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,62,62
VILLA NUEVA (LOMA ALTA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,5,5
VILLA TUNARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,48,48
VINTO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,6,6
WARNES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,29,29
YACUIBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,74,74
YANACACHI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,13,13
YAPACANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,362,362
YUNCHARA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-01-01,1,1
ACHOCALLA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,5,5
AIQUILE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,1,1
ALALAY,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,3,3
ANTEQUERA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,2,2
ARANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,1,1
ARQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,18,18
AUCAPATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,6,6
AYATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,39,39
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,47,47
BATALLAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,15,15
BAURES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,10,10
BELLA FLOR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,15,15
BERMEJO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,26,26
BOLIVAR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,21,21
BOLPEBRA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,24,24
BOYUIBE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,12,12
BUENA VISTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,1,1
CABEZAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,18,18
CAIROMA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,15,15
CAJUATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,3,3
CAMIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,43,43
CAPINOTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,24,24
CARANAVI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,80,80
CARAPARI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,28,28
CARMEN RIVERO TORREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,33,33
CHARAGUA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,31,31
CHIMORE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,18,18
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,8,8
CHUMA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,8,8
CLIZA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,3,3
COBIJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,41,41
COCHABAMBA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,152,152
COLCAPIRHUA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,6,6
COLOMI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,32,32
COLQUECHACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,14,14
COLQUIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,14,14
CORIPATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,21,21
CORO CORO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,2,2
COROICO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,5,5
CORQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,2,2
COTAGAITA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,12,12
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,4,4
CUEVO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,8,8
CULPINA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,53,53
CURVA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,1,1
DESAGUADERO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,17,17
EL ALTO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,479,479
EL PUENTE(TJA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,27,27
EL TORNO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,5,5
ENTRE RIOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,4,4
ENTRE RIOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,29,29
EUREKA (SANTOS MERCADO),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,4,4
EXALTACION,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,3,3
FERNANDEZ ALONSO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,113,113
FILADELFIA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,17,17
GENERAL SAAVEDRA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,34,34
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,25,25
GUANAY,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,10,10
GUAQUI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,26,26
GUTIERREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,45,45
HUACARETA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,27,27
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,3,3
HUANUNI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,10,10
ICHOCA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,2,2
INCAHUASI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,34,34
INGAVI (HUMAITA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,8,8
IRUPANA (VILLA DE LANZA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,12,12
IXIAMAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,14,14
LA ASUNTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,5,5
LA PAZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,597,597
LAGUNILLAS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,8,8
LAJA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,26,26
LLICA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,2,2
LORETO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,19,19
MACHARETI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,2,2
MAIRANA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,6,6
MAPIRI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,7,7
MECAPACA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,3,3
MINEROS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,2,2
MIZQUE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,1,1
MOCOMOCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,43,43
MONTEAGUDO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,5,5
MONTERO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,90,90
MOROCHATA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,13,13
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,10,10
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,6,6
OKINAWA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,25,25
ORURO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,30,30
PADCAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,29,29
PAILON,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,22,22
PALOS BLANCOS,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,95,95
PAMPA GRANDE,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,1,1
PATACAMAYA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,285,285
PELECHUCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,18,18
POJO (CBBA),micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,3,3
POROMA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,31,31
PORVENIR,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,17,17
PUCARANI,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,51,51
PUERTO ACOSTA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,69,69
PUERTO CARABUCO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,26,26
PUERTO GONZALO MORENO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,72,72
PUERTO PEREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,22,22
PUERTO QUIJARRO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,4,4
PUERTO RICO,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,19,19
PUERTO SILES,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,6,6
PUERTO SUAREZ,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,2,2
PUERTO VILLARROEL,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,60,60
PUNA,micronutrientes,ninos menores de  5 anos con 3ra dosis de hier,2006-02-01,55,55
