municipality,group,variable,month,Niños de 1 a 4 años con 1ra dosis vitamina A,TOTAL
BOLPEBRA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,39,39
BOYUIBE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,31,31
BUENA VISTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,213,213
CABEZAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,138,138
CAIROMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,155,155
"CAIZA ""D""",micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,87,87
CAJUATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,115,115
CALACOTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,51,51
CALAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,172,172
CAMARGO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,356,356
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,104,104
CAMIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,128,128
CAPINOTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,128,128
CAQUIAVIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,65,65
CARACOLLO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,78,78
CARANAVI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,286,286
CARAPARI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,111,111
CARIPUYO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,263,263
CARMEN RIVERO TORREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,31,31
CATACORA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,4,4
CHALLAPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,168,168
CHAQUI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,53,53
CHARAGUA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,219,219
CHARAÑA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,28,28
CHAYANTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,34,34
CHIMORE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,33,33
CHIPAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,20,20
CHOQUE COTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,11,11
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,30,30
CHUMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,65,65
CLIZA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,37,37
COBIJA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,107,107
COCHABAMBA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,1386,1386
COLCAPIRHUA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,169,169
"COLCHA ""K""",micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,7,7
COLLANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,23,23
COLOMI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,208,208
COLPA BELGICA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,107,107
COLQUECHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,267,267
COLQUENCHA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,187,187
COLQUIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,297,297
COMANCHE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,10,10
COMARAPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,132,132
COMBAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,4,4
CONCEPCION,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,75,75
COPACABANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,226,226
CORIPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,39,39
CORO CORO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,80,80
COROICO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,51,51
CORQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,12,12
COTAGAITA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,99,99
COTOCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,369,369
CUATRO CAÑADAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,147,147
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,32,32
CUEVO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,76,76
CULPINA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,392,392
CURAHUARA DE CARANGAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,58,58
CURVA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,10,10
DESAGUADERO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,61,61
EL ALTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,2241,2241
EL CHORO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,20,20
EL PUENTE(TJA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,67,67
EL TORNO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,171,171
EL VILLAR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,40,40
ENTRE RIOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,48,48
ENTRE RIOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,216,216
EUCALIPTUS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,31,31
EUREKA (SANTOS MERCADO),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,26,26
EXALTACION,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,7,7
FERNANDEZ ALONSO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,121,121
FILADELFIA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,33,33
GENERAL SAAVEDRA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,120,120
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,85,85
GUANAY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,15,15
GUAQUI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,15,15
GUAYARAMERIN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,233,233
GUTIERREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,227,227
HUACARETA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,250,250
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,102,102
HUACHACALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,2,2
HUANUNI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,202,202
HUARACAJE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,40,40
HUAYLLAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,36,36
ICHOCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,68,68
ICLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,680,680
INCAHUASI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,372,372
INGAVI (HUMAITA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,4,4
INQUISIVI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,419,419
IRUPANA (VILLA DE LANZA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,162,162
IXIAMAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,81,81
JESUS DE MACHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,104,104
LA ASUNTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,101,101
LA GUARDIA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,245,245
LA PAZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,2087,2087
LAGUNILLAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,49,49
LAJA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,86,86
LAS CARRERAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,24,24
LICOMA PAMPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,212,212
LLALLAGUA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,151,151
LLICA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,1,1
LORETO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,46,46
LURIBAY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,73,73
MACHACAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,15,15
MACHARETI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,76,76
MAGDALENA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,125,125
MAIRANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,56,56
MALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,119,119
MAPIRI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,45,45
MECAPACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,58,58
MINEROS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,198,198
MIZQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,263,263
MOCOMOCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,121,121
MOJOCOYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,67,67
MONTEAGUDO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,333,333
MONTERO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,720,720
MORO MORO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,48,48
MOROCHATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,123,123
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,11,11
NAZACARA DE PACAJES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,8,8
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,9,9
OCURI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,285,285
OKINAWA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,207,207
OMEREQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,66,66
ORURO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,908,908
PADCAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,126,126
PADILLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,15,15
PAILON,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,91,91
PALCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,31,31
PALOS BLANCOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,183,183
PAMPA AULLAGAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,23,23
PAMPA GRANDE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,50,50
PAPEL PAMPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,10,10
PASORAPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,91,91
PATACAMAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,82,82
PAZÑA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,5,5
PELECHUCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,21,21
POCOATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,83,83
POCONA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,35,35
POJO (CBBA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,93,93
POOPO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,56,56
PORCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,22,22
POROMA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,237,237
PORONGO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,71,71
PORTACHUELO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,224,224
PORVENIR,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,6,6
POSTRER VALLE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,22,22
POTOSI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,1064,1064
PRESTO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,57,57
PUCARA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,19,19
PUCARANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,177,177
PUERTO ACOSTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,186,186
PUERTO CARABUCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,157,157
PUERTO GONZALO MORENO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,15,15
PUERTO PEREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,52,52
PUERTO QUIJARRO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,45,45
PUERTO RICO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,19,19
PUERTO SILES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,6,6
PUERTO SUAREZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,64,64
PUERTO VILLARROEL,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,100,100
PUNA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,240,240
PUNATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,114,114
QUIABAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,9,9
QUILLACOLLO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,344,344
QUIME,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,282,282
QUIRUSILLAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,5,5
RAVELO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,100,100
REYES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,113,113
RIBERALTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,582,582
ROBORE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,31,31
RURRENABAQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,125,125
SABAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,9,9
SACABA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,520,520
SACABAMBA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,31,31
SACACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,287,287
SAIPINA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,60,60
SALINAS DE GARCI MENDOZA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,54,54
SAMAIPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,60,60
SAN ANDRES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,167,167
SAN ANDRES DE MACHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,20,20
SAN ANTONIO DE ESMORUCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,116,116
SAN BENITO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,159,159
SAN BORJA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,218,218
SAN BUENA VENTURA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,29,29
SAN CARLOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,220,220
SAN IGNACIO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,112,112
SAN IGNACIO DE VELASCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,744,744
SAN JAVIER(BNI),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,25,25
SAN JAVIER(STC),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,167,167
SAN JOAQUIN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,39,39
SAN JUAN DE YAPACANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,68,68
SAN JULIAN,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,395,395
SAN LORENZO(PND),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,26,26
SAN LORENZO(TJA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,138,138
SAN LUCAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,652,652
SAN MATIAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,67,67
SAN MIGUEL DE VELASCO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,64,64
SAN PABLO DE LIPEZ,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,27,27
SAN PEDRO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,157,157
SAN PEDRO DE BUENA VISTA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,225,225
SAN PEDRO DE CURAHUARA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,123,123
SAN PEDRO DE QUEMES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,28,28
SAN PEDRO(PND),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,7,7
SAN RAFAEL,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,19,19
SAN RAMON,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,73,73
SAN RAMON,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,20,20
SANTA ANA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,16,16
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,4955,4955
SANTA ROSA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,33,33
SANTA ROSA DEL SARA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,260,260
SANTIAGO DE CALLAPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,19,19
SANTIAGO DE HUARI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,48,48
SANTIAGO DE MACHACA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,24,24
SANTIVAÑES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,82,82
SANTUARIO DE QUILLACAS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,5,5
SAPAHAQUI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,154,154
SENA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,29,29
SICA SICA (VILLA AROMA),micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,255,255
SICAYA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,10,10
SIPE SIPE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,120,120
SOPACHUY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,5,5
SORACACHI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,54,54
SORATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,217,217
SUCRE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,1501,1501
TACACHI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2006-01-01,1,1
