municipality,group,variable,month,Mujeres embarazadas que recibieron 90 tabletas,TOTAL
AZURDUY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
BATALLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
BAURES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,7,7
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
BELEN DE URMIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
BELLA FLOR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
BERMEJO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,83,83
BETANZOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,25,25
BOLIVAR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,23,23
BOLPEBRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
BOYUIBE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
BUENA VISTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,19,19
CABEZAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,15,15
CAIROMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,24,24
"CAIZA ""D""",micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,9,9
CAJUATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,22,22
CALACOTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,7,7
CALAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,17,17
CAMARGO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,23,23
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
CAMIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,83,83
CAPINOTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,27,27
CAQUIAVIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,10,10
CARACOLLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,43,43
CARANAVI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,142,142
CARAPARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,14,14
CARIPUYO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,13,13
CARMEN RIVERO TORREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
CHALLAPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,54,54
CHAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,3,3
CHARAGUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,60,60
CHARAÑA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
CHAYANTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,17,17
CHIMORE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,58,58
CHIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
CHOQUE COTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,26,26
CHUMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,11,11
CLIZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,28,28
COBIJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,152,152
COCHABAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,189,189
COLCAPIRHUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,109,109
"COLCHA ""K""",micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
COLLANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
COLOMI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,13,13
COLPA BELGICA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,15,15
COLQUECHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,60,60
COLQUENCHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
COLQUIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,41,41
COMANCHE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
COMARAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,20,20
COMBAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
CONCEPCION,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,27,27
COPACABANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,23,23
CORIPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,22,22
CORO CORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,14,14
COROICO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,21,21
CORQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
COTAGAITA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,39,39
COTOCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,34,34
CUATRO CAÑADAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,84,84
CUEVO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,3,3
CULPINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,14,14
CURAHUARA DE CARANGAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,10,10
CURVA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
DESAGUADERO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,14,14
EL ALTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1383,1383
EL CHORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
EL PUENTE(STC),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,16,16
EL PUENTE(TJA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,22,22
EL TORNO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,87,87
EL VILLAR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
ENTRE RIOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,14,14
ENTRE RIOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
EUCALIPTUS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,11,11
EUREKA (SANTOS MERCADO),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
EXALTACION,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
FERNANDEZ ALONSO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,19,19
FILADELFIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
GENERAL SAAVEDRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,76,76
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,16,16
GUANAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,40,40
GUAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,14,14
GUAYARAMERIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,148,148
GUTIERREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,23,23
HUACARETA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,34,34
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
HUACHACALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
HUANUNI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,53,53
HUARACAJE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,3,3
HUAYLLAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
ICHOCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
ICLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,17,17
INCAHUASI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,60,60
INGAVI (HUMAITA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
INQUISIVI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,22,22
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,42,42
IXIAMAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
JESUS DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,24,24
LA ASUNTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,72,72
LA GUARDIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,95,95
LA PAZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1556,1556
LAGUNILLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,11,11
LAJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,20,20
LAS CARRERAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
LICOMA PAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
LLALLAGUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,51,51
LLICA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
LORETO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
LURIBAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
MACHARETI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,19,19
MAGDALENA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
MAIRANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,3,3
MALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
MAPIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,25,25
MECAPACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,13,13
MINEROS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,58,58
MIZQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,19,19
MOCOMOCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,21,21
MOJOCOYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,17,17
MONTEAGUDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,25,25
MONTERO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,238,238
MORO MORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
MOROCHATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,27,27
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
OCURI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,54,54
OKINAWA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
OMEREQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,11,11
ORURO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,272,272
PADCAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,23,23
PADILLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,9,9
PAILON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
PALCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
PALOS BLANCOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,55,55
PAMPA AULLAGAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
PAMPA GRANDE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
PAPEL PAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
PASORAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,3,3
PATACAMAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,35,35
PAZÑA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
PELECHUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
POCOATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,21,21
POCONA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,17,17
POJO (CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,11,11
POOPO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,10,10
PORCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,7,7
POROMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,24,24
PORONGO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,15,15
PORTACHUELO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,29,29
PORVENIR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,11,11
POSTRER VALLE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,3,3
POTOSI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,197,197
PRESTO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,15,15
PUCARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
PUCARANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,39,39
PUERTO ACOSTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,41,41
PUERTO CARABUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
PUERTO GONZALO MORENO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,7,7
PUERTO PEREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
PUERTO QUIJARRO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
PUERTO RICO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
PUERTO SUAREZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
PUERTO VILLARROEL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,26,26
PUNA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,41,41
PUNATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,11,11
QUIABAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
QUILLACOLLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,93,93
QUIME,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,16,16
QUIRUSILLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
RAVELO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,16,16
REYES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
RIBERALTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,152,152
ROBORE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,7,7
RURRENABAQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
SABAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
SACABA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,119,119
SACABAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,7,7
SACACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,24,24
SAIPINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
SAMAIPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
SAN AGUSTIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
SAN ANDRES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,23,23
SAN ANDRES DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,7,7
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,14,14
SAN BENITO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,17,17
SAN BORJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,67,67
SAN BUENA VENTURA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
SAN CARLOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,48,48
SAN IGNACIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,42,42
SAN IGNACIO DE VELASCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,98,98
SAN JAVIER(BNI),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
SAN JAVIER(STC),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,20,20
SAN JOAQUIN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,39,39
SAN JUAN DE YAPACANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
SAN JULIAN,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,82,82
SAN LORENZO(PND),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
SAN LORENZO(TJA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,30,30
SAN LUCAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,56,56
SAN MATIAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,30,30
SAN MIGUEL DE VELASCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,19,19
SAN PABLO DE LIPEZ,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
SAN PEDRO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,49,49
SAN PEDRO DE BUENA VISTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,56,56
SAN PEDRO DE CURAHUARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
SAN PEDRO DE QUEMES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
SAN PEDRO(PND),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,3,3
SAN RAFAEL,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,10,10
SAN RAMON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,12,12
SAN RAMON,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,23,23
SANTA ANA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,13,13
SANTA CRUZ DE LA SIERRA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1276,1276
SANTA ROSA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
SANTA ROSA DEL SARA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,32,32
SANTIAGO DE CALLAPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,6,6
SANTIAGO DE HUARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,8,8
SANTIAGO DE MACHACA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
SANTIVAÑES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
SANTUARIO DE QUILLACAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
SAPAHAQUI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,16,16
SENA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,15,15
SICA SICA (VILLA AROMA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,51,51
SIPE SIPE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,80,80
SOPACHUY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
SORACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,9,9
SORATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,32,32
SUCRE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,592,592
TACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
TACACOMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,17,17
TACOBAMBA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,9,9
TACOPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,13,13
TAHUA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
TAPACARI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,25,25
TARABUCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,44,44
TARACO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
TARIJA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,130,130
TARVITA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,40,40
TEOPONTE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,20,20
TIAWANACU,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,27,27
TINGUIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,37,37
TIPUANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,25,25
TIQUIPAYA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
TIRAQUE (CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,102,102
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
TOCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,5,5
TOLATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,2,2
TOLEDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,4,4
TOMAVE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,7,7
TOMINA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,16,16
TORO TORO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,18,18
TOTORA(CBBA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,22,22
TOTORA(ORR),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,10,10
TRINIDAD,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,168,168
TUPIZA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,81,81
TURCO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,3,3
UMALA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,1,1
UNCIA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2006-01-01,42,42
