municipality,group,variable,month,Nacidos muertos atendidos por partera capacit,TOTAL
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,2,2
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-04-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
ARAMPAMPA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,2,2
EXALTACION,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,2,2
SANTIVAÑES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-05-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,5,5
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-06-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,2,2
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,2,2
COLQUENCHA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
HUACARETA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,4,4
PAILON,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
PASORAPA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
POTOSI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,63,63
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,3,3
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-07-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,2,2
BELEN DE ANDAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,2,2
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,2,2
ICHOCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
LAJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
PADILLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,3,3
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
SAN AGUSTIN,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,2,2
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-08-01,1,1
AIQUILE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,2,2
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,4,4
CORQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
EL VILLAR,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
OMEREQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
TOTORA(ORR),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
UMALA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-09-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,1,1
COLQUIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,2,2
PAILON,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-10-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,2,2
ENTRE RIOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,2,2
VITICHI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-11-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,5,5
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,2,2
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
TOMINA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
TURCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2005-12-01,2,2
