,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,8,3,8,3,11
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,18,15,18,16,34
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,2,11,14,11,16,27
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,17,4,17,4,21
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,3,0,0,1,3,4
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,1,6,0,9,1,10
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,1,0,0,3,1,4
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,4,43,28,44,32,76
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,8,2,41,21,49,23,72
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,5,2,7,8,12,10,22
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,8,4,9,5,14
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,0,3,6,5,6,11
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,3,3,4,3,7
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,3,0,3,1,4
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,4,59,63,62,67,129
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,3,12,6,16,9,25
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,5,1,5,1,6
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,2,1,7,1,9,10
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,6,15,6,15,21
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,3,12,9,12,12,24
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,3,6,9,7,12,19
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,1,7,10,9,11,20
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,13,15,13,16,29
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,7,11,11,13,18,31
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,1,22,18,24,19,43
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,2,2,2,2,4
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,4,11,16,15,20,35
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,6,11,7,12,19
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,0,0,1,1,2
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,21,13,22,14,36
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,3,8,15,11,18,29
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,4,4,4,4,8
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,4,10,13,14,17,31
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,0,11,2,14,2,16
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,1,2,1,2,3
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,8,29,41,35,49,84
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,0,14,11,17,11,28
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,6,6,6,6,12
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,0,2,1,2,3
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,4,18,19,22,23,45
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,5,2,24,25,29,27,56
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,0,0,0,1,1
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,3,1,4,2,6
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,2,21,22,23,24,47
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,1,2,1,3,4
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,3,26,33,32,36,68
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,1,2,1,3,4
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,2,9,7,10,9,19
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,7,10,95,82,102,92,194
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,8,8,8,13,16,21,37
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,9,16,7,22,16,38
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,5,14,13,20,18,38
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,0,1,0,1,1
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,4,3,4,3,7
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,0,1,1,1,2
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,18,16,69,61,87,77,164
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,0,0,0,3,0,3
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,7,7,31,32,38,39,77
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,2,2,3,2,5
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,2,0,2,0,2
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,2,2,5,2,7,9
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,0,12,11,15,11,26
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,24,16,25,17,42
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,0,1,0,1,1
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,2,5,2,6,8
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,2,4,2,5,7
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,4,14,10,16,14,30
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,7,4,17,28,24,32,56
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,7,6,8,7,15
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,18,11,19,11,30
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,6,8,7,8,15
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,23,14,24,14,38
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,1,1,2,1,3
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,0,4,6,6,6,12
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,0,4,0,4,4
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,78,58,1373,1362,1451,1420,2871
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,13,9,14,9,23
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,1,1,1,2,3
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,2,4,11,7,13,20
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,2,31,24,34,26,60
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,4,7,4,7,11
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,16,12,16,12,28
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,5,11,5,12,17
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,5,2,5,2,7
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,3,0,0,2,3,5
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,0,1,0,1,1
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,1,1,1,1,2
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,2,1,2,1,3
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,4,1,4,1,5
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,3,5,16,9,19,28
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,4,19,15,23,19,42
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,2,5,13,9,15,24
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,2,1,2,2,4
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,3,26,19,27,22,49
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,14,17,14,17,31
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,18,5,18,6,24
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,7,1,7,2,9
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,0,7,2,9,2,11
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,2,3,2,3,5
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,9,8,10,9,19
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,6,10,13,13,19,32
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,5,2,24,15,29,17,46
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,10,28,30,34,40,74
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,0,1,0,1,1
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,3,33,30,36,33,69
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,4,8,10,9,14,23
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,1,3,1,3,4
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,2,6,5,6,7,13
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,2,19,10,20,12,32
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,3,0,3,0,3
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,3,39,31,40,34,74
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,9,5,9,6,15
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,6,12,14,16,20,36
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,3,4,3,4,7
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,1,0,3,2,4,6
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,18,22,122,94,140,116,256
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,1,2,1,2,3
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,2,12,12,12,14,26
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,1,5,1,5,6
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,2,3,2,3,5
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,2,0,1,1,3,4
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,2,0,2,0,2
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,3,8,10,8,13,21
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,9,3,9,4,13
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,1,3,10,5,11,16
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,3,5,4,5,9
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,0,46,35,50,35,85
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,9,6,24,21,33,27,60
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,0,1,0,1,1
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,8,8,8,8,16
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,6,31,25,37,31,68
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,1,1,2,1,3
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,8,2,8,2,10
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,4,28,31,31,35,66
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,3,2,4,2,6
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,2,3,2,3,5
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,9,14,42,54,51,68,119
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,11,5,11,6,17
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,21,13,59,74,80,87,167
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,2,6,3,8,5,13
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,0,6,9,8,9,17
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,2,7,4,8,6,14
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,4,1,12,14,16,15,31
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,2,3,1,4,3,7
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,1,0,1,0,1
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,1,0,1,1,2
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,2,11,3,12,15
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,2,6,9,6,11,17
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,7,14,8,14,22
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,1,7,5,9,6,15
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,1,1,1,2,3
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,16,103,67,109,83,192
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,13,21,13,22,35
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,11,16,12,17,29
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,2,3,2,3,4,7
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,4,3,5,3,8
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,7,33,41,36,48,84
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,2,9,3,11,5,16
PORTACHUELO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,0,1,0,1,1
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,0,2,1,4,1,5
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,12,27,110,110,122,137,259
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,2,20,19,22,21,43
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,0,2,0,2,2
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,8,14,33,32,41,46,87
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,1,13,10,16,11,27
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,11,7,34,19,45,26,71
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,1,13,4,15,5,20
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,2,15,25,17,27,44
PUERTO RICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,5,9,5,9,14
PUERTO SUAREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,2,0,14,10,16,10,26
PUNA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,7,4,70,55,77,59,136
PUNATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,7,12,7,12,19
QUIABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,3,2,3,2,5
QUILLACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,60,48,191,236,251,284,535
QUIME,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,3,2,2,3,5,8
RAVELO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,7,59,55,65,62,127
REYES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,9,1,0,7,9,16
RIBERALTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,11,3,146,8,157,11,168
ROBORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,3,1,0,2,3,3,6
RURRENABAQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,1,3,5,4,6,10
SABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,0,2,1,2,1,3
SACABA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,7,6,53,80,60,86,146
SACABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,0,1,8,7,8,8,16
SACACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,11,7,41,38,52,45,97
SAIPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,4,6,5,6,11
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,6,3,20,19,26,22,48
SAMAIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,0,3,11,4,11,15
SAN AGUSTIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2017-01-01,1,2,1,1,2,3,5
