,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,6,6,100,89,106,95,201
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,12,6,175,172,187,178,365
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,7,4,64,68,71,72,143
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,79,63,213,201,292,264,556
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,18,21,65,49,83,70,153
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,0,28,19,29,19,48
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,7,2,42,28,49,30,79
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,48,56,48,56,104
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,9,9,169,146,178,155,333
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,6,32,30,36,36,72
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,9,99,107,104,116,220
BAURES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,8,4,35,24,43,28,71
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,3,1,3,1,4
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,1,5,0,7,1,8
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,1,24,23,25,24,49
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,92,94,84,91,176,185,361
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,21,19,135,117,156,136,292
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,3,29,17,31,20,51
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,0,5,5,6,5,11
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,6,40,27,45,33,78
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,9,115,89,120,98,218
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,19,10,137,148,156,158,314
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,7,6,60,50,67,56,123
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,4,52,60,56,64,120
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,9,8,113,118,122,126,248
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,1,14,14,14,15,29
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,7,3,70,59,77,62,139
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,8,15,89,87,97,102,199
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,2,21,24,22,26,48
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,39,33,248,238,287,271,558
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,71,35,189,120,260,155,415
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,13,5,27,44,40,49,89
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,12,8,148,127,160,135,295
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,89,78,344,307,433,385,818
CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,1,1,1,1,2
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,7,4,116,105,123,109,232
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,6,30,23,32,29,61
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,13,8,28,28,41,36,77
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,3,0,3,7,6,7,13
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,1,6,7,8,8,16
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,29,36,334,284,363,320,683
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,4,48,40,50,44,94
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,37,30,121,139,158,169,327
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,5,9,5,9,14
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,10,10,62,58,72,68,140
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,61,54,320,279,381,333,714
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,1,14,16,16,17,33
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,12,10,12,10,22
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,3,16,22,16,25,41
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,51,44,79,50,130,94,224
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,3,1,44,37,47,38,85
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,8,4,51,45,59,49,108
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,8,3,65,60,73,63,136
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,43,43,88,87,131,130,261
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,77,52,426,426,503,478,981
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,6,12,60,76,66,88,154
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1906,1721,3082,3063,4988,4784,9772
COIPASA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,1,0,0,4,1,5
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,229,227,296,339,525,566,1091
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,17,19,65,58,82,77,159
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,1,24,23,24,24,48
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,29,16,217,180,246,196,442
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,2,21,22,23,24,47
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,15,16,147,155,162,171,333
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,5,81,75,85,80,165
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,3,94,72,96,75,171
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,0,10,8,12,8,20
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,14,22,137,110,151,132,283
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,3,3,8,3,11,14
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,22,23,178,146,200,169,369
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,6,43,47,48,53,101
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,6,139,164,144,170,314
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,14,46,45,48,59,107
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,16,11,96,58,112,69,181
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,7,8,19,23,26,31,57
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,20,20,125,122,145,142,287
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,74,93,456,446,530,539,1069
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,9,158,150,163,159,322
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,1,8,6,10,7,17
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,3,11,16,13,19,24,43
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,12,77,79,82,91,173
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,2,27,30,27,32,59
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,1,18,7,19,8,27
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,3,24,40,26,43,69
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1424,1278,4868,4382,6292,5660,11952
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,1,20,13,21,14,35
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,10,8,79,87,89,95,184
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,12,5,55,53,67,58,125
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,55,71,402,386,457,457,914
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,1,18,20,19,21,40
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,14,15,169,148,183,163,346
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,80,73,498,490,578,563,1141
ESCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,4,2,4,2,6
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,4,23,23,25,27,52
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,1,2,0,3,1,4
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,3,34,30,35,33,68
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,0,3,2,4,2,6
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,3,1,10,7,13,8,21
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,16,13,94,86,110,99,209
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,1,64,54,68,55,123
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,28,19,114,146,142,165,307
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,12,50,52,55,64,119
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,9,5,130,128,139,133,272
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,1,31,31,33,32,65
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,81,57,391,338,472,395,867
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,11,7,97,88,108,95,203
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,2,47,47,52,49,101
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,1,11,6,12,7,19
HUACHACALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,17,13,12,12,29,25,54
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,18,17,159,148,177,165,342
HUARACAJE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,3,36,25,38,28,66
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,4,34,26,39,30,69
HUATAJATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,1,5,20,7,21,28
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,3,18,18,18,21,39
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,1,23,25,23,26,49
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,2,14,11,15,13,28
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,2,23,25,25,27,52
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,6,2,34,33,40,35,75
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,1,15,12,17,13,30
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,5,47,37,48,42,90
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,18,18,54,75,72,93,165
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,8,5,71,72,79,77,156
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,8,59,56,64,64,128
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,71,62,317,304,388,366,754
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,56,59,717,688,773,747,1520
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1954,1720,3172,3107,5126,4827,9953
LA RIVERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,1,2,0,2,1,3
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,2,25,39,26,41,67
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,8,8,126,130,134,138,272
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,25,20,25,20,45
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,0,12,11,13,11,24
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,14,16,214,185,228,201,429
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,1,14,12,16,13,29
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,11,13,12,12,23,25,48
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,3,37,32,42,35,77
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,2,24,27,28,29,57
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,3,2,42,54,45,56,101
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,717,83,106,43,823,126,949
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,15,14,129,100,144,114,258
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,0,4,0,4,4
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,10,6,159,116,169,122,291
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,10,7,63,88,73,95,168
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,23,23,175,149,198,172,370
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,45,26,277,221,322,247,569
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,1,48,64,52,65,117
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,0,1,5,2,5,7
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,5,32,37,36,42,78
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,25,35,169,150,194,185,379
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,274,274,1060,990,1334,1264,2598
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,0,13,16,15,16,31
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,4,41,26,43,30,73
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,3,1,22,17,25,18,43
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,0,2,3,3,3,6
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,3,10,12,10,15,25
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,3,36,34,41,37,78
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,11,8,87,99,98,107,205
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,1,80,66,82,67,149
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,545,496,2255,2106,2800,2602,5402
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,9,8,131,138,140,146,286
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,21,17,59,51,80,68,148
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,30,17,115,115,145,132,277
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,62,48,97,94,159,142,301
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,35,43,240,204,275,247,522
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,5,20,23,25,28,53
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,3,72,64,73,67,140
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,6,21,20,22,26,48
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,1,7,18,8,19,27
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,38,24,147,148,185,172,357
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,1,30,32,31,33,64
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,3,3,57,54,60,57,117
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,4,59,54,63,58,121
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,7,99,93,100,100,200
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,41,19,87,93,128,112,240
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,2,0,48,41,50,41,91
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,6,85,102,90,108,198
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,10,48,47,53,57,110
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,14,18,47,38,61,56,117
PORTACHUELO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,21,32,106,102,127,134,261
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,5,4,28,34,33,38,71
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,12,2,12,2,14
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,376,332,1274,1171,1650,1503,3153
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,6,3,30,28,36,31,67
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,1,1,6,11,7,12,19
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,10,11,175,170,185,181,366
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,4,8,25,22,29,30,59
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,7,7,50,44,57,51,108
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,6,7,68,67,74,74,148
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,0,0,19,21,19,21,40
PUERTO QUIJARRO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2017-01-01,17,10,88,114,105,124,229
