municipality,group,variable,month,Total 1310 Días camas disponibles otros servicios,TOTAL
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
CAMIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,2232,2232
CAPINOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,402,402
CARACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
CARANAVI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1116,1116
CARIPUYO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
CARMEN RIVERO TORREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,84,84
CHALLAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,775,775
CHAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
CHARAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,862,862
CHAYANTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
CHIMORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,713,713
CKOCHAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
CLIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,403,403
COBIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,2779,2779
COCAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,122,122
COCHABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,50592,50592
COLCAPIRHUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1032,1032
"COLCHA ""K""",internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
COLOMI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
COLPA BELGICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
COLQUECHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
COLQUIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
COMARAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,611,611
COMBAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
CONCEPCION,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,330,330
COPACABANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,248,248
COROICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,992,992
COTAGAITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,372,372
COTOCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,713,713
CUATRO CAÑADAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,434,434
CUEVO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
CULPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,491,491
CURAHUARA DE CARANGAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,279,279
EL ALTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,13684,13684
EL PUENTE(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
EL PUENTE(TJA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,90,90
EL TORNO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,3007,3007
EL VILLAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,256,256
ENTRE RIOS CBBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
ESCOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,403,403
EUCALIPTUS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
EXALTACION,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,56,56
FERNANDEZ ALONSO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,496,496
FILADELFIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
GENERAL SAAVEDRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,248,248
GUANAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
GUAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
GUAYARAMERIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1419,1419
GUTIERREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,640,640
HUACARETA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,525,525
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,88,88
HUACHACALLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
HUANUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1612,1612
HUARACAJE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
HUAYLLAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
HUMANATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
ICLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,310,310
INCAHUASI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,202,202
IRUPANA (VILLA DE LANZA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,372,372
IXIAMAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
JESUS DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,403,403
LA ASUNTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,403,403
LA GUARDIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1147,1147
LA PAZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,69543,69543
LAS CARRERAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,185,185
LLALLAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1023,1023
LLICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
LORETO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,58,58
LURIBAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
MACHACAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
MACHARETI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,434,434
MAGDALENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,279,279
MAIRANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
MAPIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
MINEROS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,248,248
MIZQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,868,868
MOJOCOYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,333,333
MONTEAGUDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1549,1549
MONTERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,3930,3930
MORO MORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
MOROCHATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,28,28
OCURI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,372,372
OKINAWA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
OMEREQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
ORURO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,15687,15687
PADILLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,434,434
PAILON,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,484,484
PALOS BLANCOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,310,310
PAMPA AULLAGAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
PASORAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
PATACAMAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
PAZÑA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
POCOATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
POCONA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,248,248
POJO (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
POROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,558,558
PORONGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,372,372
PORTACHUELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1116,1116
PORVENIR,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,170,170
POSTRER VALLE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
POTOSI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,11501,11501
PUCARA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
PUCARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
PUERTO GONZALO MORENO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,117,117
PUERTO QUIJARRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,180,180
PUERTO RICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,294,294
PUERTO SUAREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,2418,2418
PUERTO VILLARROEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1550,1550
PUNA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
PUNATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1581,1581
QUILLACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1236,1236
QUIME,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
QUIRUSILLAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
RAVELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
REYES,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
RIBERALTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,2666,2666
ROBORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1751,1751
RURRENABAQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,651,651
SABAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
SACABA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,2046,2046
SACABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
SACACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,310,310
SAIPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,133,133
SALINAS DE GARCI MENDOZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
SAMAIPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
SAN ANTONIO DE LOMERIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
SAN BENITO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
SAN BORJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,557,557
SAN BUENA VENTURA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
SAN CARLOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1085,1085
SAN IGNACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,806,806
SAN IGNACIO DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1891,1891
SAN JAVIER(BNI),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,30,30
SAN JOAQUIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1219,1219
SAN JUAN DE YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,650,650
SAN JULIAN,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1426,1426
SAN LORENZO(PND),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,90,90
SAN LUCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,709,709
SAN MATIAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,621,621
SAN MIGUEL DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
SAN PEDRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,638,638
SAN PEDRO DE BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
SAN RAFAEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,248,248
SAN RAMON BENI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
SAN RAMON SCZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,713,713
SANTA ANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,434,434
SANTA CRUZ DE LA SIERRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62995,62995
SANTA ROSA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
SANTIAGO DE HUARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,31,31
SANTIAGO DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
SANTIVAÑES,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,279,279
SANTUARIO DE QUILLACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
SENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,153,153
SHINAOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,712,712
SICAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
SOPACHUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,805,805
SORACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
SORATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,310,310
SUCRE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,35854,35854
TACACOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,30,30
TACOPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
TAPACARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,248,248
TARABUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,496,496
TARATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
TARIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,15289,15289
TARVITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,558,558
TIPUANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
TIQUIPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,744,744
TIRAQUE (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
TOCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
TOLATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
TOMINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,589,589
TORO TORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,279,279
TOTORA(CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,651,651
TRIGAL,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
TRINIDAD,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,5537,5537
TUPIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,2304,2304
UNCIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
URUBICHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,186,186
UYUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1701,1701
VACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,155,155
VALLEGRANDE,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,682,682
VIACHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,843,843
VILA VILA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
VILLA CHARCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,120,120
VILLA MONTES,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1116,1116
VILLA RIVERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
VILLA SERRANO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,248,248
VILLA TUNARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1782,1782
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,306,306
VILLAZON,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,1240,1240
VINTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
VITICHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,124,124
WARNES,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,678,678
YACO,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,62,62
YACUIBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,2845,2845
YAMPARAEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,341,341
YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,869,869
YOTALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,217,217
ZUDAÑEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-01-01,93,93
ACACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
ACHACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,420,420
AIQUILE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1372,1372
ALALAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
ALCALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
ANCORAIMES,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
ANTEQUERA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
ANZALDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,364,364
APOLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,252,252
ARAMPAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
ARBIETO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
ARQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
ASCENCION DE GUARAYOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,810,810
ATOCHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1407,1407
AYO AYO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,784,784
AZURDUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,473,473
BAURES,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
BERMEJO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,777,777
BETANZOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,224,224
BOLIVAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
BOYUIBE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,308,308
BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,390,390
CABEZAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,280,280
CAIROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
"CAIZA ""D""",internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,118,118
CALACOTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
CAMARGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,812,812
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,93,93
CAMIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,2081,2081
CAPINOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,364,364
CARACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
CARANAVI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,980,980
CARAPARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,79,79
CARIPUYO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
CARMEN RIVERO TORREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,158,158
CHALLAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,700,700
CHAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
CHARAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,796,796
CHAYANTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
CHIMORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,644,644
CHUMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
CKOCHAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
CLIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,364,364
COBIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,2944,2944
COCAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,170,170
COCHABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,46396,46396
COLCAPIRHUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1053,1053
COLOMI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
COLPA BELGICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
COLQUECHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
COLQUIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,196,196
COMARAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,526,526
COPACABANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,224,224
CORIPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
CORO CORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
COROICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,896,896
COTAGAITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,336,336
COTOCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,673,673
CUATRO CAÑADAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,392,392
CUEVO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
CULPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,444,444
CURAHUARA DE CARANGAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,224,224
EL ALTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,12374,12374
EL PUENTE(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
EL PUENTE(TJA),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,90,90
EL TORNO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,2744,2744
EL VILLAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,199,199
ENTRE RIOS TRJ,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,352,352
ENTRE RIOS CBBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
ESCOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,364,364
EUCALIPTUS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
EXALTACION,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
FERNANDEZ ALONSO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,504,504
FILADELFIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,84,84
GENERAL SAAVEDRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,224,224
GUANAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
GUAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,4,4
GUAYARAMERIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1284,1284
GUTIERREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,280,280
HUACARETA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,476,476
