municipality,group,variable,month,Total 13.8 Días camas ocupadas otros servicios,TOTAL
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,94,94
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,5,5
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,40,40
LA ASUNTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,22,22
LA GUARDIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,248,248
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,49209,49209
LLALLAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,399,399
LORETO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,3,3
MACHACAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
MACHARETI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,214,214
MAIRANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,109,109
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,24,24
MINEROS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,48,48
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,114,114
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,8,8
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,434,434
MONTERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1910,1910
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
OCURI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,7,7
OKINAWA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,20,20
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,16,16
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,6964,6964
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,211,211
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,114,114
PALCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,31,31
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,24,24
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
POCONA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
POJO (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,6,6
PORONGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
PORTACHUELO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,346,346
PORVENIR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,16,16
POSTRER VALLE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
POTOSI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,6799,6799
PUCARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,4,4
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,7,7
PUERTO QUIJARRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,31,31
PUERTO RICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,96,96
PUERTO SUAREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,328,328
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,476,476
PUNA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,3,3
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,605,605
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,135,135
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1,1
QUIRUSILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,4,4
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,23,23
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1919,1919
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,150,150
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,334,334
SABAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,7,7
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,744,744
SACACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,9,9
SAIPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,24,24
SALINAS DE GARCI MENDOZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
SAMAIPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,34,34
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,21,21
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,273,273
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,56,56
SAN CARLOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,471,471
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,146,146
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,690,690
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,44,44
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,318,318
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,187,187
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,248,248
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,85,85
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,160,160
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,40,40
SAN PEDRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,721,721
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,4,4
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,38,38
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,23,23
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,64,64
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,258,258
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,43215,43215
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,88,88
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,12,12
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,3,3
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,33,33
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,143,143
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,45,45
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,9,9
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,23422,23422
TACACOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1,1
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,5,5
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,100,100
TARATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1,1
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,11597,11597
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,22,22
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,82,82
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,68,68
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,32,32
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,55,55
TRIGAL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,24,24
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,3308,3308
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1109,1109
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2,2
URUBICHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,34,34
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,332,332
VACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,13,13
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,330,330
VIACHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,360,360
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,557,557
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,319,319
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,33,33
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,651,651
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,38,38
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,537,537
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,160,160
WARNES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,489,489
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,2026,2026
YAMPARAEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,1,1
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,353,353
YOTALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,85,85
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-01-01,31,31
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,175,175
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,225,225
ANZALDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,47,47
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,27,27
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,323,323
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,342,342
AYO AYO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,38,38
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,33,33
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,73,73
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,673,673
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,38,38
BOLIVAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,4,4
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,47,47
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,77,77
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,63,63
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,7,7
CALACOTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,3,3
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,395,395
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2,2
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,900,900
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,46,46
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,9,9
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,436,436
CARAPARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,5,5
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,12,12
CHALLAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,199,199
CHARAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,269,269
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,267,267
CHUMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1,1
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,38,38
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1398,1398
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,30346,30346
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,171,171
COLOMI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1,1
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,9,9
COLQUIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,7,7
COMARAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,79,79
COPACABANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2,2
CORIPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,8,8
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,282,282
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,11,11
COTOCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,80,80
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,482,482
CUEVO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,3,3
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,42,42
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,7370,7370
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,25,25
EL TORNO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,818,818
EL VILLAR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2,2
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,49,49
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,16,16
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,62,62
EUCALIPTUS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2,2
EXALTACION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,6,6
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,64,64
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,129,129
GUANAY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,10,10
GUAQUI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,28,28
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1038,1038
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,67,67
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,51,51
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,8,8
HUANUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,381,381
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,23,23
HUARINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1,1
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,12,12
HUMANATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1,1
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,7,7
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,34,34
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,19,19
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,48,48
LA GUARDIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,192,192
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,46987,46987
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,10,10
LAS CARRERAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,4,4
MACHARETI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,4,4
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,169,169
MAIRANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,64,64
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,29,29
MINEROS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,81,81
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,120,120
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,9,9
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,439,439
MONTERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1716,1716
MORO MORO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,4,4
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,5,5
OCURI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,6,6
OKINAWA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,49,49
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,15,15
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,7711,7711
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,251,251
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,101,101
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,29,29
PAMPA GRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,4,4
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,10,10
PATACAMAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,17,17
POCOATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,5,5
POJO (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,5,5
POROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2,2
PORONGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2,2
PORTACHUELO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,436,436
PORVENIR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,27,27
POTOSI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,6740,6740
PRESTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,17,17
PUCARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2,2
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,5,5
PUERTO QUIJARRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,23,23
PUERTO RICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,49,49
PUERTO SUAREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,469,469
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,472,472
PUNA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1,1
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,487,487
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,189,189
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1,1
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,84,84
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1527,1527
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,172,172
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,404,404
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,791,791
SACABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,10,10
SACACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,17,17
SAIPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,14,14
