municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,2,2
YOTALA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-01-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,4,4
AYATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,5,5
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
CAMIRI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
CHAQUI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,2,2
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,13,13
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,21,21
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,2,2
PALCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,3,3
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,10,10
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,2,2
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
SIPE SIPE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,16,16
TAPACARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,3,3
TOMINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-02-01,2,2
ACHACACHI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,4,4
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,2,2
CATACORA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,2,2
CHAQUI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
COROICO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,13,13
ICLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,5,5
INQUISIVI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,15,15
MECAPACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,3,3
PADILLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,3,3
PORCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,5,5
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,10,10
SIPE SIPE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,8,8
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,3,3
VILLAZON,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
VITICHI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-03-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,4,4
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,4,4
CARIPUYO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
CHAQUI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,3,3
CLIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,3,3
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,7,7
LA GUARDIA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,14,14
MIZQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,3,3
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
SACACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,2,2
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,2,2
SAN JULIAN,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,8,8
SAN MATIAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,2,2
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,2,2
SOPACHUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,4,4
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,9,9
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,3,3
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
VINTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-04-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,6,6
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,5,5
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,17,17
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,12,12
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
PALCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,2,2
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
PORCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,2,2
PORONGO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,2,2
SAN BENITO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,2,2
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,2,2
SAN MATIAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,5,5
SAN PEDRO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,4,4
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,10,10
SOPACHUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,2,2
SORACACHI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,8,8
TIAWANACU,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,19,19
UYUNI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,2,2
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,3,3
VILLAZON,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-05-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
APOLO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,10,10
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,5,5
CHAQUI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
COROICO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,33,33
ICLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,11,11
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,25,25
PALCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,2,2
POCOATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,2,2
PORCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,9,9
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,2,2
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,7,7
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,3,3
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,2,2
TUPIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,9,9
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,6,6
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,2,2
VILLAZON,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-06-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,4,4
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,7,7
COCHABAMBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,4,4
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,14,14
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,17,17
MOCOMOCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
ORURO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,3,3
PALCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
PELECHUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
PORCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,12,12
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
SACACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,3,3
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,2,2
SAN MATIAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,2,2
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,6,6
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,37,37
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,2,2
TUPIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,3,3
UNCIA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,5,5
UYUNI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,4,4
YACUIBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-07-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2018-08-01,1,1
