,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,4,5,93,92,97,97,194
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,15,9,170,156,185,165,350
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,2,71,73,73,75,148
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,85,82,218,207,303,289,592
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,17,18,67,51,84,69,153
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,3,24,25,29,28,57
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,2,47,37,50,39,89
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,1,49,46,55,47,102
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,7,19,157,139,164,158,322
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,2,37,31,39,33,72
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,8,6,88,97,96,103,199
BAURES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,7,11,35,46,42,57,99
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,8,5,8,5,13
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,0,1,1,2,1,3
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,1,17,17,19,18,37
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,72,56,127,118,199,174,373
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,14,14,125,118,139,132,271
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,1,17,23,19,24,43
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,9,8,9,8,17
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,3,37,27,43,30,73
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,10,3,110,87,120,90,210
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,32,27,162,133,194,160,354
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,12,4,46,38,58,42,100
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,2,54,49,59,51,110
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,15,9,105,86,120,95,215
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,2,13,9,13,11,24
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,7,1,83,64,90,65,155
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,10,8,89,93,99,101,200
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,3,7,11,7,14,21
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,44,44,259,197,303,241,544
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,28,23,216,236,244,259,503
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,6,33,59,35,65,100
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,12,11,104,84,116,95,211
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,75,82,269,264,344,346,690
CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,3,2,3,3,6,9
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,7,7,115,119,122,126,248
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,0,33,33,35,33,68
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,9,39,39,45,48,93
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,0,2,4,4,4,8
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,2,8,1,9,3,12
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,44,29,276,243,320,272,592
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,0,38,42,41,42,83
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,30,31,121,98,151,129,280
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,11,9,11,9,20
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,11,81,60,87,71,158
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,29,21,338,306,367,327,694
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,1,18,27,20,28,48
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,7,1,7,1,8
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,3,17,22,20,25,45
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,24,17,86,86,110,103,213
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,3,29,40,35,43,78
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,6,40,42,45,48,93
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,9,2,64,51,73,53,126
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,30,39,73,96,103,135,238
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,75,69,496,397,571,466,1037
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,13,11,54,56,67,67,134
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1583,1359,3103,3013,4686,4372,9058
COIPASA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,2,0,0,1,2,3
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,420,175,245,275,665,450,1115
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,12,7,79,81,91,88,179
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,1,10,13,10,14,24
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,35,38,161,192,196,230,426
COLPA BELGICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,8,4,24,26,32,30,62
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,7,21,171,166,178,187,365
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,7,80,65,85,72,157
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,4,3,88,96,92,99,191
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,12,12,12,12,24
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,22,21,111,114,133,135,268
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,2,3,3,5,5,10
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,20,22,182,159,202,181,383
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,13,6,48,45,61,51,112
CORIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,8,6,145,114,153,120,273
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,9,16,24,28,33,44,77
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,39,50,49,67,88,117,205
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,7,4,34,42,41,46,87
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,15,6,101,106,116,112,228
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,87,81,439,450,526,531,1057
CRUZ DE MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,17,14,142,144,159,158,317
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,1,5,8,8,9,17
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,0,19,23,21,23,44
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,7,89,97,95,104,199
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,0,23,15,24,15,39
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,8,2,8,15,16,17,33
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,9,24,28,29,37,66
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1276,1167,4928,4763,6204,5930,12134
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,4,1,14,5,18,6,24
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,12,11,74,79,86,90,176
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,8,59,49,62,57,119
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,40,46,352,320,392,366,758
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,7,18,15,21,22,43
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,25,14,142,132,167,146,313
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,100,93,518,439,618,532,1150
ESCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,0,1,0,3,0,3
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,1,26,16,27,17,44
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,1,1,1,1,2,3
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,1,19,32,22,33,55
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,7,7,7,7,14
EXALTACION,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,6,11,9,14,15,29
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,22,11,112,101,134,112,246
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,4,10,52,31,56,41,97
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,12,22,144,122,156,144,300
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,10,48,52,51,62,113
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,36,36,77,76,113,112,225
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,3,33,27,35,30,65
GUAYARAMERIN,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,86,49,304,298,390,347,737
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,8,5,100,86,108,91,199
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,4,39,43,45,47,92
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,0,6,6,9,6,15
HUACHACALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,12,12,16,7,28,19,47
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,27,18,126,111,153,129,282
HUARACAJE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,0,36,24,39,24,63
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,0,28,26,29,26,55
HUATAJATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,3,14,11,15,14,29
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,1,18,13,21,14,35
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,1,16,12,16,13,29
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,9,7,11,14,20,21,41
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,2,22,21,27,23,50
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,4,10,48,31,52,41,93
INGAVI (HUMAITA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,4,9,1,14,5,19
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,9,16,45,53,54,69,123
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,21,14,76,61,97,75,172
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,5,68,63,74,68,142
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,6,63,71,66,77,143
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,53,47,279,272,332,319,651
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,166,137,858,788,1024,925,1949
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1591,1459,2794,2823,4385,4282,8667
LA RIVERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,3,1,3,1,4
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,4,26,27,32,31,63
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,8,9,112,119,120,128,248
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,2,17,15,20,17,37
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,2,17,9,18,11,29
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,22,18,212,214,234,232,466
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,0,19,14,21,14,35
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,6,14,5,19,11,30
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,7,42,39,44,46,90
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,4,25,28,28,32,60
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,4,43,44,45,48,93
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,17,11,95,90,112,101,213
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,18,19,87,104,105,123,228
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,0,7,4,8,4,12
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,18,17,196,210,214,227,441
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,12,9,54,44,66,53,119
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,18,22,164,134,182,156,338
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,22,12,177,179,199,191,390
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,1,50,44,53,45,98
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,2,2,2,2,4
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,4,3,23,34,27,37,64
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,27,29,203,175,230,204,434
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,149,153,1028,1076,1177,1229,2406
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,1,3,21,9,22,12,34
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,3,31,30,37,33,70
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,26,24,26,24,50
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,3,13,3,13,16
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,4,12,6,12,10,22
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,6,33,52,38,58,96
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,10,11,88,108,98,119,217
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,2,78,57,80,59,139
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,510,538,1698,1910,2208,2448,4656
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,7,11,118,101,125,112,237
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,12,17,57,45,69,62,131
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,18,8,83,100,101,108,209
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,35,34,112,101,147,135,282
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,31,23,235,220,266,243,509
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,5,14,13,17,18,35
PAMPA GRANDE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,9,9,66,67,75,76,151
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,2,28,22,33,24,57
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,7,10,28,10,35,45
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,22,18,143,101,165,119,284
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,0,39,36,41,36,77
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,4,2,52,41,56,43,99
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,5,54,44,59,49,108
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,8,13,69,47,77,60,137
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,14,19,83,76,97,95,192
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,2,34,39,37,41,78
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,8,6,109,99,117,105,222
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,7,52,41,58,48,106
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,10,16,56,55,66,71,137
PORTACHUELO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,23,16,104,80,127,96,223
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,7,43,52,48,59,107
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,2,7,6,7,8,15
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,262,254,1200,1081,1462,1335,2797
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,3,2,22,20,25,22,47
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,0,8,6,8,6,14
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,7,14,178,160,185,174,359
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,5,4,37,15,42,19,61
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,2,8,40,51,42,59,101
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,6,5,73,52,79,57,136
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,0,2,14,18,14,20,34
PUERTO QUIJARRO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2018-01-01,9,17,102,114,111,131,242
