,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,29,27,30,27,57
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,4,17,16,20,20,40
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,2,0,2,1,3
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,5,8,5,8,13
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,3,1,3,2,6,8
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,4,2,2,5,6,11
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,1,0,1,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,3,19,18,19,21,40
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,9,6,32,25,41,31,72
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,3,7,9,11,12,23
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,3,2,3,3,6
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,5,5,6,5,11
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,9,3,10,3,13
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,7,7,8,8,16
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,7,60,48,63,55,118
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,4,12,16,12,20,32
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,3,2,3,2,5
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,4,3,5,3,8
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,0,5,3,9,3,12
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,6,8,26,26,32,34,66
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,2,8,8,10,10,20
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,19,11,20,12,32
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,0,0,2,0,2
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,11,12,12,12,24
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,7,0,16,13,23,13,36
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,4,26,14,28,18,46
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,4,0,4,0,4
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,6,8,8,8,16
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,7,9,7,10,17
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,2,3,3,6,5,11
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,5,2,42,26,47,28,75
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,1,0,2,0,2
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,5,2,6,2,8
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,1,9,12,13,13,26
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,2,7,2,7,9
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,10,9,33,25,43,34,77
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,7,11,7,12,19
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,7,7,7,7,14
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,2,0,2,1,3
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,0,24,16,27,16,43
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,5,49,34,53,39,92
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,1,1,1,2,3
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,6,0,6,0,6
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,2,17,15,17,17,34
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,3,1,3,1,4
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,5,3,36,26,41,29,70
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,3,2,3,2,5
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,2,33,36,36,38,74
COCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,6,7,75,66,81,73,154
COCHABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,2,7,2,10,4,14
COLCAPIRHUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,7,9,9,10,16,19,35
"COLCHA ""K""",control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,6,2,9,14,15,16,31
COLLANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,0,0,1,1,2
COLOMI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,3,2,0,2,3,5
COLQUECHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,9,9,106,81,115,90,205
COLQUENCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,0,0,2,0,2
COLQUIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,5,4,23,15,28,19,47
COMANCHE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,1,0,1,1,2
COMARAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,5,7,6,7,13
COMBAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,1,3,4,5,5,10
CONCEPCION,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,5,1,21,26,26,27,53
COPACABANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,19,10,20,11,31
CORO CORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,6,1,6,5,12,6,18
COROICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,0,5,3,8,3,11
CORQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,1,15,8,18,9,27
COTAGAITA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,2,6,14,8,16,24
COTOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,0,1,2,1,3
CUATRO CAÑADAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,7,6,9,6,15
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,7,7,7,7,14
CUEVO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,2,6,6,7,8,15
CULPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,6,3,28,20,34,23,57
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,2,1,2,2,4
CURVA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,2,2,3,5,5,10
DESAGUADERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,0,1,0,1
EL ALTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,48,50,1520,1441,1568,1491,3059
EL CHORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,5,3,6,4,10
EL PUENTE(STC),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,2,2,2,2,4
EL PUENTE(TJA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,15,7,16,8,24
EL TORNO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,8,10,48,47,56,57,113
EL VILLAR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,3,4,3,4,7
ENTRE RIOS TRJ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,8,11,8,12,20
ENTRE RIOS CBBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,5,2,2,6,7,13
ESCOMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,4,1,4,1,5
ESMERALDA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,0,1,0,1
EUCALIPTUS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,3,1,4,1,5
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,0,3,0,3,3
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,2,9,7,10,9,19
FILADELFIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,2,4,1,5,3,8
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,0,0,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,1,9,5,11,6,17
GUANAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,3,15,18,17,21,38
GUAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,2,3,1,3,3,6
GUTIERREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,6,8,7,8,15
HUACARETA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,4,5,4,5,9
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,7,7,8,7,15
HUANUNI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,3,15,14,19,17,36
HUARINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,3,4,4,4,8
HUAYLLAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,0,0,1,0,1
HUMANATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,2,5,8,8,10,18
ICHOCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,4,4,5,5,9,14
ICLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,6,30,21,33,27,60
INCAHUASI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,3,26,32,29,35,64
INQUISIVI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,5,6,19,22,24,28,52
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,5,8,4,12,9,21
IXIAMAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,0,3,0,4,4
JESUS DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,1,2,2,4,3,7
LA ASUNTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,3,1,3,2,5
LA GUARDIA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,5,5,6,6,12
LA PAZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,6,2,8,2,10
LAGUNILLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,6,10,8,10,18
LAJA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,4,3,6,4,10,14
LAS CARRERAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,0,1,0,1
LICOMA PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,3,1,3,1,4
LLALLAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,19,33,120,98,139,131,270
LLICA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,2,5,2,5,4,9
LORETO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,3,2,2,6,5,11
LURIBAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,2,4,9,7,11,18
MACHACAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,1,1,1,2
MACHARETI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,4,11,4,11,15
MAGDALENA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,1,2,2,4,3,7
MAIRANA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,5,1,5,6
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,9,7,10,7,17
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,2,0,2,0,2
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,4,13,8,15,12,27
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,8,5,8,6,14
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,32,13,33,13,46
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,3,21,17,24,20,44
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,0,3,0,3,3
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,7,8,8,9,17
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,8,4,9,4,13
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,5,4,6,5,11
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,2,3,2,3,5
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,5,7,30,29,35,36,71
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,7,7,7,7,14
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,3,5,3,5,8
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,9,6,37,37,46,43,89
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,0,2,0,2,2
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,4,11,12,13,16,29
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,19,18,90,79,109,97,206
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,2,1,0,1,2,3
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,8,6,8,7,15
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,5,0,16,12,21,12,33
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,6,5,15,6,21,11,32
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,9,11,9,11,20
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,4,0,4,2,8,10
PAPEL PAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,3,6,5,6,11
PASORAPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,4,7,4,7,11
PATACAMAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,6,4,7,4,11
PAZÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,1,3,1,5,2,7
PELECHUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,0,0,0,1,1
POCOATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,8,13,89,73,97,86,183
POCONA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,10,9,12,9,21
POJO (CBBA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,3,4,3,4,7
POOPO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,3,1,3,1,4
PORCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,2,11,9,11,11,22
POROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,4,36,27,39,31,70
PORONGO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,3,7,8,8,11,19
PORVENIR,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,1,9,6,9,7,16
POSTRER VALLE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,1,1,1,2
POTOSI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,29,18,184,168,213,186,399
PRESTO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,3,6,17,22,20,28,48
PUCARA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,0,2,0,2,2
PUCARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,9,8,19,25,28,33,61
PUERTO ACOSTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,10,6,5,10,15,25
PUERTO CARABUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,9,15,15,17,24,41
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,15,10,16,11,27
PUERTO PEREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,1,12,11,16,12,28
PUERTO RICO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,1,6,11,8,12,20
PUERTO SUAREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,0,0,2,0,2
PUERTO VILLARROEL,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,4,9,7,11,11,22
PUNA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,4,6,37,47,41,53,94
PUNATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,11,15,12,15,27
QUILLACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,45,51,172,169,217,220,437
QUIME,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,2,0,2,0,2
RAQAYPAMPA(ETA),control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,2,0,0,0,2,0,2
RAVELO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,5,4,50,30,55,34,89
RIBERALTA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,6,13,7,13,20
RURRENABAQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,2,1,2,3
SABAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,2,2,2,2,4
SACABA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,6,7,79,78,85,85,170
SACABAMBA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,3,1,3,1,4
SACACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,6,7,49,50,55,57,112
SAIPINA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,4,3,4,3,7
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,24,18,24,18,42
SAMAIPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,1,6,1,6,7
SAN AGUSTIN,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,1,0,1,1,2,3
SAN ANDRES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,2,0,0,0,2,2
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,1,0,6,4,7,4,11
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2018-01-01,0,0,5,0,5,0,5
