municipality,group,variable,month,Nuevas en menores de 5 años -Hombre,Nuevas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
PASORAPA,consulta externa,nuevas en menores de 5 anos,2007-01-01,23,11,23,11,34
PATACAMAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,222,175,222,175,397
PAZÑA,consulta externa,nuevas en menores de 5 anos,2007-01-01,55,60,55,60,115
PELECHUCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,75,62,75,62,137
POCOATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,295,266,295,266,561
POCONA,consulta externa,nuevas en menores de 5 anos,2007-01-01,207,199,207,199,406
POJO (CBBA),consulta externa,nuevas en menores de 5 anos,2007-01-01,87,87,87,87,174
POOPO,consulta externa,nuevas en menores de 5 anos,2007-01-01,49,42,49,42,91
PORCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,156,155,156,155,311
POROMA,consulta externa,nuevas en menores de 5 anos,2007-01-01,292,221,292,221,513
PORONGO,consulta externa,nuevas en menores de 5 anos,2007-01-01,195,150,195,150,345
PORTACHUELO,consulta externa,nuevas en menores de 5 anos,2007-01-01,477,440,477,440,917
PORVENIR,consulta externa,nuevas en menores de 5 anos,2007-01-01,127,146,127,146,273
POSTRER VALLE,consulta externa,nuevas en menores de 5 anos,2007-01-01,29,32,29,32,61
POTOSI,consulta externa,nuevas en menores de 5 anos,2007-01-01,3202,3130,3202,3130,6332
PRESTO,consulta externa,nuevas en menores de 5 anos,2007-01-01,189,179,189,179,368
PUCARA,consulta externa,nuevas en menores de 5 anos,2007-01-01,22,9,22,9,31
PUCARANI,consulta externa,nuevas en menores de 5 anos,2007-01-01,199,171,199,171,370
PUERTO ACOSTA,consulta externa,nuevas en menores de 5 anos,2007-01-01,569,141,569,141,710
PUERTO CARABUCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,133,123,133,123,256
PUERTO GONZALO MORENO,consulta externa,nuevas en menores de 5 anos,2007-01-01,90,119,90,119,209
PUERTO PEREZ,consulta externa,nuevas en menores de 5 anos,2007-01-01,97,86,97,86,183
PUERTO QUIJARRO,consulta externa,nuevas en menores de 5 anos,2007-01-01,248,207,248,207,455
PUERTO RICO,consulta externa,nuevas en menores de 5 anos,2007-01-01,158,155,158,155,313
PUERTO SILES,consulta externa,nuevas en menores de 5 anos,2007-01-01,18,15,18,15,33
PUERTO SUAREZ,consulta externa,nuevas en menores de 5 anos,2007-01-01,354,298,354,298,652
PUERTO VILLARROEL,consulta externa,nuevas en menores de 5 anos,2007-01-01,967,882,967,882,1849
PUNA,consulta externa,nuevas en menores de 5 anos,2007-01-01,386,327,386,327,713
PUNATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,305,324,305,324,629
QUIABAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,45,37,45,37,82
QUILLACOLLO,consulta externa,nuevas en menores de 5 anos,2007-01-01,1375,1171,1375,1171,2546
QUIME,consulta externa,nuevas en menores de 5 anos,2007-01-01,139,125,139,125,264
QUIRUSILLAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,28,20,28,20,48
RAVELO,consulta externa,nuevas en menores de 5 anos,2007-01-01,280,221,280,221,501
REYES,consulta externa,nuevas en menores de 5 anos,2007-01-01,293,277,293,277,570
RIBERALTA,consulta externa,nuevas en menores de 5 anos,2007-01-01,2107,2009,2107,2009,4116
ROBORE,consulta externa,nuevas en menores de 5 anos,2007-01-01,342,325,342,325,667
RURRENABAQUE,consulta externa,nuevas en menores de 5 anos,2007-01-01,406,426,406,426,832
SABAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,22,21,22,21,43
SACABA,consulta externa,nuevas en menores de 5 anos,2007-01-01,1134,991,1134,991,2125
SACABAMBA,consulta externa,nuevas en menores de 5 anos,2007-01-01,47,37,47,37,84
SACACA,consulta externa,nuevas en menores de 5 anos,2007-01-01,434,403,434,403,837
SAIPINA,consulta externa,nuevas en menores de 5 anos,2007-01-01,100,104,100,104,204
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en menores de 5 anos,2007-01-01,203,191,203,191,394
SAMAIPATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,159,84,159,84,243
SAN AGUSTIN,consulta externa,nuevas en menores de 5 anos,2007-01-01,25,19,25,19,44
SAN ANDRES,consulta externa,nuevas en menores de 5 anos,2007-01-01,244,234,244,234,478
SAN ANDRES DE MACHACA,consulta externa,nuevas en menores de 5 anos,2007-01-01,31,48,31,48,79
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,28,36,28,36,64
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en menores de 5 anos,2007-01-01,125,122,125,122,247
SAN BENITO,consulta externa,nuevas en menores de 5 anos,2007-01-01,129,123,129,123,252
SAN BORJA,consulta externa,nuevas en menores de 5 anos,2007-01-01,534,578,534,578,1112
SAN BUENA VENTURA,consulta externa,nuevas en menores de 5 anos,2007-01-01,165,145,165,145,310
SAN CARLOS,consulta externa,nuevas en menores de 5 anos,2007-01-01,486,525,486,525,1011
SAN IGNACIO,consulta externa,nuevas en menores de 5 anos,2007-01-01,595,495,595,495,1090
SAN IGNACIO DE VELASCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,1759,1526,1759,1526,3285
SAN JAVIER(BNI),consulta externa,nuevas en menores de 5 anos,2007-01-01,55,50,55,50,105
SAN JAVIER(STC),consulta externa,nuevas en menores de 5 anos,2007-01-01,273,264,273,264,537
SAN JOAQUIN,consulta externa,nuevas en menores de 5 anos,2007-01-01,151,155,151,155,306
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en menores de 5 anos,2007-01-01,367,341,367,341,708
SAN JUAN DE YAPACANI,consulta externa,nuevas en menores de 5 anos,2007-01-01,347,352,347,352,699
SAN JULIAN,consulta externa,nuevas en menores de 5 anos,2007-01-01,1104,1026,1104,1026,2130
SAN LORENZO(PND),consulta externa,nuevas en menores de 5 anos,2007-01-01,127,88,127,88,215
SAN LORENZO(TJA),consulta externa,nuevas en menores de 5 anos,2007-01-01,445,385,445,385,830
SAN LUCAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,619,534,619,534,1153
SAN MATIAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,192,214,192,214,406
SAN MIGUEL DE VELASCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,215,223,215,223,438
SAN PABLO DE LIPEZ,consulta externa,nuevas en menores de 5 anos,2007-01-01,60,54,60,54,114
SAN PEDRO,consulta externa,nuevas en menores de 5 anos,2007-01-01,621,571,621,571,1192
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en menores de 5 anos,2007-01-01,341,330,341,330,671
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en menores de 5 anos,2007-01-01,40,29,40,29,69
SAN PEDRO DE QUEMES,consulta externa,nuevas en menores de 5 anos,2007-01-01,8,12,8,12,20
SAN PEDRO DE TIQUINA,consulta externa,nuevas en menores de 5 anos,2007-01-01,50,37,50,37,87
SAN PEDRO(PND),consulta externa,nuevas en menores de 5 anos,2007-01-01,25,16,25,16,41
SAN RAFAEL,consulta externa,nuevas en menores de 5 anos,2007-01-01,124,104,124,104,228
SAN RAMON,consulta externa,nuevas en menores de 5 anos,2007-01-01,130,120,130,120,250
SAN RAMON,consulta externa,nuevas en menores de 5 anos,2007-01-01,233,196,233,196,429
SANTA ANA,consulta externa,nuevas en menores de 5 anos,2007-01-01,274,266,274,266,540
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en menores de 5 anos,2007-01-01,25637,21916,25637,21916,47553
SANTA ROSA,consulta externa,nuevas en menores de 5 anos,2007-01-01,151,115,151,115,266
SANTA ROSA DEL SARA,consulta externa,nuevas en menores de 5 anos,2007-01-01,762,793,762,793,1555
SANTIAGO DE CALLAPA,consulta externa,nuevas en menores de 5 anos,2007-01-01,19,35,19,35,54
SANTIAGO DE HUARI,consulta externa,nuevas en menores de 5 anos,2007-01-01,136,86,136,86,222
SANTIAGO DE MACHACA,consulta externa,nuevas en menores de 5 anos,2007-01-01,35,30,35,30,65
SANTIVAÑES,consulta externa,nuevas en menores de 5 anos,2007-01-01,97,93,97,93,190
SANTUARIO DE QUILLACAS,consulta externa,nuevas en menores de 5 anos,2007-01-01,44,47,44,47,91
SAPAHAQUI,consulta externa,nuevas en menores de 5 anos,2007-01-01,131,141,131,141,272
SENA,consulta externa,nuevas en menores de 5 anos,2007-01-01,201,179,201,179,380
SICA SICA (VILLA AROMA),consulta externa,nuevas en menores de 5 anos,2007-01-01,113,118,113,118,231
SICAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,44,42,44,42,86
SIPE SIPE,consulta externa,nuevas en menores de 5 anos,2007-01-01,234,199,234,199,433
SOPACHUY,consulta externa,nuevas en menores de 5 anos,2007-01-01,248,255,248,255,503
SORACACHI,consulta externa,nuevas en menores de 5 anos,2007-01-01,89,108,89,108,197
SORATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,180,199,180,199,379
SUCRE,consulta externa,nuevas en menores de 5 anos,2007-01-01,5075,4240,5075,4240,9315
TACACHI,consulta externa,nuevas en menores de 5 anos,2007-01-01,15,5,15,5,20
TACACOMA,consulta externa,nuevas en menores de 5 anos,2007-01-01,87,89,87,89,176
TACOBAMBA,consulta externa,nuevas en menores de 5 anos,2007-01-01,77,55,77,55,132
TACOPAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,154,135,154,135,289
TAHUA,consulta externa,nuevas en menores de 5 anos,2007-01-01,19,18,19,18,37
TAPACARI,consulta externa,nuevas en menores de 5 anos,2007-01-01,480,403,480,403,883
TARABUCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,834,797,834,797,1631
TARACO,consulta externa,nuevas en menores de 5 anos,2007-01-01,26,36,26,36,62
TARATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,123,141,123,141,264
TARIJA,consulta externa,nuevas en menores de 5 anos,2007-01-01,3611,3370,3611,3370,6981
TARVITA,consulta externa,nuevas en menores de 5 anos,2007-01-01,587,660,587,660,1247
TEOPONTE,consulta externa,nuevas en menores de 5 anos,2007-01-01,196,202,196,202,398
TIAWANACU,consulta externa,nuevas en menores de 5 anos,2007-01-01,77,67,77,67,144
TINGUIPAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,281,256,281,256,537
TIPUANI,consulta externa,nuevas en menores de 5 anos,2007-01-01,141,136,141,136,277
TIQUIPAYA,consulta externa,nuevas en menores de 5 anos,2007-01-01,563,526,563,526,1089
TIRAQUE (CBBA),consulta externa,nuevas en menores de 5 anos,2007-01-01,856,732,856,732,1588
TITO YUPANQUI (PARQUIPUJIO),consulta externa,nuevas en menores de 5 anos,2007-01-01,22,32,22,32,54
TOCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,57,57,57,57,114
TODOS SANTOS,consulta externa,nuevas en menores de 5 anos,2007-01-01,5,4,5,4,9
TOLATA,consulta externa,nuevas en menores de 5 anos,2007-01-01,57,55,57,55,112
TOLEDO,consulta externa,nuevas en menores de 5 anos,2007-01-01,70,73,70,73,143
TOMAVE,consulta externa,nuevas en menores de 5 anos,2007-01-01,191,167,191,167,358
TOMINA,consulta externa,nuevas en menores de 5 anos,2007-01-01,270,223,270,223,493
TORO TORO,consulta externa,nuevas en menores de 5 anos,2007-01-01,141,132,141,132,273
TOTORA(CBBA),consulta externa,nuevas en menores de 5 anos,2007-01-01,107,103,107,103,210
TOTORA(ORR),consulta externa,nuevas en menores de 5 anos,2007-01-01,79,80,79,80,159
TRIGAL,consulta externa,nuevas en menores de 5 anos,2007-01-01,31,25,31,25,56
TRINIDAD,consulta externa,nuevas en menores de 5 anos,2007-01-01,2080,1950,2080,1950,4030
TUPIZA,consulta externa,nuevas en menores de 5 anos,2007-01-01,909,927,909,927,1836
TURCO,consulta externa,nuevas en menores de 5 anos,2007-01-01,71,68,71,68,139
UMALA,consulta externa,nuevas en menores de 5 anos,2007-01-01,26,37,26,37,63
