municipality,group,variable,month,Ingresos espontáneos,TOTAL
LA PAZ,internaciones,ingresos espontaneos,2006-01-01,5765,5765
LAGUNILLAS,internaciones,ingresos espontaneos,2006-01-01,14,14
LAJA,internaciones,ingresos espontaneos,2006-01-01,4,4
LAS CARRERAS,internaciones,ingresos espontaneos,2006-01-01,6,6
LICOMA PAMPA,internaciones,ingresos espontaneos,2006-01-01,3,3
LLALLAGUA,internaciones,ingresos espontaneos,2006-01-01,176,176
LLICA,internaciones,ingresos espontaneos,2006-01-01,3,3
LURIBAY,internaciones,ingresos espontaneos,2006-01-01,3,3
MACHACAMARCA,internaciones,ingresos espontaneos,2006-01-01,1,1
MACHARETI,internaciones,ingresos espontaneos,2006-01-01,11,11
MAGDALENA,internaciones,ingresos espontaneos,2006-01-01,93,93
MAIRANA,internaciones,ingresos espontaneos,2006-01-01,57,57
MAPIRI,internaciones,ingresos espontaneos,2006-01-01,15,15
MECAPACA,internaciones,ingresos espontaneos,2006-01-01,8,8
MINEROS,internaciones,ingresos espontaneos,2006-01-01,17,17
MIZQUE,internaciones,ingresos espontaneos,2006-01-01,48,48
MOCOMOCO,internaciones,ingresos espontaneos,2006-01-01,3,3
MOJOCOYA,internaciones,ingresos espontaneos,2006-01-01,8,8
MONTEAGUDO,internaciones,ingresos espontaneos,2006-01-01,182,182
MONTERO,internaciones,ingresos espontaneos,2006-01-01,570,570
MORO MORO,internaciones,ingresos espontaneos,2006-01-01,1,1
MOROCHATA,internaciones,ingresos espontaneos,2006-01-01,7,7
OKINAWA,internaciones,ingresos espontaneos,2006-01-01,17,17
OMEREQUE,internaciones,ingresos espontaneos,2006-01-01,6,6
ORURO,internaciones,ingresos espontaneos,2006-01-01,1759,1759
PADILLA,internaciones,ingresos espontaneos,2006-01-01,47,47
PAILON,internaciones,ingresos espontaneos,2006-01-01,37,37
PALCA,internaciones,ingresos espontaneos,2006-01-01,8,8
PALOS BLANCOS,internaciones,ingresos espontaneos,2006-01-01,24,24
PAMPA AULLAGAS,internaciones,ingresos espontaneos,2006-01-01,1,1
PAMPA GRANDE,internaciones,ingresos espontaneos,2006-01-01,16,16
PAPEL PAMPA,internaciones,ingresos espontaneos,2006-01-01,2,2
PASORAPA,internaciones,ingresos espontaneos,2006-01-01,2,2
PATACAMAYA,internaciones,ingresos espontaneos,2006-01-01,42,42
PAZÑA,internaciones,ingresos espontaneos,2006-01-01,2,2
POCOATA,internaciones,ingresos espontaneos,2006-01-01,6,6
POCONA,internaciones,ingresos espontaneos,2006-01-01,13,13
POJO (CBBA),internaciones,ingresos espontaneos,2006-01-01,8,8
POOPO,internaciones,ingresos espontaneos,2006-01-01,8,8
PORCO,internaciones,ingresos espontaneos,2006-01-01,5,5
POROMA,internaciones,ingresos espontaneos,2006-01-01,6,6
PORONGO,internaciones,ingresos espontaneos,2006-01-01,11,11
PORTACHUELO,internaciones,ingresos espontaneos,2006-01-01,154,154
PORVENIR,internaciones,ingresos espontaneos,2006-01-01,7,7
POSTRER VALLE,internaciones,ingresos espontaneos,2006-01-01,2,2
POTOSI,internaciones,ingresos espontaneos,2006-01-01,1729,1729
PRESTO,internaciones,ingresos espontaneos,2006-01-01,7,7
PUCARANI,internaciones,ingresos espontaneos,2006-01-01,9,9
PUERTO ACOSTA,internaciones,ingresos espontaneos,2006-01-01,52,52
PUERTO CARABUCO,internaciones,ingresos espontaneos,2006-01-01,6,6
PUERTO GONZALO MORENO,internaciones,ingresos espontaneos,2006-01-01,6,6
PUERTO QUIJARRO,internaciones,ingresos espontaneos,2006-01-01,103,103
PUERTO RICO,internaciones,ingresos espontaneos,2006-01-01,43,43
PUERTO SUAREZ,internaciones,ingresos espontaneos,2006-01-01,78,78
PUERTO VILLARROEL,internaciones,ingresos espontaneos,2006-01-01,182,182
PUNA,internaciones,ingresos espontaneos,2006-01-01,26,26
PUNATA,internaciones,ingresos espontaneos,2006-01-01,179,179
QUIABAYA,internaciones,ingresos espontaneos,2006-01-01,1,1
QUILLACOLLO,internaciones,ingresos espontaneos,2006-01-01,331,331
QUIME,internaciones,ingresos espontaneos,2006-01-01,16,16
QUIRUSILLAS,internaciones,ingresos espontaneos,2006-01-01,3,3
RAVELO,internaciones,ingresos espontaneos,2006-01-01,2,2
REYES,internaciones,ingresos espontaneos,2006-01-01,57,57
RIBERALTA,internaciones,ingresos espontaneos,2006-01-01,519,519
ROBORE,internaciones,ingresos espontaneos,2006-01-01,105,105
RURRENABAQUE,internaciones,ingresos espontaneos,2006-01-01,94,94
SACABA,internaciones,ingresos espontaneos,2006-01-01,410,410
SACABAMBA,internaciones,ingresos espontaneos,2006-01-01,13,13
SACACA,internaciones,ingresos espontaneos,2006-01-01,21,21
SAIPINA,internaciones,ingresos espontaneos,2006-01-01,10,10
SAMAIPATA,internaciones,ingresos espontaneos,2006-01-01,28,28
SAN ANDRES,internaciones,ingresos espontaneos,2006-01-01,9,9
SAN ANTONIO DE LOMERIO,internaciones,ingresos espontaneos,2006-01-01,17,17
SAN BENITO,internaciones,ingresos espontaneos,2006-01-01,11,11
SAN BORJA,internaciones,ingresos espontaneos,2006-01-01,146,146
SAN BUENA VENTURA,internaciones,ingresos espontaneos,2006-01-01,19,19
SAN CARLOS,internaciones,ingresos espontaneos,2006-01-01,141,141
SAN IGNACIO,internaciones,ingresos espontaneos,2006-01-01,53,53
SAN IGNACIO DE VELASCO,internaciones,ingresos espontaneos,2006-01-01,479,479
SAN JAVIER(STC),internaciones,ingresos espontaneos,2006-01-01,68,68
SAN JOAQUIN,internaciones,ingresos espontaneos,2006-01-01,52,52
SAN JOSE DE CHIQUITOS,internaciones,ingresos espontaneos,2006-01-01,86,86
SAN JUAN DE YAPACANI,internaciones,ingresos espontaneos,2006-01-01,97,97
SAN JULIAN,internaciones,ingresos espontaneos,2006-01-01,220,220
SAN LORENZO(TJA),internaciones,ingresos espontaneos,2006-01-01,12,12
SAN LUCAS,internaciones,ingresos espontaneos,2006-01-01,46,46
SAN MATIAS,internaciones,ingresos espontaneos,2006-01-01,42,42
SAN MIGUEL DE VELASCO,internaciones,ingresos espontaneos,2006-01-01,94,94
SAN PEDRO,internaciones,ingresos espontaneos,2006-01-01,25,25
SAN PEDRO DE BUENA VISTA,internaciones,ingresos espontaneos,2006-01-01,5,5
SAN PEDRO DE CURAHUARA,internaciones,ingresos espontaneos,2006-01-01,1,1
SAN PEDRO DE TIQUINA,internaciones,ingresos espontaneos,2006-01-01,2,2
SAN RAFAEL,internaciones,ingresos espontaneos,2006-01-01,17,17
SAN RAMON,internaciones,ingresos espontaneos,2006-01-01,12,12
SAN RAMON,internaciones,ingresos espontaneos,2006-01-01,34,34
SANTA ANA,internaciones,ingresos espontaneos,2006-01-01,93,93
SANTA CRUZ DE LA SIERRA,internaciones,ingresos espontaneos,2006-01-01,8415,8415
SANTA ROSA,internaciones,ingresos espontaneos,2006-01-01,50,50
SANTA ROSA DEL SARA,internaciones,ingresos espontaneos,2006-01-01,33,33
SANTIAGO DE MACHACA,internaciones,ingresos espontaneos,2006-01-01,1,1
SANTIVAÑES,internaciones,ingresos espontaneos,2006-01-01,13,13
SENA,internaciones,ingresos espontaneos,2006-01-01,18,18
SICA SICA (VILLA AROMA),internaciones,ingresos espontaneos,2006-01-01,6,6
SIPE SIPE,internaciones,ingresos espontaneos,2006-01-01,36,36
SOPACHUY,internaciones,ingresos espontaneos,2006-01-01,34,34
SORACACHI,internaciones,ingresos espontaneos,2006-01-01,1,1
SORATA,internaciones,ingresos espontaneos,2006-01-01,30,30
SUCRE,internaciones,ingresos espontaneos,2006-01-01,2669,2669
TACACOMA,internaciones,ingresos espontaneos,2006-01-01,3,3
TACOPAYA,internaciones,ingresos espontaneos,2006-01-01,4,4
TAPACARI,internaciones,ingresos espontaneos,2006-01-01,13,13
TARABUCO,internaciones,ingresos espontaneos,2006-01-01,52,52
TARACO,internaciones,ingresos espontaneos,2006-01-01,1,1
TARATA,internaciones,ingresos espontaneos,2006-01-01,8,8
TARIJA,internaciones,ingresos espontaneos,2006-01-01,1639,1639
TARVITA,internaciones,ingresos espontaneos,2006-01-01,22,22
TEOPONTE,internaciones,ingresos espontaneos,2006-01-01,4,4
TIAWANACU,internaciones,ingresos espontaneos,2006-01-01,12,12
TIPUANI,internaciones,ingresos espontaneos,2006-01-01,32,32
TIQUIPAYA,internaciones,ingresos espontaneos,2006-01-01,75,75
TIRAQUE (CBBA),internaciones,ingresos espontaneos,2006-01-01,138,138
TOCO,internaciones,ingresos espontaneos,2006-01-01,5,5
TOLATA,internaciones,ingresos espontaneos,2006-01-01,4,4
TOLEDO,internaciones,ingresos espontaneos,2006-01-01,6,6
TOMAVE,internaciones,ingresos espontaneos,2006-01-01,7,7
TOMINA,internaciones,ingresos espontaneos,2006-01-01,17,17
TORO TORO,internaciones,ingresos espontaneos,2006-01-01,4,4
TOTORA(CBBA),internaciones,ingresos espontaneos,2006-01-01,16,16
TOTORA(ORR),internaciones,ingresos espontaneos,2006-01-01,2,2
TRIGAL,internaciones,ingresos espontaneos,2006-01-01,3,3
TRINIDAD,internaciones,ingresos espontaneos,2006-01-01,1231,1231
TUPIZA,internaciones,ingresos espontaneos,2006-01-01,199,199
TURCO,internaciones,ingresos espontaneos,2006-01-01,4,4
UNCIA,internaciones,ingresos espontaneos,2006-01-01,170,170
URIONDO (A. CONCEPCION),internaciones,ingresos espontaneos,2006-01-01,5,5
URUBICHA,internaciones,ingresos espontaneos,2006-01-01,8,8
UYUNI,internaciones,ingresos espontaneos,2006-01-01,140,140
VACAS,internaciones,ingresos espontaneos,2006-01-01,10,10
VALLEGRANDE,internaciones,ingresos espontaneos,2006-01-01,133,133
VIACHA,internaciones,ingresos espontaneos,2006-01-01,24,24
VILLA MONTES,internaciones,ingresos espontaneos,2006-01-01,157,157
VILLA RIVERO,internaciones,ingresos espontaneos,2006-01-01,10,10
VILLA SERRANO,internaciones,ingresos espontaneos,2006-01-01,13,13
VILLA TUNARI,internaciones,ingresos espontaneos,2006-01-01,216,216
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos espontaneos,2006-01-01,35,35
VILLAZON,internaciones,ingresos espontaneos,2006-01-01,192,192
VINTO,internaciones,ingresos espontaneos,2006-01-01,73,73
VITICHI,internaciones,ingresos espontaneos,2006-01-01,5,5
WARNES,internaciones,ingresos espontaneos,2006-01-01,122,122
YACUIBA,internaciones,ingresos espontaneos,2006-01-01,752,752
YAMPARAEZ,internaciones,ingresos espontaneos,2006-01-01,25,25
YANACACHI,internaciones,ingresos espontaneos,2006-01-01,1,1
YAPACANI,internaciones,ingresos espontaneos,2006-01-01,198,198
YOTALA,internaciones,ingresos espontaneos,2006-01-01,29,29
ZUDAÑEZ,internaciones,ingresos espontaneos,2006-01-01,21,21
ACHACACHI,internaciones,ingresos espontaneos,2006-02-01,50,50
ACHOCALLA,internaciones,ingresos espontaneos,2006-02-01,8,8
AIQUILE,internaciones,ingresos espontaneos,2006-02-01,109,109
ALALAY,internaciones,ingresos espontaneos,2006-02-01,3,3
ALCALA,internaciones,ingresos espontaneos,2006-02-01,3,3
ANCORAIMES,internaciones,ingresos espontaneos,2006-02-01,5,5
ANTEQUERA,internaciones,ingresos espontaneos,2006-02-01,1,1
ANZALDO,internaciones,ingresos espontaneos,2006-02-01,3,3
APOLO,internaciones,ingresos espontaneos,2006-02-01,24,24
ARAMPAMPA,internaciones,ingresos espontaneos,2006-02-01,2,2
ARANI,internaciones,ingresos espontaneos,2006-02-01,15,15
ARBIETO,internaciones,ingresos espontaneos,2006-02-01,2,2
ARQUE,internaciones,ingresos espontaneos,2006-02-01,6,6
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2006-02-01,139,139
ATOCHA,internaciones,ingresos espontaneos,2006-02-01,87,87
AYATA,internaciones,ingresos espontaneos,2006-02-01,4,4
AYO AYO,internaciones,ingresos espontaneos,2006-02-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2006-02-01,50,50
AZURDUY,internaciones,ingresos espontaneos,2006-02-01,16,16
BATALLAS,internaciones,ingresos espontaneos,2006-02-01,13,13
BAURES,internaciones,ingresos espontaneos,2006-02-01,7,7
BERMEJO,internaciones,ingresos espontaneos,2006-02-01,117,117
BETANZOS,internaciones,ingresos espontaneos,2006-02-01,29,29
BOLIVAR,internaciones,ingresos espontaneos,2006-02-01,6,6
BOYUIBE,internaciones,ingresos espontaneos,2006-02-01,28,28
BUENA VISTA,internaciones,ingresos espontaneos,2006-02-01,24,24
CABEZAS,internaciones,ingresos espontaneos,2006-02-01,39,39
CAIROMA,internaciones,ingresos espontaneos,2006-02-01,9,9
CAJUATA,internaciones,ingresos espontaneos,2006-02-01,6,6
CALACOTO,internaciones,ingresos espontaneos,2006-02-01,1,1
CALAMARCA,internaciones,ingresos espontaneos,2006-02-01,6,6
CAMARGO,internaciones,ingresos espontaneos,2006-02-01,297,297
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2006-02-01,9,9
CAMIRI,internaciones,ingresos espontaneos,2006-02-01,395,395
CAPINOTA,internaciones,ingresos espontaneos,2006-02-01,57,57
CAQUIAVIRI,internaciones,ingresos espontaneos,2006-02-01,2,2
CARACOLLO,internaciones,ingresos espontaneos,2006-02-01,25,25
CARANAVI,internaciones,ingresos espontaneos,2006-02-01,139,139
CARIPUYO,internaciones,ingresos espontaneos,2006-02-01,1,1
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2006-02-01,15,15
CHACARILLA,internaciones,ingresos espontaneos,2006-02-01,1,1
CHALLAPATA,internaciones,ingresos espontaneos,2006-02-01,50,50
CHAQUI,internaciones,ingresos espontaneos,2006-02-01,1,1
CHARAGUA,internaciones,ingresos espontaneos,2006-02-01,80,80
CHARAÑA,internaciones,ingresos espontaneos,2006-02-01,1,1
CHIMORE,internaciones,ingresos espontaneos,2006-02-01,18,18
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2006-02-01,77,77
CHUMA,internaciones,ingresos espontaneos,2006-02-01,5,5
CLIZA,internaciones,ingresos espontaneos,2006-02-01,21,21
COBIJA,internaciones,ingresos espontaneos,2006-02-01,262,262
COCHABAMBA,internaciones,ingresos espontaneos,2006-02-01,5252,5252
COLCAPIRHUA,internaciones,ingresos espontaneos,2006-02-01,105,105
COLLANA,internaciones,ingresos espontaneos,2006-02-01,1,1
COLOMI,internaciones,ingresos espontaneos,2006-02-01,45,45
COLPA BELGICA,internaciones,ingresos espontaneos,2006-02-01,20,20
COLQUECHACA,internaciones,ingresos espontaneos,2006-02-01,1,1
COLQUIRI,internaciones,ingresos espontaneos,2006-02-01,20,20
COMARAPA,internaciones,ingresos espontaneos,2006-02-01,102,102
CONCEPCION,internaciones,ingresos espontaneos,2006-02-01,61,61
COPACABANA,internaciones,ingresos espontaneos,2006-02-01,21,21
CORIPATA,internaciones,ingresos espontaneos,2006-02-01,23,23
CORO CORO,internaciones,ingresos espontaneos,2006-02-01,6,6
COROICO,internaciones,ingresos espontaneos,2006-02-01,66,66
COTAGAITA,internaciones,ingresos espontaneos,2006-02-01,44,44
COTOCA,internaciones,ingresos espontaneos,2006-02-01,75,75
CUATRO CAÑADAS,internaciones,ingresos espontaneos,2006-02-01,65,65
CUEVO,internaciones,ingresos espontaneos,2006-02-01,6,6
CULPINA,internaciones,ingresos espontaneos,2006-02-01,30,30
CURAHUARA DE CARANGAS,internaciones,ingresos espontaneos,2006-02-01,1,1
DESAGUADERO,internaciones,ingresos espontaneos,2006-02-01,3,3
EL ALTO,internaciones,ingresos espontaneos,2006-02-01,2105,2105
EL PUENTE(STC),internaciones,ingresos espontaneos,2006-02-01,18,18
EL PUENTE(TJA),internaciones,ingresos espontaneos,2006-02-01,2,2
EL TORNO,internaciones,ingresos espontaneos,2006-02-01,127,127
EL VILLAR,internaciones,ingresos espontaneos,2006-02-01,21,21
ENTRE RIOS,internaciones,ingresos espontaneos,2006-02-01,30,30
ENTRE RIOS,internaciones,ingresos espontaneos,2006-02-01,25,25
EUCALIPTUS,internaciones,ingresos espontaneos,2006-02-01,7,7
EXALTACION,internaciones,ingresos espontaneos,2006-02-01,8,8
FERNANDEZ ALONSO,internaciones,ingresos espontaneos,2006-02-01,33,33
FILADELFIA,internaciones,ingresos espontaneos,2006-02-01,1,1
GENERAL SAAVEDRA,internaciones,ingresos espontaneos,2006-02-01,18,18
GUANAY,internaciones,ingresos espontaneos,2006-02-01,12,12
GUAYARAMERIN,internaciones,ingresos espontaneos,2006-02-01,563,563
GUTIERREZ,internaciones,ingresos espontaneos,2006-02-01,14,14
HUACARETA,internaciones,ingresos espontaneos,2006-02-01,17,17
HUANUNI,internaciones,ingresos espontaneos,2006-02-01,51,51
HUARACAJE,internaciones,ingresos espontaneos,2006-02-01,10,10
HUAYLLAMARCA,internaciones,ingresos espontaneos,2006-02-01,3,3
ICLA,internaciones,ingresos espontaneos,2006-02-01,1,1
INCAHUASI,internaciones,ingresos espontaneos,2006-02-01,21,21
INQUISIVI,internaciones,ingresos espontaneos,2006-02-01,21,21
IRUPANA (VILLA DE LANZA),internaciones,ingresos espontaneos,2006-02-01,29,29
IXIAMAS,internaciones,ingresos espontaneos,2006-02-01,5,5
JESUS DE MACHACA,internaciones,ingresos espontaneos,2006-02-01,2,2
LA ASUNTA,internaciones,ingresos espontaneos,2006-02-01,39,39
LA GUARDIA,internaciones,ingresos espontaneos,2006-02-01,123,123
LA PAZ,internaciones,ingresos espontaneos,2006-02-01,4936,4936
LAGUNILLAS,internaciones,ingresos espontaneos,2006-02-01,11,11
LAJA,internaciones,ingresos espontaneos,2006-02-01,2,2
LAS CARRERAS,internaciones,ingresos espontaneos,2006-02-01,2,2
LICOMA PAMPA,internaciones,ingresos espontaneos,2006-02-01,2,2
LLALLAGUA,internaciones,ingresos espontaneos,2006-02-01,136,136
LLICA,internaciones,ingresos espontaneos,2006-02-01,2,2
LURIBAY,internaciones,ingresos espontaneos,2006-02-01,2,2
MACHACAMARCA,internaciones,ingresos espontaneos,2006-02-01,2,2
MACHARETI,internaciones,ingresos espontaneos,2006-02-01,13,13
MAGDALENA,internaciones,ingresos espontaneos,2006-02-01,58,58
MAIRANA,internaciones,ingresos espontaneos,2006-02-01,46,46
MAPIRI,internaciones,ingresos espontaneos,2006-02-01,23,23
MECAPACA,internaciones,ingresos espontaneos,2006-02-01,7,7
MIZQUE,internaciones,ingresos espontaneos,2006-02-01,28,28
MOCOMOCO,internaciones,ingresos espontaneos,2006-02-01,6,6
MOJOCOYA,internaciones,ingresos espontaneos,2006-02-01,9,9
MONTEAGUDO,internaciones,ingresos espontaneos,2006-02-01,145,145
MONTERO,internaciones,ingresos espontaneos,2006-02-01,1237,1237
MORO MORO,internaciones,ingresos espontaneos,2006-02-01,5,5
MOROCHATA,internaciones,ingresos espontaneos,2006-02-01,6,6
NACEBE (SANTA ROSA DEL ABUNA),internaciones,ingresos espontaneos,2006-02-01,5,5
OCURI,internaciones,ingresos espontaneos,2006-02-01,6,6
OKINAWA,internaciones,ingresos espontaneos,2006-02-01,26,26
OMEREQUE,internaciones,ingresos espontaneos,2006-02-01,4,4
ORURO,internaciones,ingresos espontaneos,2006-02-01,1659,1659
PADILLA,internaciones,ingresos espontaneos,2006-02-01,69,69
PAILON,internaciones,ingresos espontaneos,2006-02-01,46,46
PALCA,internaciones,ingresos espontaneos,2006-02-01,6,6
PALOS BLANCOS,internaciones,ingresos espontaneos,2006-02-01,58,58
PAMPA GRANDE,internaciones,ingresos espontaneos,2006-02-01,25,25
PAPEL PAMPA,internaciones,ingresos espontaneos,2006-02-01,1,1
PASORAPA,internaciones,ingresos espontaneos,2006-02-01,1,1
PATACAMAYA,internaciones,ingresos espontaneos,2006-02-01,30,30
POCOATA,internaciones,ingresos espontaneos,2006-02-01,1,1
POCONA,internaciones,ingresos espontaneos,2006-02-01,24,24
POJO (CBBA),internaciones,ingresos espontaneos,2006-02-01,17,17
POOPO,internaciones,ingresos espontaneos,2006-02-01,5,5
PORCO,internaciones,ingresos espontaneos,2006-02-01,4,4
POROMA,internaciones,ingresos espontaneos,2006-02-01,10,10
PORONGO,internaciones,ingresos espontaneos,2006-02-01,15,15
PORTACHUELO,internaciones,ingresos espontaneos,2006-02-01,120,120
PORVENIR,internaciones,ingresos espontaneos,2006-02-01,5,5
POSTRER VALLE,internaciones,ingresos espontaneos,2006-02-01,1,1
POTOSI,internaciones,ingresos espontaneos,2006-02-01,1458,1458
PRESTO,internaciones,ingresos espontaneos,2006-02-01,8,8
PUERTO ACOSTA,internaciones,ingresos espontaneos,2006-02-01,53,53
