municipality,group,variable,month,Ingresos referidos de otros establecimientos,TOTAL
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2006-01-01,20,20
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2006-01-01,11,11
HUACARETA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
ICLA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,4,4
INQUISIVI,internaciones,ingresos referidos de otros establecimientos,2006-01-01,3,3
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,3,3
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1226,1226
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,11,11
LURIBAY,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,18,18
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,7,7
MIZQUE,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,6,6
MONTERO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,62,62
MOROCHATA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
ORURO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,195,195
PADILLA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,25,25
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
PATACAMAYA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,4,4
PAZÑA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
POCONA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
POROMA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,6,6
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,8,8
PUERTO GONZALO MORENO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
PUERTO SILES,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2006-01-01,6,6
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2006-01-01,20,20
PUNA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
PUNATA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,26,26
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,47,47
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,219,219
ROBORE,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
SACABA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,18,18
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2006-01-01,10,10
SAN IGNACIO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,9,9
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecimientos,2006-01-01,5,5
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2006-01-01,18,18
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
SAN PEDRO DE BUENA VISTA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
SAN RAMON,internaciones,ingresos referidos de otros establecimientos,2006-01-01,4,4
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,237,237
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,6,6
SANTIAGO DE HUARI,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
SANTIVAÑES,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
SORATA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,4,4
SUCRE,internaciones,ingresos referidos de otros establecimientos,2006-01-01,37,37
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,11,11
TARATA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,10,10
TARIJA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,215,215
TARVITA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
TIPUANI,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
TIRAQUE (CBBA),internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
TOMINA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,2,2
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos,2006-01-01,3,3
TRINIDAD,internaciones,ingresos referidos de otros establecimientos,2006-01-01,9,9
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,29,29
UNCIA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,30,30
VACAS,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2006-01-01,4,4
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2006-01-01,16,16
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2006-01-01,36,36
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2006-01-01,28,28
VINTO,internaciones,ingresos referidos de otros establecimientos,2006-01-01,7,7
WARNES,internaciones,ingresos referidos de otros establecimientos,2006-01-01,5,5
YACUIBA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,36,36
YOTALA,internaciones,ingresos referidos de otros establecimientos,2006-01-01,1,1
ACACIO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2006-02-01,4,4
APOLO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2006-02-01,15,15
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,33,33
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2006-02-01,6,6
AZURDUY,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
BERMEJO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,4,4
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2006-02-01,11,11
BUENA VISTA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,6,6
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,3,3
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,21,21
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,16,16
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,3,3
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,15,15
COBIJA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,36,36
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,38,38
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,10,10
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2006-02-01,3,3
COROICO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,9,9
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,5,5
COTOCA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,8,8
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,148,148
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,5,5
EL VILLAR,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2006-02-01,78,78
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos,2006-02-01,2,2
HUACARETA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
HUANUNI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
ICLA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,3,3
INQUISIVI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,2,2
IXIAMAS,internaciones,ingresos referidos de otros establecimientos,2006-02-01,3,3
LA ASUNTA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1266,1266
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,12,12
MACHARETI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,2,2
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,5,5
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,4,4
MAPIRI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
MINEROS,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecimientos,2006-02-01,3,3
MOJOCOYA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,3,3
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,16,16
MONTERO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,73,73
NACEBE (SANTA ROSA DEL ABUNA),internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
OCURI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,2,2
ORURO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,147,147
PADILLA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,27,27
PAILON,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,7,7
PRESTO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,5,5
PUERTO CARABUCO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
PUERTO RICO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2006-02-01,6,6
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2006-02-01,16,16
PUNATA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,32,32
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,25,25
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,124,124
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2006-02-01,7,7
SACABA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,12,12
SACACA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
SAIPINA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,3,3
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2006-02-01,14,14
SAN IGNACIO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,2,2
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,14,14
SAN JOAQUIN,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,6,6
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2006-02-01,6,6
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2006-02-01,5,5
SAN PEDRO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
SAN RAMON,internaciones,ingresos referidos de otros establecimientos,2006-02-01,5,5
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,173,173
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,2,2
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
SICA SICA (VILLA AROMA),internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2006-02-01,4,4
SORATA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,4,4
SUCRE,internaciones,ingresos referidos de otros establecimientos,2006-02-01,49,49
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,11,11
TARIJA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,87,87
TARVITA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
TIPUANI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,2,2
TIRAQUE (CBBA),internaciones,ingresos referidos de otros establecimientos,2006-02-01,2,2
TOMINA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecimientos,2006-02-01,5,5
TRIGAL,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,31,31
UNCIA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,22,22
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2006-02-01,8,8
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2006-02-01,12,12
VILLA SERRANO,internaciones,ingresos referidos de otros establecimientos,2006-02-01,3,3
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,25,25
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2006-02-01,6,6
WARNES,internaciones,ingresos referidos de otros establecimientos,2006-02-01,6,6
YACUIBA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,102,102
YAPACANI,internaciones,ingresos referidos de otros establecimientos,2006-02-01,6,6
YOTALA,internaciones,ingresos referidos de otros establecimientos,2006-02-01,2,2
ZUDAÑEZ,internaciones,ingresos referidos de otros establecimientos,2006-02-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2006-03-01,6,6
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,11,11
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,24,24
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2006-03-01,3,3
AZURDUY,internaciones,ingresos referidos de otros establecimientos,2006-03-01,5,5
BERMEJO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,10,10
CABEZAS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,8,8
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,22,22
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
CAMIRI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,25,25
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,4,4
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,14,14
CHAYANTA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,6,6
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2006-03-01,6,6
COBIJA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,30,30
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,47,47
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,21,21
CONCEPCION,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
CORO CORO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
COROICO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,13,13
CORQUE,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,3,3
COTOCA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,15,15
CUATRO CAÑADAS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
CURAHUARA DE CARANGAS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,198,198
EL PUENTE(TJA),internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,6,6
EL VILLAR,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
ENTRE RIOS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
EUCALIPTUS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,4,4
GUANAY,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2006-03-01,22,22
HUACARETA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
HUANUNI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,3,3
INCAHUASI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
IXIAMAS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,4,4
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1412,1412
LLALLAGUA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,24,24
MAGDALENA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,11,11
MAIRANA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,4,4
MINEROS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
MOJOCOYA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
MONTEAGUDO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,20,20
MONTERO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,122,122
OCURI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
ORURO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,195,195
PADILLA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,27,27
PAILON,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
PALOS BLANCOS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,3,3
POCOATA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
POROMA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
PRESTO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
PUCARANI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,9,9
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecimientos,2006-03-01,6,6
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecimientos,2006-03-01,24,24
PUNA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
PUNATA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,23,23
QUILLACOLLO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,10,10
RIBERALTA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,172,172
ROBORE,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
RURRENABAQUE,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
SACABA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,21,21
SAN BENITO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
SAN CARLOS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,24,24
SAN IGNACIO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,22,22
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,3,3
SAN JULIAN,internaciones,ingresos referidos de otros establecimientos,2006-03-01,14,14
SAN LUCAS,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
SAN RAMON,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,258,258
SANTA ROSA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,6,6
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
SICA SICA (VILLA AROMA),internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecimientos,2006-03-01,12,12
SUCRE,internaciones,ingresos referidos de otros establecimientos,2006-03-01,56,56
TACACOMA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
TARABUCO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,14,14
TARIJA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,145,145
TIPUANI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
TUPIZA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,27,27
TURCO,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
UNCIA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,31,31
UYUNI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
VALLEGRANDE,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
VILLA MONTES,internaciones,ingresos referidos de otros establecimientos,2006-03-01,15,15
VILLA TUNARI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,28,28
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
VILLAZON,internaciones,ingresos referidos de otros establecimientos,2006-03-01,29,29
WARNES,internaciones,ingresos referidos de otros establecimientos,2006-03-01,11,11
YACUIBA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,124,124
YAPACANI,internaciones,ingresos referidos de otros establecimientos,2006-03-01,1,1
YOTALA,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
ZUDAÑEZ,internaciones,ingresos referidos de otros establecimientos,2006-03-01,2,2
AIQUILE,internaciones,ingresos referidos de otros establecimientos,2006-04-01,9,9
APOLO,internaciones,ingresos referidos de otros establecimientos,2006-04-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos,2006-04-01,15,15
ATOCHA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,41,41
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos,2006-04-01,3,3
BETANZOS,internaciones,ingresos referidos de otros establecimientos,2006-04-01,4,4
CAMARGO,internaciones,ingresos referidos de otros establecimientos,2006-04-01,6,6
CARANAVI,internaciones,ingresos referidos de otros establecimientos,2006-04-01,23,23
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,4,4
CHARAGUA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,3,3
CHAYANTA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos,2006-04-01,6,6
COBIJA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,34,34
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,25,25
"COLCHA ""K""",internaciones,ingresos referidos de otros establecimientos,2006-04-01,1,1
COLQUECHACA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,2,2
COMARAPA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,7,7
COROICO,internaciones,ingresos referidos de otros establecimientos,2006-04-01,8,8
COTAGAITA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,8,8
EL ALTO,internaciones,ingresos referidos de otros establecimientos,2006-04-01,207,207
EL PUENTE(TJA),internaciones,ingresos referidos de otros establecimientos,2006-04-01,1,1
EL TORNO,internaciones,ingresos referidos de otros establecimientos,2006-04-01,5,5
ENTRE RIOS,internaciones,ingresos referidos de otros establecimientos,2006-04-01,1,1
EUCALIPTUS,internaciones,ingresos referidos de otros establecimientos,2006-04-01,1,1
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos,2006-04-01,4,4
GUANAY,internaciones,ingresos referidos de otros establecimientos,2006-04-01,6,6
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos,2006-04-01,20,20
HUACARETA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,1,1
HUANUNI,internaciones,ingresos referidos de otros establecimientos,2006-04-01,2,2
LA ASUNTA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos,2006-04-01,7,7
LA PAZ,internaciones,ingresos referidos de otros establecimientos,2006-04-01,1476,1476
