municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
EXALTACION,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
FERNANDEZ ALONSO,internaciones,dias camas ocupadas maternidad,2006-01-01,111,111
FILADELFIA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
GENERAL SAAVEDRA,internaciones,dias camas ocupadas maternidad,2006-01-01,15,15
GRAL. J.J. PEREZ (CHARAZANI),internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
GUANAY,internaciones,dias camas ocupadas maternidad,2006-01-01,19,19
GUAQUI,internaciones,dias camas ocupadas maternidad,2006-01-01,1,1
GUAYARAMERIN,internaciones,dias camas ocupadas maternidad,2006-01-01,284,284
GUTIERREZ,internaciones,dias camas ocupadas maternidad,2006-01-01,28,28
HUACARETA,internaciones,dias camas ocupadas maternidad,2006-01-01,27,27
HUACAYA (VILLA DE HUACAYA),internaciones,dias camas ocupadas maternidad,2006-01-01,9,9
HUANUNI,internaciones,dias camas ocupadas maternidad,2006-01-01,60,60
HUARACAJE,internaciones,dias camas ocupadas maternidad,2006-01-01,18,18
ICLA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
INCAHUASI,internaciones,dias camas ocupadas maternidad,2006-01-01,31,31
INQUISIVI,internaciones,dias camas ocupadas maternidad,2006-01-01,24,24
IRUPANA (VILLA DE LANZA),internaciones,dias camas ocupadas maternidad,2006-01-01,10,10
IXIAMAS,internaciones,dias camas ocupadas maternidad,2006-01-01,20,20
JESUS DE MACHACA,internaciones,dias camas ocupadas maternidad,2006-01-01,5,5
LA ASUNTA,internaciones,dias camas ocupadas maternidad,2006-01-01,46,46
LA GUARDIA,internaciones,dias camas ocupadas maternidad,2006-01-01,66,66
LA PAZ,internaciones,dias camas ocupadas maternidad,2006-01-01,5804,5804
LAGUNILLAS,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
LAJA,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
LAS CARRERAS,internaciones,dias camas ocupadas maternidad,2006-01-01,16,16
LICOMA PAMPA,internaciones,dias camas ocupadas maternidad,2006-01-01,3,3
LLALLAGUA,internaciones,dias camas ocupadas maternidad,2006-01-01,203,203
LLICA,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
LURIBAY,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
MACHACAMARCA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
MACHARETI,internaciones,dias camas ocupadas maternidad,2006-01-01,3,3
MAGDALENA,internaciones,dias camas ocupadas maternidad,2006-01-01,88,88
MAIRANA,internaciones,dias camas ocupadas maternidad,2006-01-01,40,40
MAPIRI,internaciones,dias camas ocupadas maternidad,2006-01-01,13,13
MECAPACA,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
MINEROS,internaciones,dias camas ocupadas maternidad,2006-01-01,48,48
MIZQUE,internaciones,dias camas ocupadas maternidad,2006-01-01,43,43
MOCOMOCO,internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
MOJOCOYA,internaciones,dias camas ocupadas maternidad,2006-01-01,25,25
MONTEAGUDO,internaciones,dias camas ocupadas maternidad,2006-01-01,155,155
MONTERO,internaciones,dias camas ocupadas maternidad,2006-01-01,480,480
MORO MORO,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
MOROCHATA,internaciones,dias camas ocupadas maternidad,2006-01-01,20,20
OKINAWA,internaciones,dias camas ocupadas maternidad,2006-01-01,26,26
OMEREQUE,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
ORURO,internaciones,dias camas ocupadas maternidad,2006-01-01,1225,1225
PADILLA,internaciones,dias camas ocupadas maternidad,2006-01-01,85,85
PAILON,internaciones,dias camas ocupadas maternidad,2006-01-01,26,26
PALCA,internaciones,dias camas ocupadas maternidad,2006-01-01,13,13
PALOS BLANCOS,internaciones,dias camas ocupadas maternidad,2006-01-01,21,21
PAMPA AULLAGAS,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
PAMPA GRANDE,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
PAPEL PAMPA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
PASORAPA,internaciones,dias camas ocupadas maternidad,2006-01-01,5,5
PATACAMAYA,internaciones,dias camas ocupadas maternidad,2006-01-01,67,67
PAZÑA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
POCOATA,internaciones,dias camas ocupadas maternidad,2006-01-01,10,10
POCONA,internaciones,dias camas ocupadas maternidad,2006-01-01,14,14
POJO (CBBA),internaciones,dias camas ocupadas maternidad,2006-01-01,14,14
POOPO,internaciones,dias camas ocupadas maternidad,2006-01-01,16,16
PORCO,internaciones,dias camas ocupadas maternidad,2006-01-01,10,10
POROMA,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
PORONGO,internaciones,dias camas ocupadas maternidad,2006-01-01,9,9
PORTACHUELO,internaciones,dias camas ocupadas maternidad,2006-01-01,95,95
PORVENIR,internaciones,dias camas ocupadas maternidad,2006-01-01,10,10
POSTRER VALLE,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
POTOSI,internaciones,dias camas ocupadas maternidad,2006-01-01,914,914
PRESTO,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
PUCARANI,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
PUERTO ACOSTA,internaciones,dias camas ocupadas maternidad,2006-01-01,64,64
PUERTO CARABUCO,internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
PUERTO QUIJARRO,internaciones,dias camas ocupadas maternidad,2006-01-01,42,42
PUERTO RICO,internaciones,dias camas ocupadas maternidad,2006-01-01,17,17
PUERTO SUAREZ,internaciones,dias camas ocupadas maternidad,2006-01-01,128,128
PUERTO VILLARROEL,internaciones,dias camas ocupadas maternidad,2006-01-01,233,233
PUNA,internaciones,dias camas ocupadas maternidad,2006-01-01,61,61
PUNATA,internaciones,dias camas ocupadas maternidad,2006-01-01,216,216
QUIABAYA,internaciones,dias camas ocupadas maternidad,2006-01-01,3,3
QUILLACOLLO,internaciones,dias camas ocupadas maternidad,2006-01-01,395,395
QUIME,internaciones,dias camas ocupadas maternidad,2006-01-01,23,23
QUIRUSILLAS,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
RAVELO,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
REYES,internaciones,dias camas ocupadas maternidad,2006-01-01,48,48
RIBERALTA,internaciones,dias camas ocupadas maternidad,2006-01-01,371,371
ROBORE,internaciones,dias camas ocupadas maternidad,2006-01-01,69,69
RURRENABAQUE,internaciones,dias camas ocupadas maternidad,2006-01-01,73,73
SACABA,internaciones,dias camas ocupadas maternidad,2006-01-01,289,289
SACABAMBA,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
SACACA,internaciones,dias camas ocupadas maternidad,2006-01-01,52,52
SAIPINA,internaciones,dias camas ocupadas maternidad,2006-01-01,12,12
SALINAS DE GARCI MENDOZA,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
SAMAIPATA,internaciones,dias camas ocupadas maternidad,2006-01-01,12,12
SAN ANDRES,internaciones,dias camas ocupadas maternidad,2006-01-01,18,18
SAN ANTONIO DE LOMERIO,internaciones,dias camas ocupadas maternidad,2006-01-01,15,15
SAN BENITO,internaciones,dias camas ocupadas maternidad,2006-01-01,23,23
SAN BORJA,internaciones,dias camas ocupadas maternidad,2006-01-01,131,131
SAN BUENA VENTURA,internaciones,dias camas ocupadas maternidad,2006-01-01,15,15
SAN CARLOS,internaciones,dias camas ocupadas maternidad,2006-01-01,119,119
SAN IGNACIO,internaciones,dias camas ocupadas maternidad,2006-01-01,46,46
SAN IGNACIO DE VELASCO,internaciones,dias camas ocupadas maternidad,2006-01-01,186,186
SAN JAVIER(STC),internaciones,dias camas ocupadas maternidad,2006-01-01,120,120
SAN JOAQUIN,internaciones,dias camas ocupadas maternidad,2006-01-01,21,21
SAN JOSE DE CHIQUITOS,internaciones,dias camas ocupadas maternidad,2006-01-01,68,68
SAN JUAN DE YAPACANI,internaciones,dias camas ocupadas maternidad,2006-01-01,56,56
SAN JULIAN,internaciones,dias camas ocupadas maternidad,2006-01-01,229,229
SAN LORENZO(PND),internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
SAN LORENZO(TJA),internaciones,dias camas ocupadas maternidad,2006-01-01,12,12
SAN LUCAS,internaciones,dias camas ocupadas maternidad,2006-01-01,36,36
SAN MATIAS,internaciones,dias camas ocupadas maternidad,2006-01-01,24,24
SAN MIGUEL DE VELASCO,internaciones,dias camas ocupadas maternidad,2006-01-01,50,50
SAN PEDRO,internaciones,dias camas ocupadas maternidad,2006-01-01,37,37
SAN PEDRO DE BUENA VISTA,internaciones,dias camas ocupadas maternidad,2006-01-01,14,14
SAN PEDRO DE CURAHUARA,internaciones,dias camas ocupadas maternidad,2006-01-01,1,1
SAN PEDRO DE TIQUINA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
SAN RAFAEL,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
SAN RAMON,internaciones,dias camas ocupadas maternidad,2006-01-01,39,39
SAN RAMON,internaciones,dias camas ocupadas maternidad,2006-01-01,40,40
SANTA ANA,internaciones,dias camas ocupadas maternidad,2006-01-01,63,63
SANTA CRUZ DE LA SIERRA,internaciones,dias camas ocupadas maternidad,2006-01-01,7033,7033
SANTA ROSA,internaciones,dias camas ocupadas maternidad,2006-01-01,29,29
SANTA ROSA DEL SARA,internaciones,dias camas ocupadas maternidad,2006-01-01,39,39
SANTIAGO DE HUARI,internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
SANTIAGO DE MACHACA,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
SANTIVAÑES,internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
SENA,internaciones,dias camas ocupadas maternidad,2006-01-01,9,9
SICA SICA (VILLA AROMA),internaciones,dias camas ocupadas maternidad,2006-01-01,7,7
SIPE SIPE,internaciones,dias camas ocupadas maternidad,2006-01-01,33,33
SOPACHUY,internaciones,dias camas ocupadas maternidad,2006-01-01,16,16
SORACACHI,internaciones,dias camas ocupadas maternidad,2006-01-01,1,1
SORATA,internaciones,dias camas ocupadas maternidad,2006-01-01,30,30
SUCRE,internaciones,dias camas ocupadas maternidad,2006-01-01,1355,1355
TACACHI,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
TACACOMA,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
TACOPAYA,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
TAPACARI,internaciones,dias camas ocupadas maternidad,2006-01-01,14,14
TARABUCO,internaciones,dias camas ocupadas maternidad,2006-01-01,121,121
TARACO,internaciones,dias camas ocupadas maternidad,2006-01-01,1,1
TARATA,internaciones,dias camas ocupadas maternidad,2006-01-01,16,16
TARIJA,internaciones,dias camas ocupadas maternidad,2006-01-01,735,735
TARVITA,internaciones,dias camas ocupadas maternidad,2006-01-01,26,26
TEOPONTE,internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
TIAWANACU,internaciones,dias camas ocupadas maternidad,2006-01-01,12,12
TINGUIPAYA,internaciones,dias camas ocupadas maternidad,2006-01-01,12,12
TIPUANI,internaciones,dias camas ocupadas maternidad,2006-01-01,41,41
TIQUIPAYA,internaciones,dias camas ocupadas maternidad,2006-01-01,91,91
TIRAQUE (CBBA),internaciones,dias camas ocupadas maternidad,2006-01-01,139,139
TOCO,internaciones,dias camas ocupadas maternidad,2006-01-01,1,1
TOLATA,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
TOLEDO,internaciones,dias camas ocupadas maternidad,2006-01-01,9,9
TOMAVE,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
TOMINA,internaciones,dias camas ocupadas maternidad,2006-01-01,25,25
TORO TORO,internaciones,dias camas ocupadas maternidad,2006-01-01,6,6
TOTORA(CBBA),internaciones,dias camas ocupadas maternidad,2006-01-01,28,28
TOTORA(ORR),internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
TRIGAL,internaciones,dias camas ocupadas maternidad,2006-01-01,3,3
TRINIDAD,internaciones,dias camas ocupadas maternidad,2006-01-01,970,970
TUPIZA,internaciones,dias camas ocupadas maternidad,2006-01-01,159,159
UNCIA,internaciones,dias camas ocupadas maternidad,2006-01-01,124,124
URIONDO (A. CONCEPCION),internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
URUBICHA,internaciones,dias camas ocupadas maternidad,2006-01-01,18,18
UYUNI,internaciones,dias camas ocupadas maternidad,2006-01-01,88,88
VACAS,internaciones,dias camas ocupadas maternidad,2006-01-01,11,11
VALLEGRANDE,internaciones,dias camas ocupadas maternidad,2006-01-01,114,114
VIACHA,internaciones,dias camas ocupadas maternidad,2006-01-01,24,24
VILLA MONTES,internaciones,dias camas ocupadas maternidad,2006-01-01,86,86
VILLA RIVERO,internaciones,dias camas ocupadas maternidad,2006-01-01,8,8
VILLA SERRANO,internaciones,dias camas ocupadas maternidad,2006-01-01,24,24
VILLA TUNARI,internaciones,dias camas ocupadas maternidad,2006-01-01,329,329
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,dias camas ocupadas maternidad,2006-01-01,14,14
VILLAZON,internaciones,dias camas ocupadas maternidad,2006-01-01,168,168
VINTO,internaciones,dias camas ocupadas maternidad,2006-01-01,67,67
VITICHI,internaciones,dias camas ocupadas maternidad,2006-01-01,4,4
WARNES,internaciones,dias camas ocupadas maternidad,2006-01-01,133,133
YACUIBA,internaciones,dias camas ocupadas maternidad,2006-01-01,391,391
YAMPARAEZ,internaciones,dias camas ocupadas maternidad,2006-01-01,33,33
YANACACHI,internaciones,dias camas ocupadas maternidad,2006-01-01,2,2
YAPACANI,internaciones,dias camas ocupadas maternidad,2006-01-01,168,168
YOTALA,internaciones,dias camas ocupadas maternidad,2006-01-01,38,38
ZUDAÑEZ,internaciones,dias camas ocupadas maternidad,2006-01-01,31,31
ACACIO,internaciones,dias camas ocupadas maternidad,2006-02-01,3,3
ACHACACHI,internaciones,dias camas ocupadas maternidad,2006-02-01,43,43
ACHOCALLA,internaciones,dias camas ocupadas maternidad,2006-02-01,8,8
AIQUILE,internaciones,dias camas ocupadas maternidad,2006-02-01,102,102
ALALAY,internaciones,dias camas ocupadas maternidad,2006-02-01,6,6
ALCALA,internaciones,dias camas ocupadas maternidad,2006-02-01,10,10
ANCORAIMES,internaciones,dias camas ocupadas maternidad,2006-02-01,4,4
ANTEQUERA,internaciones,dias camas ocupadas maternidad,2006-02-01,2,2
ANZALDO,internaciones,dias camas ocupadas maternidad,2006-02-01,6,6
APOLO,internaciones,dias camas ocupadas maternidad,2006-02-01,31,31
ARAMPAMPA,internaciones,dias camas ocupadas maternidad,2006-02-01,1,1
ARANI,internaciones,dias camas ocupadas maternidad,2006-02-01,22,22
ARBIETO,internaciones,dias camas ocupadas maternidad,2006-02-01,4,4
ARQUE,internaciones,dias camas ocupadas maternidad,2006-02-01,12,12
ASCENCION DE GUARAYOS,internaciones,dias camas ocupadas maternidad,2006-02-01,130,130
ATOCHA,internaciones,dias camas ocupadas maternidad,2006-02-01,145,145
AYATA,internaciones,dias camas ocupadas maternidad,2006-02-01,6,6
AYO AYO,internaciones,dias camas ocupadas maternidad,2006-02-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),internaciones,dias camas ocupadas maternidad,2006-02-01,55,55
AZURDUY,internaciones,dias camas ocupadas maternidad,2006-02-01,30,30
BATALLAS,internaciones,dias camas ocupadas maternidad,2006-02-01,6,6
BAURES,internaciones,dias camas ocupadas maternidad,2006-02-01,15,15
BERMEJO,internaciones,dias camas ocupadas maternidad,2006-02-01,113,113
BETANZOS,internaciones,dias camas ocupadas maternidad,2006-02-01,48,48
BOLIVAR,internaciones,dias camas ocupadas maternidad,2006-02-01,3,3
BOYUIBE,internaciones,dias camas ocupadas maternidad,2006-02-01,14,14
BUENA VISTA,internaciones,dias camas ocupadas maternidad,2006-02-01,15,15
CABEZAS,internaciones,dias camas ocupadas maternidad,2006-02-01,44,44
CAIROMA,internaciones,dias camas ocupadas maternidad,2006-02-01,14,14
CAJUATA,internaciones,dias camas ocupadas maternidad,2006-02-01,31,31
CALACOTO,internaciones,dias camas ocupadas maternidad,2006-02-01,1,1
CALAMARCA,internaciones,dias camas ocupadas maternidad,2006-02-01,6,6
CAMARGO,internaciones,dias camas ocupadas maternidad,2006-02-01,75,75
CAMATAQUI (C. VILLA ABECIA),internaciones,dias camas ocupadas maternidad,2006-02-01,7,7
CAMIRI,internaciones,dias camas ocupadas maternidad,2006-02-01,190,190
CAPINOTA,internaciones,dias camas ocupadas maternidad,2006-02-01,43,43
CAQUIAVIRI,internaciones,dias camas ocupadas maternidad,2006-02-01,4,4
CARACOLLO,internaciones,dias camas ocupadas maternidad,2006-02-01,33,33
CARANAVI,internaciones,dias camas ocupadas maternidad,2006-02-01,101,101
CARIPUYO,internaciones,dias camas ocupadas maternidad,2006-02-01,2,2
CARMEN RIVERO TORREZ,internaciones,dias camas ocupadas maternidad,2006-02-01,6,6
CHACARILLA,internaciones,dias camas ocupadas maternidad,2006-02-01,1,1
CHALLAPATA,internaciones,dias camas ocupadas maternidad,2006-02-01,42,42
CHAQUI,internaciones,dias camas ocupadas maternidad,2006-02-01,1,1
CHARAGUA,internaciones,dias camas ocupadas maternidad,2006-02-01,68,68
CHARAÑA,internaciones,dias camas ocupadas maternidad,2006-02-01,1,1
CHAYANTA,internaciones,dias camas ocupadas maternidad,2006-02-01,21,21
CHIMORE,internaciones,dias camas ocupadas maternidad,2006-02-01,27,27
CHULUMANI (V. DE LA LIBERTAD),internaciones,dias camas ocupadas maternidad,2006-02-01,40,40
CHUMA,internaciones,dias camas ocupadas maternidad,2006-02-01,2,2
CLIZA,internaciones,dias camas ocupadas maternidad,2006-02-01,42,42
COBIJA,internaciones,dias camas ocupadas maternidad,2006-02-01,433,433
COCHABAMBA,internaciones,dias camas ocupadas maternidad,2006-02-01,3716,3716
COLCAPIRHUA,internaciones,dias camas ocupadas maternidad,2006-02-01,49,49
"COLCHA ""K""",internaciones,dias camas ocupadas maternidad,2006-02-01,6,6
COLLANA,internaciones,dias camas ocupadas maternidad,2006-02-01,2,2
COLOMI,internaciones,dias camas ocupadas maternidad,2006-02-01,49,49
COLPA BELGICA,internaciones,dias camas ocupadas maternidad,2006-02-01,21,21
COLQUECHACA,internaciones,dias camas ocupadas maternidad,2006-02-01,2,2
COLQUIRI,internaciones,dias camas ocupadas maternidad,2006-02-01,12,12
COMARAPA,internaciones,dias camas ocupadas maternidad,2006-02-01,83,83
CONCEPCION,internaciones,dias camas ocupadas maternidad,2006-02-01,71,71
COPACABANA,internaciones,dias camas ocupadas maternidad,2006-02-01,34,34
CORIPATA,internaciones,dias camas ocupadas maternidad,2006-02-01,32,32
CORO CORO,internaciones,dias camas ocupadas maternidad,2006-02-01,10,10
COROICO,internaciones,dias camas ocupadas maternidad,2006-02-01,37,37
COTAGAITA,internaciones,dias camas ocupadas maternidad,2006-02-01,34,34
COTOCA,internaciones,dias camas ocupadas maternidad,2006-02-01,113,113
CUATRO CAÑADAS,internaciones,dias camas ocupadas maternidad,2006-02-01,49,49
CUEVO,internaciones,dias camas ocupadas maternidad,2006-02-01,5,5
CULPINA,internaciones,dias camas ocupadas maternidad,2006-02-01,81,81
CURAHUARA DE CARANGAS,internaciones,dias camas ocupadas maternidad,2006-02-01,2,2
DESAGUADERO,internaciones,dias camas ocupadas maternidad,2006-02-01,2,2
EL ALTO,internaciones,dias camas ocupadas maternidad,2006-02-01,2260,2260
EL PUENTE(STC),internaciones,dias camas ocupadas maternidad,2006-02-01,15,15
EL PUENTE(TJA),internaciones,dias camas ocupadas maternidad,2006-02-01,7,7
EL TORNO,internaciones,dias camas ocupadas maternidad,2006-02-01,111,111
EL VILLAR,internaciones,dias camas ocupadas maternidad,2006-02-01,21,21
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2006-02-01,16,16
ENTRE RIOS,internaciones,dias camas ocupadas maternidad,2006-02-01,58,58
EUCALIPTUS,internaciones,dias camas ocupadas maternidad,2006-02-01,10,10
EXALTACION,internaciones,dias camas ocupadas maternidad,2006-02-01,8,8
FERNANDEZ ALONSO,internaciones,dias camas ocupadas maternidad,2006-02-01,288,288
FILADELFIA,internaciones,dias camas ocupadas maternidad,2006-02-01,2,2
GENERAL SAAVEDRA,internaciones,dias camas ocupadas maternidad,2006-02-01,8,8
GUANAY,internaciones,dias camas ocupadas maternidad,2006-02-01,13,13
GUAYARAMERIN,internaciones,dias camas ocupadas maternidad,2006-02-01,695,695
GUTIERREZ,internaciones,dias camas ocupadas maternidad,2006-02-01,11,11
HUACARETA,internaciones,dias camas ocupadas maternidad,2006-02-01,25,25
HUANUNI,internaciones,dias camas ocupadas maternidad,2006-02-01,59,59
HUARACAJE,internaciones,dias camas ocupadas maternidad,2006-02-01,14,14
HUAYLLAMARCA,internaciones,dias camas ocupadas maternidad,2006-02-01,3,3
INCAHUASI,internaciones,dias camas ocupadas maternidad,2006-02-01,27,27
INQUISIVI,internaciones,dias camas ocupadas maternidad,2006-02-01,18,18
IRUPANA (VILLA DE LANZA),internaciones,dias camas ocupadas maternidad,2006-02-01,13,13
IXIAMAS,internaciones,dias camas ocupadas maternidad,2006-02-01,6,6
JESUS DE MACHACA,internaciones,dias camas ocupadas maternidad,2006-02-01,2,2
LA ASUNTA,internaciones,dias camas ocupadas maternidad,2006-02-01,41,41
