municipality,group,variable,month,l 13.9 Días camas disponibles maternidad,TOTAL
CAPINOTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
CAQUIAVIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
CARACOLLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
CARANAVI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,372,372
CARAPARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
CARIPUYO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,177,177
CHALLAPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,341,341
CHAQUI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
CHARAGUA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,245,245
CHARAÑA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
CHAYANTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
CHIMORE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,310,310
CHOQUE COTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,60,60
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,248,248
CHUMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
CKOCHAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
CLIZA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
COBIJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,836,836
COCAPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,370,370
COCHABAMBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,11687,11687
COLCAPIRHUA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,434,434
"COLCHA ""K""",internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
COLLANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
COLOMI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,403,403
COLPA BELGICA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
COLQUECHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
COLQUENCHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
COLQUIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
COMARAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,308,308
CONCEPCION,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,150,150
COPACABANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
CORIPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
CORO CORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
COROICO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,279,279
CORQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,58,58
COTAGAITA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
COTOCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,713,713
CUATRO CAÑADAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,434,434
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
CUEVO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
CULPINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,433,433
CURAHUARA DE CARANGAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
DESAGUADERO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
EL ALTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,5766,5766
EL CHORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
EL PUENTE(STC),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
EL PUENTE(TJA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,16,16
EL TORNO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,434,434
EL VILLAR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,144,144
ENTRE RIOS CBBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,434,434
ESCOMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
EUCALIPTUS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
EXALTACION,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
FERNANDEZ ALONSO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,310,310
FILADELFIA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,60,60
GENERAL SAAVEDRA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
GUANAY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
GUAQUI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
GUAYARAMERIN,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,467,467
GUTIERREZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
HUACARETA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,372,372
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,134,134
HUACHACALLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,88,88
HUANUNI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,434,434
HUARACAJE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
HUARINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
HUAYLLAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
ICHOCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,60,60
ICLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,242,242
INCAHUASI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,330,330
INQUISIVI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
IXIAMAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
JESUS DE MACHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
LA ASUNTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,279,279
LA GUARDIA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,620,620
LA PAZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,13666,13666
LAGUNILLAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
LAJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
LAS CARRERAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
LLALLAGUA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,372,372
LLICA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
LURIBAY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
MACHACAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
MACHARETI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
MAGDALENA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
MAIRANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
MAPIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
MECAPACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
MINEROS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
MIZQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,837,837
MOCOMOCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
MOJOCOYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,256,256
MONTEAGUDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,744,744
MONTERO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,1209,1209
MORO MORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
MOROCHATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,248,248
OCURI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
OKINAWA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,186,186
OMEREQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,248,248
ORURO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,3596,3596
PADILLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,403,403
PAILON,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,197,197
PALCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
PALOS BLANCOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,310,310
PAMPA GRANDE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
PASORAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
PATACAMAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,310,310
PAZÑA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
POCOATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
POCONA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,527,527
POJO (CBBA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,248,248
POOPO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
POROMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,558,558
PORONGO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,341,341
PORTACHUELO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,558,558
PORVENIR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
POSTRER VALLE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
POTOSI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,2170,2170
PRESTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,248,248
PUCARA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
PUCARANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
PUERTO ACOSTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
PUERTO CARABUCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
PUERTO GONZALO MORENO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,24,24
PUERTO RICO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,73,73
PUERTO SUAREZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,372,372
PUERTO VILLARROEL,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,1271,1271
PUNA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
PUNATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,713,713
QUIABAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
QUILLACOLLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,434,434
QUIME,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
QUIRUSILLAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
RAVELO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
REYES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
RIBERALTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,589,589
ROBORE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,433,433
RURRENABAQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
SACABA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,1395,1395
SACABAMBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
SACACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
SAIPINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,110,110
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,186,186
SAMAIPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,81,81
SAN BENITO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,186,186
SAN BORJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,558,558
SAN BUENA VENTURA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
SAN CARLOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,432,432
SAN IGNACIO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,496,496
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,1395,1395
SAN JAVIER(STC),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
SAN JOAQUIN,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,872,872
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,222,222
SAN JULIAN,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,533,533
SAN LORENZO(PND),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,81,81
SAN LUCAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,583,583
SAN MATIAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
SAN PEDRO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,271,271
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
SAN PEDRO DE CURAHUARA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
SAN RAFAEL,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
SAN RAMON BENI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
SAN RAMON SCZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,174,174
SANTA ANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,13494,13494
SANTA ROSA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,434,434
SANTIAGO DE CALLAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
SANTIAGO DE HUARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
SANTIAGO DE MACHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
SANTIVAÑES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
SANTUARIO DE QUILLACAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,28,28
SAPAHAQUI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
SENA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,86,86
SHINAOTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,372,372
SICA SICA (VILLA AROMA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
SICAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
SIPE SIPE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,465,465
SOPACHUY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,184,184
SORACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
SORATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
SUCRE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,4185,4185
TACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
TACACOMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
TACOPAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,279,279
TAPACARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,397,397
TARABUCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,445,445
TARACO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
TARATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,279,279
TARIJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,1271,1271
TARVITA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,679,679
TEOPONTE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
TIAWANACU,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
TIPUANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
TIQUIPAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,558,558
TIRAQUE (CBBA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,527,527
TOCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
TOLATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
TOLEDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
TOMAVE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
TOMINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,651,651
TORO TORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
TOTORA(CBBA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,403,403
TOTORA(ORR),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
TRIGAL,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
TRINIDAD,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,1612,1612
TUPIZA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,341,341
TURCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
UMALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
UNCIA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,155,155
URUBICHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
UYUNI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,433,433
VACAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
VALLEGRANDE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,186,186
VIACHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
VILA VILA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
VILLA CHARCAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,175,175
VILLA MONTES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,270,270
VILLA RIVERO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
VILLA SERRANO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,434,434
VILLA TUNARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,1520,1520
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,217,217
VILLAZON,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,403,403
VINTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,372,372
VITICHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
WARNES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,1193,1193
YACO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
YACUIBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,496,496
YAMPARAEZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,181,181
YANACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,31,31
YAPACANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,506,506
YOCALLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,62,62
YOTALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,93,93
ZUDAÑEZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-01-01,124,124
ACHACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,261,261
ACHOCALLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,58,58
AIQUILE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,437,437
ALALAY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,232,232
ALCALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,116,116
ALTO BENI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,29,29
ANCORAIMES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,58,58
ANDAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,145,145
ANTEQUERA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,29,29
ANZALDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,58,58
APOLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,87,87
ARAMPAMPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-02-01,29,29
