municipality,group,variable,month,l 13.7 Días camas ocupadas maternidad,TOTAL
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
GUANAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,10,10
GUAQUI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
GUAYARAMERIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,374,374
GUTIERREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,22,22
HUACARETA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,15,15
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
HUACHACALLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
HUANUNI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,82,82
HUARACAJE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
HUARINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1,1
HUAYLLAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
ICHOCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
ICLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,9,9
INCAHUASI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,23,23
INQUISIVI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,12,12
IXIAMAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,7,7
JESUS DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,10,10
LA ASUNTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,114,114
LA GUARDIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,77,77
LA PAZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5395,5395
LAGUNILLAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
LAJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
LAS CARRERAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,18,18
LLALLAGUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,254,254
LLICA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,6,6
LURIBAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
MACHACAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,4,4
MACHARETI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
MAGDALENA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,123,123
MAIRANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,63,63
MAPIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,23,23
MECAPACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,4,4
MINEROS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,34,34
MIZQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,120,120
MOCOMOCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,3,3
MOJOCOYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,18,18
MONTEAGUDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,293,293
MONTERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,706,706
MORO MORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
MOROCHATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,18,18
OCURI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,28,28
OKINAWA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,20,20
OMEREQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
