municipality,group,variable,month,l 13.7 Días camas ocupadas maternidad,TOTAL
SANTIAGO DE HUATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,2,2
SAPAHAQUI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,2,2
SENA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,3,3
SHINAOTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,142,142
SICA SICA (VILLA AROMA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,21,21
SIPE SIPE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,36,36
SOPACHUY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,44,44
SORACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,4,4
SORATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,15,15
SUCRE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,2115,2115
TACACOMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,10,10
TACOPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,11,11
TAPACARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,63,63
TARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,72,72
TARACO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,4,4
TARATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,18,18
TARIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,1326,1326
TARVITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,47,47
TEOPONTE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,19,19
TIPUANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,44,44
TIQUIPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,340,340
TIRAQUE (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,29,29
TOCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,3,3
TODOS SANTOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,1,1
TOLATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,8,8
TOLEDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,3,3
TOMINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,41,41
TORO TORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,8,8
TOTORA(CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,51,51
TRINIDAD,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,931,931
TUPIZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,226,226
UMALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,2,2
UNCIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,20,20
URIONDO (A. CONCEPCION),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,8,8
URUBICHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,13,13
UYUNI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,134,134
VACAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,6,6
VALLEGRANDE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,108,108
VIACHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,70,70
VILA VILA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,4,4
VILLA CHARCAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,24,24
VILLA MONTES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,245,245
VILLA RIVERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,8,8
VILLA SERRANO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,26,26
VILLA TUNARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,636,636
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,16,16
VILLAZON,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,218,218
VINTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,129,129
VITICHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,2,2
WARNES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,259,259
YACO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,2,2
YACUIBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,429,429
YAMPARAEZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,33,33
YANACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,9,9
YAPACANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,221,221
YOTALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,57,57
ZUDAÑEZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-06-01,19,19
ACACIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
ACHACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,32,32
ACHOCALLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,9,9
AIQUILE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,92,92
ALALAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
ALCALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
ALTO BENI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,19,19
ANCORAIMES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
ANDAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
ANTEQUERA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
ANZALDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
APOLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,22,22
ARANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
ARBIETO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
ARQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,115,115
ATOCHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,51,51
AYO AYO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,28,28
AZURDUY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,20,20
BATALLAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,15,15
BAURES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,29,29
BELEN DE ANDAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,6,6
BERMEJO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,99,99
BETANZOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,60,60
BOYUIBE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,3,3
BUENA VISTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,19,19
CABEZAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
CAIROMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
"CAIZA ""D""",internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
CAJUATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
CALAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,7,7
CAMARGO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,129,129
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,9,9
CAMIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,329,329
CAPINOTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,22,22
CARACOLLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,19,19
CARANAVI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,165,165
CARAPARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
CARIPUYO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
CHALLAPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,114,114
CHAQUI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,8,8
CHARAGUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,58,58
CHAYANTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,26,26
CHIMORE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,23,23
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,84,84
CHUMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
CKOCHAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
CLIZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,58,58
COBIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,601,601
COCAPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,8,8
COCHABAMBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,5728,5728
COLCAPIRHUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,152,152
COLOMI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,24,24
COLPA BELGICA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,8,8
COLQUECHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,24,24
COLQUENCHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
COLQUIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,13,13
COMARAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,87,87
CONCEPCION,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,74,74
COPACABANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
CORIPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,8,8
COROICO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,62,62
CORQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,8,8
COTAGAITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,65,65
COTOCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,96,96
CUATRO CAÑADAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,19,19
CUEVO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
CULPINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,116,116
CURAHUARA DE CARANGAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
DESAGUADERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,16,16
EL ALTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,3785,3785
EL PUENTE(STC),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,25,25
EL TORNO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,124,124
EL VILLAR,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
ENTRE RIOS TRJ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,33,33
ENTRE RIOS CBBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,36,36
ESCOMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
EUCALIPTUS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,25,25
EXALTACION,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
FERNANDEZ ALONSO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,147,147
FILADELFIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
GENERAL SAAVEDRA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,15,15
GUANAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,55,55
GUAYARAMERIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,446,446
GUTIERREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,16,16
HUACARETA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,30,30
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,17,17
HUANUNI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,121,121
HUARACAJE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,5,5
HUARINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
HUMANATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,3,3
ICHOCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,6,6
ICLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
INCAHUASI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,54,54
INQUISIVI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,1,1
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
IXIAMAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,8,8
JESUS DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,6,6
LA ASUNTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,76,76
LA GUARDIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,115,115
LA PAZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,6063,6063
LAGUNILLAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,8,8
LAJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,7,7
LAS CARRERAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
LICOMA PAMPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
LLALLAGUA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,255,255
LLICA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,10,10
LURIBAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
MACHACAMARCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
MACHARETI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,22,22
MAGDALENA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,74,74
MAIRANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,60,60
MAPIRI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,31,31
MECAPACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,5,5
MINEROS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,38,38
MIZQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,83,83
MOJOCOYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,18,18
MONTEAGUDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,194,194
MONTERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,1049,1049
MORO MORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,6,6
MOROCHATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
OCURI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,25,25
OKINAWA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,28,28
OMEREQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,11,11
ORURO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,1794,1794
PADILLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,71,71
PAILON,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,25,25
PALCA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,6,6
PALOS BLANCOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,59,59
PAMPA AULLAGAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,1,1
PAMPA GRANDE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,11,11
PAPEL PAMPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,1,1
PASORAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
PATACAMAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,54,54
PAZÑA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,3,3
POCOATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
POCONA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,27,27
POJO (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,39,39
POOPO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,16,16
POROMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,21,21
PORONGO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,5,5
PORTACHUELO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,259,259
PORVENIR,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,7,7
POTOSI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,1525,1525
PRESTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,6,6
PUCARANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,11,11
PUERTO ACOSTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,7,7
PUERTO CARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,3,3
PUERTO QUIJARRO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,59,59
PUERTO RICO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,16,16
PUERTO SILES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,3,3
PUERTO SUAREZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,131,131
PUERTO VILLARROEL,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,146,146
PUNA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,19,19
PUNATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,260,260
QUIABAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
QUILLACOLLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,327,327
QUIME,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,9,9
QUIRUSILLAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
REYES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,31,31
RIBERALTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,609,609
ROBORE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,54,54
RURRENABAQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,192,192
SABAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,1,1
SACABA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,429,429
SACABAMBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
SACACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,52,52
SAIPINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,18,18
SAMAIPATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,44,44
SAN ANDRES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
SAN ANDRES DE MACHACA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,3,3
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,9,9
SAN BENITO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
SAN BORJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,128,128
SAN BUENA VENTURA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,51,51
SAN CARLOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,136,136
SAN IGNACIO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,94,94
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,366,366
SAN JAVIER(STC),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,63,63
SAN JOAQUIN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,18,18
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,119,119
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,17,17
SAN JULIAN,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,141,141
SAN LORENZO(PND),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,7,7
SAN LUCAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,53,53
SAN MATIAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,53,53
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,26,26
SAN PEDRO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,223,223
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,24,24
SAN PEDRO DE CURAHUARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,4,4
SAN RAFAEL,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,24,24
SAN RAMON BENI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,26,26
SAN RAMON SCZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,24,24
SANTA ANA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,137,137
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,9606,9606
SANTA ROSA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,48,48
SANTA ROSA DEL SARA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
SANTIAGO DE CALLAPA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
SANTIAGO DE HUARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
SANTUARIO DE QUILLACAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,1,1
SENA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,8,8
SHINAOTA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,130,130
SICA SICA (VILLA AROMA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,22,22
SIPE SIPE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,37,37
SOPACHUY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,24,24
SORACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,8,8
SORATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,22,22
SUCRE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2161,2161
TACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,2,2
TACACOMA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,10,10
TACOPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,11,11
TAPACARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,35,35
TARABUCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,3,3
TARACO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,3,3
TARATA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,14,14
TARIJA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,1412,1412
TARVITA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,99,99
TEOPONTE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,12,12
TIAWANACU,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,10,10
TIPUANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,41,41
TIQUIPAYA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,207,207
TIRAQUE (CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-07-01,39,39
