municipality,group,variable,month,l 13.8 Días camas ocupadas otros servicios,TOTAL
CHIMORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,21,21
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,98,98
CHUMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,3,3
CLIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,36,36
COBIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1362,1362
COCHABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,34039,34039
COLCAPIRHUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,311,311
"COLCHA ""K""",internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,5,5
COLOMI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1,1
COLPA BELGICA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,57,57
COLQUIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,9,9
COMARAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,142,142
CONCEPCION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,155,155
COPACABANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,4,4
CORIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,10,10
CORO CORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1,1
COROICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,315,315
CORQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
COTAGAITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,27,27
COTOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,127,127
CUATRO CAÑADAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,30,30
CUEVO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,6,6
CULPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,41,41
DESAGUADERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,7,7
EL ALTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,6145,6145
EL PUENTE(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,21,21
EL TORNO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,841,841
EL VILLAR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,5,5
ENTRE RIOS TRJ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,22,22
ENTRE RIOS CBBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,66,66
ESCOMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,21,21
EXALTACION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
FERNANDEZ ALONSO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,213,213
FILADELFIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
GENERAL SAAVEDRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,3,3
GUANAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,3,3
GUAYARAMERIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1470,1470
GUTIERREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,84,84
HUACARETA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,23,23
HUACHACALLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,9,9
HUANUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,304,304
HUARACAJE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,15,15
HUAYLLAMARCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
ICLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,20,20
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,49,49
IXIAMAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,13,13
JESUS DE MACHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,30,30
LA ASUNTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,49,49
LA GUARDIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,133,133
LA PAZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,46574,46574
LAGUNILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,33,33
LAS CARRERAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,3,3
LLALLAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,456,456
MACHARETI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,14,14
MAGDALENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,277,277
MAIRANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,54,54
MAPIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,29,29
MECAPACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
MINEROS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,50,50
MIZQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,109,109
MOJOCOYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,4,4
MONTEAGUDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,492,492
MONTERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1624,1624
MORO MORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
MOROCHATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,6,6
OCURI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
OKINAWA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,40,40
OMEREQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,4,4
ORURO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,5157,5157
PADILLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,172,172
PAILON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,94,94
PALOS BLANCOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,157,157
PASORAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,3,3
PATACAMAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,70,70
POCOATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1,1
POOPO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1,1
PORTACHUELO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,699,699
POSTRER VALLE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
POTOSI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,6824,6824
PRESTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,6,6
PUCARANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,12,12
PUERTO GONZALO MORENO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,11,11
PUERTO QUIJARRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,148,148
PUERTO RICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,47,47
PUERTO SUAREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,386,386
PUERTO VILLARROEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,553,553
PUNA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,53,53
PUNATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,734,734
QUILLACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,88,88
QUIME,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,6,6
QUIRUSILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,4,4
REYES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,105,105
RIBERALTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1577,1577
ROBORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,142,142
RURRENABAQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,335,335
SACABA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,813,813
SACABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,12,12
SACACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,24,24
SAIPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,16,16
SAMAIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,32,32
SAN BENITO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,8,8
SAN BORJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,295,295
SAN BUENA VENTURA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,94,94
SAN CARLOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1961,1961
SAN IGNACIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,131,131
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1483,1483
SAN JAVIER(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,49,49
SAN JOAQUIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,39,39
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,375,375
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,440,440
SAN JULIAN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,200,200
SAN LORENZO(PND),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,7,7
SAN LUCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,62,62
SAN MATIAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,75,75
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,32,32
SAN PEDRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1040,1040
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,3,3
SAN RAFAEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,44,44
SAN RAMON BENI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,58,58
SAN RAMON SCZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,5,5
SANTA ANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,349,349
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,27605,27605
SANTA ROSA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,74,74
SANTA ROSA DEL SARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,65,65
SANTIAGO DE HUARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,18,18
SENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,6,6
SHINAOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,406,406
SOPACHUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,55,55
SORATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,114,114
SUCRE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,24021,24021
TAPACARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1,1
TARABUCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,99,99
TARIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,9582,9582
TARVITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,47,47
TIPUANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,51,51
TIQUIPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,108,108
TIRAQUE (CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,4,4
TOCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,4,4
TOLATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,15,15
TOLEDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1,1
TOMAVE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,12,12
TOMINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,61,61
TORO TORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,10,10
TOTORA(CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,28,28
TRIGAL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,8,8
TRINIDAD,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,4581,4581
TUPIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,405,405
UNCIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,30,30
URUBICHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,24,24
UYUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,276,276
VACAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,2,2
VALLEGRANDE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,402,402
VIACHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,212,212
VILA VILA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,6,6
VILLA CHARCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,93,93
VILLA MONTES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,674,674
VILLA RIVERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,18,18
VILLA SERRANO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,12,12
VILLA TUNARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1295,1295
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1,1
VILLAZON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,406,406
VINTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,225,225
VITICHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,5,5
WARNES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,387,387
YACUIBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,1644,1644
YAMPARAEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,24,24
YANACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,5,5
YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,961,961
YOTALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,30,30
ZUDAÑEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-01-01,20,20
ACHACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,46,46
AIQUILE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,171,171
ANCORAIMES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,2,2
APOLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,21,21
ARQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,58,58
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,255,255
ATOCHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,429,429
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,20,20
AZURDUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,14,14
BATALLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,6,6
BAURES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,31,31
BERMEJO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,403,403
BETANZOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,13,13
BOYUIBE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,59,59
BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,54,54
CABEZAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,35,35
CAMARGO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,427,427
CAMIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1262,1262
CAPINOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,47,47
CARACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,8,8
CARANAVI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,273,273
CARAPARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,72,72
CHALLAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,167,167
CHAQUI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1,1
CHARAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,235,235
CHAYANTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,44,44
CHIMORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,21,21
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,128,128
CHUMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,2,2
CLIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,25,25
COBIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1179,1179
COCAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1,1
COCHABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,31420,31420
COLCAPIRHUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,246,246
"COLCHA ""K""",internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,13,13
COLOMI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,4,4
COLPA BELGICA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,48,48
COLQUECHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,12,12
COLQUIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,7,7
COMARAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,188,188
CONCEPCION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,68,68
COPACABANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,23,23
CORIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,12,12
COROICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,258,258
COTAGAITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,65,65
COTOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,303,303
CUATRO CAÑADAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,113,113
CUEVO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,58,58
CULPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,44,44
CURAHUARA DE CARANGAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1,1
EL ALTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5864,5864
EL PUENTE(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,12,12
EL TORNO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,408,408
EL VILLAR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5,5
ENTRE RIOS TRJ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,34,34
ENTRE RIOS CBBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,64,64
ESCOMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,10,10
EXALTACION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,7,7
FERNANDEZ ALONSO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,198,198
FILADELFIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5,5
GENERAL SAAVEDRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,17,17
GUANAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,43,43
GUAYARAMERIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1152,1152
GUTIERREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,49,49
HUACARETA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,33,33
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,3,3
HUACHACALLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,4,4
HUANUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,176,176
HUARACAJE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,15,15
HUAYLLAMARCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,3,3
HUMANATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1,1
ICLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,19,19
INCAHUASI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5,5
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,37,37
IXIAMAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,52,52
JESUS DE MACHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,33,33
LA ASUNTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,69,69
LA GUARDIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,110,110
LA PAZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,44217,44217
LAGUNILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,35,35
