municipality,group,variable,month,l 1310 Días camas disponibles otros servicios,TOTAL
CHARAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,862,862
CHAYANTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
CHIMORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,806,806
CHUMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
CKOCHAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
CLIZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,279,279
COBIJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2161,2161
COCAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
COCHABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,52173,52173
COLCAPIRHUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1023,1023
"COLCHA ""K""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
COLOMI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
COLPA BELGICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
COLQUECHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
COLQUIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,304,304
COMARAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,745,745
CONCEPCION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,450,450
COPACABANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
CORIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
CORO CORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,248,248
COROICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,992,992
CORQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,60,60
COTAGAITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,279,279
COTOCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,682,682
CUATRO CAÑADAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,248,248
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
CUEVO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
CULPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,526,526
CURAHUARA DE CARANGAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,248,248
DESAGUADERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
EL ALTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,12059,12059
EL PUENTE(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
EL TORNO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2697,2697
EL VILLAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,372,372
ENTRE RIOS CBBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,310,310
ESCOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,527,527
EUCALIPTUS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
EXALTACION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
FERNANDEZ ALONSO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,527,527
FILADELFIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,29,29
GENERAL SAAVEDRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,248,248
GUANAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
GUAYARAMERIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1109,1109
GUTIERREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,651,651
HUACARETA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,496,496
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,279,279
HUACHACALLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,79,79
HUANUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1426,1426
HUARACAJE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,31,31
HUAYLLAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
ICLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
INCAHUASI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,300,300
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,372,372
IXIAMAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
JESUS DE MACHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,341,341
LA ASUNTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,372,372
LA GUARDIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1116,1116
LA PAZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,68356,68356
LAGUNILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
LAS CARRERAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
LLALLAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1023,1023
LLICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
LURIBAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
MACHACAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
MACHARETI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,558,558
MAGDALENA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
MAIRANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
MAPIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
MINEROS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,310,310
MIZQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,899,899
MOJOCOYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,243,243
MONTEAGUDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1550,1550
MONTERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2852,2852
MORO MORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
MOROCHATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
OCURI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
OKINAWA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
OMEREQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
ORURO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,11142,11142
PADILLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,465,465
PAILON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,473,473
PALOS BLANCOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
PASORAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
PATACAMAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,403,403
PAZÑA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
POCOATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
POCONA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,310,310
POJO (CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
POOPO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
POROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,651,651
PORONGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,341,341
PORTACHUELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1054,1054
PORVENIR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
POSTRER VALLE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
POTOSI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,11346,11346
PRESTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,279,279
PUCARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
PUCARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
PUERTO GONZALO MORENO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,107,107
PUERTO RICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,163,163
PUERTO SUAREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1643,1643
PUERTO VILLARROEL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1178,1178
PUNA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
PUNATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1581,1581
QUILLACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,713,713
QUIME,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
QUIRUSILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,31,31
RAVELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
REYES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
RIBERALTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2635,2635
ROBORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1710,1710
RURRENABAQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,403,403
SACABA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2139,2139
SACABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
SACACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,310,310
SAIPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,139,139
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
SAMAIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,92,92
SAN BENITO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
SAN BORJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,558,558
SAN BUENA VENTURA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
SAN CARLOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2635,2635
SAN IGNACIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,744,744
SAN IGNACIO DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2914,2914
SAN JAVIER(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,310,310
SAN JOAQUIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1020,1020
SAN JUAN DE YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,357,357
SAN JULIAN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,878,878
SAN LORENZO(PND),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,84,84
SAN LUCAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,676,676
SAN MATIAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,620,620
SAN MIGUEL DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
SAN PEDRO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,487,487
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
SAN RAFAEL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,248,248
SAN RAMON BENI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
SAN RAMON SCZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,464,464
SANTA ANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,403,403
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,36591,36591
SANTA ROSA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
SANTIAGO DE HUARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
SANTIAGO DE MACHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
SANTIVAÑES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,279,279
SENA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,87,87
SHINAOTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,651,651
SICAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
SIPE SIPE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
SOPACHUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,475,475
SORATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,620,620
SUCRE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,35322,35322
TACOPAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
TAPACARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,212,212
TARABUCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,527,527
TARATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,155,155
TARIJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,14074,14074
TARVITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,617,617
TIPUANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
TIQUIPAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,744,744
TIRAQUE (CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
TOCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
TOLATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
TOLEDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
TOMAVE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
TOMINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,620,620
TORO TORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,31,31
TOTORA(CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,651,651
TRIGAL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,62,62
TRINIDAD,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,6872,6872
TUPIZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2976,2976
TURCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
UNCIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
URUBICHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
UYUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1267,1267
VACAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
VALLEGRANDE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,713,713
VIACHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,651,651
VILA VILA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
VILLA CHARCAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,186,186
VILLA MONTES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1160,1160
VILLA RIVERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
VILLA SERRANO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,279,279
VILLA TUNARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2325,2325
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,279,279
VILLAZON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1240,1240
VINTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,837,837
VITICHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,124,124
WARNES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,731,731
YACO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,31,31
YACUIBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,2760,2760
YAMPARAEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,371,371
YANACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,1035,1035
YOTALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,217,217
ZUDAÑEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-01-01,93,93
ACHACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,319,319
AIQUILE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1305,1305
ALALAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
ALCALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
ANCORAIMES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
ANDAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,29,29
ANTEQUERA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,29,29
ANZALDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
APOLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,261,261
ARAMPAMPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,145,145
ARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,87,87
ARBIETO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,87,87
ARQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
ASCENCION DE GUARAYOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,901,901
ATOCHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1296,1296
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,899,899
AZURDUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,519,519
BATALLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,174,174
BAURES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
BERMEJO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,887,887
BETANZOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,232,232
BOLIVAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,87,87
BOYUIBE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,319,319
BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,238,238
CABEZAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,290,290
CAIROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
"CAIZA ""D""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,29,29
CAMARGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1133,1133
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,87,87
CAMIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,2088,2088
CAPINOTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,319,319
CARACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,145,145
CARANAVI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1015,1015
CARAPARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,85,85
CARIPUYO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,145,145
CARMEN RIVERO TORREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,327,327
CHALLAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,551,551
CHAQUI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,29,29
CHARAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,818,818
CHAYANTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,84,84
CHIMORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,174,174
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,754,754
CHUMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
CKOCHAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
CLIZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,251,251
COBIJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,2098,2098
COCAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,144,144
COCHABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,48360,48360
COLCAPIRHUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,957,957
"COLCHA ""K""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
COLOMI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
COLPA BELGICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,145,145
COLQUECHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
