municipality,group,variable,month,Nº de comunidades que participaron en el CAI d,TOTAL
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,7,7
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,21,21
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,10,10
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,14,14
QUIME,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,4,4
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,4,4
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
SAN ANDRES DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,8,8
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,4,4
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,5,5
SAN JAVIER(STC),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
SAN JOAQUIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,5,5
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,3,3
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,67,67
SAN PABLO DE LIPEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,3,3
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,21,21
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
SAN RAMON,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,10,10
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,4,4
SANTIVAÑES,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,25,25
SANTUARIO DE QUILLACAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,12,12
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,25,25
TACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
TACOPAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,19,19
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,12,12
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,20,20
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,5,5
TRIGAL,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,19,19
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,26,26
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,5,5
VACAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,2,2
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,17,17
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,1,1
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,8,8
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-01-01,10,10
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,82,82
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,9,9
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,9,9
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,5,5
AYATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,4,4
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,5,5
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,21,21
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,10,10
CAIROMA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,3,3
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,20,20
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,68,68
CHAYANTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,7,7
CHUMA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,7,7
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,7,7
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,16,16
COLPA BELGICA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,11,11
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,5,5
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,8,8
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,6,6
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,21,21
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,28,28
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
GUAQUI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,13,13
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,62,62
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,23,23
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
LURIBAY,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,12,12
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,4,4
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,6,6
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,10,10
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,19,19
MONTEAGUDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,7,7
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,10,10
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,5,5
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,3,3
ORURO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,55,55
PADCAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,10,10
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,13,13
PALOS BLANCOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,5,5
PAMPA AULLAGAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,7,7
PASORAPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,27,27
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,34,34
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,4,4
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,22,22
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,4,4
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
PUERTO SUAREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,4,4
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,11,11
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,17,17
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,14,14
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,3,3
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,3,3
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,6,6
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,3,3
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,12,12
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,3,3
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,15,15
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,4,4
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,16,16
SAN PABLO DE LIPEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,20,20
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,4,4
SAN RAMON,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,3,3
SAN RAMON,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
SANTA ANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,3,3
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,7,7
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,18,18
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,6,6
SANTIAGO DE HUARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,65,65
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,17,17
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,6,6
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,12,12
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,6,6
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,79,79
TIAWANACU,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,22,22
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,2,2
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,9,9
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,11,11
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,39,39
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,6,6
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,8,8
VACAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,4,4
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,10,10
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,1,1
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,10,10
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,9,9
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-02-01,5,5
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,64,64
AIQUILE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,7,7
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,25,25
ANTEQUERA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,4,4
ANZALDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,12,12
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,5,5
AYATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,12,12
AZURDUY,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,18,18
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
BUENA VISTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,7,7
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,8,8
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,22,22
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,8,8
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,4,4
CHACARILLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,8,8
CHOQUE COTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,8,8
CHUMA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,6,6
"COLCHA ""K""",actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,6,6
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
COLPA BELGICA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,13,13
COMANCHE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
COMBAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,13,13
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,15,15
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,4,4
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,4,4
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,9,9
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,30,30
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,6,6
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,5,5
GUAQUI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,15,15
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
ICLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,19,19
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,9,9
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,55,55
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,15,15
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,7,7
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,10,10
MONTEAGUDO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,9,9
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
PALOS BLANCOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,5,5
PAMPA AULLAGAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,7,7
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,38,38
PAZÑA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,13,13
POROMA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,19,19
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,5,5
PUERTO GONZALO MORENO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,5,5
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,11,11
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,14,14
QUIME,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,4,4
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,6,6
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,21,21
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,44,44
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,8,8
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,4,4
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,3,3
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,8,8
SAN LORENZO(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,65,65
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,5,5
SAN PABLO DE LIPEZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,8,8
SAN RAMON,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,19,19
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,6,6
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,19,19
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,7,7
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,6,6
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,2,2
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,19,19
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,11,11
TIQUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,21,21
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai d,2005-03-01,1,1
