municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
EXALTACION,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1,1
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,36,36
FILADELFIA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
GUANAY,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,14,14
GUAQUI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,11,11
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,463,463
GUTIERREZ,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
HUACARETA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,18,18
HUACHACALLA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,13,13
HUANUNI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,29,29
HUARACAJE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,12,12
HUAYLLAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,7,7
HUMANATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
ICHOCA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
ICLA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
INCAHUASI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,39,39
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,17,17
IXIAMAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,12,12
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,15,15
LA ASUNTA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,67,67
LA GUARDIA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,86,86
LA PAZ,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4550,4550
LAGUNILLAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,20,20
LAJA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,7,7
LAS CARRERAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
LICOMA PAMPA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
LLALLAGUA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,159,159
LLICA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
LURIBAY,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,7,7
MACHARETI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
MAGDALENA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,101,101
MAIRANA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,29,29
MAPIRI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,21,21
MECAPACA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
MINEROS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,33,33
MIZQUE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,39,39
MOCOMOCO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
MOJOCOYA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,21,21
MONTEAGUDO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,144,144
MONTERO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,649,649
MORO MORO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
MOROCHATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,10,10
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
OCURI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,30,30
OKINAWA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,17,17
OMEREQUE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,14,14
ORURO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1551,1551
PADILLA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,100,100
PAILON,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,39,39
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,54,54
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,7,7
PAPEL PAMPA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
PASORAPA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
PATACAMAYA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,32,32
PAZÑA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,14,14
POCOATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,21,21
POCONA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,41,41
POJO (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,30,30
POOPO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
PORCO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,18,18
POROMA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,58,58
PORONGO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
PORTACHUELO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,164,164
PORVENIR,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
POSTRER VALLE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
POTOSI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3591,3591
PRESTO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,17,17
PUCARA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
PUCARANI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,14,14
PUERTO ACOSTA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1,1
PUERTO CARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,18,18
PUERTO RICO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
PUERTO SILES,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1,1
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,77,77
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,146,146
PUNA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,22,22
PUNATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,349,349
QUILLACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,277,277
QUIME,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
RAVELO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,10,10
REYES,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,39,39
RIBERALTA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,371,371
ROBORE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,65,65
RURRENABAQUE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,111,111
SACABA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,467,467
SACABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
SACACA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,45,45
SAIPINA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,18,18
SAMAIPATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,14,14
SAN ANDRES DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,12,12
SAN BENITO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,20,20
SAN BORJA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,136,136
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,45,45
SAN CARLOS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,80,80
SAN IGNACIO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,89,89
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,337,337
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,32,32
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,32,32
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,167,167
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,53,53
SAN JULIAN,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,117,117
SAN LUCAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,64,64
SAN MATIAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,52,52
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,47,47
SAN PEDRO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,104,104
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1,1
SAN RAFAEL,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,17,17
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,45,45
SANTA ANA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,146,146
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,7916,7916
SANTA ROSA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,43,43
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,30,30
SANTIAGO DE CALLAPA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
SANTIAGO DE HUARI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,34,34
SANTIAGO DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
SANTIVAÑES,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,12,12
SAPAHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
SENA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
SHINAOTA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,120,120
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,18,18
SIPE SIPE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,31,31
SOPACHUY,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,27,27
SORACACHI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
SORATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,11,11
SUCRE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1967,1967
TACACOMA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
TACOPAYA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,3,3
TAPACARI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,15,15
TARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,100,100
TARACO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
TARATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,11,11
TARIJA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,903,903
TARVITA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,59,59
TEOPONTE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,7,7
TIAWANACU,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,42,42
TIPUANI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,64,64
TIQUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,216,216
TIRAQUE (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,30,30
TOCO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1,1
TOLATA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
TOLEDO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,5,5
TOMAVE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
TOMINA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,55,55
TORO TORO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,37,37
TOTORA(ORR),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,8,8
TRINIDAD,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,1023,1023
TUPIZA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,250,250
TURCO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
UMALA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,10,10
UNCIA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,29,29
URIONDO (A. CONCEPCION),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
URUBICHA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,13,13
UYUNI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,138,138
VACAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,14,14
VALLEGRANDE,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,90,90
VIACHA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,32,32
VILA VILA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,23,23
VILLA MONTES,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,186,186
VILLA RIVERO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,6,6
VILLA SERRANO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,47,47
VILLA TUNARI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,209,209
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,24,24
VILLAZON,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,188,188
VINTO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,115,115
VITICHI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,12,12
WARNES,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,190,190
YACO,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,4,4
YACUIBA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,33,33
YAMPARAEZ,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,35,35
YANACACHI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,2,2
YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,134,134
YOTALA,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,24,24
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas maternidad,2010-01-01,12,12
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,11,11
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,30,30
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,9,9
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,105,105
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,3,3
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,4,4
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,3,3
ANTEQUERA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,4,4
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,18,18
ARAMPAMPA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,4,4
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,16,16
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,22,22
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,173,173
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,43,43
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,2,2
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,2,2
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,34,34
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,28,28
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,2,2
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,31,31
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,123,123
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,64,64
BOLIVAR,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,4,4
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,13,13
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,14,14
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,25,25
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,12,12
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,11,11
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,4,4
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,7,7
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,111,111
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,7,7
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,245,245
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,21,21
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,23,23
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,143,143
CARAPARI,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,8,8
CARIPUYO,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,6,6
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,11,11
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,92,92
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,86,86
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,7,7
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,24,24
CHIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,27,27
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,9,9
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,60,60
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,109,109
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,6,6
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,4780,4780
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,92,92
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2010-02-01,33,33
