,group,variable,month,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
FERNANDEZ ALONSO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,21,0,21
FILADELFIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,13,0,13
GENERAL SAAVEDRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,14,0,14
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
GUANAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,21,0,21
GUAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,2,6
GUAYARAMERIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,95,0,95
GUTIERREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,20,1,21
HUACARETA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,2,6
HUACAYA (VILLA DE HUACAYA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,2,4
HUACHACALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,0,3
HUANUNI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,34,0,34
HUARACAJE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
HUARINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
HUATAJATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,1,4
HUAYLLAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,0,5
HUMANATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,1,2
ICHOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,0,1,1
ICLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,0,5
INCAHUASI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,13,2,15
INGAVI (HUMAITA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
INQUISIVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,2,6
IRUPANA (VILLA DE LANZA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,10,0,10
IXIAMAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,1,9
JESUS DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
LA ASUNTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,62,0,62
LA GUARDIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,71,0,71
LA PAZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,811,0,811
LAGUNILLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,1,3
LAJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,22,1,23
LAS CARRERAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,0,3
LICOMA PAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
LLALLAGUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,70,1,71
LORETO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,2,7
LURIBAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,0,3
MACHACAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,1,2
MACHARETI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,1,13
MAGDALENA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,24,0,24
MAIRANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,0,8
MALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,0,1,1
MAPIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,16,0,16
MECAPACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
MINEROS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,37,0,37
MIZQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,29,0,29
MOCOMOCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,6,0,6
MOJOCOYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
MONTEAGUDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,34,2,36
MONTERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,239,0,239
MORO MORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
MOROCHATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,4,11
OCURI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,6,18
OKINAWA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,28,0,28
OMEREQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,0,8
ORURO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,386,0,386
PADCAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,24,0,24
PADILLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,2,13
PAILON,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,30,0,30
PALCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,15,0,15
PALOS BLANCOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,31,0,31
PAMPA AULLAGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
PAMPA GRANDE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
PAPEL PAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
PASORAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,6,0,6
PATACAMAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,27,3,30
PAZÑA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,1,3
PELECHUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
POCOATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,14,10,24
POCONA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,14,1,15
POJO (CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,0,11
POOPO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,0,11
PORCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,0,11
POROMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,6,10
PORONGO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
PORTACHUELO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,47,0,47
PORVENIR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
POSTRER VALLE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
POTOSI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,318,0,318
PRESTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,6,5,11
PUCARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
PUCARANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,33,3,36
PUERTO ACOSTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,5,10
PUERTO CARABUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,3,14
PUERTO GONZALO MORENO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,6,1,7
PUERTO PEREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,0,4
PUERTO QUIJARRO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,31,0,31
PUERTO RICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,0,11
PUERTO SILES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
PUERTO SUAREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,28,0,28
PUERTO VILLARROEL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,71,0,71
PUNA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,2,14
PUNATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,34,0,34
QUIABAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
QUILLACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,224,6,230
QUIME,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,0,11
RAVELO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,8,13
REYES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,19,2,21
RIBERALTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,238,2,240
ROBORE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,28,0,28
RURRENABAQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,37,0,37
SABAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
SACABA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,161,0,161
SACABAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,6,1,7
SACACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,3,15
SAIPINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,0,11
SALINAS DE GARCI MENDOZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,1,8
SAMAIPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
SAN AGUSTIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
SAN ANDRES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,14,0,14
SAN ANDRES DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,0,3
SAN ANTONIO DE ESMORUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,6,13
SAN BENITO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,1,2
SAN BORJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,72,0,72
SAN BUENA VENTURA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,10,0,10
SAN CARLOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,35,0,35
SAN IGNACIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,41,0,41
SAN IGNACIO DE VELASCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,32,2,34
SAN JAVIER(BNI),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,2,6
SAN JAVIER(STC),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,21,0,21
SAN JOAQUIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,10,0,10
SAN JOSE DE CHIQUITOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,20,0,20
SAN JUAN DE YAPACANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,16,0,16
SAN JULIAN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,46,3,49
SAN LORENZO(PND),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,1,4
SAN LORENZO(TJA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,30,2,32
SAN LUCAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,42,7,49
SAN MATIAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,43,0,43
SAN MIGUEL DE VELASCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,17,0,17
SAN PABLO DE LIPEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,1,2
SAN PEDRO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,21,0,21
SAN PEDRO DE BUENA VISTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,22,3,25
SAN PEDRO DE CURAHUARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,0,3
SAN PEDRO DE QUEMES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,6,0,6
SAN PEDRO(PND),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,1,2
SAN RAFAEL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,3,7
SAN RAMON BENI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,15,0,15
SAN RAMON SCZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,14,0,14
SANTA ANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,43,0,43
SANTA CRUZ DE LA SIERRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1959,0,1959
SANTA ROSA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,14,0,14
SANTA ROSA DEL SARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,21,0,21
SANTIAGO DE CALLAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,3,4
SANTIAGO DE HUARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,13,0,13
SANTIAGO DE HUATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,0,3
SANTIVAÑES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,13,0,13
SANTUARIO DE QUILLACAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,0,2,2
SAPAHAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,1,4
SENA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,0,8
SHINAOTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,44,0,44
SICA SICA (VILLA AROMA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,17,0,17
SICAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,1,2
SIPE SIPE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,81,0,81
SOPACHUY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,1,9
SORACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,3,6
SORATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,25,0,25
SUCRE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,544,0,544
TACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
TACACOMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
TACOBAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,4,0,4
TACOPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
TAHUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
TAPACARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,2,14
TARABUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,3,15
TARACO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
TARATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,9,1,10
TARIJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,340,12,352
TARVITA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,10,2,12
TEOPONTE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,23,2,25
TIAWANACU,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,17,0,17
TINGUIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,10,2,12
TIPUANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,24,0,24
TIQUIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,109,0,109
TIRAQUE (CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,29,1,30
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
TOCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
TOLATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,9,0,9
TOLEDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
TOMAVE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,4,9
TOMINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,13,0,13
TORO TORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,14,1,15
TOTORA(CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,49,0,49
TOTORA(ORR),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,0,1,1
TRINIDAD,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,313,0,313
TUPIZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,66,1,67
TURCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,0,1
UMALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
UNCIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,25,4,29
