,group,variable,month,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTAL 25.4 TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-01-01,10,12,2,7,12,19,31
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-01-01,2,7,3,3,5,10,15
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-01-01,30,36,7,5,37,41,78
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-01-01,0,1,0,0,0,1,1
TARABUCO,chagas,      tratamientos de 15 anos y mas,2014-01-01,0,1,0,0,0,1,1
TARATA,chagas,      tratamientos de 15 anos y mas,2014-01-01,1,1,1,0,2,1,3
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-01-01,14,15,8,9,22,24,46
TIQUIPAYA,chagas,      tratamientos de 15 anos y mas,2014-01-01,1,3,0,0,1,3,4
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-01-01,17,21,8,20,25,41,66
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-01-01,1,1,1,1,2,2,4
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-01-01,11,18,7,5,18,23,41
VITICHI,chagas,      tratamientos de 15 anos y mas,2014-01-01,5,11,0,0,5,11,16
ARBIETO,chagas,      tratamientos de 15 anos y mas,2014-02-01,1,0,0,0,1,0,1
BERMEJO,chagas,      tratamientos de 15 anos y mas,2014-02-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos de 15 anos y mas,2014-02-01,0,4,1,2,1,6,7
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-02-01,33,58,44,72,77,130,207
COTOCA,chagas,      tratamientos de 15 anos y mas,2014-02-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,chagas,      tratamientos de 15 anos y mas,2014-02-01,0,1,0,0,0,1,1
CULPINA,chagas,      tratamientos de 15 anos y mas,2014-02-01,2,0,0,0,2,0,2
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-02-01,2,3,0,1,2,4,6
GUTIERREZ,chagas,      tratamientos de 15 anos y mas,2014-02-01,0,0,0,1,0,1,1
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-02-01,0,2,0,0,0,2,2
LA PAZ,chagas,      tratamientos de 15 anos y mas,2014-02-01,0,2,0,0,0,2,2
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-02-01,2,3,3,1,5,4,9
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-02-01,3,1,0,0,3,1,4
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-02-01,1,1,2,1,3,2,5
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-02-01,1,1,0,0,1,1,2
PUNA,chagas,      tratamientos de 15 anos y mas,2014-02-01,0,0,0,1,0,1,1
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-02-01,6,14,0,2,6,16,22
SACABA,chagas,      tratamientos de 15 anos y mas,2014-02-01,6,15,0,0,6,15,21
SAN PEDRO DE BUENA VISTA,chagas,      tratamientos de 15 anos y mas,2014-02-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-02-01,5,9,3,2,8,11,19
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-02-01,0,1,22,42,22,43,65
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-02-01,1,7,0,3,1,10,11
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-02-01,3,1,0,0,3,1,4
TARATA,chagas,      tratamientos de 15 anos y mas,2014-02-01,2,1,4,0,6,1,7
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-02-01,18,21,3,4,21,25,46
TIQUIPAYA,chagas,      tratamientos de 15 anos y mas,2014-02-01,0,0,0,1,0,1,1
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-02-01,3,3,0,0,3,3,6
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-02-01,12,21,8,20,20,41,61
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-02-01,4,3,2,1,6,4,10
VILLA MONTES,chagas,      tratamientos de 15 anos y mas,2014-02-01,1,0,0,0,1,0,1
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-02-01,9,16,0,3,9,19,28
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-03-01,1,3,0,0,1,3,4
BETANZOS,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,0,0,1,0,1,1
"CAIZA ""D""",chagas,      tratamientos de 15 anos y mas,2014-03-01,0,1,0,0,0,1,1
CAPINOTA,chagas,      tratamientos de 15 anos y mas,2014-03-01,1,6,0,1,1,7,8
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-03-01,8,11,9,11,17,22,39
COROICO,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,1,0,0,0,1,1
COTOCA,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,0,0,1,0,1,1
CULPINA,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,1,0,0,0,1,1
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-03-01,1,1,1,2,2,3,5
GUAYARAMERIN,chagas,      tratamientos de 15 anos y mas,2014-03-01,1,0,1,0,2,0,2
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,7,0,0,0,7,7
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-03-01,6,7,0,0,6,7,13
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-03-01,2,0,0,0,2,0,2
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-03-01,3,2,0,0,3,2,5
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,0,1,1,1,1,2
PUNA,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,1,0,0,0,1,1
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-03-01,1,2,4,5,5,7,12
SACABA,chagas,      tratamientos de 15 anos y mas,2014-03-01,8,11,2,9,10,20,30
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-03-01,8,10,4,8,12,18,30
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,1,5,9,5,10,15
SOPACHUY,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,1,0,0,0,1,1
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-03-01,27,49,11,15,38,64,102
TARABUCO,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,1,0,0,0,1,1
TARATA,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,0,1,1,1,1,2
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-03-01,19,37,8,10,27,47,74
TIQUIPAYA,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,2,1,0,1,2,3
TOMINA,chagas,      tratamientos de 15 anos y mas,2014-03-01,2,2,0,0,2,2,4
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-03-01,1,0,0,0,1,0,1
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-03-01,28,35,15,20,43,55,98
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-03-01,1,0,1,0,2,0,2
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-03-01,10,13,7,7,17,20,37
VILLAZON,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,0,0,1,0,1,1
VITICHI,chagas,      tratamientos de 15 anos y mas,2014-03-01,0,0,3,9,3,9,12
YAMPARAEZ,chagas,      tratamientos de 15 anos y mas,2014-03-01,1,1,0,0,1,1,2
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-04-01,1,2,0,0,1,2,3
ANZALDO,chagas,      tratamientos de 15 anos y mas,2014-04-01,1,2,0,0,1,2,3
ARBIETO,chagas,      tratamientos de 15 anos y mas,2014-04-01,1,0,0,0,1,0,1
CHAQUI,chagas,      tratamientos de 15 anos y mas,2014-04-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos de 15 anos y mas,2014-04-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-04-01,13,28,27,50,40,78,118
CULPINA,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,1,1,1,1,2,3
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-04-01,6,3,2,3,8,6,14
LA ASUNTA,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,3,2,0,2,3,5
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,0,1,0,1,0,1
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,2,1,1,1,3,4
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,0,1,0,1,0,1
POTOSI,chagas,      tratamientos de 15 anos y mas,2014-04-01,80,98,0,0,80,98,178
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-04-01,3,6,8,14,11,20,31
QUILLACOLLO,chagas,      tratamientos de 15 anos y mas,2014-04-01,6,6,3,1,9,7,16
SACABA,chagas,      tratamientos de 15 anos y mas,2014-04-01,9,8,6,13,15,21,36
SAMAIPATA,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,2,0,0,0,2,2
SAN PEDRO DE BUENA VISTA,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-04-01,14,11,8,8,22,19,41
SANTIVAÑES,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,1,0,0,0,1,1
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-04-01,22,37,4,12,26,49,75
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,0,2,1,2,1,3
TARABUCO,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,1,0,0,0,1,1
TARATA,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,0,1,1,1,1,2
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-04-01,27,34,12,18,39,52,91
TIQUIPAYA,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,2,0,0,0,2,2
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-04-01,3,2,0,0,3,2,5
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-04-01,15,23,11,20,26,43,69
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,3,3,0,3,3,6
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-04-01,20,12,8,9,28,21,49
VINTO,chagas,      tratamientos de 15 anos y mas,2014-04-01,0,6,0,0,0,6,6
BETANZOS,chagas,      tratamientos de 15 anos y mas,2014-05-01,1,0,0,0,1,0,1
CAPINOTA,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,3,1,1,1,4,5
CHAQUI,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos de 15 anos y mas,2014-05-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-05-01,64,94,11,11,75,105,180
COROICO,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,0,0,1,0,1,1
COTOCA,chagas,      tratamientos de 15 anos y mas,2014-05-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,0,0,1,0,1,1
CULPINA,chagas,      tratamientos de 15 anos y mas,2014-05-01,5,0,0,0,5,0,5
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-05-01,7,3,0,1,7,4,11
GUAYARAMERIN,chagas,      tratamientos de 15 anos y mas,2014-05-01,1,3,0,0,1,3,4
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-05-01,3,0,5,2,8,2,10
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-05-01,3,6,0,0,3,6,9
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,0,1,1,1,1,2
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-05-01,3,0,0,0,3,0,3
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-05-01,7,10,0,3,7,13,20
QUILLACOLLO,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,6,2,3,2,9,11
SACABA,chagas,      tratamientos de 15 anos y mas,2014-05-01,6,12,7,12,13,24,37
SAMAIPATA,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),chagas,      tratamientos de 15 anos y mas,2014-05-01,1,1,0,0,1,1,2
SAN PEDRO DE BUENA VISTA,chagas,      tratamientos de 15 anos y mas,2014-05-01,1,1,0,1,1,2,3
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-05-01,15,18,5,5,20,23,43
SANTIVAÑES,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,1,0,0,0,1,1
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,3,0,1,0,4,4
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-05-01,11,25,11,22,22,47,69
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,2,0,0,0,2,2
TARABUCO,chagas,      tratamientos de 15 anos y mas,2014-05-01,1,0,0,1,1,1,2
TARATA,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,4,1,0,1,4,5
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-05-01,25,46,15,23,40,69,109
TOMINA,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,0,1,1,1,1,2
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-05-01,1,2,0,0,1,2,3
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,0,26,31,26,31,57
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-05-01,0,2,1,1,1,3,4
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-05-01,1,1,2,2,3,3,6
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-06-01,1,1,0,1,1,2,3
ARBIETO,chagas,      tratamientos de 15 anos y mas,2014-06-01,1,1,0,0,1,1,2
BERMEJO,chagas,      tratamientos de 15 anos y mas,2014-06-01,2,4,0,0,2,4,6
BETANZOS,chagas,      tratamientos de 15 anos y mas,2014-06-01,2,5,0,0,2,5,7
CAPINOTA,chagas,      tratamientos de 15 anos y mas,2014-06-01,1,7,0,1,1,8,9
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-06-01,18,60,3,7,21,67,88
COTAGAITA,chagas,      tratamientos de 15 anos y mas,2014-06-01,3,11,0,0,3,11,14
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-06-01,3,0,6,2,9,2,11
GUAYARAMERIN,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,0,1,3,1,3,4
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,1,0,1,0,2,2
LA PAZ,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,0,0,1,0,1,1
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-06-01,1,2,0,0,1,2,3
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,2,0,0,0,2,2
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-06-01,1,2,1,3,2,5,7
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-06-01,5,6,3,3,8,9,17
SACABA,chagas,      tratamientos de 15 anos y mas,2014-06-01,3,6,7,7,10,13,23
SAMAIPATA,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),chagas,      tratamientos de 15 anos y mas,2014-06-01,2,2,0,0,2,2,4
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-06-01,24,34,4,2,28,36,64
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,4,3,5,3,9,12
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-06-01,12,23,9,13,21,36,57
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,3,0,0,0,3,3
TARABUCO,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,0,0,1,0,1,1
TARATA,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,1,0,0,0,1,1
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-06-01,21,34,23,21,44,55,99
TIQUIPAYA,chagas,      tratamientos de 15 anos y mas,2014-06-01,0,2,0,1,0,3,3
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-06-01,2,2,1,1,3,3,6
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-06-01,28,36,27,35,55,71,126
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-06-01,1,1,0,1,1,2,3
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-06-01,1,0,4,3,5,3,8
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,3,0,0,0,3,3
ANZALDO,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,0,0,1,0,1,1
ARBIETO,chagas,      tratamientos de 15 anos y mas,2014-07-01,1,1,0,0,1,1,2
BERMEJO,chagas,      tratamientos de 15 anos y mas,2014-07-01,2,2,2,1,4,3,7
BETANZOS,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos de 15 anos y mas,2014-07-01,0,1,2,1,2,2,4
CKOCHAS,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,1,0,0,0,1,1
CLIZA,chagas,      tratamientos de 15 anos y mas,2014-07-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-07-01,13,28,38,66,51,94,145
COTAGAITA,chagas,      tratamientos de 15 anos y mas,2014-07-01,3,4,0,0,3,4,7
EL PUENTE(TJA),chagas,      tratamientos de 15 anos y mas,2014-07-01,1,4,0,0,1,4,5
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-07-01,2,4,4,3,6,7,13
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,1,2,0,2,1,3
MAIRANA,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,1,0,0,0,1,1
MIZQUE,chagas,      tratamientos de 15 anos y mas,2014-07-01,1,4,1,0,2,4,6
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-07-01,5,6,1,1,6,7,13
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-07-01,1,1,2,1,3,2,5
PAILON,chagas,      tratamientos de 15 anos y mas,2014-07-01,1,1,1,1,2,2,4
PASORAPA,chagas,      tratamientos de 15 anos y mas,2014-07-01,2,3,0,0,2,3,5
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-07-01,12,12,4,8,16,20,36
QUILLACOLLO,chagas,      tratamientos de 15 anos y mas,2014-07-01,3,2,1,1,4,3,7
SACABA,chagas,      tratamientos de 15 anos y mas,2014-07-01,5,11,6,8,11,19,30
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-07-01,27,26,6,8,33,34,67
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-07-01,2,2,2,3,4,5,9
SOPACHUY,chagas,      tratamientos de 15 anos y mas,2014-07-01,3,1,0,0,3,1,4
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-07-01,25,37,12,18,37,55,92
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,0,0,2,0,2,2
TARABUCO,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,0,1,0,1,0,1
TARATA,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,1,0,4,0,5,5
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-07-01,8,28,16,27,24,55,79
TIQUIPAYA,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,2,0,1,0,3,3
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-07-01,3,1,1,1,4,2,6
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-07-01,19,19,14,20,33,39,72
VALLEGRANDE,chagas,      tratamientos de 15 anos y mas,2014-07-01,0,1,0,1,0,2,2
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-07-01,13,18,11,6,24,24,48
VITICHI,chagas,      tratamientos de 15 anos y mas,2014-07-01,1,8,0,0,1,8,9
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,3,0,0,0,3,3
ARBIETO,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,3,0,2,0,5,5
BERMEJO,chagas,      tratamientos de 15 anos y mas,2014-08-01,2,0,1,2,3,2,5
BETANZOS,chagas,      tratamientos de 15 anos y mas,2014-08-01,7,17,0,0,7,17,24
CAPINOTA,chagas,      tratamientos de 15 anos y mas,2014-08-01,2,0,1,2,3,2,5
CHULUMANI (V. DE LA LIBERTAD),chagas,      tratamientos de 15 anos y mas,2014-08-01,1,0,0,1,1,1,2
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-08-01,41,58,27,59,68,117,185
COTAGAITA,chagas,      tratamientos de 15 anos y mas,2014-08-01,5,8,5,8,10,16,26
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,1,2,0,2,1,3
GUAYARAMERIN,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),chagas,      tratamientos de 15 anos y mas,2014-08-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,1,0,0,0,1,1
MAIRANA,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,      tratamientos de 15 anos y mas,2014-08-01,2,1,1,1,3,2,5
MORO MORO,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,1,0,0,0,1,1
OMEREQUE,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,3,1,2,1,5,6
PAMPA GRANDE,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,1,0,0,0,1,1
PUNATA,chagas,      tratamientos de 15 anos y mas,2014-08-01,6,7,5,6,11,13,24
QUILLACOLLO,chagas,      tratamientos de 15 anos y mas,2014-08-01,2,0,0,4,2,4,6
RAVELO,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,2,0,0,0,2,2
SAMAIPATA,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),chagas,      tratamientos de 15 anos y mas,2014-08-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,      tratamientos de 15 anos y mas,2014-08-01,14,32,3,5,17,37,54
SIPE SIPE,chagas,      tratamientos de 15 anos y mas,2014-08-01,1,4,3,2,4,6,10
SOPACHUY,chagas,      tratamientos de 15 anos y mas,2014-08-01,1,1,0,0,1,1,2
SUCRE,chagas,      tratamientos de 15 anos y mas,2014-08-01,31,77,9,21,40,98,138
TAPACARI,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,0,0,1,0,1,1
TARATA,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,1,1,1,1,2,3
TARIJA,chagas,      tratamientos de 15 anos y mas,2014-08-01,22,22,13,20,35,42,77
TIQUIPAYA,chagas,      tratamientos de 15 anos y mas,2014-08-01,0,1,0,3,0,4,4
TOTORA(CBBA),chagas,      tratamientos de 15 anos y mas,2014-08-01,1,3,0,0,1,3,4
TUPIZA,chagas,      tratamientos de 15 anos y mas,2014-08-01,30,38,9,14,39,52,91
VILLA TUNARI,chagas,      tratamientos de 15 anos y mas,2014-08-01,10,15,3,6,13,21,34
VITICHI,chagas,      tratamientos de 15 anos y mas,2014-08-01,7,8,0,0,7,8,15
AIQUILE,chagas,      tratamientos de 15 anos y mas,2014-09-01,4,0,0,0,4,0,4
ARAMPAMPA,chagas,      tratamientos de 15 anos y mas,2014-09-01,0,0,4,2,4,2,6
ARBIETO,chagas,      tratamientos de 15 anos y mas,2014-09-01,0,0,1,1,1,1,2
BERMEJO,chagas,      tratamientos de 15 anos y mas,2014-09-01,1,0,0,0,1,0,1
"CAIZA ""D""",chagas,      tratamientos de 15 anos y mas,2014-09-01,1,0,0,0,1,0,1
CAPINOTA,chagas,      tratamientos de 15 anos y mas,2014-09-01,2,0,0,3,2,3,5
CKOCHAS,chagas,      tratamientos de 15 anos y mas,2014-09-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,      tratamientos de 15 anos y mas,2014-09-01,18,48,10,18,28,66,94
COTAGAITA,chagas,      tratamientos de 15 anos y mas,2014-09-01,2,1,12,13,14,14,28
EL PUENTE(TJA),chagas,      tratamientos de 15 anos y mas,2014-09-01,0,0,2,4,2,4,6
EL TORNO,chagas,      tratamientos de 15 anos y mas,2014-09-01,3,4,2,2,5,6,11
