,group,variable,month,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,Nº DE PERSONAS CON ESQUEMA CLASICO COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
LAJA,rabia,no de personas con esquema clasico completo,2024-07-01,1,1,1,1,2
MAIRANA,rabia,no de personas con esquema clasico completo,2024-07-01,1,1,1,1,2
MECAPACA,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
MINEROS,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
MOCOMOCO,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2024-07-01,13,15,13,15,28
PAILON,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
PATACAMAYA,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
POOPO,rabia,no de personas con esquema clasico completo,2024-07-01,1,1,1,1,2
POTOSI,rabia,no de personas con esquema clasico completo,2024-07-01,9,1,9,1,10
PUCARANI,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-07-01,2,2,2,2,4
SACABA,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-07-01,1,1,1,1,2
SAN JULIAN,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
SAN PEDRO DE QUEMES,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-07-01,59,50,59,50,109
SUCRE,rabia,no de personas con esquema clasico completo,2024-07-01,31,25,31,25,56
TARIJA,rabia,no de personas con esquema clasico completo,2024-07-01,7,4,7,4,11
TORO TORO,rabia,no de personas con esquema clasico completo,2024-07-01,0,2,0,2,2
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-07-01,8,6,8,6,14
VIACHA,rabia,no de personas con esquema clasico completo,2024-07-01,10,6,10,6,16
VINTO,rabia,no de personas con esquema clasico completo,2024-07-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2024-07-01,5,0,5,0,5
YACUIBA,rabia,no de personas con esquema clasico completo,2024-07-01,0,3,0,3,3
YOCALLA,rabia,no de personas con esquema clasico completo,2024-07-01,0,1,0,1,1
ACHACACHI,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-08-01,0,2,0,2,2
ARBIETO,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
BERMEJO,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
CALAMARCA,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2024-08-01,1,1,1,1,2
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
CHIMORE,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
COBIJA,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-08-01,9,7,9,7,16
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
COMARAPA,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2024-08-01,41,43,41,43,84
EL TORNO,rabia,no de personas con esquema clasico completo,2024-08-01,2,1,2,1,3
FILADELFIA,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
HUAYLLAMARCA,rabia,no de personas con esquema clasico completo,2024-08-01,2,0,2,0,2
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-08-01,8,7,8,7,15
LA PAZ,rabia,no de personas con esquema clasico completo,2024-08-01,69,59,69,59,128
MAPIRI,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
MECAPACA,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
MONTEAGUDO,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
ORURO,rabia,no de personas con esquema clasico completo,2024-08-01,0,4,0,4,4
PAILON,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
PATACAMAYA,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
POOPO,rabia,no de personas con esquema clasico completo,2024-08-01,2,0,2,0,2
PORCO,rabia,no de personas con esquema clasico completo,2024-08-01,1,1,1,1,2
POTOSI,rabia,no de personas con esquema clasico completo,2024-08-01,0,5,0,5,5
PUERTO ACOSTA,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-08-01,1,1,1,1,2
ROBORE,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema clasico completo,2024-08-01,2,0,2,0,2
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-08-01,1,2,1,2,3
SAN RAMON SCZ,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-08-01,41,40,41,40,81
SUCRE,rabia,no de personas con esquema clasico completo,2024-08-01,6,5,6,5,11
TARIJA,rabia,no de personas con esquema clasico completo,2024-08-01,9,4,9,4,13
TORO TORO,rabia,no de personas con esquema clasico completo,2024-08-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-08-01,4,2,4,2,6
UNCIA,rabia,no de personas con esquema clasico completo,2024-08-01,1,1,1,1,2
VIACHA,rabia,no de personas con esquema clasico completo,2024-08-01,10,8,10,8,18
VILLA TUNARI,rabia,no de personas con esquema clasico completo,2024-08-01,1,0,1,0,1
VINTO,rabia,no de personas con esquema clasico completo,2024-08-01,1,1,1,1,2
WARNES,rabia,no de personas con esquema clasico completo,2024-08-01,2,0,2,0,2
YACUIBA,rabia,no de personas con esquema clasico completo,2024-08-01,1,2,1,2,3
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-09-01,1,1,1,1,2
ANCORAIMES,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
ANZALDO,rabia,no de personas con esquema clasico completo,2024-09-01,2,0,2,0,2
APOLO,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
CAMIRI,rabia,no de personas con esquema clasico completo,2024-09-01,2,0,2,0,2
CARANAVI,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-09-01,1,1,1,1,2
CHIMORE,rabia,no de personas con esquema clasico completo,2024-09-01,2,0,2,0,2
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-09-01,5,10,5,10,15
COLPA BELGICA,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
COMBAYA,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema clasico completo,2024-09-01,1,1,1,1,2
COTOCA,rabia,no de personas con esquema clasico completo,2024-09-01,3,1,3,1,4
EL ALTO,rabia,no de personas con esquema clasico completo,2024-09-01,26,20,26,20,46
EL TORNO,rabia,no de personas con esquema clasico completo,2024-09-01,3,4,3,4,7
GENERAL SAAVEDRA,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
GUAQUI,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
HUAYLLAMARCA,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
IXIAMAS,rabia,no de personas con esquema clasico completo,2024-09-01,2,1,2,1,3
LA ASUNTA,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-09-01,6,7,6,7,13
LA PAZ,rabia,no de personas con esquema clasico completo,2024-09-01,50,64,50,64,114
MINEROS,rabia,no de personas con esquema clasico completo,2024-09-01,0,2,0,2,2
MONTERO,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
ORURO,rabia,no de personas con esquema clasico completo,2024-09-01,1,3,1,3,4
PAILON,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
PATACAMAYA,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
POOPO,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
POTOSI,rabia,no de personas con esquema clasico completo,2024-09-01,8,0,8,0,8
PUCARANI,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2024-09-01,6,0,6,0,6
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-09-01,2,1,2,1,3
ROBORE,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
RURRENABAQUE,rabia,no de personas con esquema clasico completo,2024-09-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,rabia,no de personas con esquema clasico completo,2024-09-01,2,0,2,0,2
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
SAN JULIAN,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-09-01,52,45,52,45,97
SANTIAGO DE HUATA,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
SUCRE,rabia,no de personas con esquema clasico completo,2024-09-01,20,17,20,17,37
TARIJA,rabia,no de personas con esquema clasico completo,2024-09-01,7,5,7,5,12
TORO TORO,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-09-01,9,7,9,7,16
UNCIA,rabia,no de personas con esquema clasico completo,2024-09-01,1,1,1,1,2
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2024-09-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2024-09-01,4,5,4,5,9
VINTO,rabia,no de personas con esquema clasico completo,2024-09-01,1,0,1,0,1
WARNES,rabia,no de personas con esquema clasico completo,2024-09-01,2,1,2,1,3
YACUIBA,rabia,no de personas con esquema clasico completo,2024-09-01,1,1,1,1,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
ALTO BENI,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
ARBIETO,rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
ASCENCION DE GUARAYOS,rabia,no de personas con esquema clasico completo,2024-10-01,5,1,5,1,6
AZURDUY,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
CAMARGO,rabia,no de personas con esquema clasico completo,2024-10-01,1,1,1,1,2
CAPINOTA,rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
CARANAVI,rabia,no de personas con esquema clasico completo,2024-10-01,2,1,2,1,3
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-10-01,0,4,0,4,4
CHIMORE,rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
CLIZA,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
COBIJA,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-10-01,2,5,2,5,7
CORIPATA,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2024-10-01,2,0,2,0,2
DESAGUADERO,rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
EL ALTO,rabia,no de personas con esquema clasico completo,2024-10-01,26,22,26,22,48
EL TORNO,rabia,no de personas con esquema clasico completo,2024-10-01,7,3,7,3,10
ENTRE RIOS CBBA,rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
HUACARETA,rabia,no de personas con esquema clasico completo,2024-10-01,0,2,0,2,2
JESUS DE MACHACA,rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-10-01,5,2,5,2,7
LA PAZ,rabia,no de personas con esquema clasico completo,2024-10-01,50,46,50,46,96
MAIRANA,rabia,no de personas con esquema clasico completo,2024-10-01,2,1,2,1,3
ORURO,rabia,no de personas con esquema clasico completo,2024-10-01,19,12,19,12,31
PAILON,rabia,no de personas con esquema clasico completo,2024-10-01,4,0,4,0,4
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
PELECHUCO,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
POOPO,rabia,no de personas con esquema clasico completo,2024-10-01,1,2,1,2,3
POTOSI,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
PUCARANI,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-10-01,2,1,2,1,3
RAVELO,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
ROBORE,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema clasico completo,2024-10-01,0,2,0,2,2
SAN BORJA,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-10-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,rabia,no de personas con esquema clasico completo,2024-10-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-10-01,92,58,92,58,150
SANTIAGO DE CALLAPA,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
SOPACHUY,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
SUCRE,rabia,no de personas con esquema clasico completo,2024-10-01,10,4,10,4,14
TIAHUANACU,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
TOTORA(CBBA),rabia,no de personas con esquema clasico completo,2024-10-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-10-01,13,6,13,6,19
UNCIA,rabia,no de personas con esquema clasico completo,2024-10-01,0,1,0,1,1
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2024-10-01,1,1,1,1,2
VIACHA,rabia,no de personas con esquema clasico completo,2024-10-01,8,5,8,5,13
VINTO,rabia,no de personas con esquema clasico completo,2024-10-01,0,2,0,2,2
WARNES,rabia,no de personas con esquema clasico completo,2024-10-01,2,4,2,4,6
YACUIBA,rabia,no de personas con esquema clasico completo,2024-10-01,3,3,3,3,6
ACHACACHI,rabia,no de personas con esquema clasico completo,2024-11-01,1,0,1,0,1
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-11-01,2,3,2,3,5
APOLO,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
BATALLAS,rabia,no de personas con esquema clasico completo,2024-11-01,1,1,1,1,2
CAPINOTA,rabia,no de personas con esquema clasico completo,2024-11-01,1,1,1,1,2
CARIPUYO,rabia,no de personas con esquema clasico completo,2024-11-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-11-01,1,0,1,0,1
CLIZA,rabia,no de personas con esquema clasico completo,2024-11-01,1,0,1,0,1
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-11-01,8,5,8,5,13
COLOMI,rabia,no de personas con esquema clasico completo,2024-11-01,1,1,1,1,2
CORIPATA,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
COTOCA,rabia,no de personas con esquema clasico completo,2024-11-01,5,1,5,1,6
CUATRO CAÑADAS,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
DESAGUADERO,rabia,no de personas con esquema clasico completo,2024-11-01,1,1,1,1,2
EL ALTO,rabia,no de personas con esquema clasico completo,2024-11-01,22,28,22,28,50
EL TORNO,rabia,no de personas con esquema clasico completo,2024-11-01,4,3,4,3,7
GUANAY,rabia,no de personas con esquema clasico completo,2024-11-01,2,0,2,0,2
GUAYARAMERIN,rabia,no de personas con esquema clasico completo,2024-11-01,0,5,0,5,5
HUACARETA,rabia,no de personas con esquema clasico completo,2024-11-01,1,1,1,1,2
HUATAJATA,rabia,no de personas con esquema clasico completo,2024-11-01,0,2,0,2,2
JESUS DE MACHACA,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-11-01,2,4,2,4,6
LA PAZ,rabia,no de personas con esquema clasico completo,2024-11-01,47,52,47,52,99
LURIBAY,rabia,no de personas con esquema clasico completo,2024-11-01,1,0,1,0,1
MAPIRI,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
MECAPACA,rabia,no de personas con esquema clasico completo,2024-11-01,2,0,2,0,2
ORURO,rabia,no de personas con esquema clasico completo,2024-11-01,11,11,11,11,22
PAILON,rabia,no de personas con esquema clasico completo,2024-11-01,2,0,2,0,2
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
PATACAMAYA,rabia,no de personas con esquema clasico completo,2024-11-01,1,0,1,0,1
PORVENIR,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
PUCARANI,rabia,no de personas con esquema clasico completo,2024-11-01,1,1,1,1,2
PUERTO PEREZ,rabia,no de personas con esquema clasico completo,2024-11-01,1,0,1,0,1
PUERTO VILLARROEL,rabia,no de personas con esquema clasico completo,2024-11-01,4,2,4,2,6
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
ROBORE,rabia,no de personas con esquema clasico completo,2024-11-01,0,3,0,3,3
SACABA,rabia,no de personas con esquema clasico completo,2024-11-01,1,2,1,2,3
SAN BORJA,rabia,no de personas con esquema clasico completo,2024-11-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,rabia,no de personas con esquema clasico completo,2024-11-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-11-01,53,54,53,54,107
SIPE SIPE,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
SUCRE,rabia,no de personas con esquema clasico completo,2024-11-01,8,6,8,6,14
TARIJA,rabia,no de personas con esquema clasico completo,2024-11-01,10,10,10,10,20
TARVITA,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
TOLATA,rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
TOTORA(CBBA),rabia,no de personas con esquema clasico completo,2024-11-01,0,1,0,1,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-11-01,52,23,52,23,75
UNCIA,rabia,no de personas con esquema clasico completo,2024-11-01,2,0,2,0,2
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2024-11-01,1,0,1,0,1
VIACHA,rabia,no de personas con esquema clasico completo,2024-11-01,4,6,4,6,10
VINTO,rabia,no de personas con esquema clasico completo,2024-11-01,2,0,2,0,2
WARNES,rabia,no de personas con esquema clasico completo,2024-11-01,3,0,3,0,3
YACUIBA,rabia,no de personas con esquema clasico completo,2024-11-01,4,3,4,3,7
ACHACACHI,rabia,no de personas con esquema clasico completo,2024-12-01,2,0,2,0,2
ACHOCALLA,rabia,no de personas con esquema clasico completo,2024-12-01,0,2,0,2,2
APOLO,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
BATALLAS,rabia,no de personas con esquema clasico completo,2024-12-01,2,0,2,0,2
BERMEJO,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
CAPINOTA,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
CARANAVI,rabia,no de personas con esquema clasico completo,2024-12-01,1,0,1,0,1
CHALLAPATA,rabia,no de personas con esquema clasico completo,2024-12-01,1,3,1,3,4
COCHABAMBA,rabia,no de personas con esquema clasico completo,2024-12-01,13,10,13,10,23
COLCAPIRHUA,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
COLPA BELGICA,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
COPACABANA,rabia,no de personas con esquema clasico completo,2024-12-01,1,0,1,0,1
CORIPATA,rabia,no de personas con esquema clasico completo,2024-12-01,1,0,1,0,1
COTOCA,rabia,no de personas con esquema clasico completo,2024-12-01,2,1,2,1,3
EL ALTO,rabia,no de personas con esquema clasico completo,2024-12-01,39,26,39,26,65
EL TORNO,rabia,no de personas con esquema clasico completo,2024-12-01,1,3,1,3,4
GUANAY,rabia,no de personas con esquema clasico completo,2024-12-01,1,2,1,2,3
GUAYARAMERIN,rabia,no de personas con esquema clasico completo,2024-12-01,3,3,3,3,6
HUAYLLAMARCA,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),rabia,no de personas con esquema clasico completo,2024-12-01,1,0,1,0,1
LA ASUNTA,rabia,no de personas con esquema clasico completo,2024-12-01,1,1,1,1,2
LA GUARDIA,rabia,no de personas con esquema clasico completo,2024-12-01,8,3,8,3,11
LA PAZ,rabia,no de personas con esquema clasico completo,2024-12-01,60,66,60,66,126
ORURO,rabia,no de personas con esquema clasico completo,2024-12-01,18,15,18,15,33
PAILON,rabia,no de personas con esquema clasico completo,2024-12-01,2,1,2,1,3
PALOS BLANCOS,rabia,no de personas con esquema clasico completo,2024-12-01,1,0,1,0,1
POOPO,rabia,no de personas con esquema clasico completo,2024-12-01,1,1,1,1,2
PORONGO,rabia,no de personas con esquema clasico completo,2024-12-01,0,2,0,2,2
POTOSI,rabia,no de personas con esquema clasico completo,2024-12-01,1,0,1,0,1
PUCARANI,rabia,no de personas con esquema clasico completo,2024-12-01,0,2,0,2,2
QUILLACOLLO,rabia,no de personas con esquema clasico completo,2024-12-01,3,3,3,3,6
RAVELO,rabia,no de personas con esquema clasico completo,2024-12-01,1,0,1,0,1
ROBORE,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
SACABA,rabia,no de personas con esquema clasico completo,2024-12-01,1,2,1,2,3
SAN BORJA,rabia,no de personas con esquema clasico completo,2024-12-01,6,3,6,3,9
SAN IGNACIO,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
SAN JULIAN,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,rabia,no de personas con esquema clasico completo,2024-12-01,71,63,71,63,134
SANTIVAÑES,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
SIPE SIPE,rabia,no de personas con esquema clasico completo,2024-12-01,1,1,1,1,2
SOPACHUY,rabia,no de personas con esquema clasico completo,2024-12-01,2,0,2,0,2
SUCRE,rabia,no de personas con esquema clasico completo,2024-12-01,9,7,9,7,16
TARIJA,rabia,no de personas con esquema clasico completo,2024-12-01,10,13,10,13,23
TIQUIPAYA,rabia,no de personas con esquema clasico completo,2024-12-01,1,0,1,0,1
TOTORA(ORR),rabia,no de personas con esquema clasico completo,2024-12-01,1,0,1,0,1
TRINIDAD,rabia,no de personas con esquema clasico completo,2024-12-01,8,6,8,6,14
UNCIA,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
VALLEGRANDE,rabia,no de personas con esquema clasico completo,2024-12-01,0,1,0,1,1
VIACHA,rabia,no de personas con esquema clasico completo,2024-12-01,4,3,4,3,7
WARNES,rabia,no de personas con esquema clasico completo,2024-12-01,4,2,4,2,6
