municipality,group,variable,month,Nacidos vivos,TOTAL
COCHABAMBA,atencion de partos en servicios,nacidos vivos,2013-01-01,1714,1714
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos,2013-01-01,40,40
"COLCHA ""K""",atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
COLOMI,atencion de partos en servicios,nacidos vivos,2013-01-01,23,23
COLPA BELGICA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
COLQUECHACA,atencion de partos en servicios,nacidos vivos,2013-01-01,15,15
COLQUENCHA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
COLQUIRI,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
COMARAPA,atencion de partos en servicios,nacidos vivos,2013-01-01,29,29
COMBAYA,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
CONCEPCION,atencion de partos en servicios,nacidos vivos,2013-01-01,22,22
COPACABANA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
CORIPATA,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
COROICO,atencion de partos en servicios,nacidos vivos,2013-01-01,22,22
CORQUE,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
COTAGAITA,atencion de partos en servicios,nacidos vivos,2013-01-01,19,19
COTOCA,atencion de partos en servicios,nacidos vivos,2013-01-01,80,80
CUATRO CAÑADAS,atencion de partos en servicios,nacidos vivos,2013-01-01,15,15
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
CULPINA,atencion de partos en servicios,nacidos vivos,2013-01-01,18,18
CURAHUARA DE CARANGAS,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
DESAGUADERO,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
EL ALTO,atencion de partos en servicios,nacidos vivos,2013-01-01,1259,1259
EL CHORO,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
EL PUENTE(STC),atencion de partos en servicios,nacidos vivos,2013-01-01,12,12
EL PUENTE(TJA),atencion de partos en servicios,nacidos vivos,2013-01-01,11,11
EL TORNO,atencion de partos en servicios,nacidos vivos,2013-01-01,59,59
EL VILLAR,atencion de partos en servicios,nacidos vivos,2013-01-01,9,9
ENTRE RIOS TRJ,atencion de partos en servicios,nacidos vivos,2013-01-01,32,32
ENTRE RIOS CBBA,atencion de partos en servicios,nacidos vivos,2013-01-01,24,24
ESCOMA,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
EUCALIPTUS,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
EXALTACION,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,nacidos vivos,2013-01-01,14,14
FILADELFIA,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
GENERAL SAAVEDRA,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
GUANAY,atencion de partos en servicios,nacidos vivos,2013-01-01,12,12
GUAQUI,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
GUAYARAMERIN,atencion de partos en servicios,nacidos vivos,2013-01-01,109,109
GUTIERREZ,atencion de partos en servicios,nacidos vivos,2013-01-01,20,20
HUACARETA,atencion de partos en servicios,nacidos vivos,2013-01-01,14,14
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
HUACHACALLA,atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
HUANUNI,atencion de partos en servicios,nacidos vivos,2013-01-01,36,36
HUARACAJE,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
HUARINA,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
HUATAJATA,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
HUAYLLAMARCA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
HUMANATA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
ICHOCA,atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
ICLA,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
INCAHUASI,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
INGAVI (HUMAITA),atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
INQUISIVI,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,nacidos vivos,2013-01-01,11,11
IXIAMAS,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
JESUS DE MACHACA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
LA ASUNTA,atencion de partos en servicios,nacidos vivos,2013-01-01,39,39
LA GUARDIA,atencion de partos en servicios,nacidos vivos,2013-01-01,69,69
LA PAZ,atencion de partos en servicios,nacidos vivos,2013-01-01,1746,1746
LAGUNILLAS,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
LAJA,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
LAS CARRERAS,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
LLALLAGUA,atencion de partos en servicios,nacidos vivos,2013-01-01,62,62
LLICA,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
LORETO,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
LURIBAY,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
MACHACAMARCA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
MACHARETI,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
MAGDALENA,atencion de partos en servicios,nacidos vivos,2013-01-01,20,20
MAIRANA,atencion de partos en servicios,nacidos vivos,2013-01-01,15,15
MAPIRI,atencion de partos en servicios,nacidos vivos,2013-01-01,13,13
MECAPACA,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
MINEROS,atencion de partos en servicios,nacidos vivos,2013-01-01,20,20
MIZQUE,atencion de partos en servicios,nacidos vivos,2013-01-01,30,30
MOCOMOCO,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
MOJOCOYA,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
MONTEAGUDO,atencion de partos en servicios,nacidos vivos,2013-01-01,43,43
MONTERO,atencion de partos en servicios,nacidos vivos,2013-01-01,259,259
MORO MORO,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
MOROCHATA,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
OCURI,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
OKINAWA,atencion de partos en servicios,nacidos vivos,2013-01-01,11,11
OMEREQUE,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
ORURO,atencion de partos en servicios,nacidos vivos,2013-01-01,644,644
PADCAYA,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
PADILLA,atencion de partos en servicios,nacidos vivos,2013-01-01,27,27
PAILON,atencion de partos en servicios,nacidos vivos,2013-01-01,40,40
PALCA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
PALOS BLANCOS,atencion de partos en servicios,nacidos vivos,2013-01-01,32,32
PAMPA AULLAGAS,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
PAMPA GRANDE,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
PAPEL PAMPA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
PASORAPA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
PATACAMAYA,atencion de partos en servicios,nacidos vivos,2013-01-01,19,19
PAZÑA,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
PELECHUCO,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
POCOATA,atencion de partos en servicios,nacidos vivos,2013-01-01,11,11
POCONA,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
POJO (CBBA),atencion de partos en servicios,nacidos vivos,2013-01-01,14,14
POOPO,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
PORCO,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
POROMA,atencion de partos en servicios,nacidos vivos,2013-01-01,17,17
PORONGO,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
PORTACHUELO,atencion de partos en servicios,nacidos vivos,2013-01-01,41,41
PORVENIR,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
POTOSI,atencion de partos en servicios,nacidos vivos,2013-01-01,465,465
PRESTO,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
PUCARANI,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
PUERTO ACOSTA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
PUERTO CARABUCO,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
PUERTO QUIJARRO,atencion de partos en servicios,nacidos vivos,2013-01-01,12,12
PUERTO RICO,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
PUERTO SUAREZ,atencion de partos en servicios,nacidos vivos,2013-01-01,53,53
PUERTO VILLARROEL,atencion de partos en servicios,nacidos vivos,2013-01-01,108,108
PUNA,atencion de partos en servicios,nacidos vivos,2013-01-01,14,14
PUNATA,atencion de partos en servicios,nacidos vivos,2013-01-01,71,71
QUILLACOLLO,atencion de partos en servicios,nacidos vivos,2013-01-01,161,161
QUIME,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
RAVELO,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
REYES,atencion de partos en servicios,nacidos vivos,2013-01-01,20,20
RIBERALTA,atencion de partos en servicios,nacidos vivos,2013-01-01,276,276
ROBORE,atencion de partos en servicios,nacidos vivos,2013-01-01,15,15
RURRENABAQUE,atencion de partos en servicios,nacidos vivos,2013-01-01,44,44
SABAYA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
SACABA,atencion de partos en servicios,nacidos vivos,2013-01-01,187,187
SACABAMBA,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
SACACA,atencion de partos en servicios,nacidos vivos,2013-01-01,16,16
SAIPINA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
SAMAIPATA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
SAN ANDRES,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
SAN BENITO,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
SAN BORJA,atencion de partos en servicios,nacidos vivos,2013-01-01,73,73
SAN BUENA VENTURA,atencion de partos en servicios,nacidos vivos,2013-01-01,11,11
SAN CARLOS,atencion de partos en servicios,nacidos vivos,2013-01-01,35,35
SAN IGNACIO,atencion de partos en servicios,nacidos vivos,2013-01-01,25,25
SAN IGNACIO DE VELASCO,atencion de partos en servicios,nacidos vivos,2013-01-01,120,120
SAN JAVIER(BNI),atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
SAN JAVIER(STC),atencion de partos en servicios,nacidos vivos,2013-01-01,21,21
SAN JOAQUIN,atencion de partos en servicios,nacidos vivos,2013-01-01,13,13
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,nacidos vivos,2013-01-01,51,51
SAN JUAN DE YAPACANI,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
SAN JULIAN,atencion de partos en servicios,nacidos vivos,2013-01-01,72,72
SAN LORENZO(PND),atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
SAN LORENZO(TJA),atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
SAN LUCAS,atencion de partos en servicios,nacidos vivos,2013-01-01,23,23
SAN MATIAS,atencion de partos en servicios,nacidos vivos,2013-01-01,23,23
SAN MIGUEL DE VELASCO,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
SAN PEDRO,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,nacidos vivos,2013-01-01,19,19
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
SAN RAFAEL,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
SAN RAMON BENI,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
SAN RAMON SCZ,atencion de partos en servicios,nacidos vivos,2013-01-01,11,11
SANTA ANA,atencion de partos en servicios,nacidos vivos,2013-01-01,47,47
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,nacidos vivos,2013-01-01,3612,3612
SANTA ROSA,atencion de partos en servicios,nacidos vivos,2013-01-01,19,19
SANTA ROSA DEL SARA,atencion de partos en servicios,nacidos vivos,2013-01-01,12,12
SANTIAGO DE CALLAPA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
SANTIAGO DE HUARI,atencion de partos en servicios,nacidos vivos,2013-01-01,9,9
SANTIAGO DE HUATA,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
SANTIAGO DE MACHACA,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
SANTIVAÑES,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
SANTUARIO DE QUILLACAS,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
SAPAHAQUI,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
SENA,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
SHINAOTA,atencion de partos en servicios,nacidos vivos,2013-01-01,43,43
SICA SICA (VILLA AROMA),atencion de partos en servicios,nacidos vivos,2013-01-01,16,16
SICAYA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
SIPE SIPE,atencion de partos en servicios,nacidos vivos,2013-01-01,28,28
SOPACHUY,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
SORACACHI,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
SORATA,atencion de partos en servicios,nacidos vivos,2013-01-01,13,13
SUCRE,atencion de partos en servicios,nacidos vivos,2013-01-01,478,478
TACACHI,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
TACACOMA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
TACOBAMBA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
TACOPAYA,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
TAPACARI,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
TARABUCO,atencion de partos en servicios,nacidos vivos,2013-01-01,18,18
TARACO,atencion de partos en servicios,nacidos vivos,2013-01-01,3,3
TARATA,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
TARIJA,atencion de partos en servicios,nacidos vivos,2013-01-01,454,454
TARVITA,atencion de partos en servicios,nacidos vivos,2013-01-01,21,21
TEOPONTE,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
TIAWANACU,atencion de partos en servicios,nacidos vivos,2013-01-01,13,13
TINGUIPAYA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
TIPUANI,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
TIQUIPAYA,atencion de partos en servicios,nacidos vivos,2013-01-01,105,105
TIRAQUE (CBBA),atencion de partos en servicios,nacidos vivos,2013-01-01,15,15
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
TOCO,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
TOLATA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
TOLEDO,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
TOMAVE,atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
TOMINA,atencion de partos en servicios,nacidos vivos,2013-01-01,10,10
TORO TORO,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
TOTORA(CBBA),atencion de partos en servicios,nacidos vivos,2013-01-01,26,26
TOTORA(ORR),atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
TRINIDAD,atencion de partos en servicios,nacidos vivos,2013-01-01,267,267
TUPIZA,atencion de partos en servicios,nacidos vivos,2013-01-01,70,70
TURCO,atencion de partos en servicios,nacidos vivos,2013-01-01,4,4
UMALA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
UNCIA,atencion de partos en servicios,nacidos vivos,2013-01-01,29,29
URIONDO (A. CONCEPCION),atencion de partos en servicios,nacidos vivos,2013-01-01,7,7
URUBICHA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
UYUNI,atencion de partos en servicios,nacidos vivos,2013-01-01,50,50
VACAS,atencion de partos en servicios,nacidos vivos,2013-01-01,14,14
VALLEGRANDE,atencion de partos en servicios,nacidos vivos,2013-01-01,24,24
VIACHA,atencion de partos en servicios,nacidos vivos,2013-01-01,46,46
VILA VILA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
VILLA CHARCAS,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
VILLA MONTES,atencion de partos en servicios,nacidos vivos,2013-01-01,88,88
VILLA RIVERO,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
VILLA SERRANO,atencion de partos en servicios,nacidos vivos,2013-01-01,2,2
VILLA TUNARI,atencion de partos en servicios,nacidos vivos,2013-01-01,122,122
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
VILLAZON,atencion de partos en servicios,nacidos vivos,2013-01-01,57,57
VINTO,atencion de partos en servicios,nacidos vivos,2013-01-01,71,71
VITICHI,atencion de partos en servicios,nacidos vivos,2013-01-01,6,6
WARNES,atencion de partos en servicios,nacidos vivos,2013-01-01,117,117
YACUIBA,atencion de partos en servicios,nacidos vivos,2013-01-01,188,188
YAMPARAEZ,atencion de partos en servicios,nacidos vivos,2013-01-01,8,8
YANACACHI,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
YAPACANI,atencion de partos en servicios,nacidos vivos,2013-01-01,66,66
YOCALLA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
YOTALA,atencion de partos en servicios,nacidos vivos,2013-01-01,5,5
YUNCHARA,atencion de partos en servicios,nacidos vivos,2013-01-01,1,1
ZUDAÑEZ,atencion de partos en servicios,nacidos vivos,2013-01-01,9,9
ACACIO,atencion de partos en servicios,nacidos vivos,2013-02-01,2,2
ACHACACHI,atencion de partos en servicios,nacidos vivos,2013-02-01,18,18
ACHOCALLA,atencion de partos en servicios,nacidos vivos,2013-02-01,3,3
AIQUILE,atencion de partos en servicios,nacidos vivos,2013-02-01,14,14
ALTO BENI,atencion de partos en servicios,nacidos vivos,2013-02-01,8,8
ANCORAIMES,atencion de partos en servicios,nacidos vivos,2013-02-01,4,4
ANTEQUERA,atencion de partos en servicios,nacidos vivos,2013-02-01,1,1
ANZALDO,atencion de partos en servicios,nacidos vivos,2013-02-01,2,2
APOLO,atencion de partos en servicios,nacidos vivos,2013-02-01,16,16
ARAMPAMPA,atencion de partos en servicios,nacidos vivos,2013-02-01,2,2
ARANI,atencion de partos en servicios,nacidos vivos,2013-02-01,4,4
ARBIETO,atencion de partos en servicios,nacidos vivos,2013-02-01,10,10
ASCENCION DE GUARAYOS,atencion de partos en servicios,nacidos vivos,2013-02-01,31,31
ATOCHA,atencion de partos en servicios,nacidos vivos,2013-02-01,13,13
AYATA,atencion de partos en servicios,nacidos vivos,2013-02-01,1,1
AYO AYO,atencion de partos en servicios,nacidos vivos,2013-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,nacidos vivos,2013-02-01,19,19
AZURDUY,atencion de partos en servicios,nacidos vivos,2013-02-01,6,6
BATALLAS,atencion de partos en servicios,nacidos vivos,2013-02-01,7,7
BAURES,atencion de partos en servicios,nacidos vivos,2013-02-01,4,4
BERMEJO,atencion de partos en servicios,nacidos vivos,2013-02-01,50,50
BETANZOS,atencion de partos en servicios,nacidos vivos,2013-02-01,31,31
BOYUIBE,atencion de partos en servicios,nacidos vivos,2013-02-01,5,5
BUENA VISTA,atencion de partos en servicios,nacidos vivos,2013-02-01,6,6
CABEZAS,atencion de partos en servicios,nacidos vivos,2013-02-01,25,25
CAIROMA,atencion de partos en servicios,nacidos vivos,2013-02-01,7,7
"CAIZA ""D""",atencion de partos en servicios,nacidos vivos,2013-02-01,5,5
CAJUATA,atencion de partos en servicios,nacidos vivos,2013-02-01,5,5
CALACOTO,atencion de partos en servicios,nacidos vivos,2013-02-01,2,2
CALAMARCA,atencion de partos en servicios,nacidos vivos,2013-02-01,5,5
CAMARGO,atencion de partos en servicios,nacidos vivos,2013-02-01,24,24
CAMIRI,atencion de partos en servicios,nacidos vivos,2013-02-01,90,90
CAPINOTA,atencion de partos en servicios,nacidos vivos,2013-02-01,12,12
CAQUIAVIRI,atencion de partos en servicios,nacidos vivos,2013-02-01,2,2
CARACOLLO,atencion de partos en servicios,nacidos vivos,2013-02-01,18,18
CARANAVI,atencion de partos en servicios,nacidos vivos,2013-02-01,68,68
CARAPARI,atencion de partos en servicios,nacidos vivos,2013-02-01,12,12
CARIPUYO,atencion de partos en servicios,nacidos vivos,2013-02-01,5,5
CARMEN RIVERO TORREZ,atencion de partos en servicios,nacidos vivos,2013-02-01,5,5
CHALLAPATA,atencion de partos en servicios,nacidos vivos,2013-02-01,32,32
CHAQUI,atencion de partos en servicios,nacidos vivos,2013-02-01,5,5
CHARAGUA,atencion de partos en servicios,nacidos vivos,2013-02-01,46,46
CHAYANTA,atencion de partos en servicios,nacidos vivos,2013-02-01,9,9
CHIMORE,atencion de partos en servicios,nacidos vivos,2013-02-01,7,7
CHIPAYA,atencion de partos en servicios,nacidos vivos,2013-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,nacidos vivos,2013-02-01,29,29
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,nacidos vivos,2013-02-01,5,5
CKOCHAS,atencion de partos en servicios,nacidos vivos,2013-02-01,2,2
CLIZA,atencion de partos en servicios,nacidos vivos,2013-02-01,20,20
COBIJA,atencion de partos en servicios,nacidos vivos,2013-02-01,148,148
COCAPATA,atencion de partos en servicios,nacidos vivos,2013-02-01,9,9
COCHABAMBA,atencion de partos en servicios,nacidos vivos,2013-02-01,1537,1537
COLCAPIRHUA,atencion de partos en servicios,nacidos vivos,2013-02-01,38,38
"COLCHA ""K""",atencion de partos en servicios,nacidos vivos,2013-02-01,1,1
COLOMI,atencion de partos en servicios,nacidos vivos,2013-02-01,22,22
COLPA BELGICA,atencion de partos en servicios,nacidos vivos,2013-02-01,5,5
COLQUECHACA,atencion de partos en servicios,nacidos vivos,2013-02-01,11,11
COLQUENCHA,atencion de partos en servicios,nacidos vivos,2013-02-01,13,13
COLQUIRI,atencion de partos en servicios,nacidos vivos,2013-02-01,6,6
COMARAPA,atencion de partos en servicios,nacidos vivos,2013-02-01,31,31
CONCEPCION,atencion de partos en servicios,nacidos vivos,2013-02-01,31,31
COPACABANA,atencion de partos en servicios,nacidos vivos,2013-02-01,6,6
CORIPATA,atencion de partos en servicios,nacidos vivos,2013-02-01,13,13
CORO CORO,atencion de partos en servicios,nacidos vivos,2013-02-01,1,1
COROICO,atencion de partos en servicios,nacidos vivos,2013-02-01,31,31
