,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
SAN JULIAN,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
SAN MATIAS,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,1,0,1,1
SAN RAMON BENI,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,108,88,108,88,196
SUCRE,internaciones,fallecidos a partir de las 48 horas,2011-03-01,11,16,11,16,27
TARABUCO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,2,1,2,1,3
TARIJA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,12,18,12,18,30
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2011-03-01,7,15,7,15,22
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
UYUNI,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,2,1,2,3
VILLA SERRANO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2011-03-01,1,4,1,4,5
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2011-03-01,2,1,2,1,3
VINTO,internaciones,fallecidos a partir de las 48 horas,2011-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2011-04-01,0,1,0,1,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,1,1,1,2
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2011-04-01,2,3,2,3,5
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,2,1,2,3
COBIJA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,3,1,3,1,4
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,43,37,43,37,80
COROICO,internaciones,fallecidos a partir de las 48 horas,2011-04-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2011-04-01,9,4,9,4,13
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2011-04-01,2,0,2,0,2
LA GUARDIA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2011-04-01,55,60,55,60,115
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2011-04-01,2,0,2,0,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2011-04-01,16,11,16,11,27
PADILLA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,0,1,0,1,1
PAILON,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2011-04-01,3,0,3,0,3
POTOSI,internaciones,fallecidos a partir de las 48 horas,2011-04-01,5,6,5,6,11
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,3,0,3,0,3
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2011-04-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,92,69,92,69,161
SOPACHUY,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2011-04-01,22,12,22,12,34
TARIJA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,13,18,13,18,31
TIPUANI,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,1,1,1,2
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2011-04-01,13,8,13,8,21
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,0,1,0,1,1
UYUNI,internaciones,fallecidos a partir de las 48 horas,2011-04-01,0,1,0,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2011-04-01,0,1,0,1,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2011-04-01,2,0,2,0,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2011-04-01,2,0,2,0,2
WARNES,internaciones,fallecidos a partir de las 48 horas,2011-04-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2011-04-01,0,1,0,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2011-05-01,0,2,0,2,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2011-05-01,2,0,2,0,2
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2011-05-01,0,1,0,1,1
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2011-05-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,2,0,2,0,2
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,50,54,50,54,104
CULPINA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2011-05-01,10,8,10,8,18
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2011-05-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),internaciones,fallecidos a partir de las 48 horas,2011-05-01,0,1,0,1,1
LA ASUNTA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2011-05-01,56,69,56,69,125
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,2,1,2,1,3
MONTERO,internaciones,fallecidos a partir de las 48 horas,2011-05-01,2,2,2,2,4
ORURO,internaciones,fallecidos a partir de las 48 horas,2011-05-01,6,27,6,27,33
PADILLA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2011-05-01,1,2,1,2,3
POTOSI,internaciones,fallecidos a partir de las 48 horas,2011-05-01,12,10,12,10,22
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2011-05-01,2,0,2,0,2
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,1,3,1,3,4
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,1,2,1,2,3
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2011-05-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,68,68,68,68,136
SUCRE,internaciones,fallecidos a partir de las 48 horas,2011-05-01,15,18,15,18,33
TARIJA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,14,15,14,15,29
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2011-05-01,7,12,7,12,19
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,3,1,3,1,4
UYUNI,internaciones,fallecidos a partir de las 48 horas,2011-05-01,3,0,3,0,3
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2011-05-01,0,1,0,1,1
VINTO,internaciones,fallecidos a partir de las 48 horas,2011-05-01,0,1,0,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2011-05-01,1,1,1,1,2
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,2,0,2,0,2
BATALLAS,internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2011-06-01,0,2,0,2,2
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2011-06-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2011-06-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,2,1,2,1,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2011-06-01,49,40,49,40,89
