,group,variable,month,RETORNADOS CANTIDAD,RETORNADOS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN PEDRO,internaciones,retornados,2011-11-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-11-01,12,3,12,3,15
SORATA,internaciones,retornados,2011-11-01,0,1,0,1,1
SUCRE,internaciones,retornados,2011-11-01,0,20,0,20,20
TARIJA,internaciones,retornados,2011-11-01,0,2,0,2,2
TARVITA,internaciones,retornados,2011-11-01,1,2,1,2,3
TOTORA(ORR),internaciones,retornados,2011-11-01,0,2,0,2,2
VIACHA,internaciones,retornados,2011-11-01,2,2,2,2,4
VILLA MONTES,internaciones,retornados,2011-11-01,2,3,2,3,5
VILLA SERRANO,internaciones,retornados,2011-11-01,0,1,0,1,1
VILLA TUNARI,internaciones,retornados,2011-11-01,0,2,0,2,2
YACUIBA,internaciones,retornados,2011-11-01,1,7,1,7,8
YAMPARAEZ,internaciones,retornados,2011-11-01,0,1,0,1,1
YAPACANI,internaciones,retornados,2011-11-01,0,3,0,3,3
ZUDAÑEZ,internaciones,retornados,2011-11-01,0,2,0,2,2
ALALAY,internaciones,retornados,2011-12-01,0,1,0,1,1
BERMEJO,internaciones,retornados,2011-12-01,0,2,0,2,2
BUENA VISTA,internaciones,retornados,2011-12-01,1,0,1,0,1
CAMARGO,internaciones,retornados,2011-12-01,1,3,1,3,4
COBIJA,internaciones,retornados,2011-12-01,3,53,3,53,56
COCHABAMBA,internaciones,retornados,2011-12-01,15,229,15,229,244
EL ALTO,internaciones,retornados,2011-12-01,8,26,8,26,34
EL TORNO,internaciones,retornados,2011-12-01,1,0,1,0,1
INCAHUASI,internaciones,retornados,2011-12-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2011-12-01,9,6,9,6,15
ORURO,internaciones,retornados,2011-12-01,3,1,3,1,4
PASORAPA,internaciones,retornados,2011-12-01,0,1,0,1,1
POJO (CBBA),internaciones,retornados,2011-12-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,retornados,2011-12-01,3,3,3,3,6
PUERTO SUAREZ,internaciones,retornados,2011-12-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,retornados,2011-12-01,0,1,0,1,1
SACABA,internaciones,retornados,2011-12-01,1,8,1,8,9
SAN IGNACIO DE VELASCO,internaciones,retornados,2011-12-01,2,0,2,0,2
SAN JUAN DE YAPACANI,internaciones,retornados,2011-12-01,1,1,1,1,2
SAN LUCAS,internaciones,retornados,2011-12-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2011-12-01,2,2,2,2,4
SORATA,internaciones,retornados,2011-12-01,1,1,1,1,2
SUCRE,internaciones,retornados,2011-12-01,0,19,0,19,19
TIRAQUE (CBBA),internaciones,retornados,2011-12-01,0,1,0,1,1
UMALA,internaciones,retornados,2011-12-01,0,2,0,2,2
VIACHA,internaciones,retornados,2011-12-01,1,2,1,2,3
VILLA TUNARI,internaciones,retornados,2011-12-01,0,1,0,1,1
VINTO,internaciones,retornados,2011-12-01,1,0,1,0,1
VITICHI,internaciones,retornados,2011-12-01,3,2,3,2,5
YACUIBA,internaciones,retornados,2011-12-01,1,5,1,5,6
