,group,variable,month,L 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,L 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
GUANAY,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,9,3,12
LURIBAY,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
ORURO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
PAILON,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
PORCO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,2,2,4
PUCARANI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
ROBORE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,6,1,7
SENA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,3,0,3
VILLA TUNARI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
VILLAZON,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
WARNES,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,0,1,1
YOCALLA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,6,6,12
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,2,0,2
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,11,6,17
COLCAPIRHUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,1,2
CONCEPCION,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,5,5,10
CORIPATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,1,1
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,2,2
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,3,3,6
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,69,42,111
MIZQUE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,1,2
ORURO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
PADCAYA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,1,1
PAILON,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,1,2
PORCO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,8,1,9
QUILLACOLLO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,2,0,2
RIBERALTA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,1,1
SACABA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,3,8,11
SUCRE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,2,2
TEOPONTE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
TOMINA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,2,3
TUPIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,2,0,2
VINTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,0,1,1
YACUIBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-03-01,1,0,1
AZURDUY,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,4,10,14
CHARAGUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,3,7,10
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,6,9,15
COLQUENCHA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,1,0,1
COLQUIRI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,1,0,1
CONCEPCION,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,1,1,2
CORIPATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,0,2,2
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,2,0,2
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,22,24,46
MAPIRI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,1,0,1
OCURI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,3,0,3
QUILLACOLLO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,6,0,6
SUCRE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,2,1,3
TUPIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,0,1,1
YACUIBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-04-01,1,0,1
ACHOCALLA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,1,0,1
AZURDUY,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,3,1,4
CAPINOTA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,6,11,17
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,1,0,1
COBIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,2,0,2
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,3,2,5
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,10,12,22
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,1,0,1
PORCO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,2,0,2
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,7,4,11
PUNATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,0,1,1
SANTA ANA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,4,3,7
SUCRE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,1,1,2
TRINIDAD,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,0,1,1
TUPIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,2,0,2
WARNES,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-05-01,2,1,3
ARBIETO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,0,1,1
CABEZAS,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,0,3,3
CARANAVI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,0,1,1
CLIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,4,0,4
COBIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,2,0,2
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,2,1,3
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,7,12,19
ORURO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
PALCA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
PORCO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,3,3,6
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,3,1,4
PUERTO QUIJARRO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
SACABA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,7,4,11
SUCRE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,2,3
TARATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,2,0,2
YACUIBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-06-01,1,1,2
AZURDUY,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,2,3
CLIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,13,8,21
CORIPATA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,0,1,1
COROICO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,0,2,2
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,5,0,5
EL TORNO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,23,14,37
MAGDALENA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,1,2
MINEROS,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
ORURO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,4,2,6
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,0,1,1
SUCRE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,2,2,4
TARIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,0,1,1
WARNES,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-07-01,1,1,2
ARQUE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,0,1,1
BUENA VISTA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,0,1,1
CHARAGUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,7,8,15
COBIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,1,2
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,6,4,10
CORQUE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,6,3,9
GUTIERREZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,2,0,2
LA ASUNTA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,12,7,19
MAGDALENA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,2,2,4
MONTERO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
PORCO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,6,6,12
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,0,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,12,3,15
SUCRE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,2,1,3
TACACOMA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,2,0,2
TEOPONTE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
TIPUANI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,15,18,33
TOMINA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,1,2
TRINIDAD,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
UYUNI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,0,1,1
VIACHA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,5,4,9
VILLAZON,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,1,0,1
WARNES,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,0,1,1
YACUIBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,0,1,1
YAPACANI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-08-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
CHARAGUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,13,7,20
COBIJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,3,10,13
COLCAPIRHUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,6,14,20
CUATRO CAÑADAS,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,3,1,4
LA PAZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,19,1,20
MIZQUE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,0,1,1
MONTERO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,2,0,2
ORURO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
PORCO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,6,3,9
POTOSI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
PUNA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,4,0,4
QUILLACOLLO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
REYES,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
SACABA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,6,3,9
SHINAOTA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,0,1,1
TIRAQUE (CBBA),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
TOMAVE,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,12,7,19
TORO TORO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,1,1,2
VIACHA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-09-01,0,1,1
ALTO BENI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,1,0,1
AZURDUY,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,4,2,6
CAMIRI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,1,0,1
CARANAVI,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,3,0,3
CHARAGUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,37,5,42
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,4,6,10
COLCAPIRHUA,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,4,2,6
EL ALTO,tuberculosis y lepra,l 23.3       n de tbp baar (-) nuevos,2012-10-01,4,2,6
