municipality,group,variable,month,Total Viviendas Roceadas,TOTAL
YACUIBA,chagas viviendas,total viviendas roceadas,2015-04-01,93,93
YOTALA,chagas viviendas,total viviendas roceadas,2015-04-01,17,17
YUNCHARA,chagas viviendas,total viviendas roceadas,2015-04-01,2,2
ZUDAÑEZ,chagas viviendas,total viviendas roceadas,2015-04-01,3,3
AIQUILE,chagas viviendas,total viviendas roceadas,2015-05-01,15,15
ANZALDO,chagas viviendas,total viviendas roceadas,2015-05-01,11,11
ARANI,chagas viviendas,total viviendas roceadas,2015-05-01,9,9
ARBIETO,chagas viviendas,total viviendas roceadas,2015-05-01,9,9
ARQUE,chagas viviendas,total viviendas roceadas,2015-05-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas roceadas,2015-05-01,1,1
BETANZOS,chagas viviendas,total viviendas roceadas,2015-05-01,42,42
CAMARGO,chagas viviendas,total viviendas roceadas,2015-05-01,23,23
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas roceadas,2015-05-01,1,1
CAMIRI,chagas viviendas,total viviendas roceadas,2015-05-01,5,5
CAPINOTA,chagas viviendas,total viviendas roceadas,2015-05-01,104,104
CARAPARI,chagas viviendas,total viviendas roceadas,2015-05-01,13,13
CLIZA,chagas viviendas,total viviendas roceadas,2015-05-01,1,1
COCHABAMBA,chagas viviendas,total viviendas roceadas,2015-05-01,42,42
COLCAPIRHUA,chagas viviendas,total viviendas roceadas,2015-05-01,1,1
COLQUECHACA,chagas viviendas,total viviendas roceadas,2015-05-01,18,18
COMARAPA,chagas viviendas,total viviendas roceadas,2015-05-01,20,20
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,total viviendas roceadas,2015-05-01,6,6
EL PUENTE(TJA),chagas viviendas,total viviendas roceadas,2015-05-01,14,14
EL VILLAR,chagas viviendas,total viviendas roceadas,2015-05-01,1,1
ENTRE RIOS TRJ,chagas viviendas,total viviendas roceadas,2015-05-01,9,9
ICLA,chagas viviendas,total viviendas roceadas,2015-05-01,3,3
LAS CARRERAS,chagas viviendas,total viviendas roceadas,2015-05-01,2,2
MACHARETI,chagas viviendas,total viviendas roceadas,2015-05-01,37,37
MECAPACA,chagas viviendas,total viviendas roceadas,2015-05-01,17,17
MOJOCOYA,chagas viviendas,total viviendas roceadas,2015-05-01,33,33
OMEREQUE,chagas viviendas,total viviendas roceadas,2015-05-01,244,244
PASORAPA,chagas viviendas,total viviendas roceadas,2015-05-01,1,1
POJO (CBBA),chagas viviendas,total viviendas roceadas,2015-05-01,8,8
PUNATA,chagas viviendas,total viviendas roceadas,2015-05-01,31,31
RAVELO,chagas viviendas,total viviendas roceadas,2015-05-01,30,30
SACABA,chagas viviendas,total viviendas roceadas,2015-05-01,6,6
SACABAMBA,chagas viviendas,total viviendas roceadas,2015-05-01,6,6
SAN LORENZO(TJA),chagas viviendas,total viviendas roceadas,2015-05-01,18,18
SAN LUCAS,chagas viviendas,total viviendas roceadas,2015-05-01,27,27
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas roceadas,2015-05-01,12,12
SANTIVAÑES,chagas viviendas,total viviendas roceadas,2015-05-01,20,20
SICAYA,chagas viviendas,total viviendas roceadas,2015-05-01,6,6
SIPE SIPE,chagas viviendas,total viviendas roceadas,2015-05-01,269,269
SOPACHUY,chagas viviendas,total viviendas roceadas,2015-05-01,4,4
SUCRE,chagas viviendas,total viviendas roceadas,2015-05-01,216,216
TACOPAYA,chagas viviendas,total viviendas roceadas,2015-05-01,2,2
TAPACARI,chagas viviendas,total viviendas roceadas,2015-05-01,2,2
TARABUCO,chagas viviendas,total viviendas roceadas,2015-05-01,90,90
TARATA,chagas viviendas,total viviendas roceadas,2015-05-01,2,2
TOCO,chagas viviendas,total viviendas roceadas,2015-05-01,3,3
TOLATA,chagas viviendas,total viviendas roceadas,2015-05-01,4,4
